t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789562431.183351,0.0,2362306,130449,0,111,41,52,34876,286774,10114940,120352,1480,63865408,64243768,64771556,0,0,0,2,1,0,6916877,730005175,736259989,20,20,370,1595065,3194031,0,27177773,24682,172535370,155652241,0
1789562431.4337513,0.25,2362527,130476,0,111,41,52,34878,286925,10116114,134492,1492,63841368,64211404,64771556,0,0,0,1,2,0,6920037,730035008,736292845,20,20,373,1594695,3193290,0,27182941,24786,172552978,155652241,0
1789562431.6841524,0.501,2362875,130507,0,111,41,52,34882,286941,10117462,149488,1492,63822260,64183956,64771556,0,0,0,1,2,0,6920515,730142783,736400979,20,20,373,1594426,3192751,0,27192586,24870,172570866,155652245,0
1789562431.9345567,0.751,2363240,130535,0,111,41,52,34885,286945,10118987,178224,3492,63794116,64140876,64771556,0,0,0,2,1,0,6921066,730283013,736541289,20,20,873,1594096,3192090,0,27199525,25152,172599262,155652245,0
1789562432.184971,1.002,2363607,130557,0,111,41,52,34887,286953,10121217,187064,3492,63778196,64120472,64771556,0,0,0,1,2,0,6921889,730447145,736705450,20,20,873,1593811,3191519,0,27202516,25178,172607998,155652245,0
1789562432.4353323,1.252,2363979,130579,0,111,41,52,34888,286957,10122721,193136,3492,63769312,64108560,64771556,0,0,0,1,1,0,6922892,730643193,736901504,20,20,873,1593665,3191226,0,27204268,25181,172614070,155652245,0
1789562432.6856356,1.502,2364345,130600,0,111,41,52,34889,286969,10124244,201436,3492,63749220,64084304,64771556,0,0,0,1,1,0,6923627,730800530,737058846,20,20,873,1593267,3190430,0,27209418,25181,172622386,155652245,0
1789562432.9359744,1.753,2364697,130609,0,111,41,52,34894,287003,10128227,204188,3492,63739040,64072768,64771556,0,0,0,1,1,0,6924830,730845131,737103452,20,20,873,1593047,3189989,0,27225944,25189,172625122,155652277,0
1789562433.1864996,2.003,2365056,130621,0,111,41,52,34896,287029,10130356,207544,3492,63708232,64040260,64771556,0,0,0,1,2,0,6925330,730917586,737175915,20,20,873,1592320,3188534,0,27234340,25190,172628522,155652277,0
1789562433.4369369,2.254,2365418,130633,0,111,41,52,34898,287054,10134431,210440,3492,63689956,64020536,64771556,0,0,0,1,1,0,6926113,731001165,737259500,20,20,873,1591900,3187692,0,27238479,25190,172631374,155652277,0
1789562433.6873538,2.504,2365777,130648,0,111,41,52,34902,287075,10138513,214168,3492,63666468,63995184,64771556,0,0,0,0,8,0,6926783,731083562,737341898,20,20,873,1591360,3186612,0,27245844,25200,172635114,155652277,0
1789562433.9380004,2.755,2366130,130657,0,111,41,52,34904,287111,10142511,216604,3492,63658572,63986060,64771556,0,0,0,0,2,0,6927584,731133419,737391754,20,20,873,1591194,3186278,0,27248548,25203,172637550,155652277,0
1789562434.1884027,3.005,2366484,130669,0,111,41,52,34906,287144,10146196,219432,3492,63649860,63975940,64771556,0,0,0,1,3,0,6928126,731199050,737457385,20,20,873,1591011,3185913,0,27250060,25206,172640402,155652277,0
1789562434.4388204,3.255,2366842,130678,0,111,42,52,34911,287172,10151054,221108,3492,63637692,63962936,64771556,0,0,0,1,1,0,6928440,731219179,737477644,20,20,873,1590728,3185347,0,27255127,25209,172642074,155652281,0
1789562434.7086515,3.525,2367249,130703,0,111,42,52,34912,287174,10151733,248836,3492,63620060,63931084,64771556,0,0,0,1,1,0,6929696,731464650,737723116,20,20,873,1590643,3185176,0,27257598,25437,172670698,155652281,0
1789562434.962819,3.779,2367627,130722,0,111,42,52,34913,287180,10152558,262816,3492,63603236,63907160,64771556,0,0,0,0,2,0,6930671,731655748,737914213,20,20,873,1590400,3184690,0,27261578,25547,172685110,155652281,0
1789562435.2766936,4.093,2368099,130742,0,111,42,52,34914,287188,10153110,277080,3492,63584516,63878668,64771556,0,0,0,1,1,0,6931994,731866445,738124927,20,20,873,1590050,3183987,0,27266698,25643,172699266,155652281,0
1789562435.5276926,4.344,2368464,130756,0,111,42,52,34916,287206,10154923,281528,3492,63573500,63863056,64771556,0,0,0,1,1,0,6932528,731921341,738179823,20,20,873,1589775,3183437,0,27270717,25648,172703718,155652281,0
1789562435.7780757,4.595,2368822,130770,0,111,42,52,34917,287233,10156617,284628,3492,63574388,63860840,64771556,0,0,0,0,3,0,6932991,731999688,738258170,20,20,873,1589797,3183481,0,27275824,25651,172706814,155652281,0
1789562436.0284102,4.845,2369141,130781,0,111,42,52,34921,287299,10157778,287056,3492,63503248,63787260,64771556,0,0,0,0,2,0,6933230,732023793,738282277,20,20,873,1588021,3179925,0,27295933,25651,172709362,155652281,0
1789562436.2787633,5.095,2369503,130792,0,111,42,52,34923,287324,10159476,290052,3492,63481928,63762924,64771556,0,0,0,0,2,0,6933675,732094817,738353302,20,20,873,1587489,3178859,0,27302168,25651,172712658,155652281,0
1789562436.5292292,5.346,2369842,130803,0,111,42,52,34926,287370,10164429,293512,3492,63467276,63745216,64771556,0,0,0,1,3,0,6934165,732137312,738395799,20,20,873,1587123,3178127,0,27306594,25654,172715750,155652281,0
1789562436.7796931,5.596,2370202,130811,0,111,42,52,34927,287401,10166420,295552,3492,63459916,63735416,64771556,0,0,0,0,8,0,6934571,732187498,738446000,20,20,873,1586939,3177759,0,27309169,25654,172718030,155652281,0
1789562437.0301833,5.847,2370563,130825,0,111,42,52,34929,287424,10168178,299296,3492,63452804,63724616,64771556,0,0,0,0,3,0,6935199,732278465,738536967,20,20,873,1586762,3177403,0,27312254,25655,172721794,155652281,0
1789562437.2805555,6.097,2370916,130835,0,111,42,52,34930,287459,10169662,302952,3592,63440252,63708332,64771556,0,0,0,0,2,0,6935493,732332846,738591348,20,20,898,1586448,3176776,0,27316055,25656,172725086,155652281,0
1789562437.5310075,6.348,2371260,130836,0,111,42,52,34932,287511,10176039,303832,3592,63432084,63699288,64771556,0,0,0,0,5,0,6935907,732340219,738598721,20,20,898,1586244,3176367,0,27318218,25656,172725926,155652281,0
1789562437.7814553,6.598,2371583,130839,0,111,42,52,34934,287579,10182708,304632,3592,63421048,63687444,64771556,0,0,0,0,5,0,6936319,732348779,738607281,20,20,898,1585969,3175816,0,27320774,25658,172726726,155652281,0
1789562438.0319378,6.849,2371913,130847,0,111,42,52,34936,287640,10187021,306492,3592,63402780,63667344,64771556,0,0,0,0,2,0,6936654,732376201,738634704,20,20,898,1585513,3174903,0,27325089,25658,172728698,155652281,0
1789562438.282382,7.099,2372284,130859,0,111,42,52,34937,287655,10188051,310400,3592,63396260,63656908,64771556,0,0,0,1,1,0,6937146,732452826,738711330,20,20,898,1585350,3174577,0,27326700,25658,172732574,155652281,0
1789562438.5328338,7.349,2372654,130867,0,111,42,52,34938,287675,10189399,312520,3592,63383384,63641900,64771556,0,0,0,0,4,0,6937654,732527049,738785559,20,20,898,1585029,3173933,0,27330237,25658,172734614,155652281,0
1789562438.7834768,7.6,2373000,130876,0,111,42,52,34940,287720,10191638,315316,3592,63358364,63614088,64771556,0,0,0,0,2,0,6937988,732571289,738829799,20,20,898,1584404,3172682,0,27336566,25658,172737426,155652281,0
1789562439.0339248,7.851,2373375,130889,0,111,42,52,34941,287732,10192339,318560,3592,63339492,63591964,64771556,0,0,0,0,2,0,6938729,732694743,738953267,20,20,898,1583933,3171739,0,27341496,25658,172740662,155652281,0
1789562439.2843242,8.101,2373724,130894,0,111,42,52,34943,287774,10194135,319708,3592,63318580,63569920,64771556,0,0,0,0,3,0,6939429,732722685,738981209,20,20,898,1583411,3170694,0,27347747,25658,172741810,155652281,0
1789562439.5347733,8.351,2374092,130904,0,111,42,52,34945,287795,10195631,321836,3592,63293896,63542996,64771556,0,0,0,0,2,0,6939905,732801513,739060036,20,20,898,1582795,3169460,0,27353504,25658,172744110,155652281,0
1789562439.7852638,8.602,2374423,130910,0,111,42,52,34949,287852,10202406,323604,3592,63264176,63511212,64771556,0,0,0,0,3,0,6940400,732822030,739080554,20,20,898,1582053,3167974,0,27360647,25658,172746118,155652281,0
1789562440.035742,8.852,2374731,130913,0,111,42,52,34953,287938,10207593,326012,3596,63216820,63461468,64771556,0,0,0,0,5,0,6940638,732825549,739084078,20,20,899,1580871,3165607,0,27373376,25658,172747710,155653273,0
1789562440.2862277,9.103,2375095,130925,0,111,42,52,34955,287960,10208551,329092,3596,63198580,63440120,64771556,0,0,0,0,2,0,6941290,732904892,739163426,20,20,899,1580415,3164695,0,27378573,25658,172751022,155653273,0
1789562440.5366678,9.353,2375450,130931,0,111,42,52,34958,287997,10210978,331060,3604,63294264,63533828,64771556,0,0,0,0,2,0,6942311,732916222,739174756,20,20,901,1582804,3169478,0,27388950,25658,172752602,155653273,0
