t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789561140.0373337,0.0,597000,15787,0,111,31,35,13304,125063,3846860,116744,1044,63879204,64261616,64771556,0,0,0,1,1,0,4413445,64590630,65049264,8,8,261,1595408,3194717,0,11665282,9039,52008522,68348277,0
1789561140.2877462,0.25,597241,15804,0,111,31,35,13305,125203,3847481,126076,1436,63869740,64246416,64771556,0,0,0,0,17,0,4415491,64675834,65134517,8,8,359,1595319,3194539,0,11667950,9112,52020682,68348277,0
1789561140.538289,0.501,597612,15821,0,111,31,35,13306,125213,3848176,134896,1436,63851816,64223776,64771556,0,0,0,1,1,0,4415887,64728356,65187051,8,8,359,1594989,3193879,0,11672938,9148,52030742,68348277,0
1789561140.788678,0.751,597987,15844,0,111,31,35,13307,125214,3848875,162312,1468,63826572,64184204,64771556,0,0,0,1,1,0,4416621,64891459,65350187,8,8,367,1594717,3193333,0,11677188,9358,52058734,68348277,0
1789561141.0390303,1.002,598352,15868,0,111,31,35,13308,125224,3851107,173028,1468,63808380,64160624,64771556,0,0,0,1,1,0,4417368,65035373,65494125,8,8,367,1594397,3192693,0,11680368,9448,52069342,68348277,0
1789561141.2894046,1.252,598723,15890,0,111,31,35,13309,125230,3852790,179492,1468,63797316,64146316,64771556,0,0,0,1,1,0,4418266,65220604,65679392,8,8,367,1594202,3192303,0,11682400,9454,52075802,68348277,0
1789561141.5397806,1.502,599089,15911,0,111,31,35,13311,125241,3854323,187876,1468,63778416,64123232,64771556,0,0,0,1,1,0,4418904,65379866,65838687,8,8,367,1593835,3191567,0,11687533,9454,52084186,68348277,0
1789561141.7902324,1.753,599443,15921,0,111,31,35,13316,125272,3857978,190880,1500,63769376,64112644,64771556,0,0,0,0,2,0,4419211,65401003,65859823,8,8,375,1593648,3191192,0,11703875,9462,52087150,68348309,0
1789561142.0406525,2.003,599801,15933,0,111,31,35,13319,125298,3860572,194344,1500,63735604,64077116,64771556,0,0,0,1,1,0,4419859,65476218,65935052,8,8,375,1592848,3189592,0,11711424,9463,52090626,68348309,0
1789561142.2910762,2.254,600164,15946,0,111,31,35,13320,125322,3864007,197216,1500,63715304,64055392,64771556,0,0,0,0,2,0,4420467,65562274,66021112,8,8,375,1592377,3188648,0,11716287,9463,52093506,68348309,0
1789561142.5414646,2.504,600525,15961,0,111,31,35,13323,125341,3867586,200716,1500,63688092,64026416,64771556,0,0,0,0,3,0,4421136,65654031,66112870,8,8,375,1591742,3187376,0,11723829,9470,52097110,68348309,0
1789561142.7918546,2.755,600874,15971,0,111,31,35,13325,125381,3872090,203296,1500,63678716,64015744,64771556,0,0,0,0,6,0,4421656,65702771,66161616,8,8,375,1591540,3186972,0,11726848,9475,52099690,68348309,0
1789561143.042191,3.005,601233,15982,0,111,31,35,13326,125409,3875831,206008,1500,63670872,64006556,64771556,0,0,0,1,2,0,4422322,65772759,66231659,8,8,375,1591378,3186648,0,11728455,9478,52102410,68348309,0
1789561143.2925203,3.255,601581,15992,0,111,31,35,13328,125451,3880568,208036,1468,63656676,63991336,64771556,0,0,0,0,1,0,4422943,65792742,66251644,8,8,367,1591049,3185989,0,11732706,9481,52104350,68348313,0
1789561143.5820658,3.545,602018,16017,0,111,31,35,13329,125453,3881468,235892,1468,63638664,63959016,64771556,0,0,0,1,1,0,4424263,66035437,66494339,8,8,367,1590957,3185804,0,11735956,9709,52133122,68348313,0
1789561143.834497,3.797,602393,16035,0,111,31,35,13331,125458,3882097,249952,1468,63621564,63934788,64771556,0,0,0,1,1,0,4425228,66223626,66682540,8,8,367,1590708,3185305,0,11739908,9817,52147270,68348313,0
