t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789560958.2680874,0.0,362004,10032,0,111,29,32,7543,81419,2040548,123164,1292,63867644,64246276,64771556,0,0,0,1,1,0,4047559,45707100,46131248,5,5,323,1595177,3194256,0,7564462,4932,17615394,51710473,0
1789560958.5184977,0.25,362242,10049,0,111,29,32,7545,81562,2041145,132424,1304,63854104,64227432,64771556,0,0,0,0,17,0,4047741,45734833,46159015,5,5,326,1595002,3193905,0,7567138,5005,17627622,51710473,0
1789560958.7690496,0.501,362615,10066,0,111,29,32,7548,81569,2041860,142092,1304,63838080,64205784,64771556,0,0,0,1,1,0,4049350,45835655,46259857,5,5,326,1594743,3193385,0,7572165,5043,17638682,51710473,0
1789560959.019425,0.751,362991,10089,0,111,29,32,7549,81570,2042565,169132,1336,63808476,64162468,64771556,0,0,0,1,1,0,4050082,46003228,46427437,5,5,334,1594346,3192590,0,7576369,5253,17665982,51710473,0
1789560959.2697659,1.002,363355,10113,0,111,29,32,7551,81579,2044771,179528,1464,63791952,64140748,64771556,0,0,0,0,2,0,4051820,46142251,46566482,5,5,366,1594063,3192024,0,7579567,5342,17676394,51710473,0
1789560959.5201135,1.252,363726,10135,0,111,29,32,7552,81584,2046303,185976,1464,63781112,64126692,64771556,0,0,0,1,1,0,4052845,46334102,46758333,5,5,366,1593873,3191643,0,7581570,5348,17682846,51710473,0
1789560959.7704072,1.502,364093,10156,0,111,29,32,7554,81595,2047714,194356,1464,63758208,64099588,64771556,0,0,0,0,2,0,4053688,46492897,46917128,5,5,366,1593406,3190708,0,7586731,5348,17691238,51710473,0
1789560960.0207226,1.753,364446,10166,0,111,29,32,7559,81626,2051344,197236,1464,63750332,64090280,64771556,0,0,0,0,2,0,4054029,46514029,46938260,5,5,366,1593245,3190386,0,7603111,5355,17694114,51710505,0
1789560960.2711644,2.003,364804,10178,0,111,29,32,7560,81652,2053914,200704,1464,63725792,64063960,64771556,0,0,0,1,2,0,4054650,46590400,47014717,5,5,366,1592677,3189248,0,7610359,5356,17697550,51710505,0
1789560960.5215871,2.253,365167,10190,0,111,29,32,7562,81675,2057362,203564,1464,63704732,64041480,64771556,0,0,0,0,3,0,4055302,46673903,47098220,5,5,366,1592187,3188267,0,7615198,5356,17700426,51710505,0
1789560960.7721088,2.504,365530,10205,0,111,29,32,7566,81694,2061130,207172,1464,63678056,64012940,64771556,0,0,0,0,5,0,4055955,46766644,47190962,5,5,366,1591567,3187026,0,7622714,5364,17704026,51710505,0
1789560961.022547,2.754,365879,10215,0,111,29,32,7568,81732,2065691,209756,1464,63668712,64002332,64771556,0,0,0,0,3,0,4056464,46815900,47240227,5,5,366,1591365,3186622,0,7625102,5369,17706610,51710505,0
1789560961.273169,3.005,366238,10226,0,111,29,32,7569,81759,2069402,212464,1464,63662492,63994732,64771556,0,0,0,1,2,0,4057503,46885134,47309487,5,5,366,1591245,3186380,0,7626836,5372,17709326,51710505,0
1789560961.5236018,3.256,366586,10236,0,111,29,32,7572,81797,2074058,214400,1464,63705088,64036352,64771556,0,0,0,0,2,0,4057837,46905594,47330062,5,5,366,1592332,3188558,0,7631380,5375,17711302,51710509,0
1789560961.8092427,3.541,367017,10261,0,111,29,32,7573,81800,2074985,241924,1464,63684564,64001780,64771556,0,0,0,1,1,0,4059001,47149805,47574273,5,5,366,1592171,3188235,0,7634308,5603,17740050,51710509,0
1789560962.0618958,3.794,367392,10280,0,111,29,32,7574,81805,2075618,255992,1464,63666896,63976796,64771556,0,0,0,1,1,0,4059782,47339189,47763683,5,5,366,1591912,3187717,0,7638257,5711,17754182,51710509,0
1789560962.3122683,4.044,367768,10297,0,111,29,32,7576,81812,2076164,268160,1464,63650220,63954068,64771556,0,0,0,0,2,0,4060619,47509468,47933978,5,5,366,1591647,3187186,0,7642427,5805,17766162,51710509,0
