t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789564069.6134892,0.0,4585128,265096,0,111,57,75,64327,517728,19055958,117348,1264,63876440,64257340,64771556,0,0,0,1,1,0,9756594,1493851203,1503880200,29,29,316,1595310,3194520,0,48976155,47189,344753890,258436585,0
1789564069.863939,0.25,4585368,265114,0,111,57,75,64328,517868,19056567,126920,1264,63863576,64238928,64771556,0,0,0,0,17,0,9756746,1493879196,1503908247,29,29,316,1595155,3194211,0,48978827,47262,344766134,258436585,0
1789564070.1144571,0.501,4585740,265131,0,111,57,75,64332,517877,19057289,136464,1264,63846692,64217144,64771556,0,0,0,0,2,0,9757424,1493973259,1504002321,29,29,316,1594856,3193612,0,48983832,47299,344776782,258436585,0
1789564070.3648386,0.751,4586115,265153,0,111,57,75,64335,517878,19058022,163220,1296,63822332,64178616,64771556,0,0,0,1,2,0,9758144,1494139774,1504168836,29,29,324,1594602,3193102,0,48988046,47510,344804410,258436585,0
1789564070.6151946,1.002,4586480,265177,0,111,57,75,64336,517888,19060244,173968,1296,63808800,64159716,64771556,0,0,0,1,1,0,9758827,1494259851,1504288944,29,29,324,1594398,3192694,0,48991211,47598,344814758,258436585,0
1789564070.8655345,1.252,4586851,265199,0,111,57,75,64337,517894,19061887,180412,1296,63797744,64145404,64771556,0,0,0,1,1,0,9759801,1494445072,1504474182,29,29,324,1594203,3192304,0,48993260,47604,344821210,258436585,0
1789564071.1158545,1.502,4587217,265220,0,111,57,75,64338,517904,19063324,188780,1296,63775428,64118908,64771556,0,0,0,1,1,0,9760652,1494604397,1504633580,29,29,324,1593750,3191398,0,48998391,47604,344829578,258436585,0
1789564071.3661604,1.753,4587570,265229,0,111,57,75,64344,517936,19066893,191708,1296,63774776,64116784,64771556,0,0,0,0,3,0,9761005,1494624875,1504654058,29,29,324,1593771,3191439,0,49014678,47612,344832514,258436617,0
1789564071.6165662,2.003,4587929,265242,0,111,57,75,64346,517962,19068927,195176,1296,63746060,64086332,64771556,0,0,0,0,2,0,9761526,1494698581,1504727778,29,29,324,1593097,3190090,0,49021897,47613,344835990,258436617,0
1789564071.8669007,2.253,4588293,265254,0,111,57,75,64347,517984,19070853,198048,1296,63725768,64064608,64771556,0,0,0,0,3,0,9762137,1494786712,1504815909,29,29,324,1592626,3189147,0,49026841,47613,344838866,258436617,0
1789564072.1172128,2.504,4588655,265269,0,111,57,75,64350,518005,19073431,201428,1296,63696560,64033704,64771556,0,0,0,1,1,0,9762960,1494838817,1504868016,29,29,324,1591940,3187772,0,49034416,47620,344842302,258436617,0
1789564072.3675692,2.754,4589004,265279,0,111,57,75,64352,518042,19078493,204268,1296,63679508,64015244,64771556,0,0,0,1,1,0,9763722,1494890493,1504919698,29,29,324,1591549,3186990,0,49038115,47625,344845082,258436617,0
1789564072.617977,3.004,4589363,265290,0,111,57,75,64354,518071,19083501,206760,1296,63673224,64007696,64771556,0,0,0,1,1,0,9764315,1494958168,1504987377,29,29,324,1591424,3186739,0,49039822,47628,344847574,258436617,0
1789564072.8683777,3.255,4589709,265301,0,111,57,75,64359,518110,19088846,208940,1296,63682576,64015920,64771556,0,0,0,1,1,0,9764755,1494997865,1505027074,29,29,324,1591685,3187263,0,49045220,47631,344849770,258436621,0
1789564073.156722,3.543,4590144,265326,0,111,57,75,64360,518112,19089789,236792,1296,63666380,63985428,64771556,0,0,0,1,1,0,9765930,1495242439,1505271733,29,29,324,1591638,3187168,0,49048209,47859,344878526,258436621,0
1789564073.4092107,3.796,4590519,265345,0,111,57,75,64361,518116,19090462,250864,1296,63649312,63961228,64771556,0,0,0,1,1,0,9766678,1495432487,1505461787,29,29,324,1591390,3186671,0,49052147,47967,344892702,258436621,0
1789564073.6598194,4.046,4590895,265362,0,111,57,75,64363,518123,19091006,262844,1296,63632464,63938328,64771556,0,0,0,1,1,0,9767554,1495603191,1505632508,29,29,324,1591121,3186132,0,49056342,48061,344904738,258436621,0
1789564073.9102201,4.297,4591261,265377,0,111,57,75,64365,518140,19093084,269156,1296,63610820,63913444,64771556,0,0,0,0,3,0,9768084,1495674174,1505703491,29,29,324,1590661,3185212,0,49060556,48073,344911218,258436621,0
1789564074.1606188,4.547,4591620,265391,0,111,57,75,64366,518165,19095465,272184,1296,63597952,63899044,64771556,0,0,0,0,4,0,9768710,1495761077,1505790394,29,29,324,1590378,3184645,0,49064809,48077,344914250,258436621,0
