t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789564719.032118,0.0,5492397,345392,0,111,60,84,71443,561183,20949377,117888,1188,63891616,64271132,64771556,0,0,0,1,1,0,10512099,1968336417,1980222103,31,31,297,1595670,3195241,0,53401413,51734,379201886,295036253,0
1789564719.2828348,0.251,5492636,345409,0,111,60,84,71444,561326,20950012,126736,1276,63876852,64251336,64771556,0,0,0,0,17,0,10513694,1968358396,1980244165,31,31,319,1595460,3194822,0,53404088,51807,379214078,295036253,0
1789564719.533432,0.501,5493010,345426,0,111,60,84,71446,561333,20950714,136280,1276,63860476,64229916,64771556,0,0,0,1,1,0,10514417,1968457835,1980343626,31,31,319,1595177,3194255,0,53409079,51843,379224294,295036253,0
1789564719.783859,0.752,5493385,345449,0,111,60,84,71448,561334,20951443,163576,1308,63835376,64190596,64771556,0,0,0,1,1,0,10515189,1968621288,1980507079,31,31,327,1594906,3193711,0,53413312,52053,379252094,295036253,0
1789564720.0342333,1.002,5493750,345472,0,111,60,84,71450,561343,20953690,174084,1308,63818092,64168040,64771556,0,0,0,1,1,0,10516025,1968779883,1980665766,31,31,327,1594606,3193111,0,53416468,52143,379262614,295036253,0
1789564720.2846222,1.253,5494120,345494,0,111,60,84,71451,561349,20955382,180512,1308,63807096,64153840,64771556,0,0,0,1,1,0,10517225,1968960616,1980846511,31,31,327,1594411,3192721,0,53418511,52149,379269050,295036253,0
1789564720.5349572,1.503,5494486,345516,0,111,60,84,71453,561359,20956784,188804,1308,63783752,64126336,64771556,0,0,0,1,5,0,10518074,1969121486,1981007381,31,31,327,1593932,3191762,0,53423584,52149,379277398,295036253,0
1789564720.7852843,1.753,5494840,345525,0,111,60,84,71459,561392,20960475,191816,1308,63753600,64094584,64771556,0,0,0,1,2,0,10519071,1969142228,1981028125,31,31,327,1593220,3190335,0,53439689,52157,379280334,295036285,0
1789564721.0357413,2.004,5495198,345538,0,111,60,84,71461,561420,20963100,195256,1308,63726028,64065292,64771556,0,0,0,0,2,0,10519645,1969216919,1981102886,31,31,327,1592574,3189043,0,53447264,52158,379283894,295036285,0
1789564721.2862036,2.254,5495562,345549,0,111,60,84,71463,561439,20966357,198132,1308,63708060,64045888,64771556,0,0,0,0,4,0,10520238,1969301333,1981187300,31,31,327,1592162,3188216,0,53451880,52158,379286662,295036285,0
1789564721.536656,2.505,5495922,345564,0,111,60,84,71466,561462,20970109,201464,1308,63674316,64010444,64771556,0,0,0,0,4,0,10520891,1969383073,1981269047,31,31,327,1591362,3186615,0,53459673,52166,379290002,295036285,0
1789564721.787117,2.755,5496275,345575,0,111,60,84,71467,561496,20973807,204424,1308,63664688,63999332,64771556,0,0,0,1,2,0,10521393,1969441142,1981327116,31,31,327,1591158,3186208,0,53461765,52171,379292966,295036285,0
1789564722.0375302,3.005,5496632,345584,0,111,60,84,71469,561526,20978616,206536,1308,63657220,63990832,64771556,0,0,0,1,1,0,10522788,1969499626,1981385630,31,31,327,1590998,3185886,0,53463486,52173,379295078,295036285,0
1789564722.2879162,3.256,5496975,345595,0,111,60,84,71472,561569,20984459,208860,1308,63640400,63972852,64771556,0,0,0,0,3,0,10523300,1969548449,1981434500,31,31,327,1590607,3185103,0,53468100,52177,379297498,295036285,0
1789564722.6781936,3.646,5497570,345622,0,111,60,84,71474,561572,20985525,236700,1308,63618524,63936628,64771556,0,0,0,1,1,0,10523865,1969663069,1981549151,31,31,327,1590419,3184727,0,53471665,52405,379326470,295036289,0
1789564722.9306595,3.899,5497946,345640,0,111,60,84,71475,561577,20986138,250784,1308,63601228,63912256,64771556,0,0,0,1,1,0,10524747,1969849304,1981735459,31,31,327,1590164,3184216,0,53475599,52513,379340574,295036289,0
1789564723.181014,4.149,5498321,345657,0,111,60,84,71476,561584,20986668,262844,1308,63584840,63889988,64771556,0,0,0,1,1,0,10525953,1970017866,1981904052,31,31,327,1589901,3183691,0,53479612,52607,379352526,295036289,0
1789564723.4313567,4.399,5498689,345671,0,111,60,84,71477,561600,20988520,268936,1308,63562816,63864648,64771556,0,0,0,1,1,0,10526690,1970098624,1981984817,31,31,327,1589434,3182755,0,53483489,52619,379358950,295036289,0
1789564723.681771,4.65,5499047,345685,0,111,60,84,71479,561627,20990497,272312,1308,63545920,63845984,64771556,0,0,0,0,2,0,10527331,1970181668,1982067861,31,31,327,1589057,3181999,0,53487260,52623,379362114,295036289,0
1789564723.9322364,4.9,5499376,345697,0,111,60,84,71482,561682,20992536,274920,1308,63490108,63788552,64771556,0,0,0,0,4,0,10527699,1970225233,1982111426,31,31,327,1587688,3179259,0,53505868,52623,379364722,295036289,0
1789564724.1827054,5.151,5499727,345707,0,111,60,84,71485,561718,20994389,277608,1308,63468884,63764636,64771556,0,0,0,1,1,0,10528250,1970253709,1982139916,31,31,327,1587159,3178200,0,53512618,52623,379367434,295036289,0
1789564724.4331746,5.401,5500087,345718,0,111,60,84,71487,561743,20997621,280948,1308,63449008,63741388,64771556,0,0,0,0,2,0,10528812,1970320119,1982206327,31,31,327,1586662,3177204,0,53518742,52626,379370898,295036289,0
1789564724.6836183,5.652,5500435,345728,0,111,60,84,71489,561785,20999644,283728,1308,63438388,63728012,64771556,0,0,0,1,1,0,10529234,1970361556,1982247783,31,31,327,1586397,3176673,0,53522275,52626,379373562,295036289,0
1789564724.934071,5.902,5500785,345736,0,111,60,84,71491,561823,21001808,285988,1408,63428084,63715432,64771556,0,0,0,1,1,0,10530418,1970402794,1982289026,31,31,352,1586140,3176158,0,53525524,52628,379375714,295036289,0
1789564725.1844883,6.152,5501145,345747,0,111,60,84,71493,561849,21003978,289296,1408,63410548,63694584,64771556,0,0,0,1,1,0,10531113,1970474432,1982360731,31,31,352,1585702,3175281,0,53529217,52628,379379054,295036289,0
1789564725.4349434,6.403,5501499,345755,0,111,60,84,71493,561887,21005066,292084,1408,63400484,63681740,64771556,0,0,0,0,6,0,10531433,1970516567,1982402867,31,31,352,1585451,3174778,0,53533683,52628,379381910,295036289,0
1789564725.6853948,6.653,5501828,345756,0,111,60,84,71498,561953,21013278,292556,1408,63396448,63677212,64771556,0,0,0,0,7,0,10532186,1970519959,1982406258,31,31,352,1585350,3174577,0,53535593,52628,379382266,295036289,0
1789564725.9361153,6.904,5502163,345759,0,111,60,84,71500,562011,21018280,293424,1408,63389176,63669084,64771556,0,0,0,0,6,0,10533068,1970529734,1982416034,31,31,352,1585168,3174213,0,53538617,52630,379383138,295036289,0
1789564726.1866045,7.154,5502505,345767,0,111,60,84,71502,562058,21022892,295464,1408,63382344,63660220,64771556,0,0,0,1,1,0,10533589,1970563714,1982450016,31,31,352,1584998,3173872,0,53541645,52633,379385178,295036289,0
1789564726.4370654,7.405,5502879,345778,0,111,60,84,71503,562072,21023928,299200,1408,63377324,63651472,64771556,0,0,0,0,2,0,10534348,1970670513,1982556830,31,31,352,1584873,3173621,0,53543042,52633,379388962,295036289,0
1789564726.6874576,7.655,5503251,345786,0,111,60,84,71504,562090,21024913,301208,1408,63366016,63638128,64771556,0,0,0,1,1,0,10534981,1970747111,1982633428,31,31,352,1584590,3173055,0,53545974,52633,379390958,295036289,0
1789564726.9379086,7.906,5503598,345794,0,111,60,84,71506,562132,21027558,303784,1408,63341596,63611176,64771556,0,0,0,1,1,0,10535351,1970783210,1982669553,31,31,352,1583981,3171835,0,53552222,52633,379393514,295036289,0
