t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789563380.9284723,0.0,3669795,212652,0,111,50,65,49698,399900,14662430,117296,1628,63890952,64271232,64771556,0,0,0,1,1,0,8031243,1252867218,1261705608,25,25,407,1595653,3195208,0,37972268,35908,258638294,207405637,0
1789563381.1798282,0.251,3670035,212670,0,111,50,65,49699,400043,14663101,126628,1368,63876404,64250960,64771556,0,0,0,1,16,0,8033149,1252889634,1261728053,25,25,342,1595448,3194798,0,37974947,35981,258650726,207405637,0
1789563381.430357,0.502,3670408,212687,0,111,50,65,49701,400050,14663854,136044,1368,63858860,64228104,64771556,0,0,0,1,1,0,8033711,1252992838,1261831282,25,25,342,1595143,3194186,0,37979966,36019,258661526,207405637,0
1789563381.6807435,0.752,3670783,212709,0,111,50,65,49703,400050,14664565,163360,1400,63830096,64185468,64771556,0,0,0,1,1,0,8034478,1253162077,1262000522,25,25,350,1594771,3193442,0,37984167,36229,258688838,207405637,0
1789563381.9310975,1.003,3671148,212733,0,111,50,65,49704,400060,14666850,173756,1400,63815064,64165176,64771556,0,0,0,1,1,0,8035252,1253305919,1262144369,25,25,350,1594527,3192953,0,37987349,36317,258699226,207405637,0
1789563382.18145,1.253,3671519,212755,0,111,50,65,49705,400065,14668547,180204,1400,63804016,64150880,64771556,0,0,0,1,1,0,8036182,1253492731,1262331193,25,25,350,1594332,3192563,0,37989387,36323,258705690,207405637,0
1789563382.431772,1.503,3671885,212777,0,111,50,65,49706,400075,14670002,188616,1400,63783440,64126100,64771556,0,0,0,1,1,0,8036994,1253651719,1262490194,25,25,350,1593924,3191745,0,37994530,36323,258714102,207405637,0
1789563382.6821184,1.754,3672238,212786,0,111,50,65,49711,400107,14673750,191508,1400,63774876,64116140,64771556,0,0,0,0,2,0,8037312,1253671988,1262510463,25,25,350,1593745,3191387,0,38010860,36331,258717022,207405669,0
1789563382.9325333,2.004,3672597,212798,0,111,50,65,49713,400134,14676242,194748,1400,63749312,64088956,64771556,0,0,0,1,1,0,8037872,1253746714,1262585196,25,25,350,1593147,3190190,0,38018047,36332,258720450,207405669,0
1789563383.1829607,2.254,3672960,212810,0,111,50,65,49714,400157,14679616,197856,1400,63729888,64067984,64771556,0,0,0,1,1,0,8038497,1253829623,1262668121,25,25,350,1592701,3189296,0,38022780,36332,258723334,207405669,0
1789563383.433355,2.505,3673322,212825,0,111,50,65,49717,400177,14683435,201316,1400,63698824,64035120,64771556,0,0,0,0,2,0,8039200,1253921393,1262759892,25,25,350,1591970,3187833,0,38030313,36340,258726814,207405669,0
1789563383.6837678,2.755,3673669,212838,0,111,50,65,49719,400213,14688049,205136,1400,63685984,64020192,64771556,0,0,0,1,1,0,8039673,1253971816,1262810478,25,25,350,1591702,3187296,0,38033187,36366,258731022,207405669,0
1789563383.9342022,3.006,3674013,212858,0,111,50,65,49723,400243,14693180,210044,3148,63672796,64004244,64771556,0,0,0,1,1,0,8040110,1254017549,1262856349,25,25,787,1591441,3186774,0,38040579,36429,258737522,207405669,0
1789563384.1846159,3.256,3674356,212869,0,111,50,65,49728,400282,14698727,213616,4368,63702624,64032104,64771556,0,0,0,0,2,0,8040955,1254059555,1262898373,25,25,1092,1592235,3188364,0,38046375,36442,258740262,207405673,0
1789563384.4696202,3.541,3674786,212894,0,111,50,65,49729,400284,14699652,241432,4368,63682068,63997252,64771556,0,0,0,1,1,0,8042283,1254303064,1263141915,25,25,1092,1592079,3188051,0,38049354,36670,258768990,207405673,0
1789563384.7282405,3.8,3675171,212914,0,111,50,65,49730,400289,14700481,255876,4368,63665232,63973088,64771556,0,0,0,0,2,0,8043057,1254498121,1263336972,25,25,1092,1591842,3187576,0,38053331,36782,258783498,207405673,0
1789563385.0416007,4.113,3675642,212935,0,111,50,65,49731,400298,14701015,269880,4368,63643388,63944204,64771556,0,0,0,1,1,0,8044123,1254709066,1263547918,25,25,1092,1591472,3186836,0,38058466,36878,258797654,207405673,0
1789563385.2926161,4.364,3676008,212949,0,111,50,65,49732,400315,14702853,274116,4368,63634360,63932436,64771556,0,0,0,0,3,0,8044733,1254767899,1263606766,25,25,1092,1591290,3186470,0,38062545,36882,258802010,207405673,0
1789563385.5430288,4.615,3676365,212962,0,111,50,65,49733,400344,14704537,277336,4368,63617696,63912552,64771556,0,0,0,1,2,0,8045201,1254844527,1263683393,25,25,1092,1590874,3185637,0,38067125,36886,258805246,207405673,0
1789563385.7933884,4.865,3676685,212973,0,111,50,65,49737,400409,14705776,279860,4368,63544496,63836832,64771556,0,0,0,0,3,0,8045440,1254880489,1263719356,25,25,1092,1589046,3181978,0,38088366,36886,258807798,207405673,0
1789563386.0437791,5.115,3677047,212984,0,111,50,65,49739,400434,14707496,282932,4368,63519308,63808556,64771556,0,0,0,1,2,0,8045802,1254924004,1263762871,25,25,1092,1588418,3180719,0,38094122,36886,258810826,207405673,0
1789563386.294243,5.366,3677391,212995,0,111,50,65,49742,400477,14711504,286064,4368,63503556,63789636,64771556,0,0,0,1,4,0,8046343,1254969347,1263808226,25,25,1092,1588024,3179932,0,38098513,36889,258813978,207405673,0
1789563386.544676,5.616,3677752,213003,0,111,50,65,49743,400506,14712284,288392,4368,63496180,63779940,64771556,0,0,0,0,3,0,8046695,1255019402,1263858281,25,25,1092,1587840,3179563,0,38100516,36890,258816294,207405673,0
