t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789565739.0763211,0.0,6844481,467500,0,111,69,100,89587,698672,26384774,117896,1388,63836464,64216824,64771556,0,0,0,1,1,0,11961468,2470033801,2484085906,36,36,347,1594314,3192526,0,65820569,65253,482533222,357231837,0
1789565739.326733,0.25,6844720,467518,0,111,69,100,89588,698814,26385421,127372,1388,63822240,64197024,64771556,0,0,0,0,18,0,11961975,2470061605,2484113784,36,36,347,1594121,3192141,0,65823242,65326,482545430,357231837,0
1789565739.577268,0.501,6845093,467535,0,111,69,100,89590,698822,26386116,136492,1388,63808104,64177984,64771556,0,0,0,1,1,0,11962685,2470160876,2484213085,36,36,347,1593891,3191680,0,65828234,65362,482555646,357231837,0
1789565739.827653,0.751,6845468,467557,0,111,69,100,89592,698823,26386808,163100,1420,63781388,64137496,64771556,0,0,0,0,2,0,11963414,2470324715,2484376924,36,36,355,1593568,3191033,0,65832449,65571,482583318,357231837,0
1789565740.0780196,1.002,6845833,467581,0,111,69,100,89593,698833,26388978,174160,1420,63766680,64117224,64771556,0,0,0,0,2,0,11964121,2470451750,2484504066,36,36,355,1593340,3190576,0,65835620,65662,482594010,357231837,0
1789565740.3283472,1.252,6846203,467603,0,111,69,100,89594,698838,26390606,180864,1420,63755508,64102572,64771556,0,0,0,1,1,0,11965200,2470636737,2484689201,36,36,355,1593148,3190191,0,65837660,65668,482600494,357231837,0
1789565740.5786448,1.502,6846570,467625,0,111,69,100,89595,698848,26391946,189236,1420,63738624,64081508,64771556,0,0,0,1,1,0,11965983,2470797628,2484850106,36,36,355,1592830,3189556,0,65842790,65668,482608866,357231837,0
1789565740.8289983,1.753,6846923,467634,0,111,69,100,89600,698878,26395751,192180,1420,63735780,64077160,64771556,0,0,0,1,1,0,11966365,2470817670,2484870148,36,36,355,1592797,3189489,0,65859032,65676,482611790,357231869,0
1789565741.0794122,2.003,6847280,467646,0,111,69,100,89602,698906,26398466,195492,1420,63703784,64043512,64771556,0,0,0,1,1,0,11966974,2470857928,2484910406,36,36,355,1592040,3187972,0,65866125,65677,482615262,357231869,0
1789565741.3298333,2.254,6847645,467658,0,111,69,100,89604,698927,26401859,198412,1420,63685252,64023520,64771556,0,0,0,1,3,0,11967654,2470944360,2484996839,36,36,355,1591613,3187119,0,65870629,65677,482618042,357231869,0
1789565741.5804496,2.504,6848005,467672,0,111,69,100,89607,698950,26405995,201660,1420,63657580,63994220,64771556,0,0,0,0,2,0,11968739,2471027528,2485080017,36,36,355,1590963,3185817,0,65878535,65684,482621394,357231869,0
1789565741.8308568,2.755,6848356,467683,0,111,69,100,89608,698985,26409714,204544,1420,63641864,63977044,64771556,0,0,0,0,2,0,11969274,2471083948,2485136438,36,36,355,1590607,3185104,0,65881730,65689,482624314,357231869,0
1789565742.081258,3.005,6848713,467692,0,111,69,100,89611,699017,26414797,206408,1420,63635016,63969272,64771556,0,0,0,0,2,0,11969916,2471129448,2485181975,36,36,355,1590459,3184808,0,65883461,65691,482626274,357231869,0
1789565742.3316834,3.255,6849051,467707,0,111,69,100,89615,699057,26420495,209860,1420,63661896,63994216,64771556,0,0,0,1,3,0,11970341,2471178875,2485231425,36,36,355,1591179,3186249,0,65888715,65718,482630482,357231869,0
1789565742.7215836,3.645,6849629,467743,0,111,69,100,89620,699062,26422691,241888,4032,63638064,63954028,64771556,0,0,0,1,1,0,11971143,2471363393,2485416081,36,36,1008,1590992,3185875,0,65898522,66014,482663734,357231873,0
1789565742.974187,3.898,6850004,467762,0,111,69,100,89621,699067,26423334,255548,4032,63620844,63929864,64771556,0,0,0,0,2,0,11972031,2471552557,2485605254,36,36,1008,1590736,3185361,0,65902468,66120,482677458,357231873,0
1789565743.2313828,4.155,6850390,467779,0,111,69,100,89623,699073,26423902,267612,4032,63604240,63907176,64771556,0,0,0,1,1,0,11973025,2471726970,2485779770,36,36,1008,1590473,3184835,0,65906744,66214,482689634,357231873,0
1789565743.481797,4.405,6850756,467793,0,111,70,100,89624,699090,26425907,273792,4032,63592132,63891900,64771556,0,0,0,0,3,0,11973698,2471796399,2485849202,36,36,1008,1590250,3184388,0,65910726,66226,482695974,357231873,0
1789565743.7322123,4.656,6851115,467807,0,111,70,100,89625,699115,26428241,276820,4032,63579016,63875784,64771556,0,0,0,0,2,0,11974374,2471880480,2485933294,36,36,1008,1589924,3183735,0,65914597,66230,482699098,357231873,0
1789565743.9826205,4.906,6851441,467819,0,111,70,100,89628,699173,26430487,279616,4032,63512428,63806400,64771556,0,0,0,0,4,0,11974736,2471922495,2485975312,36,36,1008,1588261,3180406,0,65935008,66230,482701890,357231873,0
1789565744.2331,5.157,6851795,467829,0,111,70,100,89630,699207,26433013,281960,4032,63493868,63785076,64771556,0,0,0,0,2,0,11975139,2471956276,2486009093,36,36,1008,1587798,3179479,0,65940466,66230,482704330,357231873,0
1789565744.483575,5.407,6852147,467840,0,111,70,100,89633,699239,26438258,285856,4324,63469416,63756292,64771556,0,0,0,0,6,0,11976818,2472014995,2486067820,36,36,1081,1587188,3178256,0,65946508,66233,482707786,357231873,0
1789565744.7342844,5.658,6852500,467851,0,111,70,100,89635,699273,26440012,288748,4324,63455836,63739912,64771556,0,0,0,1,1,0,11977180,2472065336,2486118166,36,36,1081,1586849,3177578,0,65949587,66233,482710702,357231873,0
1789565744.9847214,5.908,6852848,467860,0,111,70,100,89637,699313,26442584,291708,4424,63442880,63723952,64771556,0,0,0,0,2,0,11977546,2472109630,2486162463,36,36,1106,1586525,3176930,0,65954412,66235,482713534,357231873,0
1789565745.2351573,6.159,6853206,467872,0,111,70,100,89638,699342,26444648,295468,4424,63431852,63709128,64771556,0,0,0,1,2,0,11978230,2472181695,2486234532,36,36,1106,1586250,3176379,0,65957970,66235,482717290,357231873,0
1789565745.485575,6.409,6853556,467877,0,111,70,100,89639,699386,26448527,297064,4424,63419052,63694724,64771556,0,0,0,0,2,0,11978556,2472205854,2486258698,36,36,1106,1585930,3175739,0,65962795,66235,482719110,357231873,0
1789565745.735976,6.66,6853874,467878,0,111,70,100,89644,699457,26458485,297780,4424,63408608,63683560,64771556,0,0,0,0,2,0,11979411,2472210001,2486262845,36,36,1106,1585670,3175217,0,65969166,66237,482719602,357231873,0
1789565745.9864135,6.91,6854208,467881,0,111,70,100,89647,699516,26466058,298636,4424,63406356,63680484,64771556,0,0,0,0,7,0,11979915,2472222050,2486274894,36,36,1106,1585613,3175104,0,65971513,66239,482720462,357231873,0
1789565746.2368245,7.161,6854581,467896,0,111,70,100,89647,699528,26467150,303000,4424,63408344,63678108,64771556,0,0,0,1,1,0,11980567,2472310213,2486363068,36,36,1106,1585663,3175204,0,65972786,66240,482724834,357231873,0
1789565746.487237,7.411,6854953,467903,0,111,70,100,89648,699549,26468318,304964,4424,63394448,63662248,64771556,0,0,0,0,2,0,11983153,2472376582,2486429447,36,36,1106,1585316,3174509,0,65975090,66240,482726786,357231873,0
1789565746.737608,7.661,6855309,467912,0,111,70,100,89649,699582,26470667,307328,4424,63376776,63642212,64771556,0,0,0,1,2,0,11983637,2472429213,2486482078,36,36,1106,1584875,3173625,0,65980407,66240,482729186,357231873,0
1789565746.9879994,7.912,6855677,467924,0,111,70,100,89650,699600,26471241,310876,4424,63351616,63613500,64771556,0,0,0,1,1,0,11984360,2472528964,2486581829,36,36,1106,1584247,3172368,0,65986602,66240,482732722,357231873,0
1789565747.2383657,8.162,6856042,467930,0,111,70,100,89651,699628,26472482,312400,4424,63330360,63590716,64771556,0,0,0,0,4,0,11984982,2472569762,2486622627,36,36,1106,1583716,3171305,0,65991905,66240,482734274,357231873,0
1789565747.4887788,8.412,6856399,467939,0,111,70,100,89653,699662,26474044,314420,4424,63306052,63564384,64771556,0,0,0,0,3,0,11985368,2472620130,2486673000,36,36,1106,1583109,3170090,0,65999057,66240,482736258,357231873,0
1789565747.739221,8.663,6856744,467947,0,111,70,100,89655,699704,26477487,316512,4424,63278820,63534660,64771556,0,0,0,1,1,0,11986281,2472658577,2486711454,36,36,1106,1582430,3168729,0,66004909,66240,482738742,357231873,0
1789565747.9896588,8.913,6857075,467951,0,111,70,100,89658,699766,26482356,319504,4428,63236144,63488988,64771556,0,0,0,0,4,0,11986791,2472667418,2486720296,36,36,1107,1581364,3166596,0,66014254,66240,482740726,357232865,0
1789565748.2401419,9.164,6857402,467958,0,111,70,100,89661,699829,26484771,321208,4428,63195136,63446280,64771556,0,0,0,0,2,0,11987160,2472680244,2486733122,36,36,1107,1580341,3164546,0,66026813,66240,482742442,357232865,0
1789565748.4906075,9.414,6857760,467968,0,111,70,100,89663,699860,26487252,323872,4428,63160600,63409088,64771556,0,0,0,0,3,0,11988326,2472760172,2486813055,36,36,1107,1579479,3162819,0,66036495,66240,482745142,357232865,0
1789565748.7410762,9.665,6858126,467974,0,111,70,100,89666,699886,26489971,325580,4436,63278116,63524856,64771556,0,0,0,1,1,0,11988764,2472800739,2486853622,36,36,1109,1582412,3168694,0,66042597,66240,482746802,357232865,0
1789565748.9915013,9.915,6858496,467982,0,111,70,100,89668,699905,26491071,327896,4436,63255348,63499772,64771556,0,0,0,0,2,0,11989370,2472870060,2486922943,36,36,1109,1581813,3167495,0,66048460,66240,482749170,357232865,0
1789565749.241976,10.166,6858852,467990,0,111,70,100,89669,699940,26493870,330392,4440,63229380,63471316,64771556,0,0,0,0,3,0,11990528,2472916928,2486969864,36,36,1110,1581195,3166257,0,66054872,66241,482751710,357232865,0
1789565749.4926445,10.416,6859175,467994,0,111,70,100,89673,700010,26501771,331496,4492,63210752,63451572,64771556,0,0,0,0,4,0,11991996,2472930228,2486983164,36,36,1123,1580730,3165326,0,66059772,66241,482752818,357232925,0
1789565749.7433364,10.667,6859445,467996,0,111,70,100,89677,700132,26511698,332708,4500,63195016,63434640,64771556,0,0,0,0,4,0,11992503,2472932321,2486985257,36,36,1125,1580338,3164540,0,66065294,66241,482753930,357232925,0
1789565749.993858,10.918,6859731,468014,0,111,70,100,89688,700215,26520209,489500,4500,63100272,63182880,64771556,0,0,0,0,9,0,11993054,2472957688,2487010627,36,36,1125,1577973,3159804,0,66089817,66241,482910794,357232925,0
1789565750.244511,11.168,6859977,468015,0,111,70,100,89714,700339,26531549,507564,22404,62561228,62625596,64771556,0,0,0,0,5,0,11993949,2472957743,2487010682,36,36,5601,1564516,3132857,0,66213848,66241,482910870,357232925,0
1789565750.4952095,11.419,6860243,468030,0,111,70,100,89733,700439,26536766,719260,77860,62223712,62076300,64771556,0,0,0,0,5,0,11994379,2472987275,2487040219,36,36,19465,1556088,3115981,0,66294197,66241,483066806,357232925,0
1789565750.7456899,11.669,6860526,468045,0,111,70,100,89746,700526,26540951,943116,146312,62016836,61644808,64771556,0,0,0,0,5,0,11994718,2473006914,2487059864,36,36,36578,1550905,3105602,0,66343866,66241,483222742,357232925,0
