t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789565973.5369308,0.0,7155645,481292,0,111,73,104,95421,742357,28087977,118132,1320,63853284,64232752,64771556,0,0,0,1,1,0,12666853,2535903565,2550220050,38,38,330,1594717,3193333,0,70026047,69778,516980506,378874437,0
1789565973.787346,0.25,7155884,481310,0,111,73,104,95423,742499,28088582,127456,1320,63835904,64209440,64771556,0,0,0,0,17,0,12667225,2535931206,2550247772,38,38,330,1594432,3192762,0,70028726,69851,516992734,378874437,0
1789565974.037867,0.501,7156257,481327,0,111,73,104,95426,742507,28089293,137020,1320,63819600,64188020,64771556,0,0,0,1,1,0,12667884,2536028341,2550344935,38,38,330,1594152,3192203,0,70033741,69889,517003410,378874437,0
1789565974.2882454,0.751,7156633,481349,0,111,73,104,95428,742508,28090038,164176,1300,63789744,64144028,64771556,0,0,0,1,1,0,12668683,2536195888,2550512496,38,38,325,1593760,3191417,0,70037950,70101,517031066,378874437,0
1789565974.5385993,1.002,7156997,481373,0,111,73,104,95429,742519,28092366,174484,1300,63774404,64123472,64771556,0,0,0,1,1,0,12669713,2536339708,2550656324,38,38,325,1593507,3190911,0,70041136,70187,517041382,378874437,0
1789565974.7889395,1.252,7157368,481395,0,111,73,104,95430,742524,28094026,180960,1300,63763084,64108912,64771556,0,0,0,1,1,0,12670816,2536526545,2550843162,38,38,325,1593306,3190507,0,70043188,70193,517047854,378874437,0
1789565975.0392358,1.502,7157735,481416,0,111,73,104,95432,742534,28095578,189368,1300,63740416,64082060,64771556,0,0,0,1,1,0,12671692,2536670576,2550987261,38,38,325,1592844,3189583,0,70048319,70193,517056266,378874437,0
1789565975.2895746,1.753,7158088,481425,0,111,73,104,95437,742565,28099250,192040,1332,63742348,64082608,64771556,0,0,0,1,1,0,12672250,2536687435,2551004123,38,38,333,1592927,3189749,0,70064706,70201,517059162,378874469,0
1789565975.5400136,2.003,7158446,481438,0,111,73,104,95438,742591,28101826,195280,1332,63720220,64058856,64771556,0,0,0,0,2,0,12673344,2536761297,2551078010,38,38,333,1592415,3188724,0,70071920,70202,517062578,378874469,0
1789565975.7904198,2.253,7158810,481450,0,111,73,104,95439,742613,28105053,198108,1332,63701184,64038396,64771556,0,0,0,1,1,0,12674019,2536844847,2551161561,38,38,333,1591975,3187843,0,70076683,70202,517065446,378874469,0
1789565976.0408297,2.504,7159172,481464,0,111,73,104,95442,742633,28108919,201468,1332,63671680,64007204,64771556,0,0,0,1,1,0,12674740,2536935773,2551252487,38,38,333,1591281,3186453,0,70084233,70209,517068802,378874469,0
