t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789561189.5731514,0.0,659180,19202,0,111,32,35,14906,136968,4310507,116616,1312,63871176,64252556,64771556,0,0,0,1,1,0,4528863,74915394,75383377,8,8,328,1595170,3194241,0,12811098,10066,60609930,71139757,0
1789561189.8238258,0.251,659420,19219,0,111,32,35,14908,137110,4311125,126016,1312,63858976,64235152,64771556,0,0,0,1,16,0,4529122,74943439,75411427,8,8,328,1595036,3193973,0,12813771,10139,60622146,71139757,0
1789561190.0743475,0.501,659792,19237,0,111,32,35,14911,137119,4311852,134980,1312,63841000,64212000,64771556,0,0,0,1,1,0,4529661,75042789,75510792,8,8,328,1594717,3193333,0,12818763,10175,60632370,71139757,0
1789561190.3247235,0.752,660168,19259,0,111,32,35,14912,137120,4312571,162452,1344,63812920,64169968,64771556,0,0,0,1,1,0,4530575,75217236,75685239,8,8,336,1594364,3192627,0,12823001,10386,60660294,71139757,0
1789561190.575074,1.002,660532,19282,0,111,32,35,14914,137129,4314805,173000,1344,63797888,64149616,64771556,0,0,0,1,1,0,4531134,75304453,75772524,8,8,336,1594122,3192141,0,12826180,10475,60670778,71139757,0
1789561190.8254294,1.252,660903,19305,0,111,32,35,14915,137134,4316472,179456,1344,63787804,64136284,64771556,0,0,0,1,1,0,4532085,75490860,75958931,8,8,336,1593951,3191799,0,12828222,10481,60677230,71139757,0
1789561191.0758169,1.503,661270,19326,0,111,32,35,14916,137145,4317947,187864,1344,63765132,64109404,64771556,0,0,0,1,1,0,4532866,75651241,76119331,8,8,336,1593490,3190876,0,12833370,10481,60685630,71139757,0
1789561191.3261929,1.753,661623,19335,0,111,32,35,14920,137177,4321664,190904,1344,63752216,64094972,64771556,0,0,0,1,1,0,4533691,75672889,76140990,8,8,336,1593205,3190307,0,12849761,10489,60688614,71139789,0
1789561191.5766006,2.003,661981,19348,0,111,32,35,14922,137204,4324199,194336,1344,63726268,64067304,64771556,0,0,0,1,1,0,4534281,75749440,76217540,8,8,336,1592601,3189096,0,12857103,10490,60692050,71139789,0
1789561191.8269272,2.254,662344,19361,0,111,32,35,14923,137228,4327394,197204,1344,63706760,64046364,64771556,0,0,0,0,2,0,4534940,75834550,76302660,8,8,336,1592149,3188192,0,12862028,10490,60694926,71139789,0
1789561192.077235,2.504,662705,19375,0,111,32,35,14927,137247,4331224,200716,1344,63682164,64020020,64771556,0,0,0,1,1,0,4535466,75890667,76358782,8,8,336,1591579,3187050,0,12869563,10498,60698462,71139789,0
1789561192.3276148,2.754,663056,19386,0,111,32,35,14928,137287,4335842,203388,1344,63672356,64008884,64771556,0,0,0,0,2,0,4535995,75942921,76411039,8,8,336,1591367,3186626,0,12872005,10503,60701110,71139789,0
1789561192.5779753,3.005,663415,19396,0,111,32,35,14930,137314,4339836,205904,1344,63665600,64000844,64771556,0,0,0,0,3,0,4536626,76010935,76479053,8,8,336,1591231,3186352,0,12873804,10506,60703794,71139789,0
1789561192.8286202,3.255,663763,19407,0,111,32,35,14934,137351,4345472,208044,1344,63691592,64025756,64771556,0,0,0,0,1,0,4537042,76033880,76501998,8,8,336,1591906,3187705,0,12878308,10509,60705770,71139793,0
1789561193.120581,3.547,664204,19432,0,111,32,35,14935,137353,4346413,235900,1344,63670560,63990432,64771556,0,0,0,1,1,0,4538128,76279766,76747992,8,8,336,1591741,3187375,0,12881576,10737,60734550,71139793,0
1789561193.3731318,3.8,664579,19451,0,111,32,35,14936,137358,4347090,249952,1344,63653880,63966624,64771556,0,0,0,1,1,0,4538872,76468873,76937113,8,8,336,1591500,3186891,0,12885531,10845,60748674,71139793,0
1789561193.623463,4.05,664954,19468,0,111,32,35,14938,137365,4347603,261832,1344,63637636,63944380,64771556,0,0,0,1,1,0,4539728,76639210,77107467,8,8,336,1591244,3186379,0,12889695,10939,60760654,71139793,0
1789561193.8737853,4.301,665321,19483,0,111,32,35,14939,137381,4349589,268224,1344,63616864,63920324,64771556,0,0,0,1,1,0,4540322,76714821,77183083,8,8,336,1590807,3185505,0,12893676,10951,60767214,71139793,0
1789561194.1241872,4.551,665680,19497,0,111,32,35,14941,137407,4351788,271216,1344,63602560,63904508,64771556,0,0,0,1,1,0,4541092,76799632,77267954,8,8,336,1590488,3184866,0,12897262,10955,60770226,71139793,0
1789561194.3745973,4.801,666007,19509,0,111,32,35,14944,137465,4353943,273808,1344,63532904,63833560,64771556,0,0,0,0,4,0,4541572,76847228,77315554,8,8,336,1588782,3181448,0,12916318,10955,60772818,71139793,0
1789561194.6250706,5.052,666360,19519,0,111,32,35,14946,137499,4356075,276568,1344,63511868,63810060,64771556,0,0,0,1,1,0,4542033,76902896,77371222,8,8,336,1588264,3180411,0,12922945,10955,60775594,71139793,0
1789561194.8755202,5.302,666713,19530,0,111,32,35,14949,137530,4361691,279984,1344,63491812,63786536,64771556,0,0,0,1,4,0,4542688,76959457,77427784,8,8,336,1587763,3179408,0,12929108,10958,60778990,71139793,0
1789561195.1259906,5.553,667070,19540,0,111,32,35,14950,137562,4363416,282892,1344,63485956,63777764,64771556,0,0,0,0,2,0,4543542,77013583,77481910,8,8,336,1587617,3179116,0,12931448,10958,60781906,71139793,0
1789561195.3764215,5.803,667420,19549,0,111,32,35,14952,137599,4366023,285668,1444,63470996,63760068,64771556,0,0,0,1,1,0,4543951,77058551,77526878,8,8,361,1587244,3178369,0,12935178,10960,60784590,71139793,0
1789561195.6268568,6.054,667770,19561,0,111,32,35,14954,137636,4368100,289132,1444,63447164,63732792,64771556,0,0,0,1,1,0,4544421,77116670,77584998,8,8,361,1586649,3177177,0,12941159,10960,60788034,71139793,0
1789561195.877298,6.304,668133,19567,0,111,32,35,14955,137667,4370524,291276,1444,63437700,63721160,64771556,0,0,0,0,2,0,4544787,77155150,77623483,8,8,361,1586412,3176704,0,12943722,10960,60790210,71139793,0
1789561196.1277506,6.555,668458,19568,0,111,32,35,14960,137735,4382790,291920,1444,63433904,63716796,64771556,0,0,0,0,5,0,4545753,77157576,77625909,8,8,361,1586318,3176514,0,12947547,10962,60790842,71139793,0
1789561196.378463,6.805,668790,19570,0,111,32,35,14963,137797,4390131,292552,1444,63426760,63708920,64771556,0,0,0,0,6,0,4546374,77167352,77635685,8,8,361,1586139,3176157,0,12950426,10962,60791454,71139793,0
1789561196.628978,7.056,669150,19584,0,111,32,35,14964,137822,4392677,296324,1444,63425372,63703776,64771556,0,0,0,0,2,0,4546974,77251764,77720097,8,8,361,1586105,3176088,0,12951834,10965,60795294,71139793,0
1789561196.8793998,7.306,669523,19592,0,111,32,35,14965,137839,4393702,299108,1444,63417444,63693064,64771556,0,0,0,0,2,0,4547471,77334083,77802416,8,8,361,1585907,3175692,0,12953820,10965,60798010,71139793,0
1789561197.1297991,7.557,669880,19600,0,111,32,35,14967,137871,4396312,300844,1444,63397696,63671568,64771556,0,0,0,0,4,0,4548481,77380327,77848665,8,8,361,1585414,3174704,0,12958774,10965,60799882,71139793,0
1789561197.380255,7.807,670243,19613,0,111,32,35,14969,137894,4396974,304668,1444,63377296,63647344,64771556,0,0,0,1,1,0,4548949,77467758,77936106,8,8,361,1584905,3173685,0,12964528,10965,60803590,71139793,0
1789561197.63059,8.057,670616,19621,0,111,32,35,14970,137913,4397995,306508,1444,63353740,63621948,64771556,0,0,0,0,4,0,4549388,77532851,78001199,8,8,361,1584317,3172507,0,12969547,10965,60805526,71139793,0
