t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789562541.1543968,0.0,2512655,142840,0,111,42,53,35941,298744,10534863,116992,1496,63875220,64256668,64771556,0,0,0,1,1,0,7062246,800805015,807864897,20,20,374,1595279,3194459,0,28326929,25798,181148118,159847933,0
1789562541.404825,0.25,2512895,142858,0,111,42,53,35943,298888,10535519,126628,1496,63862616,64237964,64771556,0,0,0,0,17,0,7062597,800832961,807892850,20,20,374,1595117,3194134,0,28329601,25871,181160278,159847933,0
1789562541.6563487,0.502,2513269,142875,0,111,42,53,35944,298895,10536234,136232,1496,63847284,64217088,64771556,0,0,0,1,1,0,7063299,800934231,807994126,20,20,374,1594873,3193645,0,28334627,25909,181171022,159847933,0
1789562541.9067261,0.752,2513644,142898,0,111,42,53,35946,298895,10536949,163432,1528,63820832,64176812,64771556,0,0,0,1,1,0,7064134,801101001,808160911,20,20,382,1594557,3193014,0,28338838,26123,181198814,159847933,0
1789562542.1570842,1.003,2514009,142921,0,111,42,53,35948,298904,10539217,173744,1528,63803632,64154412,64771556,0,0,0,0,2,0,7064891,801236072,808295995,20,20,382,1594258,3192414,0,28342024,26207,181208990,159847933,0
1789562542.4074447,1.253,2514379,142943,0,111,42,53,35949,298910,10540852,180192,1528,63793288,64140828,64771556,0,0,0,1,1,0,7065832,801420261,808480184,20,20,382,1594080,3192059,0,28344061,26213,181215442,159847933,0
1789562542.657832,1.503,2514745,142965,0,111,42,53,35950,298922,10542365,188588,1528,63770900,64114232,64771556,0,0,0,1,1,0,7066600,801578680,808638603,20,20,382,1593627,3191150,0,28349211,26213,181223854,159847933,0
1789562542.908319,1.754,2515098,142974,0,111,42,53,35954,298953,10546075,191380,1528,63760528,64102464,64771556,0,0,0,1,1,0,7067036,801607964,808667887,20,20,382,1593403,3190702,0,28365546,26221,181226770,159847965,0
1789562543.1587174,2.004,2515457,142986,0,111,42,53,35956,298980,10548600,194636,1528,63733156,64073476,64771556,0,0,0,1,1,0,7067690,801682039,808741978,20,20,382,1592762,3189418,0,28373072,26222,181230194,159847965,0
1789562543.4091394,2.255,2515820,142998,0,111,42,53,35957,299003,10551872,197628,1528,63713392,64052208,64771556,0,0,0,1,1,0,7068301,801765199,808825139,20,20,382,1592304,3188501,0,28377761,26222,181233046,159847965,0
1789562543.6595323,2.505,2516182,143013,0,111,42,53,35960,299022,10555615,201108,1528,63686548,64023640,64771556,0,0,0,0,2,0,7068733,801810777,808870717,20,20,382,1591677,3187246,0,28385431,26229,181236490,159847965,0
1789562543.9099555,2.756,2516532,143023,0,111,42,53,35962,299059,10560280,203820,1528,63676232,64011944,64771556,0,0,0,0,2,0,7069304,801859697,808919637,20,20,382,1591454,3186799,0,28387691,26234,181239198,159847965,0
1789562544.1603723,3.006,2516890,143033,0,111,42,53,35963,299086,10564629,206240,1528,63670340,64004848,64771556,0,0,0,0,3,0,7070728,801924513,808984465,20,20,382,1591337,3186565,0,28389249,26237,181241610,159847965,0
1789562544.410776,3.256,2517234,143045,0,111,42,53,35967,299125,10570090,208576,1528,63699084,64032420,64771556,0,0,0,0,2,0,7071219,801970825,809030782,20,20,382,1592084,3188060,0,28394362,26240,181243950,159847969,0
1789562544.6964357,3.542,2517665,143070,0,111,43,53,35969,299127,10570995,236408,1528,63678504,63997544,64771556,0,0,0,1,1,0,7072323,802216575,809276539,20,20,382,1591927,3187746,0,28397331,26468,181272698,159847969,0
1789562544.948794,3.794,2518050,143089,0,111,43,53,35970,299131,10571669,250468,1528,63660928,63972840,64771556,0,0,0,0,2,0,7073094,802412572,809472559,20,20,382,1591681,3187254,0,28401305,26582,181287658,159847969,0
1789562545.205748,4.051,2518426,143106,0,111,43,53,35971,299138,10572211,262588,1528,63643816,63949588,64771556,0,0,0,1,2,0,7074032,802581603,809641687,20,20,382,1591392,3186676,0,28405538,26670,181299082,159847969,0
1789562545.4561052,4.302,2518792,143120,0,111,43,53,35973,299157,10574136,268764,1528,63625988,63928592,64771556,0,0,0,0,2,0,7074479,802648449,809708533,20,20,382,1591026,3185942,0,28409363,26682,181305414,159847969,0
1789562545.7064724,4.552,2519151,143134,0,111,43,53,35974,299182,10576158,271916,1528,63606972,63907992,64771556,0,0,0,1,1,0,7074998,802733286,809793377,20,20,382,1590591,3185071,0,28413413,26686,181308578,159847969,0
1789562545.9568906,4.802,2519476,143147,0,111,43,53,35978,299241,10577585,274800,1528,63525820,63825232,64771556,0,0,0,0,4,0,7075284,802775153,809835244,20,20,382,1588597,3181078,0,28434288,26686,181311442,159847969,0
1789562546.2073507,5.053,2519833,143157,0,111,43,54,35979,299271,10579623,277356,1528,63503080,63799936,64771556,0,0,0,0,3,0,7075698,802835398,809895492,20,20,382,1588029,3179941,0,28439982,26686,181314038,159847969,0
1789562546.4577966,5.303,2520185,143169,0,111,43,54,35981,299305,10584284,281164,1528,63483788,63776852,64771556,0,0,0,0,2,0,7076229,802893288,809953385,20,20,382,1587547,3178977,0,28445483,26689,181317830,159847969,0
1789562546.7082577,5.554,2520541,143178,0,111,43,54,35982,299337,10585778,283736,1528,63476392,63766844,64771556,0,0,0,1,4,0,7076610,802943640,810003737,20,20,382,1587363,3178607,0,28447760,26690,181320442,159847969,0
1789562546.9587002,5.804,2520890,143190,0,111,43,54,35984,299375,10587913,287044,1628,63465148,63752408,64771556,0,0,0,1,1,0,7077100,803012847,810072947,20,20,407,1587082,3178045,0,28451128,26691,181323614,159847969,0
1789562547.2091684,6.055,2521251,143200,0,111,43,54,35985,299402,10589321,290580,1628,63452832,63736456,64771556,0,0,0,1,2,0,7077538,803079574,810139683,20,20,407,1586775,3177429,0,28454946,26691,181327130,159847969,0
1789562547.4595923,6.305,2521602,143204,0,111,43,54,35987,299445,10592165,291996,1628,63441120,63723288,64771556,0,0,0,0,3,0,7077955,803099371,810159479,20,20,407,1586482,3176844,0,28457618,26691,181328550,159847969,0
1789562547.709985,6.556,2521895,143205,0,111,43,54,35989,299548,10597492,292480,1628,63430356,63712040,64771556,0,0,0,0,3,0,7078550,803101823,810161932,20,20,407,1586213,3176306,0,28462845,26693,181329078,159847969,0
1789562547.960423,6.806,2522212,143210,0,111,43,54,35990,299623,10601309,293840,1628,63422828,63703228,64771556,0,0,0,0,3,0,7078899,803117150,810177261,20,20,407,1586026,3175929,0,28464779,26696,181330394,159847969,0
1789562548.2107465,7.056,2522581,143225,0,111,43,54,35991,299639,10602675,297792,232,63417516,63693940,64771556,0,0,0,0,2,0,7079338,803184484,810244614,20,20,58,1585893,3175664,0,28466135,26696,181334342,159849577,0
1789562548.4610837,7.307,2522951,143232,0,111,43,54,35992,299660,10603748,299860,232,63403020,63677320,64771556,0,0,0,0,2,0,7079732,803241175,810301306,20,20,58,1585531,3174939,0,28469643,26696,181336410,159849577,0
1789562548.7114897,7.557,2523300,143242,0,111,43,54,35994,299698,10606295,302552,232,63384332,63655940,64771556,0,0,0,0,4,0,7080152,803292369,810352500,20,20,58,1585065,3174005,0,28474309,26696,181339102,159849577,0
1789562548.9619126,7.808,2523674,143254,0,111,43,54,35995,299712,10606959,306032,232,63362876,63631012,64771556,0,0,0,1,1,0,7080864,803408597,810468728,20,20,58,1584529,3172932,0,28479822,26696,181342590,159849577,0
1789562549.2122924,8.058,2524027,143260,0,111,43,54,35996,299751,10608547,307392,232,63329960,63596704,64771556,0,0,0,1,3,0,7081539,803439995,810500142,20,20,58,1583707,3171287,0,28485834,26696,181343962,159849577,0
1789562549.4626892,8.308,2524391,143269,0,111,43,54,35997,299776,10609705,309388,232,63309648,63574404,64771556,0,0,0,1,1,0,7081917,803499402,810559549,20,20,58,1583200,3170272,0,28492408,26696,181345950,159849577,0
