t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789566720.0129223,0.0,8178968,560225,0,111,78,114,106122,822481,31164646,118072,1204,63864660,64243688,64771556,0,0,0,1,1,0,13805486,2980758488,2996855091,47,47,301,1594991,3193882,0,77592227,77718,577269570,424081637,0
1789566720.2633262,0.25,8179208,560243,0,111,78,114,106123,822620,31165335,127860,1284,63851648,64225056,64771556,0,0,0,1,16,0,13806703,2980787015,2996883670,47,47,321,1594838,3193575,0,77594896,77791,577282042,424081637,0
1789566720.5138574,0.501,8179579,560260,0,111,78,114,106126,822630,31166043,136612,1284,63836472,64204956,64771556,0,0,0,1,1,0,13807272,2980877725,2996974493,47,47,321,1594582,3193063,0,77599897,77827,577292290,424081637,0
1789566720.764258,0.751,8179954,560283,0,111,78,114,106128,822631,31166748,164084,1316,63807384,64161912,64771556,0,0,0,1,1,0,13807977,2981040945,2997137714,47,47,329,1594204,3192306,0,77604129,78037,577320090,424081637,0
1789566721.0145915,1.002,8180319,560306,0,111,78,114,106129,822643,31168990,174624,1316,63791652,64140888,64771556,0,0,0,1,2,0,13808769,2981195533,2997292307,47,47,329,1593943,3191784,0,77607310,78128,577330686,424081637,0
1789566721.264939,1.252,8180689,560329,0,111,78,114,106130,822648,31170691,181308,1316,63783736,64129388,64771556,0,0,0,1,1,0,13809599,2981323169,2997419981,47,47,329,1593835,3191568,0,77609346,78134,577337182,424081637,0
1789566721.515239,1.502,8181056,560350,0,111,78,114,106132,822659,31172187,189740,1316,63761880,64103292,64771556,0,0,0,1,2,0,13810467,2981482271,2997579114,47,47,329,1593395,3190687,0,77614516,78134,577345614,424081637,0
1789566721.7655654,1.753,8181409,560359,0,111,78,114,106137,822691,31175826,192632,1316,63750988,64090960,64771556,0,0,0,0,2,0,13810955,2981512471,2997609317,47,47,329,1593159,3190215,0,77630870,78142,577348550,424081669,0
1789566722.015944,2.003,8181767,560372,0,111,78,114,106139,822718,31178339,195880,1316,63726612,64064964,64771556,0,0,0,0,2,0,13811507,2981587222,2997684077,47,47,329,1592591,3189077,0,77638207,78143,577351974,424081669,0
1789566722.2662563,2.253,8182130,560384,0,111,78,114,106141,822741,31181027,198976,1316,63706112,64042928,64771556,0,0,0,1,1,0,13813012,2981672077,2997768934,47,47,329,1592118,3188129,0,77642945,78143,577354850,424081669,0
1789566722.516566,2.504,8182492,560399,0,111,78,114,106144,822762,31184811,202440,1316,63676188,64011224,64771556,0,0,0,1,1,0,13813659,2981761810,2997858673,47,47,329,1591415,3186722,0,77650597,78152,577358342,424081669,0
1789566722.7669418,2.754,8182842,560409,0,111,78,114,106146,822799,31189115,205160,1316,63666152,63999860,64771556,0,0,0,0,2,0,13814150,2981812865,2997909728,47,47,329,1591198,3186287,0,77652985,78157,577361046,424081669,0
1789566723.0172474,3.004,8183201,560419,0,111,78,114,106147,822825,31193264,207632,1316,63657360,63989804,64771556,0,0,0,1,1,0,13814838,2981884029,2997980897,47,47,329,1591010,3185911,0,77654778,78160,577363530,424081669,0
1789566723.2676415,3.255,8183543,560430,0,111,78,114,106151,822869,31198766,209820,1316,63674772,64006112,64771556,0,0,0,0,1,0,13815261,2981921571,2998018540,47,47,329,1591472,3186836,0,77659397,78163,577365706,424081673,0
1789566723.559048,3.546,8183983,560455,0,111,78,114,106152,822871,31199680,237676,1316,63676904,63993940,64771556,0,0,0,1,1,0,13816327,2982167440,2998264477,47,47,329,1591883,3187658,0,77662663,78391,577394478,424081673,0
1789566723.811631,3.799,8184358,560474,0,111,78,114,106154,822876,31200305,251724,1316,63659804,63969712,64771556,0,0,0,1,1,0,13816984,2982357777,2998454848,47,47,329,1591634,3187160,0,77666596,78499,577408602,424081673,0
1789566724.0619614,4.049,8184733,560491,0,111,78,114,106154,822882,31200860,263628,1316,63642816,63946712,64771556,0,0,0,1,1,0,13818848,2982529049,2998626121,47,47,329,1591360,3186611,0,77670763,78593,577420602,424081673,0
1789566724.3124528,4.3,8185100,560506,0,111,78,114,106156,822899,31202633,270020,1316,63623480,63924088,64771556,0,0,0,0,2,0,13819398,2982604540,2998701612,47,47,329,1590959,3185809,0,77674798,78605,577427170,424081673,0
1789566724.56283,4.55,8185459,560520,0,111,78,114,106158,822924,31204661,273016,1316,63605084,63904192,64771556,0,0,0,1,1,0,13819959,2982689274,2998786362,47,47,329,1590537,3184964,0,77679074,78609,577430162,424081673,0
1789566724.8132343,4.8,8185786,560532,0,111,78,114,106161,822981,31206664,275848,1316,63542500,63839200,64771556,0,0,0,0,4,0,13820265,2982732846,2998829937,47,47,329,1588986,3181857,0,77698399,78609,577433014,424081673,0
1789566725.0636988,5.051,8186141,560542,0,111,78,114,106163,823016,31208639,278420,1316,63518404,63812556,64771556,0,0,0,1,2,0,13820711,2982797523,2998894619,47,47,329,1588385,3180655,0,77705053,78609,577435586,424081673,0
1789566725.3141665,5.301,8186492,560554,0,111,78,114,106166,823050,31213451,281868,1316,63495384,63786028,64771556,0,0,0,0,3,0,13821193,2982853133,2998950229,47,47,329,1587810,3179502,0,77711532,78612,577439022,424081673,0
1789566725.5648406,5.552,8186849,560564,0,111,78,114,106167,823082,31214949,284620,1316,63487260,63775156,64771556,0,0,0,1,1,0,13821524,2982893096,2998990193,47,47,329,1587607,3179096,0,77713836,78613,577441962,424081673,0
