t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789565787.66205,0.0,6905511,470773,0,111,70,101,90637,710902,26782524,117904,1136,63803536,64183812,64771556,0,0,0,1,1,0,12044925,2480071060,2494126740,36,36,284,1593489,3190875,0,66887036,66384,491149898,358780661,0
1789565787.912455,0.25,6905748,470790,0,111,70,101,90638,711045,26783134,127756,1136,63791536,64166032,64771556,0,0,0,0,17,0,12045089,2480098640,2494154362,36,36,284,1593357,3190609,0,66889721,66457,491162142,358780661,0
1789565788.163006,0.501,6906123,470808,0,111,70,101,90641,711052,26783871,137004,1136,63784260,64153460,64771556,0,0,0,1,1,0,12045971,2480201065,2494256961,36,36,284,1593307,3190510,0,66894715,66494,491172750,358780661,0
1789565788.4133914,0.751,6906498,470830,0,111,70,101,90641,711052,26784565,164108,1168,63763236,64118672,64771556,0,0,0,1,1,0,12046734,2480368848,2494424750,36,36,292,1593126,3190147,0,66898929,66705,491200378,358780661,0
1789565788.663738,1.002,6906863,470854,0,111,70,101,90643,711063,26786822,174484,1168,63751368,64101576,64771556,0,0,0,1,1,0,12047507,2480511892,2494567843,36,36,292,1592960,3189816,0,66902117,66793,491210766,358780661,0
1789565788.9141386,1.252,6907234,470876,0,111,70,101,90644,711069,26788435,180952,1168,63741256,64088220,64771556,0,0,0,1,1,0,12048463,2480698166,2494754117,36,36,292,1592789,3189472,0,66904157,66799,491217214,358780661,0
1789565789.1644907,1.502,6907600,470898,0,111,70,101,90645,711080,26789921,189316,1168,63723868,64066656,64771556,0,0,0,1,1,0,12049964,2480857410,2494913378,36,36,292,1592459,3188812,0,66909296,66799,491225602,358780661,0
1789565789.4148767,1.753,6907954,470907,0,111,70,101,90650,711110,26793720,192228,1136,63717536,64058844,64771556,0,0,0,0,2,0,12050315,2480877623,2494933595,36,36,284,1592338,3188569,0,66925560,66807,491228566,358780693,0
1789565789.6653116,2.003,6908313,470919,0,111,70,101,90652,711137,26796217,195520,1136,63689036,64028704,64771556,0,0,0,1,1,0,12050675,2480915781,2494971760,36,36,284,1591667,3187227,0,66932672,66808,491231990,358780693,0
1789565789.9157195,2.254,6908676,470931,0,111,70,101,90654,711158,26799532,198376,1136,63668520,64006756,64771556,0,0,0,0,2,0,12051432,2480998983,2495054961,36,36,284,1591191,3186273,0,66937501,66808,491234854,358780693,0
1789565790.1661568,2.504,6909038,470946,0,111,70,101,90657,711180,26803358,201920,1168,63642856,63979272,64771556,0,0,0,1,1,0,12052085,2481044777,2495100793,36,36,292,1590596,3185081,0,66945170,66816,491238206,358780693,0
1789565790.4165797,2.755,6909389,470956,0,111,70,101,90659,711216,26807718,204712,1168,63633632,63968648,64771556,0,0,0,0,4,0,12052624,2481096226,2495152242,36,36,292,1590400,3184690,0,66947461,66821,491240994,358780693,0
1789565790.667097,3.005,6909748,470966,0,111,70,101,90661,711245,26811827,207124,1168,63627532,63961352,64771556,0,0,0,1,2,0,12053311,2481163219,2495219241,36,36,292,1590278,3184444,0,66949174,66824,491243406,358780693,0
1789565790.9175084,3.255,6910092,470977,0,111,70,101,90664,711284,26817151,209460,1168,63657816,63990472,64771556,0,0,0,0,2,0,12053712,2481187945,2495244014,36,36,292,1591063,3186017,0,66954245,66827,491245746,358780697,0
1789565791.2020092,3.54,6910522,471002,0,111,70,101,90665,711287,26818088,237292,1168,63637796,63956156,64771556,0,0,0,1,1,0,12054985,2481433070,2495489203,36,36,292,1590920,3185730,0,66957175,67055,491274494,358780697,0
1789565791.4544742,3.792,6910898,471021,0,111,70,101,90667,711291,26818756,251352,1168,63620692,63931928,64771556,0,0,0,1,1,0,12055900,2481623032,2495679199,36,36,292,1590671,3185232,0,66961128,67163,491288622,358780697,0
1789565791.705037,4.043,6911273,471038,0,111,70,101,90668,711299,26819299,263332,1168,63604000,63909180,64771556,0,0,0,1,1,0,12057985,2481793623,2495849798,36,36,292,1590405,3184700,0,66965334,67257,491300706,358780697,0
1789565791.955431,4.293,6911641,471053,0,111,70,101,90670,711316,26821171,269644,1168,63584204,63886136,64771556,0,0,0,0,3,0,12058586,2481867411,2495923586,36,36,292,1589992,3183873,0,66969284,67269,491307186,358780697,0
