t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789565565.267005,0.0,6615534,458110,0,111,67,97,84438,664613,24941126,118052,1036,63718156,64097928,64771556,0,0,0,1,1,0,11528038,2430356624,2444130816,36,36,259,1591339,3186569,0,62610281,61860,456703078,340027989,0
1789565565.5178258,0.251,6615774,458128,0,111,67,97,84439,664755,24941753,128012,1036,63703776,64077288,64771556,0,0,0,0,17,0,11528225,2430384440,2444158638,36,36,259,1591146,3186184,0,62612950,61933,456715270,340027989,0
1789565565.7685425,0.502,6616147,458145,0,111,67,97,84441,664762,24942462,136932,1036,63685652,64054180,64771556,0,0,0,1,1,0,11528882,2430483207,2444257423,36,36,259,1590818,3185527,0,62617973,61970,456725678,340027989,0
1789565566.0189493,0.752,6616522,458167,0,111,67,97,84443,664763,24943175,164008,1068,63656772,64011356,64771556,0,0,0,1,1,0,11529639,2430648038,2444422253,36,36,267,1590446,3184780,0,62622200,62180,456753410,340027989,0
1789565566.2692816,1.002,6616887,458191,0,111,67,97,84443,664772,24945446,174368,1068,63652020,64001484,64771556,0,0,0,1,1,0,11530443,2430791441,2444565692,36,36,267,1590457,3184804,0,62625365,62269,456763894,340027989,0
1789565566.5196528,1.253,6617257,458213,0,111,67,97,84444,664778,24947107,180804,1068,63641912,63988132,64771556,0,0,0,1,1,0,11531448,2430977216,2444751468,36,36,267,1590286,3184460,0,62627412,62275,456770346,340027989,0
1789565566.7700386,1.503,6617624,458234,0,111,67,97,84446,664788,24948554,189216,1068,63620704,63962744,64771556,0,0,0,1,1,0,11532263,2431135848,2444910119,36,36,267,1589861,3183609,0,62632540,62275,456778730,340027989,0
1789565567.0204122,1.753,6617977,458243,0,111,67,97,84450,664820,24952236,192180,1100,63616632,63957128,64771556,0,0,0,1,1,0,11532604,2431155817,2444930088,36,36,275,1589798,3183483,0,62648876,62283,456781670,340028021,0
1789565567.2708201,2.004,6618336,458256,0,111,67,97,84452,664847,24954694,195644,1068,63588736,63927496,64771556,0,0,0,0,2,0,11533118,2431194068,2444968369,36,36,267,1589145,3182175,0,62656616,62284,456785154,340028021,0
1789565567.5211492,2.254,6618698,458268,0,111,67,97,84454,664870,24957726,198520,1068,63568688,63906024,64771556,0,0,0,1,1,0,11534413,2431278959,2445053288,36,36,267,1588680,3181244,0,62661321,62284,456788042,340028021,0
1789565567.771469,2.504,6619060,458283,0,111,67,97,84456,664891,24961579,202040,1068,63546068,63881628,64771556,0,0,0,1,1,0,11535094,2431367437,2445141767,36,36,267,1588159,3180202,0,62668988,62292,456791578,340028021,0
1789565568.0218441,2.755,6619409,458293,0,111,67,97,84458,664929,24966064,204704,1068,63534996,63869228,64771556,0,0,0,0,6,0,11535596,2431417612,2445191941,36,36,267,1587916,3179715,0,62671421,62297,456794226,340028021,0
1789565568.2721658,3.005,6619769,458304,0,111,67,97,84460,664957,24970067,207172,1068,63529536,63862504,64771556,0,0,0,1,2,0,11536522,2431485833,2445260167,36,36,267,1587811,3179505,0,62673260,62300,456796914,340028021,0
1789565568.5225606,3.256,6620116,458314,0,111,67,97,84464,664994,24975781,209332,1068,63572960,63904844,64771556,0,4,0,0,2,0,11537084,2431524984,2445299318,36,36,267,1588922,3181730,1,62677721,62303,456798882,340028025,0
