t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789649058.4404173,0.0,1712187,83231,0,224,47,43,13029,106250,3712961,115984,988,63842904,64225864,64771540,0,0,0,1,1,0,2705975,563393593,563711213,2,2,247,1594483,3192866,0,11584108,11268,55221310,94526109,0
1789649058.6908336,0.25,1712428,83249,0,224,47,43,13031,106389,3713556,125816,1316,63826304,64203692,64771540,0,0,0,0,17,0,2706162,563421828,563739493,2,2,329,1594237,3192372,0,11586771,11341,55233602,94526109,0
1789649058.941382,0.501,1712799,83266,0,224,47,43,13035,106400,3714266,134688,1316,63810784,64183220,64771540,0,0,0,1,1,0,2706775,563513324,563831063,2,2,329,1593973,3191844,0,11591776,11377,55243986,94526109,0
1789649059.1917706,0.751,1713174,83288,0,224,47,43,13037,106401,3715001,162144,1348,63784256,64142476,64771540,0,0,0,1,1,0,2707529,563678506,563996395,2,2,337,1593666,3191228,0,11596012,11588,55271782,94526109,0
1789649059.442114,1.002,1713539,83312,0,224,47,43,13039,106410,3717263,172788,1348,63772644,64125528,64771540,0,0,0,1,1,0,2708365,563831775,564149740,2,2,337,1593509,3190915,0,11599173,11677,55282178,94526109,0
1789649059.692509,1.252,1713910,83334,0,224,47,43,13040,106416,3718926,179212,1348,63761792,64111472,64771540,0,0,0,1,1,0,2709361,564017599,564335565,2,2,337,1593318,3190532,0,11601234,11683,55288598,94526109,0
1789649059.9428182,1.502,1714277,83355,0,224,47,43,13041,106426,3720232,187508,1348,63739352,64084876,64771540,0,0,0,0,6,0,2710167,564179451,564497424,2,2,337,1592862,3189619,0,11606297,11683,55296962,94526109,0
1789649060.1931312,1.753,1714630,83365,0,224,47,43,13046,106457,3723775,190552,1348,63734628,64078604,64771540,0,0,0,1,2,0,2710816,564200373,564518349,2,2,337,1592782,3189460,0,11622391,11691,55299942,94526141,0
1789649060.4435213,2.003,1714988,83378,0,224,47,43,13048,106483,3725910,193952,1348,63707112,64049400,64771540,0,0,0,0,3,0,2711564,564276672,564594656,2,2,337,1592138,3188169,0,11629659,11692,55303462,94526141,0
1789649060.6938524,2.253,1715351,83390,0,224,47,43,13050,106504,3728423,196968,1348,63687460,64028232,64771540,0,0,0,0,2,0,2712190,564359672,564677656,2,2,337,1591685,3187262,0,11634649,11692,55306378,94526141,0
1789649060.9441624,2.504,1715713,83405,0,224,47,43,13053,106525,3731691,200424,1348,63660812,63999856,64771540,0,0,0,1,1,0,2712865,564450816,564768800,2,2,337,1591066,3186022,0,11642210,11700,55309874,94526141,0
1789649061.1945896,2.754,1716064,83415,0,224,47,43,13055,106562,3736177,203188,1348,63650384,63988040,64771540,0,0,0,1,1,0,2713446,564503628,564821668,2,2,337,1590837,3185564,0,11644637,11705,55312598,94526141,0
1789649061.4450161,3.005,1716424,83426,0,224,47,43,13056,106589,3740387,205680,1348,63643132,63979524,64771540,0,0,0,0,2,0,2714093,564579854,564897893,2,2,337,1590688,3185265,0,11646328,11708,55315090,94526141,0
1789649061.695463,3.255,1716770,83437,0,224,47,43,13059,106629,3745688,207868,1348,63672112,64007384,64771540,0,0,0,0,2,0,2714508,564619909,564937963,2,2,337,1591439,3186770,0,11651063,11711,55317266,94526145,0
1789649061.9844186,3.544,1717206,83462,0,224,47,43,13060,106632,3746623,235724,1348,63652104,63973064,64771540,0,0,0,1,1,0,2715625,564868070,565186182,2,2,337,1591297,3186485,0,11654324,11939,55346038,94526145,0
1789649062.2369075,3.796,1717581,83481,0,224,47,43,13061,106636,3747256,249768,1348,63635836,63949672,64771540,0,0,0,1,1,0,2716515,565057717,565375916,2,2,337,1591069,3186028,0,11658300,12047,55360162,94526145,0
1789649062.4872384,4.047,1717956,83497,0,224,47,43,13063,106642,3747773,261672,1348,63619600,63927428,64771540,0,0,0,1,1,0,2717459,565228367,565546566,2,2,337,1590813,3185517,0,11662472,12141,55372154,94526145,0
1789649062.7375686,4.297,1718323,83512,0,224,47,43,13064,106658,3749561,267984,1348,63603632,63908208,64771540,0,0,0,1,1,0,2718042,565304657,565622856,2,2,337,1590496,3184881,0,11666466,12153,55378662,94526145,0
1789649062.9879708,4.548,1718681,83526,0,224,47,43,13066,106685,3751258,271020,1348,63588024,63891088,64771540,0,0,0,1,1,0,2719418,565385965,565704174,2,2,337,1590144,3184177,0,11670369,12157,55381686,94526145,0
1789649063.2384343,4.798,1719011,83538,0,224,47,43,13069,106740,3752774,273588,1348,63532060,63833836,64771540,0,0,0,1,3,0,2719768,565428987,565747199,2,2,337,1588779,3181443,0,11689197,12157,55384246,94526145,0
1789649063.488923,5.049,1719362,83548,0,224,47,43,13071,106778,3754585,276252,1348,63509428,63808896,64771540,0,0,0,0,4,0,2720270,565487326,565805544,2,2,337,1588224,3180331,0,11696333,12157,55386914,94526145,0
1789649063.7394001,5.299,1719721,83560,0,224,47,43,13073,106807,3758575,279664,1348,63487040,63783084,64771540,0,0,0,0,6,0,2721231,565556327,565874545,2,2,337,1587665,3179212,0,11702607,12160,55390466,94526145,0
