t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789650239.1151485,0.0,3362024,188223,0,224,54,46,29118,222504,8215026,116668,1576,63872348,64254380,64771540,0,0,0,1,1,0,4723128,1239620910,1241252982,6,6,394,1595213,3194328,0,22717732,22656,141293194,169743417,0
1789650239.366275,0.251,3362262,188241,0,224,54,46,29120,222648,8215662,126180,1576,63863536,64239556,64771540,0,0,0,0,8,0,4723556,1239648513,1241280595,6,6,394,1595147,3194195,0,22720412,22729,141305554,169743417,0
1789650239.6169746,0.502,3362637,188258,0,224,54,46,29121,222654,8216363,135664,1576,63845664,64216556,64771540,0,0,0,1,1,0,4724281,1239750924,1241383017,6,6,394,1594829,3193558,0,22725443,22767,141316490,169743417,0
1789650239.8673787,0.752,3363012,188280,0,224,54,46,29122,222655,8217042,162808,1608,63816728,64173528,64771540,0,0,0,1,1,0,4725048,1239920388,1241552481,6,6,402,1594459,3192816,0,22729645,22977,141343790,169743417,0
1789650240.117711,1.003,3363377,188304,0,224,54,46,29125,222663,8219355,173200,1624,63800448,64151976,64771540,0,0,0,1,4,0,4726071,1240080306,1241712413,6,6,406,1594184,3192266,0,22732816,23066,141354166,169743417,0
1789650240.368085,1.253,3363747,188326,0,224,54,46,29125,222670,8221033,179608,1624,63787840,64136156,64771540,0,0,0,1,1,0,4726963,1240266605,1241898720,6,6,406,1593949,3191796,0,22734831,23072,141360598,169743417,0
1789650240.6184087,1.503,3364114,188348,0,224,54,46,29126,222680,8222443,188020,1624,63765176,64109320,64771540,0,0,0,0,2,0,4727493,1240352360,1241984541,6,6,406,1593488,3190872,0,22739998,23072,141368982,169743417,0
1789650240.8687267,1.754,3364467,188357,0,224,54,46,29131,222711,8225960,190988,1656,63759100,64101760,64771540,0,0,0,1,1,0,4727909,1240373483,1242005664,6,6,414,1593373,3190643,0,22756363,23080,141371942,169743449,0
1789650241.119144,2.004,3364825,188370,0,224,54,46,29134,222739,8227964,194264,1624,63729672,64070692,64771540,0,0,0,1,2,0,4728847,1240447095,1242079283,6,6,406,1592679,3189253,0,22763810,23081,141375394,169743449,0
1789650241.3694842,2.254,3365189,188382,0,224,54,46,29135,222760,8230593,197264,1624,63709404,64048920,64771540,0,0,0,0,2,0,4729551,1240535459,1242167647,6,6,406,1592211,3188315,0,22768638,23081,141378266,169743449,0
1789650241.619797,2.505,3365549,188397,0,224,54,46,29138,222781,8233859,200620,1624,63682200,64019988,64771540,0,0,0,1,1,0,4730257,1240621565,1242253753,6,6,406,1591575,3187042,0,22776247,23087,141381698,169743449,0
1789650241.8702056,2.755,3365898,188407,0,224,54,46,29139,222820,8237895,203460,1624,63672252,64008616,64771540,0,0,0,0,2,0,4731055,1240672497,1242304685,6,6,406,1591362,3186616,0,22778664,23092,141384442,169743449,0
1789650242.1206267,3.005,3366258,188418,0,224,54,46,29141,222846,8242121,205944,1624,63664484,63999620,64771540,0,0,0,0,2,0,4731907,1240742076,1242374264,6,6,406,1591199,3186289,0,22780466,23095,141386950,169743449,0
1789650242.371043,3.256,3366602,188429,0,224,54,46,29146,222884,8247634,208188,1624,63706144,64040152,64771540,0,4,0,0,2,0,4732271,1240764081,1242396393,6,6,406,1592267,3188428,1,22785273,23098,141389170,169743453,0
