t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789650475.9877045,0.0,3676598,197415,0,224,57,47,35489,270591,10108571,116860,1224,63866684,64248100,64771540,0,164,0,1,1,0,5258852,1277336377,1279065277,6,6,306,1595057,3194015,41,27189557,27248,175730734,195498725,0
1789650476.2382967,0.251,3676836,197433,0,224,57,47,35491,270735,10109236,126252,1352,63854264,64230036,64771540,0,0,0,0,17,0,5262124,1277424170,1279153094,6,6,338,1594908,3193716,0,27192222,27321,175743026,195498725,0
1789650476.4888408,0.501,3677210,197450,0,224,57,47,35493,270743,10109977,135416,1352,63840796,64211636,64771540,0,0,0,1,1,0,5262945,1277527619,1279256568,6,6,338,1594684,3193267,0,27197240,27358,175753710,195498725,0
1789650476.7392318,0.752,3677585,197472,0,224,57,47,35495,270743,10110657,162712,1384,63815748,64172616,64771540,0,0,0,1,1,0,5263679,1277693145,1279422094,6,6,346,1594425,3192748,0,27201447,27567,175781078,195498725,0
1789650476.9895914,1.002,3677950,197496,0,224,57,47,35496,270752,10112886,173276,1384,63799488,64150788,64771540,0,0,0,1,1,0,5264417,1277837185,1279566147,6,6,346,1594151,3192201,0,27204634,27657,175791658,195498725,0
1789650477.2399251,1.252,3678320,197518,0,224,57,47,35497,270758,10114588,179700,1384,63789120,64137212,64771540,0,0,0,1,1,0,5265552,1278019569,1279748549,6,6,346,1593973,3191843,0,27206649,27663,175798138,195498725,0
1789650477.4902732,1.503,3678686,197540,0,224,57,47,35498,270768,10115983,188136,1384,63767668,64111544,64771540,0,0,0,1,1,0,5266306,1278179432,1279908450,6,6,346,1593542,3190981,0,27211827,27663,175806510,195498725,0
1789650477.740629,1.753,3679039,197549,0,224,57,47,35504,270800,10119387,191108,1416,63756692,64099068,64771540,0,0,0,1,1,0,5267379,1278204644,1279933672,6,6,354,1593306,3190508,0,27228089,27671,175809450,195498757,0
1789650477.9910583,2.003,3679399,197562,0,224,57,47,35506,270824,10121333,194612,1416,63733380,64074008,64771540,0,0,0,1,1,0,5267937,1278283751,1280012779,6,6,354,1592768,3189430,0,27235310,27672,175812958,195498757,0
1789650478.2414932,2.254,3679762,197574,0,224,57,47,35508,270849,10124051,197488,1416,63711672,64050872,64771540,0,0,0,0,2,0,5268533,1278370044,1280099075,6,6,354,1592261,3188416,0,27240237,27672,175815838,195498757,0
