t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789651304.8732297,0.0,4825010,279207,0,224,61,49,46010,354688,13283311,145492,596,63853792,64220076,64771540,0,0,0,1,1,0,6779159,1746151450,1748969075,12,12,149,1595076,3194053,0,34855692,35446,236008898,245777933,0
1789651305.1240947,0.251,4825248,279225,0,224,61,49,46011,354832,13284021,154760,1120,63837436,64198168,64771540,0,0,0,1,1,0,6781116,1746172803,1748990480,12,12,280,1594828,3193556,0,34858366,35519,236021370,245777933,0
1789651305.3747394,0.502,4825623,279242,0,224,61,49,46013,354839,13284712,164588,1120,63821812,64177024,64771540,0,0,0,1,1,0,6781856,1746277844,1749095523,12,12,280,1594576,3193051,0,34863426,35557,236032518,245777933,0
1789651305.6251354,0.752,4825998,279264,0,224,61,49,46015,354840,13285396,191172,1152,63795532,64137420,64771540,0,0,0,1,1,0,6782594,1746449765,1749267451,12,12,288,1594252,3192403,0,34867583,35767,236059370,245777933,0
1789651305.8754957,1.002,4826363,279288,0,224,61,49,46016,354848,13287607,201492,1152,63778256,64114748,64771540,0,0,0,0,2,0,6783310,1746594595,1749412299,12,12,288,1593956,3191809,0,34870732,35855,236069682,245777933,0
1789651306.1258266,1.253,4826733,279310,0,224,61,49,46018,354853,13289303,207744,1152,63766880,64100188,64771540,0,0,0,1,1,0,6784202,1746778586,1749596302,12,12,288,1593751,3191400,0,34872775,35861,236076234,245777933,0
1789651306.3761172,1.503,4827100,279332,0,224,61,49,46019,354863,13290681,216156,1152,63745224,64074316,64771540,0,0,0,1,2,0,6784989,1746940424,1749758156,12,12,288,1593316,3190528,0,34877868,35861,236084570,245777933,0
1789651306.6264591,1.753,4827454,279341,0,224,61,49,46023,354895,13294329,218924,1152,63737556,64065268,64771540,0,0,0,1,2,0,6785529,1746997793,1749815529,12,12,288,1593159,3190214,0,34893971,35869,236087550,245777965,0
1789651306.8768797,2.004,4827812,279354,0,224,61,49,46026,354920,13296888,222576,1152,63710960,64036844,64771540,0,0,0,0,2,0,6786323,1747072841,1749890604,12,12,288,1592541,3188976,0,34901706,35870,236091066,245777965,0
1789651307.1272933,2.254,4828176,279366,0,224,61,49,46028,354941,13300154,225420,1152,63690856,64015320,64771540,0,0,0,0,4,0,6787386,1747157445,1749975213,12,12,288,1592074,3188042,0,34906675,35870,236093910,245777965,0
1789651307.3777022,2.504,4828537,279380,0,224,61,49,46030,354960,13303934,228404,1152,63664088,63987228,64771540,0,0,0,1,1,0,6787906,1747211884,1750029659,12,12,288,1591439,3186770,0,34914266,35878,236097294,245777965,0
1789651307.6281142,2.755,4828889,279391,0,224,61,49,46032,354994,13308339,231236,1152,63655056,63976576,64771540,0,0,0,1,1,0,6788922,1747266482,1750084258,12,12,288,1591254,3186399,0,34916858,35883,236100138,245777965,0
1789651307.8786435,3.005,4829249,279402,0,224,61,49,46034,355021,13312480,233672,1152,63647468,63967776,64771540,0,0,0,1,1,0,6789530,1747337312,1750155087,12,12,288,1591095,3186081,0,34918503,35886,236102638,245777965,0
1789651308.1290677,3.256,4829594,279413,0,224,61,49,46037,355061,13317464,236540,1152,63686088,64004924,64771540,0,0,0,0,3,0,6790667,1747377905,1750195680,12,12,288,1592096,3188085,0,34923273,35889,236104886,245777969,0
1789651308.413128,3.54,4830023,279438,0,224,61,49,46038,355063,13318407,264120,1152,63663628,63968300,64771540,0,0,0,1,1,0,6791387,1747515045,1750332826,12,12,288,1591892,3187676,0,34926212,36117,236133634,245777969,0
1789651308.6655524,3.792,4830398,279457,0,224,61,49,46039,355067,13319032,278424,1152,63647824,63943328,64771540,0,0,0,1,1,0,6792341,1747704918,1750522712,12,12,288,1591627,3187146,0,34930155,36225,236147754,245777969,0
1789651308.9158535,4.043,4830773,279474,0,224,61,49,46040,355073,13319553,290320,1152,63638340,63921828,64771540,0,0,0,1,1,0,6793423,1747875942,1750693746,12,12,288,1591390,3186672,0,34934336,36319,236159758,245777969,0
1789651309.1661706,4.293,4831141,279488,0,224,61,49,46042,355089,13321317,296716,1152,63622676,63899564,64771540,0,0,0,0,2,0,6794108,1747969495,1750787324,12,12,288,1590999,3185889,0,34938169,36331,236166326,245777969,0
1789651309.4165924,4.543,4831500,279502,0,224,61,49,46043,355115,13323100,299704,1152,63610304,63884204,64771540,0,0,0,1,1,0,6794653,1748053949,1750871799,12,12,288,1590691,3185271,0,34941839,36335,236169350,245777969,0
1789651309.6670167,4.794,4831828,279515,0,224,61,49,46046,355171,13324744,302548,1152,63530000,63801040,64771540,0,0,0,0,4,0,6794991,1748098692,1750916542,12,12,288,1588686,3181257,0,34961467,36335,236172170,245777969,0
1789651309.917682,5.044,4832182,279525,0,224,61,49,46047,355204,13326576,305080,1152,63506532,63775036,64771540,0,0,0,0,2,0,6795396,1748154178,1750972028,12,12,288,1588100,3180084,0,34968182,36335,236174742,245777969,0
1789651310.1681287,5.295,4832533,279536,0,224,61,49,46050,355241,13331246,308564,1152,63484872,63749864,64771540,0,0,0,0,3,0,6795949,1748210183,1751028044,12,12,288,1587559,3179001,0,34974046,36338,236178182,245777969,0
1789651310.4185858,5.545,4832889,279547,0,224,61,49,46052,355272,13332615,311448,1152,63475640,63737776,64771540,0,0,0,0,2,0,6796377,1748265721,1751083582,12,12,288,1587329,3178539,0,34976635,36339,236181190,245777969,0
1789651310.6690183,5.796,4833239,279557,0,224,61,49,46053,355310,13334595,314428,1252,63461928,63721052,64771540,0,0,0,1,1,0,6796772,1748312546,1751130407,12,12,313,1586987,3177854,0,34980300,36340,236183978,245777969,0
1789651310.9194608,6.046,4833600,279568,0,224,61,49,46055,355335,13336080,318144,1252,63451056,63706468,64771540,0,0,0,0,3,0,6797257,1748386835,1751204702,12,12,313,1586715,3177310,0,34983489,36340,236187670,245777969,0
1789651311.1698315,6.297,4833954,279573,0,224,61,49,46056,355376,13338101,319928,1252,63440648,63694268,64771540,0,0,0,0,4,0,6798327,1748412917,1751230788,12,12,313,1586455,3176790,0,34987563,36340,236189466,245777969,0
1789651311.420181,6.547,4834265,279574,0,224,61,49,46058,355461,13344465,320548,1252,63427260,63680256,64771540,0,0,0,0,5,0,6798824,1748415777,1751233647,12,12,313,1586121,3176121,0,34993483,36342,236190106,245777969,0
1789651311.6706386,6.797,4834591,279578,0,224,61,49,46059,355528,13350125,321304,1252,63409760,63662048,64771540,0,0,0,1,3,0,6799281,1748426770,1751244641,12,12,313,1585684,3175246,0,34997832,36344,236190822,245777969,0
1789651311.92107,7.048,4834964,279592,0,224,61,49,46060,355540,13351170,325664,1252,63405420,63653372,64771540,0,0,0,1,1,0,6799796,1748506086,1751323984,12,12,313,1585576,3175029,0,34999086,36345,236195194,245777969,0
1789651312.171498,7.298,4835334,279599,0,224,61,49,46062,355560,13352408,327628,1252,63395496,63641468,64771540,0,0,0,0,2,0,6800283,1748568165,1751386063,12,12,313,1585328,3174533,0,35002257,36345,236197142,245777969,0
1789651312.4219072,7.549,4835688,279608,0,224,61,49,46065,355596,13355335,329816,1252,63375328,63619116,64771540,0,0,0,0,4,0,6800671,1748615119,1751433032,12,12,313,1584825,3173525,0,35007011,36345,236199330,245777969,0
1789651312.6723073,7.799,4836055,279620,0,224,61,49,46066,355615,13355958,333340,1252,63354288,63594556,64771540,0,0,0,0,2,0,6801303,1748717048,1751534961,12,12,313,1584300,3172473,0,35012541,36345,236202946,245777969,0
1789651312.9226918,8.049,4836422,279627,0,224,61,49,46067,355641,13357013,334956,1252,63332816,63571416,64771540,0,0,0,0,5,0,6801645,1748762686,1751580599,12,12,313,1583764,3171400,0,35017527,36345,236204610,245777969,0
1789651313.1731014,8.3,4836774,279635,0,224,61,49,46069,355677,13358901,337080,1252,63305096,63541564,64771540,0,0,0,0,2,0,6802198,1748808780,1751626693,12,12,313,1583072,3170014,0,35024348,36345,236206602,245777969,0
1789651313.4235406,8.55,4837123,279643,0,224,61,49,46071,355718,13362462,338968,1252,63280528,63514712,64771540,0,0,0,0,2,0,6802623,1748847560,1751665488,12,12,313,1582458,3168786,0,35030160,36345,236208886,245777969,0
1789651313.6739807,8.801,4837455,279648,0,224,61,49,46073,355779,13367729,340532,1256,63239092,63471704,64771540,0,0,0,0,4,0,6803019,1748860691,1751678618,12,12,314,1581424,3166715,0,35039445,36345,236210446,245777969,0
1789651313.9246204,9.051,4837767,279654,0,224,61,49,46076,355857,13370279,342308,1408,63185568,63416436,64771540,0,0,0,0,3,0,6803222,1748867609,1751685537,12,12,352,1580088,3164039,0,35054784,36345,236212070,245777969,0
1789651314.1750774,9.302,4838126,279665,0,224,61,49,46079,355884,13372545,345208,1408,63154268,63382264,64771540,0,0,0,0,2,0,6804300,1748917839,1751735777,12,12,352,1579306,3162475,0,35064078,36345,236214974,245777969,0
1789651314.4255402,9.552,4838492,279670,0,224,61,49,46082,355910,13375080,346732,1416,63268452,63494900,64771540,0,0,0,1,2,0,6804693,1748949080,1751767019,12,12,354,1582157,3168182,0,35070437,36345,236216502,245777969,0
1789651314.6759362,9.803,4838859,279678,0,224,61,49,46083,355931,13376072,348732,1416,63245516,63469964,64771540,0,0,0,1,1,0,6805169,1749011966,1751829911,12,12,354,1581584,3167036,0,35076200,36345,236218510,245777969,0
1789651314.9262826,10.053,4839217,279687,0,224,61,49,46085,355963,13378399,351752,1416,63220048,63441516,64771540,0,0,0,1,2,0,6805967,1749066142,1751884093,12,12,354,1580948,3165763,0,35082631,36346,236221518,245777969,0
1789651315.1766934,10.303,4839543,279691,0,224,61,49,46087,356027,13384526,352908,1420,63196360,63416608,64771540,0,0,0,0,5,0,6806342,1749081681,1751899632,12,12,355,1580357,3164579,0,35088294,36346,236222666,245777969,0
1789651315.4271266,10.554,4839817,279693,0,224,61,49,46091,356143,13393444,353840,1480,63173784,63393100,64771540,0,0,0,1,3,0,6806810,1749083622,1751901573,12,12,370,1579794,3163450,0,35094956,36346,236223590,245778029,0
1789651315.6776164,10.804,4840127,279710,0,224,61,49,46099,356206,13401789,482436,1480,63113788,63204440,64771540,0,0,0,0,12,0,6807463,1749110022,1751927973,12,12,370,1578286,3160431,0,35110052,36346,236352318,245778029,0
1789651315.9283006,11.055,4840363,279715,0,224,61,49,46117,356344,13413469,643148,122328,62918632,62847264,64771540,0,0,0,0,10,0,6808077,1749114959,1751932914,12,12,30582,1573398,3150644,0,35152363,36346,236392254,245778029,0
