t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789651152.2913961,0.0,4613892,260544,0,224,60,49,44878,341659,12859055,144920,1544,63844372,64209624,64771540,0,0,0,1,1,0,6637711,1647584497,1650341215,11,11,386,1594804,3193508,0,33730408,34309,227401230,240367069,0
1789651152.5418036,0.25,4614132,260561,0,224,60,49,44880,341799,12859699,154540,1544,63829172,64189312,64771540,0,0,0,0,17,0,6638147,1647662786,1650419532,11,11,386,1594606,3193112,0,33733072,34382,227413518,240367069,0
1789651152.7923193,0.501,4614503,260578,0,224,60,49,44882,341808,12860410,163204,1544,63813368,64168732,64771540,0,0,0,1,1,0,6638831,1647757246,1650514019,11,11,386,1594331,3192561,0,33738102,34419,227424074,240367069,0
1789651153.0427072,0.751,4614878,260601,0,224,60,49,44883,341809,12861101,190628,1576,63785580,64126848,64771540,0,0,0,1,1,0,6639596,1647921343,1650678121,11,11,394,1593989,3191877,0,33742315,34629,227451566,240367069,0
1789651153.2930436,1.002,4615243,260624,0,224,60,49,44885,341820,12863470,201392,1320,63770556,64106420,64771540,0,0,0,1,1,0,6640163,1648009861,1650766658,11,11,330,1593750,3191396,0,33745486,34717,227461982,240367069,0
1789651153.5434303,1.252,4615614,260647,0,224,60,49,44886,341826,12865167,207884,1320,63759976,64092584,64771540,0,0,0,1,1,0,6641241,1648195178,1650951976,11,11,330,1593567,3191030,0,33747548,34724,227468446,240367069,0
1789651153.7937846,1.502,4615981,260668,0,224,60,49,44887,341835,12866564,216240,1320,63737308,64065736,64771540,0,0,0,1,1,0,6642543,1648356129,1651112933,11,11,330,1593105,3190106,0,33752635,34724,227476818,240367069,0
1789651154.0441504,1.753,4616333,260677,0,224,60,49,44893,341867,12870172,219204,1320,63735768,64062724,64771540,0,0,0,0,3,0,6643167,1648375887,1651132691,11,11,330,1593104,3190103,0,33768893,34732,227479758,240367101,0
1789651154.2945826,2.003,4616690,260690,0,224,60,49,44895,341896,12872705,222712,1320,63713204,64038348,64771540,0,0,0,1,1,0,6643966,1648446551,1651203355,11,11,330,1592586,3189066,0,33776045,34733,227483414,240367101,0
1789651154.5449903,2.254,4617053,260702,0,224,60,49,44897,341918,12875970,225580,1320,63693916,64017632,64771540,0,0,0,1,1,0,6644691,1648532548,1651289367,11,11,330,1592140,3188173,0,33780718,34733,227486286,240367101,0
1789651154.7954013,2.504,4617415,260717,0,224,60,49,44900,341936,12879679,228952,1320,63666116,63988080,64771540,0,0,0,1,1,0,6645444,1648622597,1651379424,11,11,330,1591489,3186870,0,33788251,34740,227489774,240367101,0
1789651155.0457904,2.754,4617765,260727,0,224,60,49,44902,341975,12884260,231588,1320,63658408,63979056,64771540,0,0,0,1,1,0,6646611,1648664956,1651421786,11,11,330,1591330,3186551,0,33790246,34745,227492454,240367101,0
1789651155.2961848,3.005,4618124,260737,0,224,60,49,44904,342002,12888726,234096,1320,63650716,63970108,64771540,0,0,0,0,2,0,6648079,1648730465,1651487323,11,11,330,1591169,3186229,0,33791754,34748,227494822,240367101,0
1789651155.5466096,3.255,4618467,260748,0,224,60,49,44908,342042,12894218,236424,1320,63684484,64002720,64771540,0,4,0,0,1,0,6648501,1648770752,1651527609,11,11,330,1592041,3187975,1,33796692,34751,227497138,240367105,0
1789651155.8359754,3.545,4618903,260773,0,224,60,49,44909,342044,12895165,264280,1320,63663952,63967868,64771540,0,4,0,1,1,0,6649660,1649013466,1651770323,11,11,330,1591886,3187664,1,33799957,34979,227525910,240367105,0
1789651156.0883894,3.797,4619279,260792,0,224,60,49,44910,342049,12895819,278332,1320,63648408,63943240,64771540,0,0,0,1,1,0,6650430,1649202115,1651958979,11,11,330,1591627,3187146,0,33803892,35087,227540018,240367105,0
1789651156.3388023,4.047,4619656,260809,0,224,60,49,44912,342056,12896387,290212,1320,63638428,63921276,64771540,0,0,0,1,1,0,6652404,1649372613,1652129532,11,11,330,1591378,3186647,0,33808046,35181,227552006,240367105,0
1789651156.5904567,4.299,4620023,260824,0,224,60,49,44913,342072,12897998,296564,1320,63621320,63897628,64771540,0,0,0,0,2,0,6652928,1649454124,1652211044,11,11,330,1590951,3185792,0,33811820,35193,227558534,240367105,0
1789651156.8408124,4.549,4620382,260838,0,224,60,49,44914,342098,12899607,299596,1320,63606764,63880004,64771540,0,0,0,1,1,0,6653506,1649540422,1652297354,11,11,330,1590587,3185064,0,33815640,35197,227561586,240367105,0
1789651157.0911396,4.8,4620710,260850,0,224,60,49,44918,342154,12901303,302396,1320,63535100,63805616,64771540,0,0,0,0,4,0,6654703,1649584321,1652341253,11,11,330,1588798,3181482,0,33834711,35197,227564370,240367105,0
1789651157.3415294,5.05,4621064,260860,0,224,60,49,44921,342187,12903208,304988,1320,63512728,63780568,64771540,0,0,0,0,3,0,6655109,1649639616,1652396548,11,11,330,1588240,3180363,0,33841439,35197,227566962,240367105,0
1789651157.5919476,5.301,4621417,260872,0,224,60,49,44924,342219,12907296,308264,1320,63491684,63756256,64771540,0,0,0,1,4,0,6655644,1649698221,1652455190,11,11,330,1587715,3179312,0,33847551,35200,227570430,240367105,0
1789651157.8423944,5.551,4621776,260882,0,224,60,49,44925,342247,12908428,311356,1320,63482056,63743516,64771540,0,0,0,1,1,0,6656085,1649756377,1652513363,11,11,330,1587474,3178830,0,33849925,35201,227573394,240367105,0
1789651158.09281,5.801,4622129,260892,0,224,60,49,44927,342283,12909933,314284,1420,63462884,63721460,64771540,0,0,0,1,1,0,6656451,1649806023,1652563013,11,11,355,1586996,3177872,0,33854612,35202,227576190,240367105,0
1789651158.3432217,6.052,4622486,260903,0,224,60,49,44928,342312,12911352,318028,1420,63448768,63703568,64771540,0,0,0,1,2,0,6657082,1649875909,1652632910,11,11,355,1586643,3177166,0,33858665,35202,227579922,240367105,0
1789651158.5936532,6.302,4622838,260908,0,224,60,49,44930,342355,12913495,319860,1420,63426832,63679808,64771540,0,0,0,0,6,0,6657392,1649901176,1652658177,11,11,355,1586096,3176070,0,33863439,35202,227581742,240367105,0
1789651158.8440902,6.553,4623158,260909,0,224,60,49,44934,342429,12923647,320456,1420,63416344,63668720,64771540,0,0,0,0,2,0,6657928,1649905439,1652662446,11,11,355,1585834,3175545,0,33868920,35204,227582338,240367105,0
1789651159.094557,6.803,4623493,260913,0,224,60,49,44937,342487,12930980,321068,1420,63409248,63660992,64771540,0,0,0,0,3,0,6659625,1649917261,1652674268,11,11,355,1585657,3175191,0,33871219,35206,227583086,240367105,0
1789651159.3449833,7.054,4623864,260927,0,224,60,49,44937,342501,12932521,325432,1420,63404540,63651920,64771540,0,0,0,1,1,0,6660368,1650041794,1652798801,11,11,355,1585539,3174955,0,33872456,35207,227587382,240367105,0
1789651159.5953264,7.304,4624235,260934,0,224,60,49,44939,342522,12933769,327536,1420,63392144,63637416,64771540,0,0,0,0,2,0,6660840,1650106657,1652863664,11,11,355,1585230,3174336,0,33875630,35207,227589418,240367105,0
1789651159.8457558,7.554,4624593,260943,0,224,60,49,44941,342553,12936264,329656,1420,63372784,63615968,64771540,0,0,0,0,4,0,6661263,1650159062,1652916069,11,11,355,1584746,3173368,0,33880865,35207,227591606,240367105,0
1789651160.096416,7.805,4624961,260956,0,224,60,49,44943,342571,12936855,333360,1420,63343656,63583136,64771540,0,0,0,0,2,0,6661881,1650257788,1653014875,11,11,355,1584019,3171912,0,33886896,35207,227595242,240367105,0
1789651160.3468606,8.055,4625328,260962,0,224,60,49,44943,342599,12937912,334848,1420,63320680,63558624,64771540,0,0,0,0,4,0,6662575,1650302583,1653059676,11,11,355,1583446,3170763,0,33891951,35207,227596886,240367105,0
1789651160.5975199,8.306,4625683,260971,0,224,60,49,44945,342633,12939637,336960,1420,63296960,63532796,64771540,0,0,0,0,2,0,6662952,1650354213,1653111306,11,11,355,1582854,3169578,0,33898286,35207,227598878,240367105,0
1789651160.847954,8.557,4626027,260979,0,224,60,49,44947,342681,12943330,338984,1420,63274296,63507712,64771540,0,0,0,1,1,0,6663372,1650390208,1653147300,11,11,355,1582288,3168445,0,33904366,35207,227601274,240367105,0
1789651161.098434,8.807,4626356,260984,0,224,60,49,44950,342744,12947828,342076,1424,63238144,63468460,64771540,0,0,0,0,3,0,6664344,1650401297,1653158390,11,11,356,1581385,3166638,0,33914156,35207,227603358,240368097,0
1789651161.349115,9.058,4626679,260990,0,224,60,49,44953,342810,12950345,343644,1424,63188400,63417180,64771540,0,0,0,1,1,0,6664523,1650411860,1653168952,11,11,356,1580144,3164151,0,33927307,35207,227605038,240368097,0
1789651161.599585,9.308,4627027,261007,0,224,60,49,44956,342843,12953076,347480,2904,63154884,63379328,64771540,0,0,0,0,3,0,6664937,1650459613,1653216771,11,11,726,1579307,3162476,0,33939825,35260,227609974,240368097,0
1789651161.8500156,9.559,4627380,261017,0,224,60,49,44961,342874,12956041,352004,3944,63269900,63489276,64771540,0,0,0,0,3,0,6665305,1650487400,1653244565,11,11,986,1582178,3168225,0,33950039,35293,227614246,240368097,0
1789651162.1004503,9.809,4627748,261025,0,224,60,49,44962,342896,12957107,354124,3944,63248824,63466136,64771540,0,0,0,1,1,0,6665543,1650519472,1653276640,11,11,986,1581652,3167171,0,33955780,35293,227616334,240368097,0
1789651162.3508673,10.059,4628103,261034,0,224,60,49,44964,342929,12960013,357000,3944,63226928,63441312,64771540,0,0,0,0,4,0,6665914,1650568112,1653325280,11,11,986,1581105,3166077,0,33962209,35294,227619226,240368097,0
1789651162.601418,10.31,4628433,261038,0,224,60,49,44966,342992,12965556,358112,4000,63210604,63423872,64771540,0,0,0,0,5,0,6666307,1650584412,1653341580,11,11,1000,1580698,3165261,0,33966781,35294,227620374,240368157,0
1789651162.851871,10.56,4628704,261041,0,224,60,49,44970,343112,12974298,359344,4008,63181864,63393876,64771540,0,0,0,0,5,0,6666726,1650586678,1653343846,11,11,1002,1579980,3163824,0,33975415,35294,227621510,240368157,0
1789651163.1023102,10.811,4628981,261055,0,224,60,49,44980,343208,12982407,487572,4008,63110240,63193796,64771540,0,0,0,0,12,0,6667919,1650604608,1653361832,11,11,1002,1578182,3160224,0,33994268,35294,227749962,240368157,0
1789651163.3527792,11.061,4629201,261055,0,224,60,49,45010,343356,12991307,507228,23408,62554064,62617820,64771540,0,0,0,0,5,0,6668667,1650604647,1653361870,11,11,5852,1564308,3132440,0,34121818,35294,227750014,240368157,0
1789651163.603248,11.312,4629492,261068,0,224,60,49,45030,343433,12998183,701116,89792,62210400,62080268,64771540,0,0,0,0,5,0,6669055,1650631635,1653388908,11,11,22448,1555729,3115261,0,34205890,35294,227877518,240368157,0
1789651163.8537536,11.562,4629775,261079,0,224,60,49,45045,343523,13002112,896256,157248,61963404,61637256,64771540,0,0,0,0,5,0,6669364,1650645818,1653403100,11,11,39312,1549541,3102871,0,34262643,35294,228005022,240368157,0
1789651164.104448,11.813,4630037,261092,0,224,60,49,45066,343626,13008368,1067860,202056,61785212,61286476,64771540,0,0,0,0,8,0,6669856,1650659176,1653416602,11,11,50514,1545068,3093914,0,34285258,35294,228132542,240368157,0
1789651164.3551357,12.064,4630291,261106,0,224,60,49,45084,343736,13014494,1235332,241480,61582044,60915356,64771540,0,0,0,0,5,0,6670215,1650679805,1653437242,11,11,60370,1539984,3083734,0,34346453,35294,228260046,240368157,0
1789651164.6056077,12.314,4630576,261119,0,224,60,49,45090,343833,13017582,1442292,321076,61560760,60686360,64771540,0,0,0,0,5,0,6670539,1650707719,1653465156,11,11,80269,1539434,3082632,0,34353845,35294,228387550,240368157,0
1789651164.8560662,12.565,4630861,261126,0,224,60,49,45112,343920,13021332,1602660,400104,61373600,60337508,64771540,0,0,0,2,3,0,6670904,1650721810,1653479247,11,11,100026,1534739,3073231,0,34371245,35294,228469282,240368157,0
1789651165.1065361,12.815,4631157,261141,0,224,60,49,45120,344002,13024623,1837316,460660,61424824,60153528,64771540,0,0,0,0,5,0,6671338,1650756511,1653513951,11,11,115165,1535994,3075743,0,34373734,35294,228642558,240368157,0
1789651165.356985,13.066,4631429,261147,0,224,60,49,45136,344109,13030383,2046448,543312,61381500,59900356,64771540,0,0,0,0,5,0,6671687,1650768487,1653525927,11,11,135828,1534905,3073564,0,34405203,35294,228770062,240368157,0
