t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789651908.1513836,0.0,5642429,334470,0,224,66,51,57194,434791,16508660,145424,1216,63819964,64186032,64771540,0,0,0,1,1,0,7884615,2014488779,2017804668,448,448,304,1594226,3192351,0,42640815,43334,296251994,295984325,0
1789651908.4017868,0.25,5642668,334488,0,224,66,51,57195,434934,16509307,154688,1228,63807632,64168128,64771540,0,0,0,1,16,0,7884758,2014516523,2017832464,448,448,307,1594076,3192049,0,42643480,43407,296264290,295984325,0
1789651908.6523023,0.501,5643041,334505,0,224,66,51,57198,434942,16510018,164052,1228,63791620,64146820,64771540,0,0,0,1,1,0,7885320,2014614675,2017930713,448,448,307,1593808,3191514,0,42648506,43445,296274906,295984325,0
1789651908.9026854,0.751,5643416,334527,0,224,66,51,57199,434943,16510713,191004,1260,63765340,64106828,64771540,0,0,0,1,1,0,7886148,2014800318,2018116361,448,448,315,1593494,3190885,0,42652719,43655,296302462,295984325,0
1789651909.1530137,1.002,5643782,334550,0,224,66,51,57200,434953,16512980,201632,1260,63750048,64086204,64771540,0,0,0,1,1,0,7886751,2014880086,2018196137,448,448,315,1593246,3190387,0,42655876,43743,296312738,295984325,0
1789651909.4033887,1.252,5644152,334573,0,224,66,51,57201,434959,16514637,208084,1260,63738092,64070996,64771540,0,0,0,1,1,0,7887829,2015064994,2018381045,448,448,315,1593029,3189953,0,42657922,43749,296319174,295984325,0
1789651909.65376,1.502,5644519,334594,0,224,66,51,57203,434970,16516037,216500,1260,63717436,64046124,64771540,0,0,0,1,1,0,7888732,2015225795,2018541878,448,448,315,1592618,3189131,0,42663051,43749,296327590,295984325,0
1789651909.9041288,1.753,5644872,334604,0,224,66,51,57208,435000,16519614,219488,1260,63710544,64037708,64771540,0,0,0,1,1,0,7889377,2015246897,2018562980,448,448,315,1592484,3188862,0,42679289,43757,296330562,295984357,0
1789651910.154597,2.003,5645231,334616,0,224,66,51,57210,435026,16521686,222952,1260,63686952,64012332,64771540,0,0,0,1,1,0,7891412,2015322635,2018638724,448,448,315,1591940,3187772,0,42686265,43758,296334202,295984357,0
1789651910.4050095,2.254,5645594,334629,0,224,66,51,57211,435048,16524331,225860,1260,63666444,63990344,64771540,0,0,0,0,2,0,7892117,2015407158,2018723256,448,448,315,1591465,3186821,0,42691210,43758,296337094,295984357,0
1789651910.6554298,2.504,5645957,334644,0,224,66,51,57214,435068,16527726,229352,1260,63638124,63960264,64771540,0,0,0,0,2,0,7892803,2015499454,2018815553,448,448,315,1590802,3185493,0,42698761,43765,296340578,295984357,0
1789651910.9058304,2.754,5646303,334657,0,224,66,51,57215,435104,16532175,233124,1260,63624004,63944092,64771540,0,0,0,0,3,0,7893258,2015551442,2018867546,448,448,315,1590500,3184890,0,42701836,43791,296344762,295984357,0
1789651911.1562705,3.005,5646645,334677,0,224,66,51,57219,435134,16536961,237996,2988,63613368,63930700,64771540,0,0,0,0,2,0,7894034,2015581695,2018897862,448,448,747,1590304,3184496,0,42709036,43850,296350806,295984357,0
1789651911.4066718,3.255,5646985,334688,0,224,66,51,57223,435177,16542415,241256,4088,63644660,63960276,64771540,0,0,0,0,2,0,7894659,2015620503,2018936671,448,448,1022,1591128,3186146,0,42714483,43864,296353514,295984361,0
1789651911.6905396,3.539,5647414,334713,0,224,66,51,57224,435179,16543313,269072,4088,63624656,63925984,64771540,0,0,0,1,1,0,7895699,2015864486,2019180707,448,448,1022,1590985,3185860,0,42717451,44092,296382242,295984361,0
1789651911.9430406,3.792,5647789,334732,0,224,66,51,57225,435184,16543935,282704,4088,63612020,63901820,64771540,0,0,0,1,1,0,7896458,2016054475,2019370729,448,448,1022,1590726,3185342,0,42721397,44198,296395966,295984361,0
1789651912.1936069,4.042,5648165,334749,0,224,66,51,57226,435191,16544476,294664,4088,63601880,63879576,64771540,0,0,0,1,1,0,7897456,2016225103,2019541457,448,448,1022,1590473,3184835,0,42725608,44292,296408022,295984361,0
1789651912.4439855,4.293,5648532,334764,0,224,66,51,57227,435206,16546317,300960,4088,63589252,63860856,64771540,0,0,0,0,2,0,7898036,2016299448,2019615806,448,448,1022,1590158,3184204,0,42729475,44304,296414482,295984361,0
1789651912.6943834,4.543,5648890,334777,0,224,66,51,57229,435232,16548319,303796,4088,63574464,63842832,64771540,0,0,0,1,1,0,7898605,2016383856,2019700213,448,448,1022,1589789,3183465,0,42733699,44308,296417502,295984361,0
1789651912.9448202,4.793,5649216,334790,0,224,66,51,57233,435289,16550348,306640,4088,63508060,63773596,64771540,0,0,0,0,4,0,7898926,2016426309,2019742670,448,448,1022,1588131,3180146,0,42753944,44308,296420398,295984361,0
