t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789651531.9927049,0.0,5138566,317370,0,224,62,49,47859,364251,13751613,144736,736,63832372,64197460,64771540,0,0,0,1,1,0,6932186,1930399807,1933557575,443,443,184,1594496,3192891,0,35991404,36592,244616518,255086009,0
1789651532.2432742,0.251,5138803,317387,0,224,62,49,47861,364396,13752271,154884,1236,63818940,64178240,64771540,0,0,0,1,5,0,6933690,1930427195,1933584999,443,443,309,1594336,3192570,0,35994084,36665,244628882,255086009,0
1789651532.4937859,0.501,5139178,317405,0,224,62,49,47863,364401,13753000,163904,1236,63802396,64156568,64771540,0,0,0,1,1,0,6934294,1930531367,1933689206,443,443,309,1594051,3191999,0,35999087,36703,244639426,255086009,0
1789651532.7441628,0.751,5139553,317427,0,224,62,49,47864,364402,13753694,190844,1268,63776516,64116992,64771540,0,0,0,1,1,0,6935307,1930735530,1933893372,443,443,317,1593746,3191390,0,36003297,36913,244666982,255086009,0
1789651532.9945016,1.002,5139918,317450,0,224,62,49,47866,364413,13755921,201576,1268,63759756,64094864,64771540,0,0,0,1,1,0,6936168,1930876167,1934034056,443,443,317,1593462,3190821,0,36006467,37001,244677354,255086009,0
1789651533.2448401,1.252,5140288,317473,0,224,62,49,47867,364420,13757610,208060,1268,63751940,64083808,64771540,0,0,0,1,1,0,6937261,1931058205,1934216097,443,443,317,1593348,3190592,0,36008501,37007,244683830,255086009,0
1789651533.4951248,1.502,5140655,317494,0,224,62,49,47869,364430,13759022,216440,1268,63730052,64057712,64771540,0,0,0,0,2,0,6938172,1931217830,1934375734,443,443,317,1592907,3189708,0,36013654,37007,244692214,255086009,0
1789651533.7454517,1.753,5141008,317503,0,224,62,49,47874,364463,13762541,219360,1236,63720764,64046916,64771540,0,0,0,0,2,0,6938540,1931238028,1934395932,443,443,309,1592712,3189319,0,36029984,37015,244695178,255086041,0
1789651533.9958537,2.003,5141366,317516,0,224,62,49,47875,364489,13764542,222608,1236,63696660,64021188,64771540,0,0,0,1,2,0,6939226,1931312411,1934470325,443,443,309,1592151,3188196,0,36037098,37016,244698626,255086041,0
1789651534.2461777,2.253,5141729,317528,0,224,62,49,47877,364511,13767172,225740,1268,63679752,64002656,64771540,0,0,0,0,2,0,6940008,1931396222,1934554142,443,443,317,1591770,3187432,0,36041825,37016,244701634,255086041,0
1789651534.4965048,2.504,5142091,317543,0,224,62,49,47879,364531,13770244,229160,1268,63656700,63977872,64771540,0,0,0,1,1,0,6940566,1931452258,1934610183,443,443,317,1591237,3186366,0,36049477,37024,244705170,255086041,0
1789651534.7468846,2.754,5142442,317553,0,224,62,49,47881,364569,13774399,231664,1268,63645616,63965748,64771540,0,0,0,0,6,0,6941106,1931503346,1934661276,443,443,317,1590987,3185864,0,36052038,37029,244707818,255086041,0
1789651534.9974873,3.005,5142801,317564,0,224,62,49,47883,364597,13778038,234504,1268,63638084,63956800,64771540,0,0,0,1,2,0,6941972,1931571515,1934729453,443,443,317,1590834,3185558,0,36053823,37032,244710506,255086041,0
1789651535.247893,3.255,5143144,317577,0,224,62,49,47887,364635,13783109,237668,1268,63625216,63941952,64771540,0,0,0,0,2,0,6942742,1931611400,1934769345,443,443,317,1590562,3185014,0,36059557,37057,244713978,255086045,0
