t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789652135.723783,0.0,5955169,356657,0,224,67,51,60077,460714,17416047,145324,816,63808120,64174596,64771540,0,4,0,1,1,0,8250087,2132454164,2135919630,449,449,204,1593939,3191776,1,45262575,45603,313466294,310382009,0
1789652135.9742758,0.25,5955407,356675,0,224,67,51,60079,460858,17416651,154884,816,63791624,64152012,64771540,0,4,0,1,16,0,8250297,2132481863,2135947335,449,449,204,1593679,3191256,1,45265238,45676,313478582,310382009,0
1789652136.2248056,0.501,5955781,356692,0,224,67,51,60082,460864,17417388,163776,1172,63778728,64134508,64771540,0,0,0,1,1,0,8251086,2132585714,2136051219,449,449,293,1593494,3190884,0,45270256,45713,313489138,310382009,0
1789652136.4752123,0.751,5956156,356714,0,224,67,51,60084,460865,17418119,191164,1172,63753788,64095712,64771540,0,0,0,1,1,0,8251778,2132752555,2136218073,449,449,293,1593217,3190330,0,45274468,45923,313516630,310382009,0
1789652136.7255633,1.002,5956520,356738,0,224,67,51,60086,460874,17420370,201164,1172,63737056,64074008,64771540,0,0,0,1,5,0,8252514,2132896471,2136361993,449,449,293,1592923,3189742,0,45277651,46011,313527134,310382009,0
1789652136.9758828,1.252,5956891,356760,0,224,67,51,60087,460880,17421995,207528,1172,63726392,64060164,64771540,0,0,0,1,1,0,8253336,2133086044,2136551599,449,449,293,1592737,3189368,0,45279666,46017,313533566,310382009,0
1789652137.2261775,1.502,5957257,356782,0,224,67,51,60088,460890,17423477,216664,1204,63704540,64033636,64771540,0,0,0,1,1,0,8254052,2133244377,2136709990,449,449,301,1592308,3188509,0,45284810,46017,313541958,310382009,0
1789652137.476511,1.753,5957611,356791,0,224,67,51,60094,460921,17427847,219640,1204,63702116,64029860,64771540,0,0,0,1,1,0,8254361,2133264666,2136730283,449,449,301,1592281,3188456,0,45301396,46025,313544922,310382041,0
1789652137.7269318,2.003,5957969,356804,0,224,67,51,60095,460947,17430947,222888,1204,63674200,64000112,64771540,0,0,0,1,1,0,8254909,2133340398,2136806018,449,449,301,1591630,3187152,0,45308898,46026,313548386,310382041,0
1789652137.9773533,2.254,5958332,356816,0,224,67,51,60097,460968,17435019,225720,1204,63653848,63978344,64771540,0,0,0,0,2,0,8255557,2133425080,2136890699,449,449,301,1591157,3186205,0,45313827,46026,313551270,310382041,0
