t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789651692.260675,0.0,5349187,323086,0,224,64,50,52479,399228,15150536,149212,1196,63801244,64163428,64771540,0,0,0,2,1,0,7218047,1951503535,1954690173,446,446,299,1593802,3191501,0,39172759,39973,270437318,273778657,0
1789651692.5111275,0.25,5349411,323110,0,224,64,50,52484,399377,15151929,162240,1108,63776136,64130608,64771540,0,0,0,1,3,0,7221697,1951527225,1954716937,446,446,277,1593414,3190724,0,39180499,40096,270454950,273778661,0
1789651692.7615786,0.501,5349785,323127,0,224,64,50,52487,399382,15152866,173856,3340,63758596,64106976,64771540,0,0,0,1,1,0,7222495,1951636833,1954826563,446,446,835,1593128,3190152,0,39185974,40137,270466734,273778661,0
1789651693.011979,0.751,5350158,323150,0,224,64,50,52489,399384,15153679,199892,3372,63730856,64066464,64771540,0,0,0,2,2,0,7223240,1951801470,1954991220,446,446,843,1592754,3189403,0,39190304,40378,270492870,273778661,0
1789651693.2623193,1.002,5350525,323173,0,224,64,50,52490,399392,15155981,209420,3372,63714748,64045320,64771540,0,0,0,1,1,0,7224019,1951958288,1955148074,446,446,843,1592478,3188850,0,39193317,40427,270502298,273778661,0
1789651693.512682,1.252,5350896,323195,0,224,64,50,52491,399398,15157558,215828,3372,63704116,64031488,64771540,0,0,0,1,1,0,7224797,1952146963,1955336788,446,446,843,1592293,3188479,0,39195313,40433,270508722,273778661,0
1789651693.7630312,1.502,5351262,323217,0,224,64,50,52493,399408,15159092,224120,3372,63683168,64006400,64771540,0,0,0,1,1,0,7225468,1952303748,1955493610,446,446,843,1591873,3187638,0,39200428,40433,270517026,273778661,0
1789651694.013419,1.753,5351615,323225,0,224,64,50,52499,399439,15162990,227008,3372,63674216,63996000,64771540,0,0,0,0,6,0,7226178,1952323269,1955513134,446,446,843,1591686,3187263,0,39216911,40441,270519882,273778693,0
1789651694.2638354,2.003,5351975,323238,0,224,64,50,52500,399465,15165320,230348,3372,63652292,63972348,64771540,0,0,0,1,1,0,7226703,1952398992,1955588878,446,446,843,1591181,3186254,0,39224186,40442,270523370,273778693,0
1789651694.5142324,2.254,5352337,323250,0,224,64,50,52502,399488,15168929,233312,3372,63633092,63951632,64771540,0,0,0,1,1,0,7227314,1952482902,1955672788,446,446,843,1590740,3185370,0,39228666,40442,270526330,273778693,0
1789651694.7646377,2.504,5352699,323265,0,224,64,50,52505,399507,15172948,236804,3372,63608536,63925272,64771540,0,0,0,1,1,0,7228030,1952575326,1955765213,446,446,843,1590172,3184233,0,39236166,40449,270529842,273778693,0
