run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_applied,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,236.129,63.891163441007286,1406.6449511400651,False,False,False,0,46.3,46.2,11427647488,48124,469555,11194912,157451,201382996,1,1594752,3193403,True,,0,22,233,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,977,290,6013776,746584816,1503546,3,8289860,2072465,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_07869b,247296,False,byte,False,2280643216,2280643216,2280643216,2214588288,2253381788,35269068.0,8408141,9275038604,s6v3,215920,153.5,196,471,248036,11555681820,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,61.619,61.36718477246401,142.3658536585366,False,False,False,0,69.6,69.4,4482052096,56522,398199,4388864,140007,37685863,1,1594709,3193317,True,,0,24,116,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,367,290,3592912,746584816,898228,5,2135072,533768,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_28824b,56728,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,23348,164.0,202,477,57428,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,54.591,61.36718477246401,137.84337349397592,False,False,False,0,77.5,77.4,4430749696,56392,403599,4334884,125447,18459796,0,1595495,3194892,True,,0,9,152,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,287,290,3596044,746584816,899011,5,1899880,474970,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_2948ce,56652,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,22882,166.0,204,479,57357,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,48.786,62.92855795342119,130.89017341040463,False,False,False,0,,,,57183,508474,7599060,97352,6487130,0,1594962,3193824,True,,0,18,304,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,229,290,6107588,746584816,1526931,2,16516,4129,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_3f644a,57603,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,22644,173.0,217,456,58334,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,49.389,61.36718477246401,135.8154761904762,False,False,False,0,,,,56487,457936,3735812,81721,4882166,0,1594824,3193547,True,,0,8,96,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,231,290,3982788,746584816,995697,3,16992,4248,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_472183,56656,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,22817,168.0,206,452,57342,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,37.048,63.891163441007286,111.84262295081967,False,False,False,0,239.2,238.8,9278132224,48099,447490,9073332,282013,66164840,0,1594790,3193480,True,,0,9,79,/data/spark-skew-data/skew64_rb256_p200_g8,False,100,200,435,290,5937980,746584816,1484495,4,5598344,1399586,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_871e56,48275,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,17056,152.5,192,465,48976,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,40.037,63.891163441007286,114.8179104477612,False,False,False,0,,,,52912,486145,5894352,84082,4946049,0,1594483,3192866,True,,0,26,192,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,193,290,6746624,746584816,1686656,4,14848,3712,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_af240f,53211,False,byte,False,2280643216,2280643216,2280643216,2214588288,2253381788,35269068.0,8408141,9275038604,s6v3,19232,167.5,208,514,53930,11555681820,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,239.352,62.92855795342119,902.9360465116279,False,False,False,0,40.9,40.8,10232295424,57549,491715,10023740,155058,193224213,1,1595186,3194273,True,,0,16,265,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,989,290,6141136,746584816,1535284,4,5111192,1277798,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_b2613b,190241,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,155305,172.0,219,467,190969,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,37.334,63.891163441007286,110.9126213592233,False,False,False,0,235.2,235.0,9201033216,48428,450034,8993520,299224,19820416,0,1594535,3192969,True,,0,13,146,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,249,290,6132144,746584816,1533137,3,6053800,1513450,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_c31e6c,48665,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,17136,154.5,196,431,49371,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,56.671,62.92855795342119,138.34883720930233,False,False,False,0,138.4,138.0,8202481664,59037,462586,8028808,282389,48843882,0,1595448,3194797,True,,0,26,317,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,419,290,5898772,746584816,1474693,4,4180596,1045149,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_c9d1bd,59459,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,23796,172.0,217,581,60205,9969770001,10,20,sort
