t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786538.7355127,0.0,2512529,63684,0,172,84,70,67588,669365,23351926,116924,1500,63800964,64181440,64771552,0,0,0,1,1,0,16091926,252874132,254802543,34225,35854,375,1593409,3190714,0,58530236,58361,349154526,233996361,0
1789786538.9867182,0.251,2512770,63702,0,172,84,70,67591,669505,23352513,126392,1500,63785572,64160184,64771552,0,0,0,0,17,0,16092072,252902314,254830770,34225,35854,375,1593182,3190259,0,58532898,58434,349166810,233996361,0
1789786539.2372346,0.502,2513141,63719,0,172,84,70,67593,669516,23353218,134824,1500,63769448,64139224,64771552,0,0,0,1,1,0,16092764,252995485,254923957,34225,35854,375,1592900,3189695,0,58537854,58470,349176746,233996361,0
1789786539.4876127,0.752,2513516,63741,0,172,84,70,67595,669516,23353943,162564,1532,63749048,64104588,64771552,0,0,0,0,2,0,16093558,253157206,255085705,34225,35854,383,1592746,3189387,0,58542026,58676,349204834,233996361,0
1789786539.7379315,1.002,2513881,63765,0,172,84,70,67596,669526,23356107,172928,1532,63734968,64085344,64771552,0,0,0,0,2,0,16094393,253299975,255228481,34225,35854,383,1592523,3188941,0,58545249,58770,349215450,233996361,0
1789786539.988248,1.253,2514251,63787,0,172,84,70,67597,669532,23357839,179164,1532,63723228,64070488,64771552,0,0,0,1,1,0,16095274,253480287,255408834,34225,35854,383,1592308,3188510,0,58547271,58776,349221834,233996361,0
1789786540.2385347,1.503,2514617,63808,0,172,84,70,67598,669543,23359044,187564,1532,63704380,64047388,64771552,0,0,0,0,1,0,16096050,253645608,255574169,34225,35854,383,1591944,3187780,0,58552374,58776,349230222,233996361,0
1789786540.488867,1.753,2514973,63818,0,172,84,70,67603,669572,23362821,190896,1532,63703416,64044708,64771552,0,0,0,1,3,0,16096623,253678483,255607071,34225,35854,383,1591963,3187818,0,58567887,58784,349233162,233996393,0
1789786540.739275,2.004,2515328,63831,0,172,84,70,67605,669599,23365464,194184,1532,63675456,64015108,64771552,0,0,0,1,1,0,16097207,253751303,255679900,34225,35854,383,1591306,3186502,0,58575730,58785,349236630,233996393,0
1789786540.9897065,2.254,2515693,63842,0,172,84,70,67607,669620,23368568,197196,1532,63654880,63993044,64771552,0,0,0,1,1,0,16097845,253837973,255766571,34225,35854,383,1590829,3185548,0,58580583,58785,349239498,233996393,0
1789786541.240088,2.505,2516052,63857,0,172,84,70,67610,669642,23372471,200612,1532,63623676,63960108,64771552,0,0,0,1,1,0,16098290,253884116,255812714,34225,35854,383,1590093,3184075,0,58588423,58793,349242894,233996393,0
1789786541.4904823,2.755,2516404,63868,0,172,84,70,67612,669676,23376362,203536,1532,63612524,63947484,64771552,0,0,0,0,7,0,16098915,253941716,255870363,34225,35854,383,1589852,3183591,0,58590801,58798,349245858,233996393,0
1789786541.740887,3.005,2516759,63877,0,172,84,70,67613,669708,23381803,205560,1532,63605464,63939420,64771552,0,0,0,1,1,0,16099616,253993590,255922237,34225,35854,383,1589701,3183288,0,58592561,58800,349247850,233996393,0
1789786541.991282,3.256,2517101,63889,0,172,84,70,67617,669750,23387618,208020,1532,63643040,63975784,64771552,0,0,0,1,1,0,16100324,254044975,255973622,34225,35854,383,1590669,3185227,0,58597111,58804,349250494,233996393,0
1789786542.3814178,3.646,2517698,63915,0,172,84,70,67619,669753,23388614,236156,1532,63624580,63942992,64771552,0,0,0,1,1,0,16101489,254282658,256211324,34225,35854,383,1590566,3185021,0,58600463,59032,349279118,233996397,0
1789786542.6338391,3.898,2518073,63934,0,172,84,70,67619,669758,23389235,250272,1532,63606664,63917856,64771552,0,0,0,1,1,0,16102375,254473259,256401925,34225,35854,383,1590299,3184486,0,58604357,59137,349293450,233996397,0
1789786542.884157,4.149,2518449,63951,0,172,84,70,67621,669763,23389759,262044,1532,63590880,63896116,64771552,0,0,0,1,1,0,16103399,254643977,256572643,34225,35854,383,1590053,3183995,0,58608491,59230,349305314,233996397,0
1789786543.1344726,4.399,2518815,63966,0,172,84,70,67623,669780,23391414,268380,1532,63572020,63874000,64771552,0,0,0,1,1,0,16104324,254719116,256647782,34225,35854,383,1589664,3183215,0,58612267,59242,349311814,233996397,0
1789786543.3848717,4.649,2519173,63979,0,172,84,70,67624,669808,23393444,271404,1532,63557976,63858432,64771552,0,0,0,0,2,0,16104955,254802159,256730835,34225,35854,383,1589351,3182589,0,58615856,59246,349314838,233996397,0
