t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786933.871369,0.0,3036879,72829,0,172,89,77,76873,757445,27152392,116952,1432,63749008,64130008,64771552,0,0,0,1,1,0,16919818,289025818,291028098,34230,35858,358,1592123,3188140,0,66018658,67190,418066902,259096725,0
1789786934.1225834,0.251,3037122,72847,0,172,89,77,76874,757585,27152999,126576,1432,63731424,64107132,64771552,0,0,0,0,17,0,16920042,289054472,291056760,34230,35858,358,1591859,3187611,0,66021320,67263,418079186,259096725,0
1789786934.3731623,0.502,3037491,72864,0,172,89,77,76876,757597,27153729,134372,1436,63723888,64095028,64771552,0,0,0,1,1,0,16920679,289144738,291147040,34230,35858,359,1591785,3187462,0,66026237,67297,418088742,259096725,0
1789786934.6235425,0.752,3037867,72886,0,172,89,77,76877,757597,27154436,162640,1468,63707660,64064376,64771552,0,0,0,1,1,0,16921475,289312503,291314810,34230,35858,367,1591740,3187372,0,66030438,67504,418117186,259096725,0
1789786934.8738844,1.003,3038232,72910,0,172,89,77,76879,757607,27156600,173132,1468,63704604,64055968,64771552,0,0,0,1,1,0,16922176,289432816,291435126,34230,35858,367,1591797,3187487,0,66033656,67599,418127830,259096725,0
1789786935.1241946,1.253,3038602,72932,0,172,89,77,76880,757611,27158293,179380,1468,63704656,64052904,64771552,0,0,0,1,1,0,16923183,289616993,291619306,34230,35858,367,1591876,3187645,0,66035677,67605,418134230,259096725,0
1789786935.374486,1.503,3038969,72953,0,172,89,77,76881,757621,27159575,188056,1468,63691944,64035844,64771552,0,0,0,0,1,0,16923997,289780818,291783154,34230,35858,367,1591668,3187227,0,66040794,67605,418142602,259096725,0
1789786935.6248288,1.753,3039323,72963,0,172,89,77,76886,757652,27163309,191048,1468,63645232,63987648,64771552,0,0,0,1,3,0,16924341,289802680,291805016,34230,35858,367,1590538,3184966,0,66056920,67613,418145602,259096757,0
1789786935.875252,2.004,3039680,72976,0,172,89,77,76888,757679,27166041,194324,1468,63620956,63961728,64771552,0,0,0,0,2,0,16925086,289879458,291881815,34230,35858,367,1589974,3183835,0,66064177,67614,418149054,259096757,0
1789786936.1256788,2.254,3040045,72988,0,172,89,77,76890,757701,27168795,197436,1468,63601380,63940600,64771552,0,0,0,0,3,0,16925814,289965995,291968425,34230,35858,367,1589524,3182934,0,66068974,67614,418151974,259096757,0
1789786936.3760777,2.505,3040405,73003,0,172,89,77,76892,757723,27171664,200844,1468,63577180,63914676,64771552,0,0,0,0,2,0,16926845,290050914,292053347,34230,35858,367,1588963,3181811,0,66076763,67622,418155394,259096757,0
1789786936.6264355,2.755,3040753,73013,0,172,89,77,76894,757761,27176421,203692,1468,63562184,63898244,64771552,0,0,0,0,3,0,16927499,290106588,292109022,34230,35858,367,1588624,3181133,0,66079775,67627,418158242,259096757,0
1789786936.8767607,3.005,3041111,73024,0,172,89,78,76896,757788,27181478,206120,1468,63555860,63890708,64771552,0,0,0,1,1,0,16928240,290172748,292175182,34230,35858,367,1588496,3180877,0,66081410,67630,418160670,259096757,0
1789786937.1270747,3.256,3041456,73035,0,172,89,78,76899,757827,27186808,208416,1468,63596096,63929796,64771552,0,0,0,0,1,0,16928741,290214928,292217361,34230,35858,367,1589530,3182946,0,66085873,67633,418162966,259096761,0
1789786937.4199178,3.549,3041897,73060,0,172,89,78,76899,757830,27187764,236264,1468,63576916,63896444,64771552,0,0,0,1,1,0,16929903,290455696,292458134,34230,35858,367,1589404,3182695,0,66089212,67861,418191498,259096761,0
1789786937.672123,3.801,3042273,73079,0,172,89,78,76900,757835,27188425,250408,1468,63560040,63872324,64771552,0,0,0,1,1,0,16930696,290646225,292648707,34230,35858,367,1589164,3182214,0,66093128,67966,418205842,259096761,0
1789786937.9224436,4.051,3042648,73096,0,172,89,78,76902,757842,27188968,262156,1468,63543728,63850080,64771552,0,0,0,1,1,0,16931612,290816947,292819436,34230,35858,367,1588905,3181695,0,66097253,68059,418217706,259096761,0
1789786938.1729333,4.302,3043015,73111,0,172,89,78,76903,757858,27190575,268552,1468,63532740,63835820,64771552,0,0,0,0,2,0,16932199,290891445,292893938,34230,35858,367,1588712,3181309,0,66101083,68071,418224262,259096761,0
1789786938.423498,4.552,3043375,73124,0,172,89,78,76905,757883,27192142,271548,1468,63533984,63835544,64771552,0,0,0,0,4,0,16932837,290977675,292980168,34230,35858,367,1588781,3181448,0,66105226,68075,418227254,259096761,0
1789786938.6741352,4.803,3043701,73137,0,172,89,78,76908,757938,27193909,274360,1468,63474872,63774920,64771552,0,0,0,1,3,0,16933313,291018415,293020908,34230,35858,367,1587338,3178557,0,66125071,68075,418230086,259096761,0
1789786938.9245944,5.053,3044055,73147,0,172,89,78,76911,757972,27195854,276912,1468,63452556,63750008,64771552,0,0,0,1,1,0,16933779,291074319,293076820,34230,35858,367,1586781,3177441,0,66131692,68075,418232626,259096761,0
1789786939.175049,5.304,3044407,73159,0,172,89,78,76912,758007,27200220,280376,1468,63432288,63726280,64771552,0,0,0,0,4,0,16934327,291130796,293133338,34230,35858,367,1586275,3176428,0,66138034,68078,418236098,259096761,0
1789786939.4255133,5.554,3044761,73169,0,172,89,78,76913,758043,27201727,283280,1468,63424108,63715240,64771552,0,0,0,0,2,0,16934757,291183552,293186094,34230,35858,367,1586070,3176019,0,66140729,68079,418239054,259096761,0
1789786939.6759603,5.805,3045112,73179,0,172,89,78,76916,758079,27203944,286236,1568,63408692,63696852,64771552,0,0,0,0,2,0,16935146,291231832,293234424,34230,35858,392,1585686,3175249,0,66144489,68080,418241870,259096761,0
1789786939.9263687,6.055,3045473,73190,0,172,89,78,76916,758105,27205436,289976,1568,63399712,63684092,64771552,0,0,0,1,2,0,16935655,291308335,293311024,34230,35858,392,1585461,3174800,0,66147648,68080,418245594,259096761,0
1789786940.1768153,6.305,3045827,73195,0,172,89,78,76918,758143,27207491,291764,1568,63389544,63672132,64771552,0,0,0,0,2,0,16936518,291334484,293337172,34230,35858,392,1585208,3174292,0,66152713,68080,418247402,259096761,0
1789786940.4273455,6.556,3046147,73197,0,172,89,78,76921,758216,27214412,292280,1568,63374084,63656148,64771552,0,0,0,0,4,0,16937252,291338785,293341474,34230,35858,392,1584822,3173519,0,66159352,68082,418247894,259096761,0
1789786940.6780498,6.807,3046475,73200,0,172,89,78,76922,758281,27219688,293136,1568,63367088,63648300,64771552,0,0,0,1,2,0,16937803,291350155,293352850,34230,35858,392,1584647,3173169,0,66161111,68084,418248754,259096761,0
1789786940.9284973,7.057,3046847,73214,0,172,89,78,76924,758294,27220963,297444,1568,63362112,63639132,64771552,0,0,0,1,2,0,16938601,291477718,293480413,34230,35858,392,1584523,3172920,0,66162353,68085,418253090,259096761,0
1789786941.178952,7.308,3047217,73222,0,172,89,78,76925,758317,27222307,299460,1568,63354024,63628912,64771552,0,0,0,0,2,0,16938998,291539404,293542100,34230,35858,392,1584321,3172516,0,66164688,68085,418255078,259096761,0
1789786941.4293697,7.558,3047570,73231,0,172,89,78,76927,758354,27224957,301692,1568,63332224,63604884,64771552,0,0,0,0,3,0,16939533,291588236,293590932,34230,35858,392,1583777,3171426,0,66169586,68085,418257434,259096761,0
1789786941.6798065,7.808,3047940,73243,0,172,89,78,76928,758371,27225572,305324,1568,63310760,63579784,64771552,0,0,0,1,1,0,16940087,291693304,293696003,34230,35858,392,1583241,3170353,0,66175033,68085,418260938,259096761,0
