t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786629.8126245,0.0,2644076,64878,0,172,85,72,69191,680569,23895132,116668,1296,63868096,64249012,64771552,0,260,0,1,1,0,16249800,259163861,261108720,34225,35854,324,1595091,3194082,65,59760152,59472,357771106,241469909,0
1789786630.0630426,0.25,2644319,64895,0,172,85,72,69192,680706,23895729,126412,1296,63852096,64226768,64771552,0,260,0,1,16,0,16250139,259192264,261137197,34225,35854,324,1594847,3193594,65,59762813,59545,357783394,241469909,0
1789786630.3135836,0.501,2644688,64912,0,172,85,72,69196,680717,23896466,134664,1436,63840720,64210764,64771552,0,0,0,1,1,0,16250723,259279729,261224778,34225,35854,359,1594683,3193266,0,59767758,59580,357793146,241469909,0
1789786630.5639737,0.751,2645063,64935,0,172,85,72,69197,680717,23897189,162396,1468,63816800,64172672,64771552,0,0,0,1,1,0,16251628,259465096,261410152,34225,35854,367,1594440,3192778,0,59771967,59788,357821446,241469909,0
1789786630.8143156,1.002,2645428,64958,0,172,85,72,69199,680727,23899393,173224,1468,63800680,64151108,64771552,0,0,0,1,2,0,16252352,259609038,261554164,34225,35854,367,1594173,3192245,0,59775165,59881,357832062,241469909,0
1789786631.0646975,1.252,2645799,64980,0,172,85,72,69200,680733,23901086,179608,1468,63790024,64137276,64771552,0,0,0,1,1,0,16253095,259769769,261714925,34225,35854,367,1593986,3191871,0,59777179,59887,357838462,241469909,0
1789786631.3149936,1.502,2646166,65002,0,172,85,72,69201,680743,23902363,187980,1468,63767660,64110700,64771552,0,0,0,0,1,0,16254007,259932511,261877678,34225,35854,367,1593533,3190963,0,59782298,59887,357846814,241469909,0
1789786631.5653117,1.753,2646520,65011,0,172,85,72,69207,680773,23906117,190932,1468,63765704,64107252,64771552,0,0,0,1,3,0,16254395,259956128,261901297,34225,35854,367,1593522,3190940,0,59798280,59895,357849814,241469941,0
1789786631.8157575,2.003,2646878,65024,0,172,85,72,69208,680801,23908800,194424,1468,63739020,64078832,64771552,0,0,0,0,2,0,16255206,260032520,261977693,34225,35854,367,1592899,3189693,0,59805530,59896,357853266,241469941,0
1789786632.0661738,2.254,2647243,65036,0,172,85,72,69210,680822,23911618,197316,1468,63719748,64058116,64771552,0,0,0,1,2,0,16255833,260120924,262066098,34225,35854,367,1592454,3188802,0,59810243,59896,357856166,241469941,0
1789786632.3165855,2.504,2647604,65051,0,172,85,72,69212,680844,23914523,200712,1468,63692352,64028984,64771552,0,0,0,0,2,0,16256546,260207434,262152608,34225,35854,367,1591813,3187519,0,59818054,59905,357859578,241469941,0
1789786632.5669923,2.754,2647955,65062,0,172,85,72,69214,680880,23919094,203616,1468,63678212,64013384,64771552,0,0,0,0,2,0,16257313,260263925,262209103,34225,35854,367,1591497,3186885,0,59821220,59910,357862454,241469941,0
1789786632.8174028,3.005,2648313,65072,0,172,85,72,69216,680908,23924517,205972,1468,63669328,64003328,64771552,0,0,0,1,1,0,16257966,260327959,262273137,34225,35854,367,1591304,3186500,0,59823037,59913,357864814,241469941,0
