t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787268.6518393,0.0,3498679,79268,0,172,93,83,84822,816051,29588984,117212,1376,63855044,64235920,64771552,0,0,0,1,1,0,17556776,314773556,316844410,34230,35859,344,1594774,3193448,0,70913473,72702,461136046,292584089,0
1789787268.902266,0.25,3498922,79286,0,172,93,83,84824,816190,29589587,126588,1376,63838756,64214056,64771552,0,0,0,0,17,0,17557319,314847049,316917945,34230,35859,344,1594530,3192958,0,70916135,72775,461148346,292584089,0
1789787269.1528227,0.501,3499291,79303,0,172,93,83,84826,816200,29590301,134580,1376,63821484,64192152,64771552,0,0,0,0,2,0,17558021,314937477,317008428,34230,35859,344,1594214,3192327,0,70921074,72809,461157906,292584089,0
1789787269.4032338,0.751,3499666,79326,0,172,93,83,84828,816201,29591033,162716,1408,63791104,64147380,64771552,0,0,0,1,1,0,17558799,315096795,317168011,34230,35859,352,1593815,3191528,0,70925281,73017,461186386,292584089,0
1789787269.6535718,1.002,3500031,79349,0,172,93,83,84829,816209,29593241,173376,1408,63778824,64129696,64771552,0,0,0,0,2,0,17559561,315239169,317310398,34230,35859,352,1593643,3191184,0,70928495,73111,461197018,292584089,0
1789787269.9039006,1.252,3500401,79371,0,172,93,83,84830,816215,29594997,179760,1408,63767200,64114884,64771552,0,0,0,1,1,0,17560544,315423639,317494869,34230,35859,352,1593433,3190762,0,70930533,73117,461203402,292584089,0
1789787270.1542015,1.502,3500768,79393,0,172,93,83,84831,816223,29596228,188132,1408,63745560,64089040,64771552,0,0,0,0,1,0,17561378,315586584,317657818,34230,35859,352,1592997,3189890,0,70935629,73117,461211774,292584089,0
1789787270.404524,1.753,3501122,79402,0,172,93,83,84836,816254,29599924,191144,1440,63737700,64079648,64771552,0,0,0,1,3,0,17561703,315608478,317679712,34230,35859,360,1592840,3189574,0,70951802,73125,461214786,292584121,0
1789787270.6549625,2.003,3501480,79415,0,172,93,83,84838,816280,29602569,194604,1440,63716540,64056752,64771552,0,0,0,0,2,0,17563296,315674783,317746030,34230,35859,360,1592355,3188603,0,70958832,73126,461218230,292584121,0
1789787270.9053655,2.254,3501844,79427,0,172,93,83,84840,816301,29605935,197312,1440,63696652,64035520,64771552,0,0,0,1,1,0,17563961,315758446,317829693,34230,35859,360,1591892,3187676,0,70963459,73126,461221034,292584121,0
1789787271.1557744,2.504,3502204,79441,0,172,93,83,84843,816324,29609818,200784,1440,63666416,64003548,64771552,0,0,0,0,2,0,17564641,315841578,317912826,34230,35859,360,1591180,3186251,0,70971390,73134,461224426,292584121,0
1789787271.4061878,2.754,3502555,79452,0,172,93,83,84845,816359,29613427,203720,1408,63655500,63991152,64771552,0,0,0,0,6,0,17565150,315900240,317971494,34230,35859,352,1590945,3185780,0,70974043,73139,461227406,292584121,0
1789787271.6565995,3.005,3502912,79462,0,172,93,83,84847,816392,29618341,205856,1408,63646072,63980664,64771552,0,0,0,1,1,0,17565536,315927378,317998633,34230,35859,352,1590736,3185361,0,70976021,73141,461229506,292584121,0
1789787271.9070215,3.255,3503254,79474,0,172,93,83,84852,816432,29624390,208188,1408,63686328,64019768,64771552,0,0,0,1,1,0,17566049,315976212,318047467,34230,35859,352,1591769,3187431,0,70980661,73145,461232014,292584121,0
1789787272.2976792,3.646,3503852,79499,0,172,93,83,84854,816435,29625372,236340,1408,63669004,63988092,64771552,0,0,0,1,1,0,17567382,316211280,318282637,34230,35859,352,1591695,3187283,0,70984014,73373,461260666,292584125,0
1789787272.550109,3.898,3504223,79520,0,172,93,83,84856,816441,29626106,251084,1408,63647104,63958448,64771552,0,0,0,1,1,0,17568320,316376924,318448297,34230,35859,352,1591342,3186575,0,70988626,73495,461276010,292584125,0
1789787272.8004546,4.149,3504585,79545,0,172,93,83,84859,816449,29627487,264992,2916,63624272,63928344,64771552,0,0,0,1,1,0,17569020,316497475,318568886,34230,35859,729,1590954,3185798,0,70998146,73640,461291274,292584125,0
1789787273.0508623,4.399,3504949,79561,0,172,93,83,84862,816467,29629605,271800,4016,63605212,63905696,64771552,0,0,0,1,1,0,17569613,316567810,318639221,34230,35859,1004,1590567,3185024,0,71002778,73662,461298322,292584125,0
1789787273.3014736,4.65,3505308,79575,0,172,93,83,84863,816493,29631542,274808,4016,63591296,63889316,64771552,0,0,0,1,2,0,17570291,316651902,318723313,34230,35859,1004,1590235,3184358,0,71006485,73666,461301314,292584125,0
