t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786399.4154332,0.0,2334815,59426,0,172,81,68,62809,633793,22011525,116632,1328,63816284,64197980,64771552,0,0,0,1,1,0,15808048,239257233,241152594,34223,35852,332,1593809,3191516,0,55717438,55069,323317526,217462249,0
1789786399.6665833,0.251,2335059,59444,0,172,81,68,62810,633932,22012131,126368,1328,63800376,64176256,64771552,0,0,0,0,17,0,15808348,239285798,241181172,34223,35852,332,1593577,3191051,0,55720100,55142,323329814,217462249,0
1789786399.9171565,0.502,2335428,59461,0,172,81,68,62812,633943,22012834,134380,1328,63784084,64155312,64771552,0,0,0,1,1,0,15808941,239376628,241272041,34223,35852,332,1593287,3190469,0,55725088,55177,323339562,217462249,0
1789786400.1675446,0.752,2335803,59484,0,172,81,68,62813,633944,22013528,162308,1328,63753880,64110892,64771552,0,0,0,1,1,0,15809686,239537261,241432675,34223,35852,332,1592888,3189670,0,55729273,55383,323367814,217462249,0
1789786400.4178884,1.002,2336168,59507,0,172,81,68,62815,633953,22015722,172956,1328,63739372,64091048,64771552,0,0,0,1,1,0,15810575,239693186,241588621,34223,35852,332,1592659,3189212,0,55732489,55478,323378458,217462249,0
1789786400.6682196,1.253,2336539,59529,0,172,81,68,62816,633959,22017373,179456,1328,63728728,64077148,64771552,0,0,0,1,1,0,15811555,239877093,241772528,34223,35852,332,1592474,3188842,0,55734527,55484,323384874,217462249,0
1789786400.9185154,1.503,2336906,59551,0,172,81,68,62817,633969,22018612,187572,1328,63706828,64051192,64771552,0,0,0,0,1,0,15812410,240040701,241936136,34223,35852,332,1592029,3187951,0,55739631,55484,323393230,217462249,0
1789786401.1688542,1.753,2337260,59560,0,172,81,68,62823,633997,22022241,190544,1328,63705436,64048084,64771552,0,32,0,0,4,0,15813218,240062802,241958237,34223,35852,332,1592037,3187967,8,55755590,55492,323396214,217462281,0
1789786401.4192805,2.004,2337618,59573,0,172,81,68,62825,634024,22024961,193808,1328,63675876,64016884,64771552,0,32,0,1,1,0,15813926,240108538,242003979,34223,35852,332,1591340,3186571,8,55762840,55493,323399658,217462281,0
1789786401.6697214,2.254,2337983,59585,0,172,81,68,62827,634045,22027974,197176,1360,63660388,63999812,64771552,0,0,0,1,1,0,15814532,240193593,242089040,34223,35852,340,1590993,3185876,0,55767533,55493,323402498,217462281,0
