t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786872.9305756,0.0,2967279,70807,0,172,87,76,75301,733497,26232259,117092,1388,63815256,64197464,64771552,0,0,0,1,1,0,16738673,281836001,283834997,34229,35858,347,1593803,3191503,0,64453298,65010,400844366,259076789,0
1789786873.1809866,0.25,2967520,70824,0,172,87,76,75302,733637,26232859,126788,1388,63799872,64176172,64771552,0,0,0,0,17,0,16738835,281864123,283863171,34229,35858,347,1593582,3191060,0,64455959,65083,400856654,259076789,0
1789786873.43151,0.501,2967890,70841,0,172,87,76,75305,733647,26233610,134808,1500,63784256,64155904,64771552,0,0,0,1,1,0,16739446,281953880,283953012,34229,35858,375,1593316,3190528,0,64460928,65119,400866854,259076789,0
1789786873.68192,0.751,2968265,70864,0,172,87,76,75306,733648,26234333,162652,1532,63767508,64124988,64771552,0,0,0,1,1,0,16740201,282116593,284115729,34229,35858,383,1593247,3190389,0,64465117,65326,400894706,259076789,0
1789786873.9322593,1.002,2968630,70888,0,172,87,76,75307,733656,26236554,173288,1532,63753520,64105720,64771552,0,0,0,1,1,0,16741004,282259078,284258221,34229,35858,383,1593029,3189954,0,64468318,65419,400905350,259076789,0
1789786874.1826456,1.252,2969001,70910,0,172,87,76,75309,733663,26238223,179688,1532,63743624,64092640,64771552,0,0,0,1,1,0,16741938,282444236,284443390,34229,35858,383,1592862,3189619,0,64470366,65425,400911722,259076789,0
1789786874.4329994,1.502,2969368,70931,0,172,87,76,75310,733673,26239519,188040,1532,63726772,64071584,64771552,0,0,0,1,1,0,16743176,282607160,284606321,34229,35858,383,1592546,3188986,0,64475435,65425,400920078,259076789,0
1789786874.6833835,1.753,2969722,70941,0,172,87,76,75315,733704,26243271,191048,1532,63721820,64065044,64771552,0,0,0,1,5,0,16744290,282666989,284666154,34229,35858,383,1592462,3188818,0,64491611,65433,400923082,259076821,0
1789786874.9338253,2.003,2970078,70953,0,172,87,76,75317,733732,26245747,194500,1532,63697628,64039096,64771552,0,0,0,0,3,0,16745073,282740408,284739589,34229,35858,383,1591902,3187696,0,64498966,65434,400926646,259076821,0
1789786875.1841526,2.254,2970442,70966,0,172,87,76,75319,733754,26248917,197440,1532,63677888,64017892,64771552,0,0,0,1,1,0,16746081,282827492,284826684,34229,35858,383,1591446,3186783,0,64503678,65434,400929490,259076821,0
1789786875.4344733,2.504,2970803,70980,0,172,87,76,75321,733774,26252697,200828,1532,63652548,63990852,64771552,0,0,0,0,2,0,16746874,282913846,284913038,34229,35858,383,1590856,3185601,0,64511366,65442,400932866,259076821,0
1789786875.6848724,2.754,2971153,70991,0,172,87,76,75323,733811,26256878,203676,1532,63643360,63980228,64771552,0,0,0,0,2,0,16747472,282967550,284966747,34229,35858,383,1590662,3185214,0,64513549,65447,400935714,259076821,0
1789786875.9352076,3.005,2971512,71002,0,172,87,76,75325,733840,26261145,206120,1532,63635760,63971420,64771552,0,0,0,1,1,0,16748148,283035731,285034933,34229,35858,383,1590503,3184894,0,64515270,65450,400938158,259076821,0
1789786876.1856124,3.255,2971857,71013,0,172,87,76,75329,733878,26266705,208400,1532,63619768,63954280,64771552,0,0,0,0,1,0,16748552,283063415,285062617,34229,35858,383,1590132,3184152,0,64520207,65453,400940438,259076825,0
1789786876.476172,3.546,2972295,71038,0,172,87,76,75330,733880,26267664,236248,1532,63606600,63926988,64771552,0,0,0,1,1,0,16749373,283223072,285222294,34229,35858,383,1590156,3184200,0,64523533,65681,400968962,259076825,0
1789786876.7285047,3.798,2972671,71057,0,172,87,76,75331,733885,26268294,250392,1532,63591400,63904596,64771552,0,0,0,1,1,0,16750924,283409213,285408507,34229,35858,383,1589956,3183800,0,64527428,65786,400983310,259076825,0
1789786876.9793768,4.049,2973047,71074,0,172,87,76,75333,733891,26268829,262236,1532,63574656,63881876,64771552,0,0,0,1,1,0,16751786,283580217,285579533,34229,35858,383,1589687,3183261,0,64531612,65879,400995250,259076825,0
1789786877.229816,4.299,2973413,71088,0,172,87,76,75335,733908,26270729,268544,1532,63551232,63855156,64771552,0,0,0,0,2,0,16752357,283651636,285650954,34229,35858,383,1589185,3182255,0,64535604,65891,401001726,259076825,0
1789786877.4804175,4.55,2973772,71102,0,172,87,76,75337,733933,26272771,271532,1532,63533384,63835752,64771552,0,0,0,0,3,0,16752958,283735164,285734487,34229,35858,383,1588778,3181441,0,64539758,65895,401004718,259076825,0
1789786877.731095,4.801,2974099,71115,0,172,87,76,75340,733990,26274882,274384,1532,63468592,63769540,64771552,0,0,0,0,4,0,16753312,283778970,285778303,34229,35858,383,1587196,3178273,0,64558577,65895,401007570,259076825,0
1789786877.981809,5.051,2974454,71125,0,172,87,76,75341,734022,26277075,276932,1532,63445824,63744220,64771552,0,0,0,0,2,0,16753761,283835528,285834862,34229,35858,383,1586628,3177137,0,64566445,65895,401010166,259076825,0
1789786878.2325194,5.302,2974803,71136,0,172,87,76,75343,734060,26281999,280368,1532,63430088,63725068,64771552,0,0,0,1,3,0,16754330,283887939,285887272,34229,35858,383,1586236,3176350,0,64572424,65898,401013562,259076825,0
1789786878.4831173,5.553,2975159,71146,0,172,87,76,75345,734092,26283490,283268,1532,63422632,63714724,64771552,0,0,0,1,1,0,16754956,283942315,285941648,34229,35858,383,1586049,3175977,0,64574728,65899,401016518,259076825,0
1789786878.7335546,5.803,2975508,71156,0,172,87,76,75346,734130,26285575,286240,1632,63409424,63698504,64771552,0,0,0,1,1,0,16755979,283988597,285987931,34229,35858,408,1585720,3175317,0,64578009,65900,401019334,259076825,0
1789786878.9840052,6.053,2975867,71168,0,172,87,76,75348,734159,26287318,289956,1632,63395684,63681052,64771552,0,0,0,1,2,0,16756493,284060968,286060302,34229,35858,408,1585377,3174630,0,64581439,65900,401023050,259076825,0
