stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789786881787,1789786882245,458,False,362,42914846,60,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789786883412,1789786885204,1792,False,1760,1374007536,26,51,2859,0,0,0,119771100,482910,0,0,0,0,4335474,10000,33166381
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789786883412,1789786885205,1793,False,1760,1333039483,26,51,2816,0,0,0,119771100,482910,0,0,0,0,4332024,10000,33962718
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789786883412,1789786885205,1793,False,1760,1400964331,26,51,2816,0,0,0,119771091,482910,0,0,0,0,4333263,10000,35091254
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789786883410,1789786885206,1796,False,1760,1441708473,26,51,2816,0,0,0,119771109,482910,0,0,0,0,4333469,10000,26919428
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789786885205,1789786886231,1026,False,1014,903546117,4,19,2859,0,0,0,119768922,482907,0,0,0,0,4331195,10000,18930630
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789786885205,1789786886231,1026,False,1018,904851533,4,19,2816,0,0,0,119768922,482907,0,0,0,0,4334397,10000,20732890
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789786885204,1789786886237,1033,False,1025,913350212,5,19,2816,0,0,0,119770347,482909,0,0,0,0,4332583,10000,28038011
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789786885203,1789786886243,1040,False,1031,918782360,6,19,2816,0,0,0,119771082,482910,0,0,0,0,4331489,10000,24935298
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789786886229,1789786887175,946,False,937,848612934,4,13,2816,0,0,0,119768913,482907,0,0,0,0,4334103,10000,14274209
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789786886231,1789786887188,957,False,950,855161535,3,13,2816,0,0,0,119768913,482907,0,0,0,0,4334308,10000,16257998
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789786886242,1789786887198,956,False,950,858839275,2,13,2816,0,0,0,119768913,482907,0,0,0,0,4331411,10000,20444646
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789786886237,1789786887201,964,False,959,866683098,2,13,2816,0,0,0,119768913,482907,0,0,0,0,4338475,10000,17497330
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789786887174,1789786888129,955,False,949,852931712,2,45,2816,0,0,0,119768913,482907,0,0,0,0,4332139,10000,14095671
