t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787512.2692778,0.0,3822784,84996,0,172,96,88,90905,869042,32014858,117000,1488,63801400,64183324,64771552,0,0,0,1,1,0,18061114,336903163,339017124,34232,35860,372,1593450,3190797,0,75369135,78241,504209586,308083909,0
1789787512.5200737,0.251,3823026,85015,0,172,96,88,90907,869179,32015521,126712,1488,63791604,64168016,64771552,0,0,0,0,17,0,18061614,336922391,339036378,34232,35860,372,1593380,3190656,0,75371797,78314,504222058,308083909,0
1789787512.770599,0.501,3823395,85032,0,172,96,88,90909,869190,32016236,134528,1488,63776528,64148376,64771552,0,0,0,1,1,0,18062601,337012514,339126619,34232,35860,372,1593117,3190130,0,75376723,78348,504231618,308083909,0
1789787513.0209837,0.752,3823770,85054,0,172,96,88,90910,869191,32016953,162520,1520,63747236,64104852,64771552,0,0,0,1,1,0,18063517,337215773,339329878,34232,35860,380,1592741,3189377,0,75380926,78555,504260062,308083909,0
1789787513.2713087,1.002,3824136,85078,0,172,96,88,90911,869200,32019118,173064,1520,63732812,64084876,64771552,0,0,0,1,1,0,18064312,337358721,339472978,34232,35860,380,1592520,3188934,0,75384141,78650,504270714,308083909,0
1789787513.521675,1.252,3824506,85100,0,172,96,88,90913,869206,32020860,179848,1532,63725600,64074392,64771552,0,0,0,1,1,0,18065148,337542315,339656582,34232,35860,383,1592421,3188737,0,75386159,78656,504277130,308083909,0
1789787513.7720377,1.503,3824873,85121,0,172,96,88,90914,869216,32022171,188204,1532,63703304,64047892,64771552,0,0,0,1,1,0,18065954,337705727,339819998,34232,35860,383,1591970,3187832,0,75391277,78656,504285490,308083909,0
1789787514.022422,1.753,3825226,85131,0,172,96,88,90920,869249,32025759,190952,1500,63685216,64028416,64771552,0,0,0,0,4,0,18066274,337727227,339841499,34232,35860,375,1591553,3186997,0,75407363,78664,504288498,308083941,0
1789787514.2728667,2.004,3825583,85144,0,172,96,88,90922,869277,32028468,194604,1500,63661324,64002700,64771552,0,0,0,0,2,0,18066942,337801472,339915751,34232,35860,375,1591002,3185895,0,75414460,78665,504292062,308083941,0
1789787514.5232706,2.254,3825948,85156,0,172,96,88,90924,869298,32031661,197604,1532,63641904,63981788,64771552,0,0,0,1,3,0,18067764,337886806,340001095,34232,35860,383,1590554,3184998,0,75419467,78665,504294906,308083941,0
1789787514.7736897,2.504,3826308,85170,0,172,96,88,90927,869318,32035495,200984,1532,63615504,63953652,64771552,0,0,0,0,2,0,18068537,337972074,340086377,34232,35860,383,1589939,3183765,0,75427285,78675,504298282,308083941,0
1789787515.0240836,2.755,3826660,85181,0,172,96,88,90930,869354,32039793,203840,1532,63606332,63943044,64771552,0,0,0,0,2,0,18069148,338029698,340144001,34232,35860,383,1589746,3183379,0,75429633,78680,504301130,308083941,0
1789787515.2744846,3.005,3827019,85192,0,172,96,88,90932,869383,32044190,206268,1532,63599504,63935004,64771552,0,0,0,1,1,0,18069899,338097077,340211439,34232,35860,383,1589605,3183098,0,75431300,78683,504303574,308083941,0
1789787515.524914,3.256,3827363,85203,0,172,96,88,90936,869422,32049652,208564,1532,63634112,63968472,64771552,0,0,0,0,1,0,18070562,338139832,340254203,34232,35860,383,1590498,3184885,0,75436096,78686,504305854,308083945,0
1789787515.817798,3.549,3827805,85228,0,172,96,88,90937,869425,32050575,236412,1532,63615932,63936112,64771552,0,0,0,1,1,0,18071808,338383444,340497822,34232,35860,383,1590398,3184685,0,75439406,78914,504334378,308083945,0
1789787516.0701277,3.801,3828180,85247,0,172,96,88,90938,869428,32051202,250548,1532,63598796,63911732,64771552,0,0,0,1,1,0,18072619,338573194,340687573,34232,35860,383,1590151,3184191,0,75443312,79019,504348714,308083945,0
1789787516.3204691,4.051,3828556,85263,0,172,96,88,90941,869435,32051722,262292,1532,63582316,63889336,64771552,0,0,0,1,2,0,18074531,338742718,340857097,34232,35860,383,1589887,3183662,0,75447451,79112,504360558,308083945,0
1789787516.5708077,4.302,3828922,85278,0,172,96,88,90942,869452,32053398,268616,1532,63567080,63870852,64771552,0,0,0,1,1,0,18075374,338818692,340933071,34232,35860,383,1589588,3183063,0,75451433,79124,504367074,308083945,0
1789787516.8212085,4.552,3829282,85292,0,172,96,88,90943,869477,32054880,271672,1532,63556772,63859008,64771552,0,0,0,0,2,0,18076060,338907337,341021722,34232,35860,383,1589369,3182625,0,75455346,79128,504370126,308083945,0
1789787517.071644,4.802,3829610,85305,0,172,96,88,90946,869531,32056706,274476,1532,63509196,63809836,64771552,0,0,0,1,3,0,18076422,338951955,341066340,34232,35860,383,1588212,3180308,0,75474498,79128,504372914,308083945,0
1789787517.322297,5.053,3829964,85315,0,172,96,88,90948,869565,32058575,277060,1532,63486400,63784444,64771552,0,0,0,1,1,0,18076857,339007794,341122179,34232,35860,383,1587643,3179169,0,75481303,79128,504375506,308083945,0
1789787517.5727816,5.304,3830315,85326,0,172,96,88,90949,869603,32062404,280532,1532,63466352,63760932,64771552,0,0,0,0,4,0,18077243,339040134,341154519,34232,35860,383,1587143,3178167,0,75487307,79131,504378978,308083945,0
1789787517.8232198,5.554,3830666,85337,0,172,96,88,90950,869639,32063580,283396,1532,63458336,63750068,64771552,0,0,0,0,2,0,18078121,339089031,341203434,34232,35860,383,1586943,3177766,0,75489831,79131,504381878,308083945,0
1789787518.07368,5.804,3831012,85346,0,172,96,88,90952,869681,32065076,286256,1536,63445148,63733996,64771552,0,0,0,1,1,0,18078504,339131918,341246321,34232,35860,384,1586614,3177107,0,75493427,79133,504384706,308083945,0
1789787518.3240826,6.055,3831373,85358,0,172,96,88,90953,869707,32066826,290008,1632,63430880,63716016,64771552,0,0,0,1,2,0,18079063,339206180,341320584,34232,35860,408,1586257,3176394,0,75496782,79133,504388386,308083945,0
