t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785004.3482409,0.0,585018,15252,0,172,53,43,20482,244864,5078278,116348,1328,63623404,64004852,64771552,0,0,0,1,1,0,12234022,62821280,64496175,34198,35826,332,1588981,3181848,0,20982093,8054,43437194,108087277,0
1789785004.5986614,0.25,585260,15269,0,172,53,43,20483,245003,5078888,125820,1328,63610468,63986152,64771552,0,0,0,1,16,0,12234277,62849455,64524423,34198,35826,332,1588819,3181522,0,20984755,8127,43449490,108087277,0
1789785004.849177,0.501,585630,15286,0,172,53,43,20485,245015,5079587,134432,1328,63597020,63968020,64771552,0,0,0,1,1,0,12234798,62939503,64614571,34198,35826,332,1588600,3181084,0,20989715,8163,43459678,108087277,0
1789785005.0995746,0.751,586005,15309,0,172,53,43,20486,245016,5080283,161984,1360,63577964,63934580,64771552,0,0,0,1,1,0,12235542,63101722,64776796,34198,35826,340,1588483,3180851,0,20993903,8370,43487530,108087277,0
1789785005.349897,1.002,586370,15332,0,172,53,43,20487,245026,5082514,172616,1360,63576244,63927484,64771552,0,0,0,1,2,0,12236281,63243581,64918678,34198,35826,340,1588575,3181034,0,20997109,8464,43498154,108087277,0
1789785005.600227,1.252,586740,15354,0,172,53,43,20488,245034,5084204,179000,1360,63571416,63919468,64771552,0,0,0,1,1,0,12237382,63425712,65100858,34198,35826,340,1588534,3180952,0,20999158,8470,43504566,108087277,0
1789785005.8505144,1.502,587107,15376,0,172,53,43,20490,245044,5085501,187372,1360,63549272,63893124,64771552,0,0,0,1,1,0,12238143,63588704,65263889,34198,35826,340,1588086,3180055,0,21004244,8470,43512922,108087277,0
1789785006.1008446,1.753,587460,15385,0,172,53,43,20495,245075,5089549,190140,1360,63545528,63887988,64771552,0,0,0,0,4,0,12238580,63614717,65289910,34198,35826,340,1588027,3179937,0,21020658,8478,43515918,108087309,0
1789785006.3512459,2.003,587817,15398,0,172,53,43,20497,245102,5092313,193832,1360,63531316,63871928,64771552,0,0,0,0,4,0,12239297,63689586,65364816,34198,35826,340,1587718,3179319,0,21028104,8479,43519482,108087309,0
1789785006.601577,2.253,588181,15411,0,172,53,43,20499,245123,5094976,196752,1360,63511356,63850512,64771552,0,0,0,1,2,0,12239961,63776903,65452133,34198,35826,340,1587256,3178394,0,21033164,8479,43522326,108087309,0
1789785006.85189,2.504,588542,15425,0,172,53,43,20502,245146,5097935,200044,1360,63483708,63821208,64771552,0,0,0,0,2,0,12240719,63862936,65538165,34198,35826,340,1586607,3177095,0,21040988,8486,43525702,108087309,0
1789785007.1022532,2.754,588892,15436,0,172,53,43,20504,245183,5101763,202900,1360,63473528,63809592,64771552,0,0,0,0,2,0,12241196,63916878,65592113,34198,35826,340,1586389,3176658,0,21043218,8491,43528550,108087309,0
1789785007.352575,3.004,589251,15447,0,172,53,43,20506,245212,5105845,205452,1360,63480776,63815572,64771552,0,0,0,1,1,0,12241842,63984693,65659941,34198,35826,340,1586602,3177083,0,21045359,8494,43530994,108087309,0
1789785007.602894,3.255,589598,15458,0,172,53,43,20509,245248,5110358,207724,1360,63523952,63857604,64771552,0,0,0,0,1,0,12242589,64007801,65683172,34198,35826,340,1587708,3179299,0,21050217,8497,43533274,108087313,0
1789785007.8897765,3.542,590031,15482,0,172,53,43,20511,245251,5111246,235580,1360,63515992,63835464,64771552,0,0,0,1,1,0,12243960,64255324,65930704,34198,35826,340,1587863,3179610,0,21053543,8725,43561798,108087313,0
