stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789785013155,1789785013608,453,False,360,42231140,58,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789785014971,1789785016377,1406,False,1382,988450143,18,43,2389,0,0,0,119813868,482910,0,0,0,0,113348692,482910,164940783
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789785014968,1789785016388,1420,False,1395,1027936006,19,43,2346,0,0,0,119813883,482910,0,0,0,0,113348378,482910,158630762
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789785014970,1789785016391,1421,False,1400,1006105664,18,43,2346,0,0,0,119813868,482910,0,0,0,0,113348804,482910,162033448
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789785014971,1789785016409,1438,False,1417,1149913265,18,43,2346,0,0,0,119813853,482910,0,0,0,0,113351990,482910,161221981
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789785016409,1789785017215,806,False,799,703932711,2,33,2346,0,0,0,119811786,482907,0,0,0,0,113349325,482907,126583018
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789785016387,1789785017250,863,False,857,749992501,1,33,2346,0,0,0,119813129,482909,0,0,0,0,113354783,482909,130080894
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789785016391,1789785017250,859,False,854,746498430,2,33,2346,0,0,0,119811786,482907,0,0,0,0,113351387,482907,129657810
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789785016375,1789785017251,876,False,869,765601927,2,33,2346,0,0,0,119813838,482910,0,0,0,0,113358612,482910,146578361
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789785017214,1789785017979,765,False,757,703301289,3,14,2346,0,0,0,119811771,482907,0,0,0,0,113351348,482907,132029920
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789785017249,1789785018011,762,False,756,686176692,2,14,2346,0,0,0,119811771,482907,0,0,0,0,113355163,482907,128685349
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789785017250,1789785018039,789,False,784,698581299,1,14,2346,0,0,0,119811771,482907,0,0,0,0,113346022,482907,128767252
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789785017249,1789785018048,799,False,793,700792354,2,14,2346,0,0,0,119811771,482907,0,0,0,0,113350731,482907,128894530
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789785017978,1789785018712,734,False,728,688915217,2,16,2346,0,0,0,119811771,482907,0,0,0,0,113351919,482907,127409492
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789785018010,1789785018744,734,False,729,691694621,1,16,2346,0,0,0,119811771,482907,0,0,0,0,113349962,482907,128278006
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789785018038,1789785018776,738,False,731,676845902,1,21,2346,0,0,0,119811771,482907,0,0,0,0,113348263,482907,133799205
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789785018047,1789785018800,753,False,747,692277288,2,24,2346,0,0,0,119811756,482907,0,0,0,0,113356441,482907,137599830
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789785018712,1789785019454,742,False,737,690460367,2,22,2346,0,0,0,119811756,482907,0,0,0,0,113356170,482907,127595891
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789785018743,1789785019475,732,False,728,680591485,1,22,2346,0,0,0,119811756,482907,0,0,0,0,113352282,482907,125247930
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789785018775,1789785019511,736,False,727,681090092,5,17,2346,0,0,0,119811756,482907,0,0,0,0,113348605,482907,126933769
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789785018799,1789785019529,730,False,725,678359049,1,14,2346,0,0,0,119811756,482907,0,0,0,0,113349737,482907,126571196
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789785019453,1789785020196,743,False,737,694521121,1,17,2346,0,0,0,119811756,482907,0,0,0,0,113351951,482907,127397924
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789785019475,1789785020220,745,False,741,695680614,1,17,2346,0,0,0,119811756,482907,0,0,0,0,113345438,482907,127346381
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789785019510,1789785020243,733,False,728,682096477,1,17,2346,0,0,0,119811756,482907,0,0,0,0,113352568,482907,126135845
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789785019528,1789785020270,742,False,738,685428711,1,21,2346,0,0,0,119811756,482907,0,0,0,0,113342567,482907,132106399
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789785020220,1789785020956,736,False,730,672539549,1,23,2346,0,0,0,119811756,482907,0,0,0,0,113350301,482907,125064198
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789785020195,1789785020985,790,False,784,713043844,2,23,2346,0,0,0,119811756,482907,0,0,0,0,113356799,482907,130990430
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789785020242,1789785020995,753,False,749,677279590,1,23,2346,0,0,0,119811751,482907,0,0,0,0,113349437,482907,126680919
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789785020270,1789785021018,748,False,744,689356288,1,19,2346,0,0,0,119811741,482907,0,0,0,0,113351562,482907,131715844
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789785020955,1789785021680,725,False,719,681566106,2,14,2346,0,0,0,119811741,482907,0,0,0,0,113350645,482907,122088640
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789785020985,1789785021715,730,False,726,679260913,1,14,2346,0,0,0,119811741,482907,0,0,0,0,113347689,482907,126470381
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789785020995,1789785021734,739,False,736,670632645,1,14,2346,0,0,0,119811741,482907,0,0,0,0,113350887,482907,124946727
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789785021017,1789785021756,739,False,734,676885104,1,14,2346,0,0,0,119811741,482907,0,0,0,0,113345384,482907,126877557
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789785021680,1789785022431,751,False,746,703272818,1,19,2346,0,0,0,119811741,482907,0,0,0,0,113341194,482907,123105146
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789785021715,1789785022466,751,False,747,698268179,1,19,2346,0,0,0,119811741,482907,0,0,0,0,113353194,482907,126253173
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789785021755,1789785022501,746,False,742,682251871,1,19,2346,0,0,0,119811741,482907,0,0,0,0,113350577,482907,128320738
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789785021734,1789785022517,783,False,779,726388337,1,19,2346,0,0,0,119811741,482907,0,0,0,0,113351366,482907,133137961
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789785022430,1789785023145,715,False,710,674709848,1,7,2346,0,0,0,119811741,482907,0,0,0,0,113347818,482907,119872904
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789785022465,1789785023187,722,False,718,684621621,1,7,2346,0,0,0,119811741,482907,0,0,0,0,113355421,482907,125880695
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789785022501,1789785023225,724,False,720,682804203,1,7,2346,0,0,0,119811731,482907,0,0,0,0,113349618,482907,125718862
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789785022516,1789785023241,725,False,721,677100197,1,7,2346,0,0,0,119811726,482907,0,0,0,0,113355354,482907,124308402
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789785023144,1789785023873,729,False,723,685245548,1,11,2346,0,0,0,119811726,482907,0,0,0,0,113351254,482907,119927895
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789785023187,1789785023928,741,False,737,703961637,1,11,2346,0,0,0,119811726,482907,0,0,0,0,113352268,482907,124359385
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789785023224,1789785023955,731,False,727,688233938,1,11,2346,0,0,0,119811726,482907,0,0,0,0,113347579,482907,124761797
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789785023240,1789785023984,744,False,740,697962955,1,11,2346,0,0,0,119811726,482907,0,0,0,0,113347539,482907,124831612
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789785023872,1789785024572,700,False,696,671121415,1,3,2346,0,0,0,119811726,482907,0,0,0,0,113349346,482907,119169650
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789785023928,1789785024634,706,False,703,676307239,1,3,2346,0,0,0,119811726,482907,0,0,0,0,113352989,482907,122864839
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789785023955,1789785024656,701,False,698,673530313,1,3,2346,0,0,0,119811726,482907,0,0,0,0,113358963,482907,122798864
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789785023984,1789785024725,741,False,736,701784219,1,11,2346,0,0,0,119811726,482907,0,0,0,0,113344230,482907,149132044
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789785024572,1789785025267,695,False,692,660203915,1,8,2346,0,0,0,119811726,482907,0,0,0,0,113351749,482907,119050238
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789785024634,1789785025352,718,False,714,678826484,1,10,2346,0,0,0,119811721,482907,0,0,0,0,113355540,482907,127999530
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789785024656,1789785025368,712,False,709,669615892,1,10,2346,0,0,0,119811711,482907,0,0,0,0,113351505,482907,125667169
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789785024724,1789785025428,704,False,699,674269247,1,2,2346,0,0,0,119811711,482907,0,0,0,0,113353795,482907,121260240
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789785025266,1789785025972,706,False,702,673904063,1,5,2346,0,0,0,119811711,482907,0,0,0,0,113355985,482907,119219015
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789785025351,1789785026057,706,False,701,675200777,1,3,2346,0,0,0,119811711,482907,0,0,0,0,113348821,482907,126230158
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789785025368,1789785026078,710,False,707,678129392,1,3,2346,0,0,0,119811711,482907,0,0,0,0,113350788,482907,123077760
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789785025427,1789785026127,700,False,696,669908480,1,3,2346,0,0,0,119811711,482907,0,0,0,0,113355515,482907,121120603
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789785025972,1789785026709,737,False,733,689115445,1,8,2346,0,0,0,119811711,482907,0,0,0,0,113346283,482907,121069843
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789785026056,1789785026828,772,False,768,712232471,1,10,2346,0,0,0,119811711,482907,0,0,0,0,113354448,482907,134723141
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789785026078,1789785026830,752,False,749,672534143,1,10,2346,0,0,0,119811711,482907,0,0,0,0,113356283,482907,123409559
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789785026127,1789785026864,737,False,734,683175788,1,10,2346,0,0,0,119811711,482907,0,0,0,0,113354844,482907,124196704
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789785026708,1789785027424,716,False,712,669824523,1,4,2346,0,0,0,119811711,482907,0,0,0,0,113347989,482907,119360650
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789785026828,1789785027552,724,False,721,669508248,1,2,2346,0,0,0,119811696,482907,0,0,0,0,113354484,482907,121308984
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789785026830,1789785027581,751,False,748,672610916,0,2,2303,0,0,0,119811696,482907,0,0,0,0,113353456,482907,122393867
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789785026864,1789785027604,740,False,737,673400494,1,2,2346,0,0,0,119811691,482907,0,0,0,0,113351260,482907,125097263
1,save at NativeMethodAccessorImpl.java:0,68,67,0,1789785027604,1789785027995,391,False,386,331974553,1,8,2346,0,0,0,56705595,229387,0,0,0,0,53026020,229387,52759880
1,save at NativeMethodAccessorImpl.java:0,65,64,0,1789785027424,1789785028152,728,False,725,691679710,1,8,2346,0,0,0,119811681,482907,0,0,0,0,113351605,482907,126567712
1,save at NativeMethodAccessorImpl.java:0,67,66,0,1789785027581,1789785028227,646,False,643,576213074,1,8,2346,0,0,0,100765969,406449,0,0,0,0,95112051,406449,101047748
1,save at NativeMethodAccessorImpl.java:0,66,65,0,1789785027552,1789785028311,759,False,755,707679737,1,8,2346,0,0,0,119811676,482907,0,0,0,0,113352375,482907,128506819
1,save at NativeMethodAccessorImpl.java:0,69,68,0,1789785027994,1789785028367,373,False,369,309656104,1,2,2346,0,0,0,56705595,229387,0,0,0,0,53025490,229387,53205677
1,save at NativeMethodAccessorImpl.java:0,70,69,0,1789785028152,1789785028524,372,False,368,320064344,1,2,2346,0,0,0,56705595,229387,0,0,0,0,53026292,229387,60280588
1,save at NativeMethodAccessorImpl.java:0,71,70,0,1789785028227,1789785028582,355,False,352,305849312,1,2,2346,0,0,0,56705595,229387,0,0,0,0,53024101,229387,53664589
1,save at NativeMethodAccessorImpl.java:0,72,71,0,1789785028310,1789785028661,351,False,347,306628154,1,2,2346,0,0,0,56705595,229387,0,0,0,0,53024903,229387,55342241
1,save at NativeMethodAccessorImpl.java:0,73,72,0,1789785028367,1789785028759,392,False,389,341400170,1,2,2346,0,0,0,56705370,229387,0,0,0,0,53028307,229387,61855977
1,save at NativeMethodAccessorImpl.java:0,74,73,0,1789785028523,1789785028891,368,False,365,304605549,1,2,2346,0,0,0,56700250,229383,0,0,0,0,53024908,229383,54120456
1,save at NativeMethodAccessorImpl.java:0,75,74,0,1789785028582,1789785028949,367,False,363,303514949,1,2,2346,0,0,0,56682035,229368,0,0,0,0,53015643,229368,54871047
1,save at NativeMethodAccessorImpl.java:0,78,77,0,1789785028891,1789785028954,63,False,60,53788686,1,0,2303,0,0,0,8949765,36216,0,0,0,0,8371943,36216,10597164
2,save at NativeMethodAccessorImpl.java:0,79,0,0,1789785028947,1789785028991,44,False,37,36178012,2,0,2028,0,0,0,0,2500,0,0,0,0,46131,2500,7319121
2,save at NativeMethodAccessorImpl.java:0,80,1,0,1789785028954,1789785028992,38,False,35,21723770,0,0,1985,0,0,0,0,2500,0,0,0,0,43446,2500,8871518
