t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786461.427312,0.0,2419915,60579,0,172,82,69,64378,645019,22465778,116796,1388,63866616,64247396,64771552,0,0,0,1,1,0,15922624,244157011,246061150,34223,35852,347,1595044,3193989,0,56855249,56180,331933086,222238105,0
1789786461.6785843,0.251,2420161,60597,0,172,83,69,64379,645155,22466412,126528,1388,63851516,64226768,64771552,0,0,0,1,16,0,15922937,244186239,246090393,34223,35852,347,1594840,3193580,0,56857909,56253,331945390,222238105,0
1789786461.9291015,0.502,2420528,60614,0,172,83,69,64382,645169,22467112,133928,1388,63836556,64207500,64771552,0,0,0,1,1,0,15924142,244270877,246175073,34223,35852,347,1594574,3193047,0,56862808,56287,331954510,222238105,0
1789786462.1795392,0.752,2420903,60637,0,172,83,69,64383,645169,22467814,162228,1420,63808600,64165104,64771552,0,0,0,1,1,0,15924969,244429247,246333454,34223,35852,355,1594237,3192372,0,56867040,56493,331983278,222238105,0
1789786462.4299188,1.003,2421268,60660,0,172,83,69,64385,645178,22470042,173092,1420,63792332,64143276,64771552,0,0,0,1,2,0,15925872,244580217,246484610,34223,35852,355,1593969,3191836,0,56870266,56589,331994070,222238105,0
1789786462.680281,1.253,2421639,60682,0,172,83,69,64386,645185,22471755,179616,1420,63781800,64129484,64771552,0,0,0,0,2,0,15926879,244764494,246669124,34223,35852,355,1593788,3191473,0,56872321,56595,332000526,222238105,0
1789786462.9306574,1.503,2422006,60703,0,172,83,69,64387,645196,22473095,187928,1420,63760616,64104104,64771552,0,0,0,1,1,0,15927721,244925889,246830519,34223,35852,355,1593364,3190624,0,56877407,56595,332008858,222238105,0
1789786463.18099,1.754,2422360,60712,0,172,83,69,64393,645226,22476914,190868,1420,63756880,64098904,64771552,0,0,0,0,4,0,15928674,244947752,246852394,34223,35852,355,1593307,3190510,0,56893341,56603,332011806,222238137,0
1789786463.4314032,2.004,2422717,60725,0,172,83,69,64395,645251,22479654,194344,1420,63732892,64073164,64771552,0,0,0,0,2,0,15929370,245022791,246927530,34223,35852,355,1592752,3189398,0,56900607,56604,332015258,222238137,0
1789786463.6818378,2.255,2423082,60737,0,172,83,69,64396,645272,22482817,197228,1420,63711488,64050340,64771552,0,0,0,1,2,0,15930052,245110237,247015002,34223,35852,355,1592253,3188399,0,56905323,56604,332018146,222238137,0
1789786463.9322264,2.505,2423442,60752,0,172,83,69,64399,645293,22486646,200628,1420,63680440,64017556,64771552,0,0,0,0,2,0,15930926,245194554,247099327,34223,35852,355,1591521,3186934,0,56913149,56613,332021534,222238137,0
1789786464.1825926,2.755,2423795,60763,0,172,83,69,64401,645326,22490373,203552,1420,63667992,64003644,64771552,0,0,0,0,6,0,15931464,245254263,247159042,34223,35852,355,1591247,3186385,0,56915375,56618,332024462,222238137,0
1789786464.432909,3.006,2424153,60773,0,172,83,69,64403,645355,22495227,205608,1420,63664084,63998704,64771552,0,0,0,1,1,0,15932221,245324447,247229226,34223,35852,355,1591175,3186241,0,56917214,56620,332026742,222238137,0
1789786464.6832275,3.256,2424494,60785,0,172,83,69,64408,645394,22500760,208092,1420,63643096,63976476,64771552,0,0,0,0,1,0,15932798,245373413,247278192,34223,35852,355,1590682,3185254,0,56921826,56624,332029190,222238141,0
1789786464.9787483,3.551,2424940,60810,0,172,83,69,64410,645396,22501685,235952,1420,63621656,63941184,64771552,0,0,0,1,1,0,15933998,245616424,247521203,34223,35852,355,1590493,3184875,0,56925154,56852,332057714,222238141,0
1789786465.2311833,3.804,2425315,60829,0,172,83,69,64411,645400,22502307,249888,1420,63605056,63917268,64771552,0,0,0,0,2,0,15934799,245806530,247711318,34223,35852,355,1590261,3184411,0,56929050,56957,332072054,222238141,0
1789786465.481523,4.054,2425691,60846,0,172,83,69,64412,645407,22502858,261532,1420,63588692,63895032,64771552,0,0,0,1,1,0,15935691,245976069,247880857,34223,35852,355,1589999,3183886,0,56933188,57050,332083918,222238141,0
1789786465.7318926,4.305,2426057,60861,0,172,83,69,64414,645422,22504633,268416,1420,63568352,63871192,64771552,0,0,0,1,1,0,15936274,246056097,247960894,34223,35852,355,1589579,3183044,0,56937265,57062,332090474,222238141,0
1789786465.9822924,4.555,2426417,60875,0,172,83,69,64416,645447,22506458,271252,1420,63550776,63852000,64771552,0,0,0,1,1,0,15936844,246142733,248047530,34223,35852,355,1589180,3182247,0,56941473,57066,332093474,222238141,0
1789786466.232734,4.805,2426744,60887,0,172,83,69,64420,645505,22508573,274096,1420,63475740,63775748,64771552,0,0,0,1,3,0,15937191,246186225,248091022,34223,35852,355,1587338,3178557,0,56960742,57066,332096290,222238141,0
1789786466.4831934,5.056,2427097,60897,0,172,83,69,64422,645539,22510737,276548,1420,63454100,63751564,64771552,0,0,0,0,2,0,15937661,246251816,248156619,34223,35852,355,1586805,3177490,0,56967594,57066,332098846,222238141,0
1789786466.7337992,5.306,2427448,60909,0,172,83,69,64424,645575,22516067,279976,1420,63428684,63722708,64771552,0,0,0,0,4,0,15938184,246306556,248211359,34223,35852,355,1586170,3176219,0,56973588,57069,332102322,222238141,0
1789786466.9842393,5.557,2427801,60919,0,172,83,69,64425,645611,22517692,283032,1420,63422164,63713508,64771552,0,0,0,0,2,0,15938587,246357432,248262235,34223,35852,355,1586008,3175894,0,56976461,57069,332105238,222238141,0
1789786467.234699,5.807,2428149,60929,0,172,83,69,64427,645650,22520490,285736,1516,63409812,63698168,64771552,0,0,0,1,1,0,15938976,246402228,248307031,34223,35852,379,1585699,3175276,0,56979928,57071,332108054,222238141,0
1789786467.4851255,6.058,2428507,60941,0,172,83,69,64428,645678,22522557,289812,1520,63399156,63683308,64771552,0,0,0,0,3,0,15940113,246474854,248379669,34223,35852,380,1585433,3174743,0,56983120,57071,332111794,222238141,0
1789786467.735535,6.308,2428857,60946,0,172,83,69,64430,645722,22525387,291660,1520,63385772,63668100,64771552,0,0,0,0,2,0,15940461,246500371,248405186,34223,35852,380,1585099,3174074,0,56987372,57071,332113626,222238141,0
1789786467.9859142,6.559,2429174,60947,0,172,83,69,64433,645799,22533853,292152,1520,63377732,63659532,64771552,0,0,0,0,1,0,15941126,246504398,248409213,34223,35852,380,1584898,3173672,0,56992301,57073,332114118,222238141,0
1789786468.2363725,6.809,2429512,60950,0,172,83,69,64435,645852,22539944,292884,1520,63372600,63653684,64771552,0,0,0,0,4,0,15941632,246516765,248421586,34223,35852,380,1584770,3173416,0,56993884,57075,332114882,222238141,0
1789786468.4868398,7.06,2429883,60964,0,172,83,69,64436,645866,22541445,297172,1520,63367180,63644016,64771552,0,0,0,0,2,0,15942656,246640490,248545359,34223,35852,380,1584635,3173145,0,56995136,57076,332119138,222238141,0
1789786468.737274,7.31,2430255,60972,0,172,83,69,64437,645886,22542607,299328,1520,63354808,63629444,64771552,0,0,0,0,2,0,15943174,246707792,248612661,34223,35852,380,1584326,3172527,0,56998252,57076,332121294,222238141,0
1789786468.9877234,7.56,2430613,60980,0,172,83,69,64439,645919,22545052,301396,1520,63335664,63608288,64771552,0,0,0,0,4,0,15943576,246758710,248663579,34223,35852,380,1583848,3171570,0,57003511,57076,332123362,222238141,0
1789786469.2383714,7.811,2430981,60993,0,172,83,69,64440,645939,22545597,304920,1520,63313988,63583036,64771552,0,0,0,1,1,0,15944148,246856774,248761643,34223,35852,380,1583307,3170486,0,57008987,57076,332126930,222238141,0
1789786469.488832,8.062,2431351,61000,0,172,83,69,64441,645959,22546632,306788,1520,63291480,63558640,64771552,0,0,0,0,5,0,15944642,246914963,248819832,34223,35852,380,1582745,3169361,0,57013936,57076,332128770,222238141,0
1789786469.7394443,8.312,2431703,61008,0,172,83,69,64442,645997,22548439,308756,1520,63270904,63536116,64771552,0,0,0,1,2,0,15944981,246959466,248864340,34223,35852,380,1582232,3168332,0,57020027,57076,332130730,222238141,0
1789786469.989913,8.563,2432050,61016,0,172,83,69,64445,646038,22551962,310628,1520,63243616,63506392,64771552,0,0,0,1,4,0,15945399,246997843,248902722,34223,35852,380,1581550,3166968,0,57026035,57076,332133202,222238141,0
1789786470.2406054,8.813,2432379,61021,0,172,83,69,64448,646102,22556837,312260,1524,63196908,63458032,64771552,0,0,0,1,4,0,15946079,247010569,248915448,34223,35852,381,1580384,3164633,0,57035607,57076,332134794,222238141,0
1789786470.4912598,9.064,2432700,61028,0,172,83,69,64452,646171,22559292,313824,1676,63155380,63414948,64771552,0,0,0,0,2,0,15946276,247022045,248926925,34223,35852,419,1579348,3162558,0,57047783,57076,332136430,222238141,0
1789786470.7417414,9.314,2433060,61038,0,172,83,69,64454,646198,22561327,316912,1676,63126128,63382592,64771552,0,0,0,0,2,0,15946824,247076176,248981055,34223,35852,419,1578618,3161095,0,57056950,57076,332139294,222238141,0
1789786470.992185,9.565,2433425,61043,0,172,83,69,64457,646223,22564844,318412,1684,63231264,63486252,64771552,0,0,0,0,5,0,15947182,247104639,249009519,34223,35852,421,1581242,3166351,0,57063238,57076,332140786,222238141,0
1789786471.2426186,9.815,2433793,61051,0,172,83,69,64458,646245,22565964,320224,1684,63208908,63462076,64771552,0,0,0,0,2,0,15947654,247168392,249073271,34223,35852,421,1580684,3165233,0,57068913,57076,332142662,222238141,0
1789786471.4930522,10.066,2434152,61060,0,172,83,69,64461,646274,22567941,322988,1684,63188728,63439136,64771552,0,0,0,1,1,0,15948140,247222939,249127818,34223,35852,421,1580180,3164225,0,57075268,57076,332145366,222238141,0
1789786471.743481,10.316,2434490,61065,0,172,83,69,64463,646327,22573068,324584,1688,63172504,63421296,64771552,0,0,0,0,4,0,15948579,247246060,249150939,34223,35852,422,1579775,3163414,0,57079640,57077,332146986,222238141,0
1789786471.9939575,10.567,2434782,61067,0,172,83,69,64468,646424,22583603,325252,1748,63165404,63413496,64771552,0,0,0,0,9,0,15949096,247247972,249152851,34223,35852,437,1579598,3163059,0,57084554,57077,332147626,222238201,0
1789786472.2444255,10.817,2435069,61080,0,172,83,69,64478,646510,22592217,482428,1748,63072556,63163500,64771552,0,0,0,0,2,0,15949710,247264129,249169008,34223,35852,437,1577280,3158417,0,57110141,57077,332304790,222238201,0
1789786472.4949093,11.068,2435317,61081,0,172,83,69,64492,646646,22600474,509988,28928,62933360,62996352,64771552,0,0,0,0,5,0,15950625,247265262,249170142,34223,35852,7232,1573803,3151455,0,57145862,57077,332305118,222238201,0
1789786472.7453926,11.318,2435576,61090,0,172,83,69,64508,646760,22609358,783884,147068,62794824,62583144,64771552,0,0,0,0,5,0,15951155,247274711,249179633,34223,35852,36871,1570326,3144492,0,57178417,57077,332461054,222238201,0
1789786472.9961123,11.569,2435870,61101,0,172,83,69,64522,646836,22614054,1089088,296156,62647596,62128720,64771552,0,0,0,0,5,0,15951618,247301145,249206066,34223,35852,74039,1566601,3137032,0,57217952,57077,332616990,222238201,0
1789786473.2468328,11.82,2436153,61101,0,172,83,69,64560,646912,22617846,1238156,445208,62327704,61657584,64771552,0,0,0,0,15,0,15952181,247301437,249206359,34223,35852,111302,1558559,3120930,0,57226591,57077,332617006,222238201,0
1789786473.4974911,12.07,2436405,61112,0,172,83,69,64567,647035,22622309,1472076,523360,62365380,61460520,64771552,0,0,0,0,6,0,15953370,247316578,249221521,34225,35853,130840,1559489,3122792,0,57232344,57077,332772942,222238201,0
1789786473.747989,12.321,2436676,61123,0,172,83,69,64586,647127,22629009,1777844,672776,62206032,60993924,64771552,0,0,0,0,5,0,15953858,247337512,249242457,34225,35853,168194,1555466,3114736,0,57285333,57077,332928878,222238201,0
1789786473.9984646,12.571,2436972,61134,0,172,83,69,64597,647207,22632116,2105188,844916,62237148,60694984,64771552,0,0,0,0,5,0,15954283,247365094,249270038,34225,35853,211229,1556175,3116156,0,57285596,57077,333084814,222238201,0
1789786474.2489605,12.822,2437244,61145,0,172,83,69,64634,647284,22637780,2343600,926908,61903452,60121740,64771552,0,0,0,0,5,0,15954764,247380198,249285146,34225,35853,231828,1547826,3099436,0,57308081,57077,333240750,222238201,0
1789786474.4994426,13.072,2437539,61156,0,172,83,69,64645,647363,22640587,2669716,1097220,62030780,59921104,64771552,0,0,0,0,5,0,15955189,247407330,249312282,34225,35853,274305,1550949,3105691,0,57309458,57077,333396686,222238201,0
1789786474.749957,13.323,2437829,61166,0,172,83,69,64664,647438,22646816,2980476,1251480,61994104,59571760,64771552,0,0,0,0,5,0,15955682,247430240,249335192,34225,35853,312971,1549986,3103762,0,57349259,57077,333552622,222238201,0
1789786475.0004373,13.573,2438094,61175,0,172,83,69,64701,647528,22651250,3229344,1344892,61718512,59045760,64771552,0,0,0,0,7,0,15956337,247443344,249348302,34225,35853,336223,1543067,3089908,0,57357497,57077,333708558,222238201,0
1789786475.2509723,13.824,2438357,61185,0,172,83,69,64725,647632,22658168,3535296,1494860,61719808,58739368,64771552,0,0,0,0,5,0,15956776,247459563,249364521,34225,35853,373816,1543066,3089905,0,57388321,57077,333864494,222238201,0
1789786475.5017042,14.074,2438655,61195,0,172,83,69,64733,647714,22660671,3859952,1663800,61821584,58513764,64771552,0,0,0,0,5,0,15957510,247483783,249388741,34225,35853,415950,1545530,3094838,0,57388632,57077,334020430,222238201,0
1789786475.7524202,14.325,2438935,61205,0,172,83,69,64772,647784,22665157,4125248,1773020,61545776,57970928,64771552,0,0,0,0,7,0,15958161,247501193,249406183,34225,35853,443255,1538599,3080961,0,57398392,57077,334176366,222238201,0
1789786476.0031917,14.576,2439223,61216,0,172,83,69,64788,647865,22671514,4421272,1913480,61546768,57674440,64771552,0,0,0,0,5,0,15958665,247525394,249430385,34225,35853,478370,1538588,3080939,0,57423193,57077,334332302,222238201,0
1789786476.2539392,14.827,2439511,61227,0,172,83,69,64799,647956,22674227,4748788,2084608,61627212,57424496,64771552,0,0,0,0,5,0,15959053,247550220,249455210,34225,35853,521254,1540534,3084836,0,57423739,57077,334488238,222238201,0
1789786476.5046566,15.077,2439793,61233,0,172,83,69,64837,648031,22679635,4983292,2215932,61312624,56873132,64771552,0,0,0,1,7,0,15959471,247559268,249464269,34225,35853,553983,1532616,3068980,0,57444639,57077,334592442,222238201,0
1789786476.7553065,15.328,2440077,61245,0,172,83,69,64848,648124,22683899,5317252,2341388,61595984,56821076,64771552,0,0,0,0,6,0,15959977,247584823,249489827,34225,35853,585347,1539654,3083072,0,57444941,57077,334800110,222238201,0
1789786477.0058086,15.578,2440364,61254,0,172,83,69,64858,648218,22686264,5648920,2516876,61666388,56557128,64771552,0,0,0,0,5,0,15960320,247604524,249509528,34225,35853,629219,1541344,3086457,0,57444981,57077,334956046,222238765,0
