t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787101.333574,0.0,3276500,75108,0,172,91,80,80007,780022,28157911,117308,2796,63779740,64157432,64771552,0,292,0,1,1,0,17205963,300112308,302139326,34230,35858,699,1592810,3189514,73,68155973,69429,435298462,273037673,0
1789787101.5845847,0.251,3276743,75125,0,172,91,80,80008,780161,28158570,126916,2652,63768500,64143748,64771552,0,0,0,0,17,0,17206829,300140987,302168019,34230,35858,663,1592778,3189450,0,68158635,69501,435310494,273037673,0
1789787101.8351533,0.502,3277113,75142,0,172,91,80,80011,780171,28159270,135108,2652,63752296,64122676,64771552,0,0,0,0,1,0,17207520,300232762,302259819,34230,35858,663,1592495,3188884,0,68163607,69534,435320646,273037673,0
1789787102.08554,0.752,3277488,75165,0,172,91,80,80013,780171,28159953,163040,2684,63747316,64103488,64771552,0,0,0,1,1,0,17208291,300395414,302422477,34230,35858,671,1592725,3189345,0,68167795,69741,435348498,273037673,0
1789787102.3358877,1.002,3277853,75188,0,172,91,80,80015,780180,28162180,173688,2684,63743652,64094504,64771552,0,0,0,1,1,0,17209100,300537744,302564831,34230,35858,671,1592766,3189428,0,68170997,69834,435359126,273037673,0
1789787102.58626,1.253,3278223,75210,0,172,91,80,80016,780185,28163862,180076,2684,63742908,64090576,64771552,0,0,0,1,1,0,17210001,300718396,302745522,34230,35858,671,1592827,3189550,0,68173045,69840,435365526,273037673,0
1789787102.8366115,1.503,3278590,75232,0,172,91,80,80017,780195,28165185,188428,2684,63734880,64078344,64771552,0,0,0,1,1,0,17210757,300881878,302909039,34230,35858,671,1592732,3189358,0,68178127,69840,435373882,273037673,0
1789787103.0869856,1.753,3278944,75241,0,172,91,80,80023,780225,28168772,191380,2684,63737556,64079480,64771552,0,0,0,1,3,0,17211147,300895728,302922890,34230,35858,671,1592837,3189569,0,68194151,69848,435376850,273037705,0
1789787103.3373935,2.004,3279301,75254,0,172,91,80,80025,780253,28170867,194852,2684,63706852,64047040,64771552,0,0,0,0,2,0,17212064,300936947,302964205,34230,35858,671,1592114,3188121,0,68201630,69849,435380298,273037705,0
1789787103.5878232,2.254,3279666,75266,0,172,91,80,80027,780273,28173292,197728,2684,63690080,64028844,64771552,0,0,0,0,2,0,17212725,301023629,303050887,34230,35858,671,1591731,3187354,0,68206417,69849,435383158,273037705,0
1789787103.8382082,2.505,3280025,75281,0,172,91,80,80030,780298,28176604,201092,2684,63663756,64000812,64771552,0,0,0,0,4,0,17213379,301105457,303132715,34230,35858,671,1591116,3186123,0,68214321,69857,435386538,273037705,0
1789787104.0885925,2.755,3280378,75292,0,172,91,80,80031,780334,28180168,204012,2684,63655840,63991440,64771552,0,0,0,1,3,0,17213865,301164254,303191520,34230,35858,671,1590955,3185801,0,68216536,69862,435389494,273037705,0
1789787104.3389819,3.005,3280733,75302,0,172,91,80,80033,780365,28184863,206168,2684,63649364,63983904,64771552,0,0,0,1,1,0,17214895,301220762,303248089,34230,35858,671,1590820,3185530,0,68218385,69864,435391618,273037705,0
1789787104.589385,3.256,3281075,75314,0,172,91,80,80036,780407,28190526,208788,2688,63639472,63972680,64771552,0,0,0,0,1,0,17215457,301273157,303300562,34230,35858,672,1590606,3185102,0,68223097,69868,435394234,273037709,0
1789787104.8804982,3.547,3281515,75339,0,172,91,80,80038,780409,28191474,236644,2684,63626864,63945892,64771552,0,0,0,1,1,0,17216658,301518362,303545775,34230,35858,671,1590646,3185181,0,68226426,70096,435422758,273037709,0
1789787105.1332023,3.8,3281890,75358,0,172,91,80,80039,780414,28192105,250784,2684,63608716,63920496,64771552,0,0,0,1,1,0,17217498,301707639,303735052,34230,35858,671,1590373,3184636,0,68230321,70201,435437094,273037709,0
1789787105.3835502,4.05,3282266,75375,0,172,91,80,80041,780420,28192639,262540,2684,63592400,63898252,64771552,0,0,0,1,1,0,17218596,301876289,303903742,34230,35858,671,1590114,3184117,0,68234456,70294,435448954,273037709,0
1789787105.6339822,4.3,3282631,75389,0,172,91,80,80043,780437,28194789,268744,2684,63576252,63878916,64771552,0,0,0,0,2,0,17219168,301950540,303978003,34230,35858,671,1589791,3183469,0,68238410,70306,435455434,273037709,0
1789787105.884365,4.551,3282990,75403,0,172,91,80,80044,780464,28197084,271836,2684,63559700,63860800,64771552,0,0,0,0,2,0,17219761,302034012,304061475,34230,35858,671,1589416,3182719,0,68242133,70310,435458438,273037709,0
1789787106.1347861,4.801,3283320,75415,0,172,91,80,80047,780517,28199283,274440,2684,63491564,63791252,64771552,0,0,0,1,3,0,17221200,302079248,304106711,34230,35858,671,1587745,3179373,0,68261259,70310,435461050,273037709,0
1789787106.3852353,5.052,3283671,75426,0,172,91,80,80049,780552,28201479,277112,2684,63468608,63765624,64771552,0,0,0,1,2,0,17221670,302131265,304158729,34230,35858,671,1587172,3178225,0,68268408,70310,435463762,273037709,0
1789787106.6356814,5.302,3284028,75437,0,172,91,80,80053,780578,28206710,280572,2684,63443184,63736736,64771552,0,0,0,0,4,0,17222270,302199808,304227285,34230,35858,671,1586537,3176954,0,68274675,70313,435467266,273037709,0
1789787106.886115,5.553,3284376,75447,0,172,91,80,80054,780619,28208908,283504,2684,63435288,63725892,64771552,0,0,0,1,1,0,17222557,302227535,304255011,34230,35858,671,1586340,3176560,0,68276863,70313,435470122,273037709,0
1789787107.1365473,5.803,3284724,75456,0,172,91,81,80057,780659,28211791,285900,2784,63423888,63712088,64771552,0,0,0,0,2,0,17222950,302268766,304296243,34230,35858,696,1586056,3175990,0,68280295,70315,435472466,273037709,0
1789787107.3869736,6.053,3285088,75468,0,172,91,81,80057,780681,28213695,289596,2784,63418124,63702632,64771552,0,0,0,1,2,0,17224062,302350433,304377910,34230,35858,696,1585912,3175702,0,68283641,70315,435476102,273037709,0
1789787107.6373692,6.304,3285441,75474,0,172,91,81,80059,780719,28214845,291964,2784,63403816,63685964,64771552,0,0,0,0,2,0,17224279,302386101,304413578,34230,35858,696,1585555,3174987,0,68288149,70315,435478466,273037709,0
1789787107.887829,6.554,3285772,75476,0,172,91,81,80062,780782,28223399,292628,2784,63397320,63678780,64771552,0,0,0,0,9,0,17224872,302390895,304418372,34230,35858,696,1585393,3174662,0,68292058,70317,435479130,273037709,0
1789787108.1382852,6.805,3286102,75478,0,172,91,81,80065,780847,28229359,293240,2784,63385524,63666368,64771552,0,0,0,0,5,0,17225262,302398295,304425772,34230,35858,696,1585098,3174072,0,68295163,70317,435479742,273037709,0
1789787108.388753,7.055,3286459,75490,0,172,91,81,80066,780876,28233842,296248,2784,63381708,63659628,64771552,0,0,0,0,2,0,17225920,302467280,304494756,34230,35858,696,1585003,3173881,0,68296499,70320,435482942,273037709,0
1789787108.6391895,7.306,3286829,75500,0,172,91,81,80068,780894,28234942,299628,2784,63375208,63649740,64771552,0,0,0,0,2,0,17226485,302551641,304579118,34230,35858,696,1584841,3173557,0,68298267,70320,435486130,273037709,0
1789787108.8895974,7.556,3287197,75507,0,172,91,81,80070,780917,28236980,301304,2784,63359580,63632364,64771552,0,0,0,0,3,0,17226944,302611588,304639065,34230,35858,696,1584450,3172775,0,68301862,70320,435487822,273037709,0
1789787109.140014,7.806,3287549,75519,0,172,91,81,80072,780950,28238288,304816,2784,63340256,63609528,64771552,0,0,0,0,2,0,17227330,302672129,304699606,34230,35858,696,1583968,3171809,0,68307892,70320,435491326,273037709,0
1789787109.3904474,8.057,3287922,75529,0,172,91,81,80074,780967,28239349,307296,2784,63319932,63586712,64771552,0,0,0,0,2,0,17227871,302759995,304787478,34230,35858,696,1583461,3170793,0,68312862,70320,435493814,273037709,0
1789787109.640861,8.307,3288275,75536,0,172,91,81,80075,781005,28241397,308928,2784,63302580,63567732,64771552,0,0,0,1,1,0,17228158,302798199,304825682,34230,35858,696,1583028,3169926,0,68318435,70320,435495450,273037709,0
1789787109.8912792,8.558,3288637,75545,0,172,91,81,80077,781032,28243350,310572,2784,63279032,63541984,64771552,0,0,0,0,4,0,17228615,302856802,304884285,34230,35858,696,1582440,3168749,0,68324079,70320,435498002,273037709,0
1789787110.1417212,8.808,3288974,75549,0,172,91,81,80080,781086,28248944,312368,2784,63252024,63513172,64771552,0,0,0,1,3,0,17229130,302875852,304903335,34230,35858,696,1581765,3167399,0,68331529,70320,435499442,273037709,0
1789787110.392148,9.059,3289276,75553,0,172,91,81,80084,781177,28252101,313524,2940,63205016,63465016,64771552,0,0,0,1,5,0,17229479,302880009,304907492,34230,35858,735,1580592,3165049,0,68345549,70321,435500462,273037709,0
1789787110.6428483,9.309,3289635,75564,0,172,91,81,80085,781206,28253062,316808,2940,63182116,63438832,64771552,0,0,0,1,1,0,17229905,302951786,304979277,34230,35858,735,1580020,3163904,0,68351301,70321,435503726,273037709,0
1789787110.8932931,9.56,3289989,75570,0,172,91,81,80089,781242,28255886,318340,2948,63234772,63489948,64771552,0,0,0,1,1,0,17230608,302970032,304997526,34230,35858,737,1581335,3166536,0,68361676,70321,435505306,273037709,0
1789787111.1437297,9.81,3290356,75578,0,172,91,81,80092,781264,28258360,320344,2948,63213296,63466476,64771552,0,0,0,0,2,0,17231122,303032765,305060259,34230,35858,737,1580799,3165463,0,68367024,70321,435507282,273037709,0
1789787111.394086,10.061,3290725,75585,0,172,91,81,80093,781287,28259566,322300,2948,63195216,63446432,64771552,0,0,0,0,3,0,17231618,303084956,305112459,34230,35858,737,1580347,3164559,0,68373618,70321,435509274,273037709,0
1789787111.6444378,10.311,3291056,75594,0,172,91,81,80095,781344,28263768,325044,2952,63175596,63424072,64771552,0,0,0,0,4,0,17232012,303118638,305146141,34230,35858,738,1579855,3163574,0,68378927,70322,435511954,273037709,0
1789787111.8949282,10.561,3291372,75595,0,172,91,81,80098,781422,28271394,325680,3012,63167448,63415252,64771552,0,0,0,0,10,0,17232411,303120726,305148229,34230,35858,753,1579654,3163171,0,68382600,70322,435512590,273037769,0
1789787112.1456192,10.812,3291653,75608,0,172,91,81,80109,781517,28282474,482460,3012,63091044,63182064,64771552,0,0,0,0,8,0,17233135,303136680,305164183,34230,35858,753,1577747,3159352,0,68402323,70322,435669354,273037769,0
1789787112.396326,11.063,3291932,75610,0,172,91,81,80118,781625,28289752,483320,3012,62972364,63062188,64771552,0,0,0,0,6,0,17234131,303140785,305168291,34230,35858,753,1574784,3153419,0,68431340,70322,435670258,273037769,0
1789787112.646823,11.313,3292203,75617,0,172,91,81,80138,781728,28298157,701576,116104,62714324,62585064,64771552,0,0,0,2,4,0,17234570,303153631,305181137,34230,35859,29026,1568322,3140479,0,68487626,70322,435776574,273037769,0
1789787112.8973274,11.564,3292470,75624,0,172,91,81,80153,781836,28303340,991848,264792,62650364,62228944,64771552,0,0,0,2,3,0,17234929,303165274,305192802,34230,35859,66198,1566665,3137161,0,68506230,70322,435917790,273037769,0
1789787113.1478224,11.814,3292761,75628,0,172,91,81,80175,781920,28305920,1239660,447464,62505816,61834528,64771552,0,0,0,0,6,0,17235211,303173356,305200884,34230,35859,111866,1563018,3129859,0,68515043,70322,435982146,273037769,0
1789787113.3983305,12.065,3292988,75637,0,172,91,81,80204,782050,28311898,1448724,500592,62373936,61493304,64771552,0,0,0,0,6,0,17236499,303182235,305209799,34230,35859,125148,1559718,3123250,0,68524259,70322,436138082,273037769,0
1789787113.648827,12.315,3293258,75647,0,172,91,81,80225,782149,28318425,1759888,655784,62335916,61142264,64771552,0,0,0,0,6,0,17236933,303202261,305229839,34230,35859,163946,1558724,3121259,0,68553345,70322,436294018,273037769,0
