t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786903.837421,0.0,3004860,71754,0,172,88,77,75859,743720,26654623,117024,1500,63670028,64052488,64771552,0,0,0,1,1,0,16809403,285537711,287537542,34230,35858,375,1590176,3184240,0,65147288,66080,409450562,259086461,0
1789786904.0885842,0.251,3005104,71771,0,172,88,77,75860,743859,26655221,126352,1500,63658560,64035408,64771552,0,0,0,0,17,0,16809696,285560477,287560314,34230,35858,375,1590059,3184006,0,65149950,66153,409462850,259086461,0
1789786904.3391476,0.502,3005473,71788,0,172,88,77,75862,743869,26655950,134656,1500,63672972,64045304,64771552,0,0,0,0,2,0,16812398,285649883,287649729,34230,35858,375,1590531,3184952,0,65154906,66189,409472786,259086461,0
1789786904.5895367,0.752,3005849,71811,0,172,88,77,75864,743870,26656667,162648,1532,63654620,64012564,64771552,0,0,0,1,1,0,16813196,285817162,287817019,34230,35858,383,1590432,3184753,0,65159101,66396,409500894,259086461,0
1789786904.8398886,1.002,3006214,71834,0,172,88,77,75866,743879,26658898,173312,1532,63641664,63994276,64771552,0,0,0,1,1,0,16813962,285960178,287960113,34230,35858,383,1590242,3184372,0,65162324,66489,409511542,259086461,0
1789786905.0902567,1.253,3006584,71856,0,172,88,77,75867,743886,26660547,179712,1532,63631544,63980972,64771552,0,0,0,1,1,0,16814794,286142024,288141992,34230,35858,383,1590069,3184026,0,65164356,66495,409517950,259086461,0
1789786905.3405528,1.503,3006950,71878,0,172,88,77,75869,743895,26661867,188036,1532,63619820,63965044,64771552,0,0,0,1,2,0,16815558,286304500,288304477,34230,35858,383,1589881,3183650,0,65169469,66495,409526306,259086461,0
1789786905.5908828,1.753,3007304,71887,0,172,88,77,75874,743925,26665642,191068,1532,63614284,63957752,64771552,0,0,0,1,2,0,16815959,286326188,288326165,34230,35858,383,1589787,3183461,0,65185487,66503,409529282,259086493,0
1789786905.8412957,2.004,3007662,71900,0,172,88,77,75876,743953,26668228,194492,1532,63593060,63934816,64771552,0,0,0,0,2,0,16816771,286402215,288402204,34230,35858,383,1589300,3182485,0,65192879,66504,409532842,259086493,0
1789786906.091722,2.254,3008026,71912,0,172,88,77,75877,743975,26671712,197392,1532,63573644,63913944,64771552,0,0,0,1,3,0,16817207,286450055,288450046,34230,35858,383,1588851,3181588,0,65197392,66504,409535606,259086493,0
1789786906.3421118,2.505,3008386,71926,0,172,88,77,75880,743998,26675747,200616,1532,63553344,63892004,64771552,0,0,0,1,1,0,16818123,286533167,288533162,34230,35858,383,1588385,3180655,0,65205207,66511,409538978,259086493,0
1789786906.5925148,2.755,3008736,71937,0,172,88,77,75882,744035,26679566,203536,1532,63543872,63881064,64771552,0,0,0,0,3,0,16818676,286592362,288592357,34230,35858,383,1588186,3180255,0,65208232,66516,409541898,259086493,0
1789786906.8429174,3.005,3009094,71947,0,172,88,77,75885,744066,26684480,205532,1532,63537056,63873264,64771552,0,0,0,1,1,0,16819296,286646726,288646727,34230,35858,383,1588040,3179963,0,65209914,66518,409543890,259086493,0
1789786907.093259,3.256,3009437,71959,0,172,88,77,75888,744107,26690143,208092,1532,63524756,63859692,64771552,0,0,0,1,3,0,16819692,286677543,288677546,34230,35858,383,1587765,3179412,0,65214582,66522,409546470,259086493,0
1789786907.4823797,3.645,3010031,71984,0,172,88,77,75890,744110,26691176,236256,1532,63508772,63829360,64771552,0,0,0,1,1,0,16820831,286903643,288903927,34230,35858,383,1587727,3179336,0,65218172,66750,409575158,259086497,0
1789786907.7348557,3.897,3010407,72003,0,172,88,77,75891,744114,26691807,250404,1532,63490632,63803976,64771552,0,0,0,1,1,0,16821760,287093912,289094196,34230,35858,383,1587452,3178786,0,65222073,66855,409589502,259086497,0
1789786907.9851828,4.148,3010783,72020,0,172,88,77,75893,744121,26692351,262244,1532,63474112,63781480,64771552,0,0,0,1,1,0,16823040,287264267,289264570,34230,35858,383,1587189,3178259,0,65226244,66948,409601446,259086497,0
1789786908.2363594,4.399,3011150,72035,0,172,88,77,75894,744138,26694427,268552,1532,63467468,63771592,64771552,0,0,0,0,3,0,16823846,287335433,289335743,34230,35858,383,1587104,3178088,0,65230083,66960,409607922,259086497,0
1789786908.4867861,4.649,3011510,72049,0,172,88,77,75896,744163,26696688,271572,1532,63453836,63756460,64771552,0,0,0,1,1,0,16824462,287424708,289425037,34230,35858,383,1586801,3177482,0,65233953,66964,409610946,259086497,0
1789786908.7372124,4.9,3011835,72061,0,172,88,77,75899,744221,26698997,274320,1532,63422852,63724088,64771552,0,0,0,0,4,0,16824862,287476337,289476666,34230,35858,383,1586062,3176003,0,65252461,66964,409613722,259086497,0
1789786908.9878967,5.15,3012187,72071,0,172,88,77,75903,744255,26701450,276884,1532,63400592,63699268,64771552,0,0,0,0,2,0,16825278,287531039,289531367,34230,35858,383,1585507,3174891,0,65259532,66964,409616282,259086497,0
1789786909.2383578,5.401,3012540,72082,0,172,88,77,75905,744287,26707002,280320,1532,63382596,63677836,64771552,0,0,0,1,4,0,16825823,287586639,289586967,34230,35858,383,1585058,3173991,0,65265498,66967,409619730,259086497,0
1789786909.489035,5.652,3012891,72092,0,172,88,77,75907,744324,26708735,282936,1532,63381152,63673772,64771552,0,0,0,1,1,0,16826249,287633199,289633533,34230,35858,383,1585022,3173919,0,65267660,66967,409622494,259086497,0
