t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787542.683087,0.0,3859827,85987,0,172,98,88,91447,878942,32405611,117104,1380,63790896,64173388,64771552,0,0,0,1,1,0,18126843,340811165,342925837,34235,35863,345,1593204,3190304,0,76073639,79312,512815774,308093341,0
1789787542.9334998,0.25,3860069,86005,0,172,98,88,91448,879082,32406214,126792,1380,63777504,64153864,64771552,0,0,0,0,17,0,18127883,340901038,343015762,34235,35863,345,1593026,3189947,0,76076300,79385,512828062,308093341,0
1789787543.1840475,0.501,3860439,86022,0,172,98,88,91449,879093,32406906,134812,1380,63762232,64134204,64771552,0,0,0,1,1,0,18128890,340992218,343106974,34235,35863,345,1592754,3189403,0,76081244,79419,512837746,308093341,0
1789787543.4344373,0.751,3860814,86044,0,172,98,88,91450,879094,32407644,162788,1412,63736276,64093676,64771552,0,0,0,0,2,0,18129692,341151722,343266493,34235,35863,353,1592470,3188834,0,76085459,79627,512866090,308093341,0
1789787543.684784,1.002,3861179,86068,0,172,98,88,91453,879104,32409906,173464,1412,63723500,64075476,64771552,0,0,0,0,2,0,18130563,341293725,343408503,34235,35863,353,1592286,3188466,0,76088679,79721,512876738,308093341,0
1789787543.9351716,1.252,3861550,86090,0,172,98,88,91454,879110,32411541,179880,1412,63712376,64061140,64771552,0,0,0,1,1,0,18131679,341478156,343592945,34235,35863,353,1592089,3188071,0,76090740,79727,512883166,308093341,0
1789787544.1855319,1.502,3861917,86111,0,172,98,88,91455,879122,32412819,188204,1412,63690204,64034792,64771552,0,0,0,1,1,0,18132545,341640668,343755485,34235,35863,353,1591640,3187171,0,76095826,79727,512891554,308093341,0
1789787544.4359157,1.753,3862270,86120,0,172,98,88,91460,879154,32416984,191196,1412,63685752,64028860,64771552,0,0,0,1,2,0,18133437,341653478,343768297,34235,35863,353,1591565,3187023,0,76112074,79735,512894478,308093373,0
1789787544.686318,2.003,3862627,86133,0,172,98,88,91462,879183,32419344,194440,1412,63663588,64005068,64771552,0,0,0,1,1,0,18134030,341726738,343841581,34235,35863,353,1591053,3185996,0,76119558,79736,512897706,308093373,0
1789787544.936666,2.254,3862991,86144,0,172,98,88,91464,879206,32422792,197376,1412,63644088,63984112,64771552,0,0,0,0,4,0,18136816,341815149,343930033,34235,35863,353,1590602,3185094,0,76124484,79736,512900642,308093373,0
1789787545.1869926,2.504,3863350,86159,0,172,98,88,91468,879226,32426710,200752,1412,63617592,63955932,64771552,0,0,0,1,1,0,18137468,341897053,344011948,34235,35863,353,1589983,3183854,0,76132306,79743,512904042,308093373,0
1789787545.4373703,2.754,3863700,86170,0,172,98,88,91470,879262,32430263,203776,1412,63615876,63952696,64771552,0,0,0,1,2,0,18137868,341942103,344057015,34235,35863,353,1589978,3183844,0,76135486,79748,512907114,308093373,0
1789787545.687705,3.005,3864057,86180,0,172,98,88,91471,879291,32435041,205948,1412,63609020,63944784,64771552,0,0,0,1,1,0,18138485,341999565,344114481,34235,35863,353,1589833,3183554,0,76137337,79750,512909234,308093373,0
1789787545.9380388,3.255,3864400,86193,0,172,98,88,91475,879329,32440543,208520,1412,63624072,63958500,64771552,0,0,0,1,1,0,18138893,342028406,344143470,34235,35863,353,1590243,3184374,0,76142068,79754,512911838,308093373,0
1789787546.2301521,3.547,3864841,86218,0,172,98,88,91475,879332,32441477,236412,1412,63604224,63924448,64771552,0,0,0,1,1,0,18140079,342269371,344384526,34235,35863,353,1590102,3184091,0,76145390,79982,512940374,308093377,0
1789787546.482708,3.8,3865216,86237,0,172,98,88,91476,879336,32442145,250560,1412,63589736,63902716,64771552,0,0,0,1,1,0,18140871,342459845,344575039,34235,35863,353,1589921,3183729,0,76149286,80087,512954710,308093377,0
1789787546.7331636,4.05,3865592,86253,0,172,98,88,91477,879342,32442673,262308,1412,63573704,63880752,64771552,0,0,0,0,2,0,18141825,342630575,344745787,34235,35863,353,1589669,3183224,0,76153439,80180,512966574,308093377,0
1789787546.9836059,4.301,3865959,86268,0,172,98,88,91479,879357,32444687,268656,1412,63561868,63865672,64771552,0,0,0,1,1,0,18142755,342720571,344835792,34235,35863,353,1589454,3182795,0,76157580,80192,512973138,308093377,0
1789787547.2340236,4.551,3866318,86282,0,172,98,88,91481,879382,32446904,271696,1412,63561404,63863668,64771552,0,0,0,0,2,0,18143383,342807132,344922353,34235,35863,353,1589481,3182849,0,76161116,80196,512976130,308093377,0
1789787547.4846413,4.802,3866647,86295,0,172,98,88,91484,879437,32448962,274532,1412,63499060,63799812,64771552,0,0,0,0,4,0,18143768,342852360,344967614,34235,35863,353,1587958,3179799,0,76179540,80196,512978982,308093377,0
1789787547.7353244,5.052,3867003,86305,0,172,98,88,91486,879471,32451117,277104,1412,63475660,63773844,64771552,0,0,0,0,2,0,18144214,342909891,345025145,34235,35863,353,1587374,3178629,0,76186865,80196,512981554,308093377,0
1789787547.986073,5.303,3867352,86317,0,172,98,88,91489,879503,32455813,280572,1412,63457388,63752060,64771552,0,0,0,0,4,0,18144819,342963689,345078943,34235,35863,353,1586918,3177716,0,76192794,80199,512985046,308093377,0
1789787548.236603,5.554,3867705,86327,0,172,98,88,91491,879539,32457480,283340,1412,63452924,63744824,64771552,0,0,0,0,2,0,18145269,343014879,345130134,34235,35863,353,1586806,3177493,0,76195298,80200,512988002,308093377,0
1789787548.4872677,5.804,3868055,86337,0,172,98,88,91493,879578,32460220,286448,1512,63440636,63729520,64771552,0,0,0,1,1,0,18145731,343063814,345179068,34235,35863,378,1586499,3176878,0,76198540,80201,512990870,308093377,0
1789787548.7377553,6.055,3868416,86348,0,172,98,88,91495,879603,32461888,290140,1512,63427752,63712928,64771552,0,0,0,0,3,0,18146291,343137820,345253074,34235,35863,378,1586178,3176234,0,76201888,80201,512994482,308093377,0
1789787548.988377,6.305,3868771,86353,0,172,98,88,91497,879640,32464984,291936,1512,63413616,63696968,64771552,0,0,0,0,5,0,18146931,343164141,345279396,34235,35863,378,1585825,3175528,0,76206118,80201,512996278,308093377,0
1789787549.2388287,6.556,3869100,86354,0,172,98,88,91500,879705,32472436,292396,1512,63406940,63689792,64771552,0,0,0,0,8,0,18147478,343165866,345281120,34235,35863,378,1585658,3175194,0,76210495,80203,512996738,308093377,0
1789787549.4893954,6.806,3869429,86357,0,172,98,88,91503,879769,32479680,293008,1512,63395360,63677596,64771552,0,0,0,0,9,0,18148132,343174459,345289713,34235,35863,378,1585369,3174615,0,76213607,80203,512997366,308093377,0
1789787549.740038,7.057,3869793,86371,0,172,98,88,91505,879789,32481427,297044,1512,63391412,63669644,64771552,0,0,0,1,1,0,18148814,343270865,345386119,34235,35863,378,1585271,3174418,0,76214848,80206,513001394,308093377,0
1789787549.9904685,7.307,3870164,86379,0,172,98,88,91506,879808,32482438,299548,1512,63383732,63659436,64771552,0,0,0,0,2,0,18149390,343345753,345461008,34235,35863,378,1585079,3174034,0,76216863,80206,513003934,308093377,0
1789787550.240896,7.558,3870517,86387,0,172,98,88,91508,879845,32485246,301488,1512,63368772,63642532,64771552,0,0,0,1,2,0,18150355,343390079,345505340,34235,35863,378,1584705,3173286,0,76221733,80206,513005862,308093377,0
1789787550.4913177,7.808,3870882,86400,0,172,98,88,91508,879867,32485906,305196,1512,63346932,63616996,64771552,0,0,0,0,2,0,18150967,343479978,345595245,34235,35863,378,1584160,3172194,0,76227887,80206,513009538,308093377,0
1789787550.7417495,8.059,3871253,86407,0,172,98,88,91509,879888,32486919,307064,1512,63324280,63592460,64771552,0,0,0,0,5,0,18153308,343520552,345635819,34235,35863,378,1583595,3171062,0,76232903,80206,513011422,308093377,0
