t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785177.9380157,0.0,798116,21091,0,172,55,46,26356,296833,7307595,116448,1464,63794804,64176640,64771552,0,304,0,1,1,0,12651887,85772507,87479163,34199,35828,366,1593270,3190437,76,25211073,13108,86444942,125297149,0
1789785178.188424,0.25,798357,21108,0,172,55,46,26356,296972,7308185,125948,1464,63783108,64160416,64771552,0,304,0,0,17,0,12652101,85800940,87507599,34199,35828,366,1593170,3190235,76,25213735,13181,86457226,125297149,0
1789785178.4389622,0.501,798727,21125,0,172,55,46,26358,296983,7308931,133908,1496,63773320,64146008,64771552,0,0,0,1,1,0,12652779,85891694,87598361,34199,35828,374,1593041,3189977,0,25218665,13216,86466978,125297149,0
1789785178.6893458,0.751,799102,21148,0,172,55,46,26360,296984,7309645,162156,1528,63761972,64120180,64771552,0,0,0,1,1,0,12653607,86052421,87759088,34199,35828,382,1593119,3190133,0,25222874,13425,86495278,125297149,0
1789785178.939684,1.002,799467,21172,0,172,55,46,26362,296993,7311876,172836,1528,63749092,64101912,64771552,0,0,0,1,1,0,12654526,86193883,87900600,34199,35828,382,1592932,3189759,0,25226103,13517,86505954,125297149,0
1789785179.1900065,1.252,799838,21193,0,172,55,46,26362,296999,7313545,179172,1528,63738668,64088328,64771552,0,0,0,1,1,0,12655601,86375212,88081936,34199,35828,382,1592751,3189396,0,25228091,13523,86512294,125297149,0
1789785179.4402952,1.502,800205,21215,0,172,55,46,26364,297010,7314870,187544,1528,63717284,64062740,64771552,0,0,0,1,1,0,12656758,86537664,88244391,34199,35828,382,1592322,3188537,0,25233210,13523,86520682,125297149,0
1789785179.6905992,1.753,800559,21224,0,172,55,46,26369,297041,7318567,190560,1528,63714588,64058512,64771552,0,0,0,1,3,0,12657296,86562410,88269140,34199,35828,382,1592293,3188479,0,25249405,13531,86523662,125297181,0
1789785179.9410305,2.003,800916,21237,0,172,55,46,26371,297069,7321039,193952,1528,63687220,64029460,64771552,0,0,0,0,3,0,12657854,86637255,88344047,34199,35828,382,1591651,3187195,0,25256905,13532,86527218,125297181,0
1789785180.1914344,2.253,801280,21249,0,172,55,46,26372,297089,7324220,196880,1528,63667592,64008356,64771552,0,0,0,1,3,0,12658536,86723862,88430654,34199,35828,382,1591198,3186287,0,25261633,13532,86530002,125297181,0
1789785180.4417968,2.504,801640,21263,0,172,55,46,26375,297111,7327938,200268,1528,63645876,63984948,64771552,0,0,0,1,1,0,12659096,86776150,88482945,34199,35828,382,1590698,3185286,0,25269405,13540,86533410,125297181,0
1789785180.6921823,2.754,801991,21274,0,172,55,46,26377,297149,7331712,203164,1528,63636696,63974312,64771552,0,0,0,1,2,0,12659496,86817203,88524002,34199,35828,382,1590506,3184900,0,25271586,13545,86536286,125297181,0
1789785180.9425857,3.005,802349,21285,0,172,55,46,26380,297179,7336033,205512,1528,63629540,63966020,64771552,0,0,0,0,3,0,12660113,86880787,88587592,34199,35828,382,1590355,3184599,0,25273529,13548,86538638,125297181,0
1789785181.192994,3.255,802691,21296,0,172,55,46,26383,297218,7341780,207896,1528,63614844,63950092,64771552,0,0,0,0,1,0,12660544,86910993,88617833,34199,35828,382,1590019,3183926,0,25278441,13551,86541010,125297185,0
1789785181.4855146,3.547,803132,21322,0,172,55,46,26385,297221,7342775,235752,1528,63595728,63916804,64771552,0,0,0,1,1,0,12661751,87150093,88857056,34199,35828,382,1589896,3183679,0,25281767,13779,86569550,125297185,0
