t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785678.7825384,0.0,1418022,37738,0,172,67,55,42769,442769,13567924,116360,1216,63718880,64102056,64771552,0,0,0,1,1,0,13951669,149921632,151714817,34206,35834,304,1591404,3186700,0,38163785,30357,191237250,167495621,0
1789785679.0335834,0.251,1418267,37756,0,172,67,55,42770,442907,13568513,126084,1216,63703296,64080264,64771552,0,0,0,0,17,0,13951871,149950582,151743771,34206,35834,304,1591170,3186232,0,38166445,30430,191249530,167495621,0
1789785679.2841098,0.502,1418634,37773,0,172,67,55,42771,442921,13569260,134240,1216,63689364,64061876,64771552,0,0,0,1,1,0,13952427,150035529,151828734,34206,35834,304,1590934,3185758,0,38171410,30464,191259218,167495621,0
1789785679.5344803,0.752,1419010,37796,0,172,67,55,42772,442922,13569976,162140,1416,63667624,64025572,64771552,0,0,0,1,1,0,13953198,150196064,151989301,34206,35834,354,1590755,3185399,0,38175607,30671,191287534,167495621,0
1789785679.784814,1.002,1419375,37819,0,172,67,55,42774,442931,13572157,172820,1416,63651472,64004008,64771552,0,0,0,1,1,0,13953924,150338768,152132243,34206,35834,354,1590487,3184863,0,38178819,30767,191298194,167495621,0
1789785680.0351877,1.253,1419745,37841,0,172,67,55,42776,442937,13573843,179236,1416,63640600,63989952,64771552,0,0,0,1,1,0,13954887,150527168,152320676,34206,35834,354,1590295,3184478,0,38180883,30773,191304598,167495621,0
1789785680.285553,1.503,1420112,37863,0,172,67,55,42777,442949,13575153,187684,1416,63618680,63963828,64771552,0,0,0,1,1,0,13955704,150690021,152483647,34206,35834,354,1589852,3183593,0,38185985,30773,191312986,167495621,0
1789785680.5359466,1.753,1420466,37872,0,172,67,55,42783,442980,13578911,190704,1416,63611144,63954748,64771552,0,0,0,1,2,0,13956350,150711510,152505179,34206,35834,354,1589703,3183293,0,38202082,30781,191315962,167495653,0
1789785680.78637,2.004,1420823,37885,0,172,67,55,42784,443007,13581481,194144,1416,63586424,63928304,64771552,0,0,0,0,3,0,13956977,150786852,152580531,34206,35834,354,1589129,3182143,0,38209215,30782,191319522,167495653,0
1789785681.0367923,2.254,1421187,37897,0,172,67,55,42785,443028,13584617,197108,1416,63567164,63907556,64771552,0,0,0,0,4,0,13957703,150873300,152666978,34206,35834,354,1588685,3181255,0,38213905,30782,191322366,167495653,0
1789785681.2871935,2.505,1421547,37912,0,172,67,55,42788,443049,13588354,200464,1416,63557660,63896376,64771552,0,0,0,0,2,0,13958348,150923211,152716891,34206,35834,354,1588490,3180864,0,38221585,30789,191325750,167495653,0
