stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789786049456,1789786049918,462,False,365,45217226,61,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789786051331,1789786051505,174,False,149,96530213,11,14,2114,0,0,0,0,2500,0,0,0,0,43580,2500,25099572
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789786051331,1789786051505,174,False,149,74117727,11,14,2114,0,0,0,0,2500,0,0,0,0,43446,2500,25721071
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789786051332,1789786051507,175,False,148,81629104,11,14,2114,0,0,0,0,2501,0,0,0,0,44083,2501,24160169
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789786051330,1789786051508,178,False,145,70395898,11,14,2114,0,0,0,0,2500,0,0,0,0,46131,2500,24028809
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789786051500,1789786052840,1340,False,1313,990999706,18,40,2346,0,0,0,115519993,465585,0,0,0,0,109285297,465585,128044970
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789786051504,1789786052841,1337,False,1314,967479434,17,40,2346,0,0,0,115519983,465585,0,0,0,0,109292538,465585,133491822
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789786051505,1789786052846,1341,False,1321,977109406,17,40,2346,0,0,0,115519983,465585,0,0,0,0,109291056,465585,135503356
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789786051507,1789786052892,1385,False,1366,1079042933,14,40,2346,0,0,0,115519983,465585,0,0,0,0,109287184,465585,130592531
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789786052839,1789786053596,757,False,751,697224023,2,15,2346,0,0,0,115519968,465585,0,0,0,0,109290541,465585,120943648
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789786052845,1789786053651,806,False,801,734656172,1,15,2346,0,0,0,115519968,465585,0,0,0,0,109290087,465585,129105687
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789786052840,1789786053666,826,False,820,739824984,2,15,2346,0,0,0,115519968,465585,0,0,0,0,109286018,465585,129411091
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789786052891,1789786053671,780,False,775,706292799,2,15,2346,0,0,0,115519968,465585,0,0,0,0,109285992,465585,128658168
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789786053595,1789786054343,748,False,741,692400621,2,23,2346,0,0,0,115519968,465585,0,0,0,0,109283414,465585,118966441
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789786053651,1789786054451,800,False,796,738408460,1,23,2346,0,0,0,115519953,465585,0,0,0,0,109284437,465585,132872552
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789786053665,1789786054474,809,False,804,732520657,1,23,2346,0,0,0,115519953,465585,0,0,0,0,109284314,465585,127192906
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789786053671,1789786054476,805,False,801,716992326,1,23,2346,0,0,0,115519953,465585,0,0,0,0,109287682,465585,128606310
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789786054342,1789786055103,761,False,755,703193761,2,23,2346,0,0,0,115519953,465585,0,0,0,0,109283825,465585,120981693
2,save at NativeMethodAccessorImpl.java:0,18,13,0,1789786054450,1789786055201,751,False,745,693784974,1,23,2346,0,0,0,115519953,465585,0,0,0,0,109285335,465585,121154096
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789786054476,1789786055248,772,False,768,701571290,1,23,2346,0,0,0,115519953,465585,0,0,0,0,109285042,465585,123848847
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789786054473,1789786055253,780,False,775,697691272,2,23,2346,0,0,0,115519953,465585,0,0,0,0,109291377,465585,121961900
2,save at NativeMethodAccessorImpl.java:0,21,16,0,1789786055102,1789786055829,727,False,722,679087219,2,16,2346,0,0,0,115519953,465585,0,0,0,0,109285076,465585,118184158
2,save at NativeMethodAccessorImpl.java:0,22,17,0,1789786055200,1789786055930,730,False,725,684892836,1,16,2346,0,0,0,115519953,465585,0,0,0,0,109286798,465585,119674197
2,save at NativeMethodAccessorImpl.java:0,23,18,0,1789786055247,1789786056001,754,False,749,694089453,1,16,2346,0,0,0,115519943,465585,0,0,0,0,109285541,465585,121838356
2,save at NativeMethodAccessorImpl.java:0,24,19,0,1789786055253,1789786056009,756,False,753,683501553,1,16,2346,0,0,0,115519938,465585,0,0,0,0,109280464,465585,120551889
2,save at NativeMethodAccessorImpl.java:0,25,20,0,1789786055828,1789786056586,758,False,753,712106247,1,16,2346,0,0,0,115519938,465585,0,0,0,0,109291300,465585,123452177
