stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789785385288,1789785385754,466,False,371,47246733,58,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789785386855,1789785388147,1292,False,1257,913731784,21,38,2341,0,0,0,115478037,465585,0,0,0,0,109287184,465585,146048385
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789785386855,1789785388148,1293,False,1257,919589137,21,38,2341,0,0,0,115478037,465585,0,0,0,0,109292538,465585,146449178
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789785386853,1789785388148,1295,False,1255,913718457,27,44,2341,0,0,0,115478043,465585,0,0,0,0,109285297,465585,142637266
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789785386855,1789785388155,1300,False,1269,994847526,21,38,2298,0,0,0,115478037,465585,0,0,0,0,109291056,465585,168873359
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789785388147,1789785388975,828,False,817,704114048,3,26,2341,0,0,0,115478028,465585,0,0,0,0,109286018,465585,123199875
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789785388154,1789785388975,821,False,810,706554652,2,26,2341,0,0,0,115478028,465585,0,0,0,0,109285992,465585,124586248
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789785388146,1789785389000,854,False,845,735524834,4,29,2298,0,0,0,115478028,465585,0,0,0,0,109290541,465585,131919127
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789785388148,1789785389002,854,False,848,739461858,3,29,2298,0,0,0,115478028,465585,0,0,0,0,109290087,465585,140039747
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789785388973,1789785389722,749,False,742,657924002,2,18,2298,0,0,0,115478028,465585,0,0,0,0,109283414,465585,122854870
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789785388974,1789785389733,759,False,753,660977820,2,18,2298,0,0,0,115478019,465585,0,0,0,0,109284437,465585,125407166
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789785389001,1789785389751,750,False,745,659587541,2,15,2298,0,0,0,115478019,465585,0,0,0,0,109287682,465585,128531174
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789785388999,1789785389751,752,False,746,661981057,3,15,2298,0,0,0,115478019,465585,0,0,0,0,109284314,465585,127049939
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789785389721,1789785390434,713,False,707,656945070,1,24,2298,0,0,0,115478019,465585,0,0,0,0,109283825,465585,119909931
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789785389732,1789785390468,736,False,731,671759921,1,24,2298,0,0,0,115478019,465585,0,0,0,0,109285335,465585,132940728
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789785389751,1789785390492,741,False,737,676178805,1,24,2298,0,0,0,115478019,465585,0,0,0,0,109285042,465585,125227902
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789785389750,1789785390525,775,False,769,695208016,2,24,2298,0,0,0,115478019,465585,0,0,0,0,109291377,465585,137550039
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789785390433,1789785391144,711,False,703,659831159,2,19,2298,0,0,0,115478019,465585,0,0,0,0,109285076,465585,118609850
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789785390467,1789785391179,712,False,706,662054473,2,19,2298,0,0,0,115478019,465585,0,0,0,0,109286798,465585,121163259
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789785390492,1789785391204,712,False,708,661361780,1,19,2298,0,0,0,115478013,465585,0,0,0,0,109285541,465585,121277627
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789785390524,1789785391232,708,False,703,661297156,2,19,2298,0,0,0,115478010,465585,0,0,0,0,109280464,465585,126167148
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789785391143,1789785391834,691,False,686,651487315,2,14,2298,0,0,0,115478010,465585,0,0,0,0,109291300,465585,118319082
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789785391178,1789785391895,717,False,708,665612754,1,18,2341,0,0,0,115478010,465585,0,0,0,0,109292249,465585,124384960
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789785391203,1789785391922,719,False,713,662361359,1,21,2298,0,0,0,115478004,465585,0,0,0,0,109288665,465585,131675050
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789785391232,1789785391943,711,False,707,662962020,1,21,2298,0,0,0,115478001,465585,0,0,0,0,109294399,465585,134588215
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789785391834,1789785392532,698,False,695,651569581,1,21,2298,0,0,0,115477998,465585,0,0,0,0,109285191,465585,118322352
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789785391894,1789785392592,698,False,693,655482689,1,17,2298,0,0,0,115477992,465585,0,0,0,0,109287784,465585,121888728
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789785391921,1789785392625,704,False,699,659861780,1,14,2298,0,0,0,115477989,465585,0,0,0,0,109282962,465585,123193585
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789785391943,1789785392662,719,False,715,671050498,1,14,2298,0,0,0,115477569,465583,0,0,0,0,109284668,465583,152363181
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789785392532,1789785393230,698,False,692,656006216,1,15,2298,0,0,0,115477362,465582,0,0,0,0,109290159,465582,117143789
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789785392592,1789785393292,700,False,696,655161847,1,19,2298,0,0,0,115477356,465582,0,0,0,0,109288194,465582,124257980
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789785392624,1789785393333,709,False,704,663267424,1,19,2298,0,0,0,115477353,465582,0,0,0,0,109287562,465582,126236541
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789785392662,1789785393391,729,False,725,684587934,1,19,2298,0,0,0,115477353,465582,0,0,0,0,109283257,465582,119676930
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789785393229,1789785393956,727,False,720,674300499,2,23,2298,0,0,0,115477353,465582,0,0,0,0,109294244,465582,118758732
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789785393292,1789785393990,698,False,694,653979103,1,19,2298,0,0,0,115477353,465582,0,0,0,0,109280875,465582,118158962
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789785393333,1789785394066,733,False,730,689951063,1,19,2298,0,0,0,115477344,465582,0,0,0,0,109289053,465582,129964634
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789785393391,1789785394114,723,False,719,677662689,1,19,2298,0,0,0,115477344,465582,0,0,0,0,109286902,465582,121750618
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789785393955,1789785394647,692,False,687,650000894,1,16,2298,0,0,0,115477344,465582,0,0,0,0,109286728,465582,115911784
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789785393990,1789785394695,705,False,697,654733100,1,24,2341,0,0,0,115477344,465582,0,0,0,0,109290280,465582,117243167
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789785394066,1789785394805,739,False,733,683604066,1,27,2298,0,0,0,115477344,465582,0,0,0,0,109285726,465582,122088894
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789785394113,1789785394836,723,False,719,669679815,1,27,2298,0,0,0,115477344,465582,0,0,0,0,109283034,465582,121110564
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789785394646,1789785395341,695,False,691,657016605,1,11,2298,0,0,0,115477344,465582,0,0,0,0,109282975,465582,115154751
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789785394694,1789785395384,690,False,685,654603988,1,8,2298,0,0,0,115477344,465582,0,0,0,0,109286954,465582,123583301
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789785394804,1789785395486,682,False,677,649469666,1,5,2298,0,0,0,115477344,465582,0,0,0,0,109277440,465582,117608895
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789785394836,1789785395520,684,False,680,651777838,1,5,2298,0,0,0,115477344,465582,0,0,0,0,109286878,465582,124319624
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789785395341,1789785396017,676,False,673,641899601,1,5,2298,0,0,0,115477344,465582,0,0,0,0,109282082,465582,116066906
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789785395383,1789785396048,665,False,661,640553335,1,0,2255,0,0,0,115477338,465582,0,0,0,0,109278840,465582,117421333
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789785395485,1789785396191,706,False,699,664968722,1,13,2298,0,0,0,115477335,465582,0,0,0,0,109285929,465582,124630109
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789785395519,1789785396237,718,False,714,674872915,1,13,2298,0,0,0,115477335,465582,0,0,0,0,109289758,465582,127403378
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789785396017,1789785396715,698,False,695,648757646,1,13,2298,0,0,0,115477335,465582,0,0,0,0,109283721,465582,116018013
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789785396048,1789785396747,699,False,695,642773312,1,13,2298,0,0,0,115477335,465582,0,0,0,0,109286608,465582,118293302
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789785396190,1789785396878,688,False,683,644232362,2,8,2298,0,0,0,115477335,465582,0,0,0,0,109288530,465582,116257503
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789785396236,1789785396947,711,False,707,650207102,1,8,2298,0,0,0,115477335,465582,0,0,0,0,109291817,465582,118341982
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789785396715,1789785397385,670,False,666,636929432,1,8,2298,0,0,0,115477335,465582,0,0,0,0,109287443,465582,116337832
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789785396746,1789785397442,696,False,692,649553817,1,8,2298,0,0,0,115477335,465582,0,0,0,0,109282682,465582,117861598
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789785396878,1789785397544,666,False,662,641010982,1,0,2255,0,0,0,115477335,465582,0,0,0,0,109283846,465582,115198264
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789785396947,1789785397638,691,False,686,649212478,1,11,2298,0,0,0,115477335,465582,0,0,0,0,109286175,465582,128565174
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789785397385,1789785398084,699,False,695,662690036,1,11,2298,0,0,0,115477326,465582,0,0,0,0,109287360,465582,118717017
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789785397441,1789785398170,729,False,724,649285882,1,18,2298,0,0,0,115477326,465582,0,0,0,0,109281238,465582,125553244
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789785397543,1789785398243,700,False,696,657578463,1,18,2298,0,0,0,115477326,465582,0,0,0,0,109292211,465582,117064947
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789785397637,1789785398344,707,False,703,654871712,1,7,2298,0,0,0,115477326,465582,0,0,0,0,109289309,465582,118545700
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789785398083,1789785398791,708,False,703,654757417,1,22,2298,0,0,0,115477326,465582,0,0,0,0,109288802,465582,119765953
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789785398169,1789785398886,717,False,714,646346698,1,15,2298,0,0,0,115477326,465582,0,0,0,0,109286729,465582,116373667
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789785398242,1789785398945,703,False,699,653765608,1,15,2298,0,0,0,115477320,465582,0,0,0,0,109291156,465582,116697220
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789785398344,1789785399060,716,False,712,656529494,1,15,2298,0,0,0,115477317,465582,0,0,0,0,109286072,465582,117799356
1,save at NativeMethodAccessorImpl.java:0,65,64,0,1789785398790,1789785399472,682,False,677,642863888,1,10,2298,0,0,0,115477317,465582,0,0,0,0,109288012,465582,116330886
1,save at NativeMethodAccessorImpl.java:0,68,67,0,1789785399059,1789785399493,434,False,430,366890623,1,10,2298,0,0,0,70354416,285568,0,0,0,0,66010358,285568,66483874
1,save at NativeMethodAccessorImpl.java:0,67,66,0,1789785398945,1789785399566,621,False,618,566732165,1,10,2298,0,0,0,103367763,417476,0,0,0,0,97628658,417476,104217849
1,save at NativeMethodAccessorImpl.java:0,66,65,0,1789785398886,1789785399598,712,False,709,662821947,1,10,2298,0,0,0,115477308,465582,0,0,0,0,109280910,465582,119576828
1,save at NativeMethodAccessorImpl.java:0,69,68,0,1789785399471,1789785399919,448,False,443,372440628,1,7,2298,0,0,0,70354416,285568,0,0,0,0,66012450,285568,71228571
1,save at NativeMethodAccessorImpl.java:0,70,69,0,1789785399493,1789785399921,428,False,425,370873173,1,7,2298,0,0,0,70354416,285568,0,0,0,0,66013488,285568,72788596
1,save at NativeMethodAccessorImpl.java:0,71,70,0,1789785399565,1789785400002,437,False,433,373654781,1,7,2298,0,0,0,70354365,285568,0,0,0,0,66012452,285568,68685827
1,save at NativeMethodAccessorImpl.java:0,72,71,0,1789785399598,1789785400035,437,False,434,376320225,1,7,2298,0,0,0,70343565,285553,0,0,0,0,66005741,285553,67112960
1,save at NativeMethodAccessorImpl.java:0,74,73,0,1789785399921,1789785400383,462,False,458,385828401,0,8,2255,0,0,0,70342848,285552,0,0,0,0,66010245,285552,70359425
1,save at NativeMethodAccessorImpl.java:0,73,72,0,1789785399918,1789785400384,466,False,462,396705920,1,8,2298,0,0,0,70342848,285552,0,0,0,0,66007501,285552,69623119
1,save at NativeMethodAccessorImpl.java:0,75,74,0,1789785400002,1789785400422,420,False,417,368654137,1,8,2298,0,0,0,70342848,285552,0,0,0,0,66009950,285552,78225843
1,save at NativeMethodAccessorImpl.java:0,76,75,0,1789785400035,1789785400457,422,False,417,361788979,1,11,2298,0,0,0,70342848,285552,0,0,0,0,66004847,285552,67476841
1,save at NativeMethodAccessorImpl.java:0,80,79,0,1789785400456,1789785400524,68,False,62,49815286,1,3,2298,0,0,0,8792835,35694,0,0,0,0,8250253,35694,9776773
1,save at NativeMethodAccessorImpl.java:0,77,76,0,1789785400383,1789785400815,432,False,427,362798746,1,13,2298,0,0,0,70342842,285552,0,0,0,0,66009640,285552,66091886
1,save at NativeMethodAccessorImpl.java:0,78,77,0,1789785400384,1789785400830,446,False,443,368684736,1,13,2298,0,0,0,70342800,285552,0,0,0,0,66013609,285552,67057581
1,save at NativeMethodAccessorImpl.java:0,79,78,0,1789785400422,1789785400852,430,False,427,366309327,1,13,2298,0,0,0,70342776,285552,0,0,0,0,66007997,285552,66626938
2,save at NativeMethodAccessorImpl.java:0,82,1,0,1789785400877,1789785401355,478,False,466,414962859,8,2,4520,46137264,0,0,0,0,33533413,142894,0,0,0,0,0
2,save at NativeMethodAccessorImpl.java:0,84,3,0,1789785400877,1789785401382,505,False,494,430456767,8,2,4520,54525856,0,0,0,0,39206767,166970,0,0,0,0,0
2,save at NativeMethodAccessorImpl.java:0,83,2,0,1789785400877,1789785401383,506,False,496,439866289,8,2,4520,54525856,0,0,0,0,37045038,157856,0,0,0,0,0
