t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785709.7102876,0.0,1455750,38664,0,172,67,56,43315,452893,13965633,116760,1616,63795604,64178128,64771552,0,16,0,1,1,0,14016359,153672133,155466318,34206,35835,404,1593313,3190523,4,38883135,31427,199841706,167504645,0
1789785709.9607158,0.25,1455991,38682,0,172,67,56,43316,453033,13966236,126260,1632,63782036,64158864,64771552,0,16,0,1,16,0,14017015,153701142,155495351,34206,35835,408,1593137,3190170,4,38885797,31500,199853994,167504645,0
1789785710.2112327,0.501,1456362,38699,0,172,67,56,43319,453042,13966949,134556,1632,63765372,64137416,64771552,0,16,0,1,1,0,14017609,153793464,155587787,34206,35835,408,1592841,3189576,4,38890755,31536,199863930,167504645,0
1789785710.4616044,0.751,1456737,38722,0,172,67,56,43320,453043,13967664,162304,1468,63740596,64098408,64771552,0,0,0,0,2,0,14018483,153955359,155749754,34206,35835,367,1592577,3189049,0,38894926,31742,199892018,167504645,0
1789785710.7119215,1.002,1457102,38745,0,172,67,56,43321,453051,13969807,172768,1468,63724600,64077192,64771552,0,0,0,0,2,0,14019296,154097056,155891502,34206,35835,367,1592308,3188510,0,38898145,31837,199902634,167504645,0
1789785710.9622295,1.252,1457472,38767,0,172,67,56,43322,453057,13971478,179004,1468,63713520,64062992,64771552,0,0,0,1,1,0,14020383,154281289,156075735,34206,35835,367,1592110,3188113,0,38900195,31843,199909018,167504645,0
1789785711.2125227,1.502,1457839,38789,0,172,67,56,43323,453066,13972733,187404,1468,63692180,64037448,64771552,0,0,0,0,1,0,14021310,154444297,156238743,34206,35835,367,1591682,3187256,0,38905288,31843,199917406,167504645,0
1789785711.4628632,1.753,1458193,38798,0,172,67,56,43329,453097,13976330,190680,1468,63697712,64041280,64771552,0,0,0,0,4,0,14022028,154465798,156260274,34206,35835,367,1591862,3187617,0,38921223,31851,199920386,167504677,0
1789785711.7135081,2.003,1458550,38811,0,172,67,56,43331,453123,13978987,193960,1468,63676704,64018628,64771552,0,0,0,1,4,0,14022627,154539911,156334395,34206,35835,367,1591379,3186649,0,38928593,31852,199923818,167504677,0
1789785711.9639542,2.254,1458915,38823,0,172,67,56,43332,453145,13981602,196960,1468,63655136,63995556,64771552,0,0,0,0,2,0,14024430,154627175,156421686,34206,35835,367,1590878,3185646,0,38933423,31852,199926666,167504677,0
1789785712.2143462,2.504,1459274,38837,0,172,67,56,43335,453167,13985438,200336,1468,63628184,63966928,64771552,0,0,0,0,2,0,14025104,154710329,156504845,34206,35835,367,1590247,3184383,0,38941249,31859,199930074,167504677,0
1789785712.4647734,2.754,1459626,38849,0,172,67,56,43338,453201,13989039,203288,1468,63619196,63956420,64771552,0,0,0,0,3,0,14026369,154768163,156562682,34206,35835,367,1590061,3184010,0,38943463,31864,199933218,167504677,0
1789785712.7151823,3.005,1459982,38859,0,172,67,56,43340,453232,13993840,205444,1468,63611104,63947272,64771552,0,0,0,1,1,0,14027001,154825959,156620479,34206,35835,367,1589885,3183658,0,38945305,31866,199935342,167504677,0
