t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789786208.756885,0.0,2073509,55247,0,172,77,64,59680,598060,20177142,116576,1496,63765360,64148304,64771552,0,0,0,1,1,0,15273970,217669204,219541120,34220,35849,374,1592568,3189031,0,52271275,48707,304635870,209470021,0
1789786209.007306,0.25,2073753,55265,0,172,77,64,59681,598199,20177737,126316,1496,63751052,64128068,64771552,0,0,0,0,17,0,15274195,217697819,219569800,34220,35849,374,1592372,3188637,0,52273935,48780,304648166,209470021,0
1789786209.2578497,0.501,2074121,55282,0,172,77,64,59683,598211,20178448,133644,1496,63737280,64110068,64771552,0,0,0,1,1,0,15275348,217787232,219659382,34220,35849,374,1592134,3188160,0,52278821,48814,304657290,209470021,0
1789786209.508236,0.751,2074496,55304,0,172,77,64,59684,598212,20179163,162216,1528,63725776,64083844,64771552,0,0,0,1,1,0,15276104,217943784,219815983,34220,35849,382,1592214,3188321,0,52283050,49019,304686046,209470021,0
1789786209.758579,1.002,2074861,55328,0,172,77,64,59687,598221,20181356,172852,1528,63710044,64062760,64771552,0,0,0,1,1,0,15276932,218086949,219959162,34220,35849,382,1591955,3187802,0,52286263,49116,304696630,209470021,0
1789786210.0089417,1.252,2075232,55350,0,172,77,64,59688,598227,20183002,179320,1528,63697992,64047476,64771552,0,0,0,0,2,0,15277978,218270560,220142781,34220,35849,382,1591734,3187361,0,52288290,49122,304703126,209470021,0
1789786210.2592967,1.502,2075599,55372,0,172,77,64,59689,598237,20184282,187792,1528,63675084,64020360,64771552,0,0,0,1,1,0,15278814,218419511,220291798,34220,35849,382,1591268,3186427,0,52293386,49122,304711554,209470021,0
1789786210.5096974,1.753,2075954,55381,0,172,77,64,59695,598265,20188011,190816,1528,63678032,64021824,64771552,0,0,0,0,4,0,15279941,218446988,220319277,34220,35849,382,1591378,3186648,0,52309242,49130,304714566,209470053,0
1789786210.760101,2.003,2076310,55394,0,172,77,64,59696,598293,20190704,194268,1528,63652740,63994804,64771552,0,0,0,1,1,0,15280514,218521257,220393545,34220,35849,382,1590790,3185470,0,52316722,49131,304718038,209470053,0
1789786211.0104334,2.254,2076675,55406,0,172,77,64,59698,598313,20193875,197188,1528,63633492,63974100,64771552,0,0,0,1,3,0,15281187,218609099,220481393,34220,35849,382,1590346,3184581,0,52321764,49131,304720938,209470053,0
1789786211.2607875,2.504,2077034,55421,0,172,77,64,59701,598335,20197506,200560,1528,63607408,63946212,64771552,0,0,0,1,1,0,15281838,218693392,220565691,34220,35849,382,1589740,3183367,0,52329751,49138,304724382,209470053,0
