t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785782.1456995,0.0,1546575,41260,0,172,70,57,44637,473609,15014743,117016,1368,63632676,64016156,64771552,0,0,0,1,1,0,14297531,166766062,168564527,34208,35837,342,1589290,3182466,0,40912159,35630,209542734,167533445,0
1789785782.3965826,0.251,1546815,41278,0,172,70,57,44638,473749,15015389,126224,1368,63640992,64019152,64771552,0,0,0,1,16,0,14299334,166785368,168583841,34208,35837,342,1589647,3183182,0,40914850,35703,209555094,167533445,0
1789785782.647098,0.501,1547188,41295,0,172,70,57,44640,473758,15016115,135372,1368,63645028,64018060,64771552,0,0,0,1,1,0,14299991,166881005,168679500,34208,35837,342,1589876,3183640,0,40919837,35740,209565842,167533445,0
1789785782.8974903,0.752,1547563,41317,0,172,70,57,44641,473759,15016804,162340,1400,63627376,63986468,64771552,0,0,0,1,1,0,14300795,167045269,168843763,34208,35837,350,1589783,3183454,0,40924041,35948,209593082,167533445,0
1789785783.1478817,1.002,1547928,41341,0,172,70,57,44643,473768,15019077,173024,1400,63615212,63968964,64771552,0,0,0,1,1,0,14301581,167189035,168987547,34208,35837,350,1589613,3183113,0,40927201,36039,209603758,167533445,0
1789785783.3982453,1.253,1548298,41363,0,172,70,57,44643,473773,15020751,179432,1400,63612140,63962708,64771552,0,0,0,1,1,0,14302634,167373638,169172286,34208,35837,350,1589616,3183119,0,40929245,36045,209610170,167533445,0
1789785783.6486056,1.503,1548665,41384,0,172,70,57,44645,473782,15022072,187800,1400,63596772,63943164,64771552,0,0,0,1,1,0,14303384,167535501,169334166,34208,35837,350,1589336,3182559,0,40934323,36045,209618534,167533445,0
1789785783.8989809,1.753,1549019,41394,0,172,70,57,44651,473813,15025724,190764,1400,63563880,63908700,64771552,0,0,0,1,3,0,14303985,167556188,169354856,34208,35837,350,1588555,3180994,0,40950429,36053,209621494,167533477,0
1789785784.149402,2.004,1549376,41406,0,172,70,57,44652,473839,15028230,193972,1400,63543224,63886428,64771552,0,0,0,0,2,0,14304589,167635445,169434114,34208,35837,350,1588079,3180042,0,40958032,36054,209625014,167533477,0
1789785784.399834,2.254,1549741,41419,0,172,70,57,44654,473860,15030862,197128,1400,63537968,63879592,64771552,0,0,0,0,3,0,14305235,167723539,169522208,34208,35837,350,1587987,3179858,0,40962723,36054,209627858,167533477,0
