stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789785791108,1789785791571,463,False,367,43575267,59,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789785792840,1789785793407,567,False,534,296969141,26,20,3045,262144,0,0,1013166,449460,0,0,0,0,125797,10000,25392606
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789785792840,1789785793407,567,False,534,269126626,26,20,3002,262144,0,0,1013166,449460,0,0,0,0,125698,10000,27047339
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789785792838,1789785793408,570,False,534,243099366,26,20,3002,262144,0,0,1013172,449460,0,0,0,0,125813,10000,26257551
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789785792841,1789785793408,567,False,534,342887111,25,20,3045,262144,0,0,1013166,449460,0,0,0,0,125892,10000,26178562
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789785793407,1789785793545,138,False,129,105272605,4,17,3002,262144,0,0,1013166,449460,0,0,0,0,125693,10000,8325545
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789785793408,1789785793549,141,False,130,109098157,4,17,3002,262144,0,0,1013166,449460,0,0,0,0,125735,10000,21946200
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789785793406,1789785793555,149,False,138,116543537,5,18,3002,262144,0,0,1013166,449460,0,0,0,0,126029,10000,22266292
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789785793405,1789785793556,151,False,139,117115339,4,18,3045,262144,0,0,1013166,449460,0,0,0,0,125969,10000,15055777
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789785793544,1789785793630,86,False,77,69621458,4,5,3002,262144,0,0,1013166,449460,0,0,0,0,125721,10000,8423462
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789785793554,1789785793635,81,False,73,67399101,3,4,3002,262144,0,0,1013160,449460,0,0,0,0,125646,10000,13091313
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789785793546,1789785793635,89,False,82,71248391,3,5,3002,262144,0,0,1013166,449460,0,0,0,0,125658,10000,12675621
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789785793554,1789785793636,82,False,75,68722215,3,4,3002,262144,0,0,1013160,449460,0,0,0,0,125564,10000,11491982
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789785793629,1789785793690,61,False,53,47711179,2,4,3002,262144,0,0,1013160,449460,0,0,0,0,125587,10000,7931343
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789785793635,1789785793690,55,False,45,41342363,2,4,3045,262144,0,0,1013160,449460,0,0,0,0,125860,10000,7624611
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789785793635,1789785793714,79,False,67,61183992,3,4,3002,262144,0,0,1013160,449460,0,0,0,0,125851,10000,12245239
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789785793634,1789785793716,82,False,68,62309644,3,4,3002,262144,0,0,1013160,449460,0,0,0,0,125823,10000,11711272
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789785793689,1789785793769,80,False,73,62573331,2,7,3002,262144,0,0,1013160,449460,0,0,0,0,125594,10000,11338151
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789785793688,1789785793770,82,False,75,63859059,3,7,3002,262144,0,0,1013160,449460,0,0,0,0,125701,10000,11062064
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789785793709,1789785793785,76,False,64,58249231,4,3,3002,262144,0,0,1013156,449460,0,0,0,0,125786,10000,7467930
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789785793708,1789785793789,81,False,69,63644882,8,7,3002,262144,0,0,1013160,449460,0,0,0,0,125722,10000,10440994
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789785793768,1789785793824,56,False,50,45541067,2,2,3002,262144,0,0,1013154,449460,0,0,0,0,125662,10000,6011333
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789785793770,1789785793833,63,False,58,53310434,2,2,3002,262144,0,0,1013154,449460,0,0,0,0,126049,10000,7494608
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789785793784,1789785793833,49,False,44,39331577,2,2,3002,262144,0,0,1013154,449460,0,0,0,0,125704,10000,7271987
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789785793788,1789785793860,72,False,66,62019409,2,2,3002,262144,0,0,1013154,449460,0,0,0,0,126282,10000,9394453
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789785793824,1789785793875,51,False,46,45152815,2,0,2959,262144,0,0,1013154,449460,0,0,0,0,125592,10000,6105706
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789785793832,1789785793886,54,False,48,46744629,3,0,2959,262144,0,0,1013154,449460,0,0,0,0,125788,10000,6452176
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789785793833,1789785793887,54,False,49,47618452,1,0,2959,262144,0,0,1013154,449460,0,0,0,0,125944,10000,6821410
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789785793874,1789785793926,52,False,48,46326622,1,0,2959,262144,0,0,1013154,449460,0,0,0,0,125810,10000,6338605
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789785793859,1789785793936,77,False,71,69333659,2,0,2959,262144,0,0,1013154,449460,0,0,0,0,125512,10000,9794974
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789785793885,1789785793936,51,False,47,44707950,1,0,2959,262144,0,0,1013154,449460,0,0,0,0,125718,10000,6903385
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789785793886,1789785793936,50,False,46,43989406,1,0,2959,262144,0,0,1013150,449460,0,0,0,0,125700,10000,6502784
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789785793926,1789785793978,52,False,48,45932460,1,0,2959,262144,0,0,1013148,449460,0,0,0,0,125334,10000,5961600
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789785793937,1789785793990,53,False,49,47927887,1,0,2959,262144,0,0,1013148,449460,0,0,0,0,125570,10000,5893891
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789785793935,1789785794014,79,False,68,66182835,2,0,2959,262144,0,0,1013148,449460,0,0,0,0,125650,10000,9761680
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789785793935,1789785794015,80,False,69,66718189,2,0,2959,262144,0,0,1013148,449460,0,0,0,0,125532,10000,10110210
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789785793977,1789785794035,58,False,52,43045916,2,4,3002,262144,0,0,1013148,449460,0,0,0,0,125596,10000,7182636
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789785793989,1789785794046,57,False,49,39897297,2,4,3002,262144,0,0,1013148,449460,0,0,0,0,125855,10000,5555826
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789785794008,1789785794089,81,False,69,61009467,2,5,3002,262144,0,0,1013148,449460,0,0,0,0,125714,10000,9324804
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789785794015,1789785794089,74,False,69,61077875,2,5,3002,262144,0,0,1013142,449460,0,0,0,0,125435,10000,10057119
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789785794042,1789785794090,48,False,38,36860750,3,0,2959,262144,0,0,1013142,449460,0,0,0,0,125461,10000,5629067
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789785794034,1789785794109,75,False,69,62968593,2,3,3002,262144,0,0,1013142,449460,0,0,0,0,125349,10000,8521192
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789785794090,1789785794137,47,False,43,41043564,1,0,2959,262144,0,0,1013142,449460,0,0,0,0,125575,10000,5964244
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789785794089,1789785794138,49,False,44,41988741,2,0,2959,262144,0,0,1013142,449460,0,0,0,0,125739,10000,6076864
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789785794088,1789785794152,64,False,56,54005245,2,0,2959,262144,0,0,1013142,449460,0,0,0,0,126146,10000,9046455
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789785794109,1789785794176,67,False,62,56296702,2,0,2959,262144,0,0,1013134,449460,0,0,0,0,125889,10000,9093247
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789785794136,1789785794197,61,False,56,46874840,1,3,3002,262144,0,0,1013130,449460,0,0,0,0,125575,10000,9305528
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789785794137,1789785794199,62,False,58,48390851,1,3,3002,262144,0,0,1013126,449460,0,0,0,0,126063,10000,8939788
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789785794151,1789785794213,62,False,56,50547751,2,3,3002,262144,0,0,1012176,449458,0,0,0,0,125538,10000,8230923
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789785794175,1789785794238,63,False,58,51034376,2,3,3002,262144,0,0,1011700,449457,0,0,0,0,125713,10000,8441696
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789785794196,1789785794242,46,False,41,39821820,2,0,2959,262144,0,0,1011696,449457,0,0,0,0,125613,10000,5777977
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789785794199,1789785794249,50,False,45,43788358,2,0,2959,262144,0,0,1011696,449457,0,0,0,0,125601,10000,8226664
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789785794212,1789785794261,49,False,44,43320919,2,0,2959,262144,0,0,1011696,449457,0,0,0,0,125703,10000,5649302
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789785794237,1789785794292,55,False,45,41273968,1,4,3045,262144,0,0,1011696,449457,0,0,0,0,125797,10000,10651177
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789785794241,1789785794303,62,False,58,50864858,1,4,3002,262144,0,0,1011696,449457,0,0,0,0,125829,10000,9332981
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789785794248,1789785794310,62,False,58,51398268,1,4,3002,262144,0,0,1011692,449457,0,0,0,0,125420,10000,8617265
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789785794261,1789785794313,52,False,48,41679508,1,4,3002,262144,0,0,1011690,449457,0,0,0,0,125618,10000,8360158
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789785794302,1789785794364,62,False,55,50420780,2,4,3002,262144,0,0,1011690,449457,0,0,0,0,125670,10000,9266609
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789785794291,1789785794364,73,False,64,59660313,3,4,3002,262144,0,0,1011690,449457,0,0,0,0,125499,10000,9054863
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789785794312,1789785794370,58,False,54,47778970,1,4,3002,262144,0,0,1011690,449457,0,0,0,0,125720,10000,6350558
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789785794310,1789785794372,62,False,57,50785329,2,4,3002,262144,0,0,1011690,449457,0,0,0,0,125962,10000,8671741
