t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785421.8806508,0.0,1102674,28942,0,172,62,50,33244,366638,10320226,116756,2096,63799244,64180836,64771552,0,0,0,1,1,0,13349995,118187217,119921323,34204,35833,524,1593383,3190661,0,31263181,22647,130947918,138964565,0
1789785422.131062,0.25,1102917,28960,0,172,62,50,33246,366775,10320815,126356,2096,63785728,64161240,64771552,0,0,0,0,17,0,13350277,118215753,119949918,34204,35833,524,1593204,3190303,0,31265843,22720,130960202,138964565,0
1789785422.3815987,0.501,1103285,28977,0,172,62,50,33248,366787,10321567,134072,1904,63781296,64152368,64771552,0,0,0,1,1,0,13351074,118302945,120037186,34204,35833,476,1593207,3190310,0,31270795,22755,130969954,138964565,0
1789785422.6319864,0.751,1103661,28999,0,172,62,50,33249,366788,10322272,162200,1936,63754856,64111552,64771552,0,0,0,1,1,0,13351817,118462381,120196628,34204,35833,484,1592906,3189707,0,31274983,22962,130998234,138964565,0
1789785422.8823113,1.002,1104026,29023,0,172,62,50,33250,366798,10324462,172844,1936,63740420,64091740,64771552,0,0,0,1,1,0,13352614,118604858,120339110,34204,35833,484,1592680,3189254,0,31278196,23056,131008866,138964565,0
1789785423.1326559,1.252,1104396,29045,0,172,62,50,33251,366804,10326161,179228,1936,63730544,64078676,64771552,0,0,0,1,1,0,13353604,118788977,120523230,34204,35833,484,1592513,3188920,0,31280233,23062,131015234,138964565,0
1789785423.382952,1.502,1104763,29066,0,172,62,50,33252,366814,10327456,187616,1936,63714640,64058568,64771552,0,0,0,0,1,0,13354814,118910299,120644627,34204,35833,484,1592221,3188335,0,31285343,23062,131023622,138964565,0
1789785423.6332877,1.753,1105118,29076,0,172,62,50,33257,366845,10331249,190584,1936,63707396,64049792,64771552,0,0,0,0,4,0,13355497,118932622,120666950,34204,35833,484,1592078,3188049,0,31301222,23070,131026586,138964597,0
1789785423.8837085,2.003,1105475,29089,0,172,62,50,33259,366871,10333885,193884,1936,63676668,64017404,64771552,0,0,0,1,1,0,13356101,119011517,120745861,34204,35833,484,1591352,3186596,0,31308406,23071,131030034,138964597,0
1789785424.1340325,2.253,1105840,29100,0,172,62,50,33260,366891,10337066,196916,1936,63656356,63995592,64771552,0,0,0,1,1,0,13356749,119098230,120832575,34204,35833,484,1590883,3185656,0,31313333,23071,131032926,138964597,0
