t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789785922.3324635,0.0,1721901,45607,0,172,72,59,49706,512465,16563443,116436,1480,63860612,64241924,64771552,0,0,0,1,1,0,14634602,182367338,184186620,34212,35841,370,1594903,3193706,0,44513023,39932,235741782,181607585,0
1789785922.5835874,0.251,1722145,45624,0,172,72,59,49707,512603,16564047,126332,1480,63845900,64220904,64771552,0,0,0,0,17,0,14635294,182395978,184215264,34212,35841,370,1594693,3193286,0,44515685,40005,235754066,181607585,0
1789785922.83416,0.502,1722514,45641,0,172,72,59,49709,512614,16564745,134480,1480,63831764,64202232,64771552,0,0,0,1,1,0,14635952,182483270,184302570,34212,35841,370,1594453,3192806,0,44520649,40041,235764006,181607585,0
1789785923.084546,0.752,1722889,45664,0,172,72,59,49711,512615,16565428,162304,1512,63801560,64157836,64771552,0,0,0,1,1,0,14636711,182646192,184465492,34212,35841,378,1594054,3192005,0,44524820,40246,235792066,181607585,0
1789785923.3348885,1.002,1723254,45687,0,172,72,59,49712,512624,16567691,172916,1512,63786684,64137560,64771552,0,0,0,1,2,0,14637705,182736918,184556231,34212,35841,378,1593817,3191532,0,44528043,40341,235802730,181607585,0
1789785923.5852585,1.253,1723621,45712,0,172,72,59,49714,512629,16569562,180380,1512,63774236,64121184,64771552,0,0,0,1,1,0,14638701,182902286,184721605,34212,35841,378,1593604,3191106,0,44530755,40366,235810602,181607585,0
1789785923.835594,1.503,1723974,45742,0,172,72,59,49717,512643,16571509,191388,3092,63737492,64078180,64771552,0,0,0,1,2,0,14639116,182973141,184792722,34212,35841,773,1592844,3189582,0,44538965,40414,235822730,181607585,0
1789785924.0859935,1.754,1724302,45767,0,172,72,59,49724,512680,16575752,199904,3092,63714992,64050988,64771552,0,0,0,0,5,0,14639722,183031239,184850976,34212,35841,773,1592399,3188692,0,44558569,40462,235832098,181607617,0
1789785924.336405,2.004,1724634,45793,0,172,72,59,49728,512718,16578819,206788,3092,63680152,64012592,64771552,0,0,0,0,3,0,14640781,183126776,184946523,34212,35841,773,1591618,3187128,0,44568732,40470,235839114,181607617,0
1789785924.5868301,2.254,1724985,45810,0,172,72,59,49734,512741,16582845,211928,4164,63659456,63989104,64771552,0,0,0,1,3,0,14641273,183193068,185012818,34212,35841,1041,1591171,3186233,0,44578444,40503,235844666,181607621,0
