stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789785749494,1789785749959,465,False,369,45977490,60,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789785751349,1789785751918,569,False,536,297748505,25,20,3045,262144,0,0,1207940,501573,0,0,0,0,126665,10000,30989441
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789785751350,1789785751918,568,False,536,346315750,26,20,3002,262144,0,0,1207934,501573,0,0,0,0,126320,10000,32548655
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789785751347,1789785751920,573,False,536,275376349,25,20,3045,262144,0,0,1207946,501573,0,0,0,0,126777,10000,30192357
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789785751350,1789785751920,570,False,536,255822441,25,20,3002,262144,0,0,1207932,501573,0,0,0,0,126715,10000,30785730
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789785751917,1789785752036,119,False,97,84384388,5,18,3045,262144,0,0,1207932,501573,0,0,0,0,126731,10000,10776046
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789785751918,1789785752040,122,False,111,89130787,5,18,3002,262144,0,0,1207930,501573,0,0,0,0,127066,10000,22016528
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789785751919,1789785752040,121,False,109,87175351,4,18,3002,262144,0,0,1208458,501572,0,0,0,0,127092,10000,22811752
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789785751919,1789785752040,121,False,110,87583034,4,18,3002,262144,0,0,1207922,501573,0,0,0,0,126308,10000,22449347
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789785752040,1789785752133,93,False,84,71933303,3,6,3002,262144,0,0,1209552,501570,0,0,0,0,126423,10000,9521601
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789785752034,1789785752133,99,False,89,78524546,4,6,3002,262144,0,0,1209558,501570,0,0,0,0,126626,10000,12052012
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789785752038,1789785752134,96,False,85,71624768,3,6,3002,262144,0,0,1209558,501570,0,0,0,0,126635,10000,11892757
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789785752039,1789785752134,95,False,81,71092035,6,6,3002,262144,0,0,1209552,501570,0,0,0,0,126616,10000,11477834
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789785752132,1789785752205,73,False,64,53883778,3,7,3002,262144,0,0,1209552,501570,0,0,0,0,126723,10000,13195626
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789785752133,1789785752205,72,False,66,53950609,2,7,3002,262144,0,0,1209552,501570,0,0,0,0,126432,10000,10610185
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789785752132,1789785752207,75,False,68,57125356,3,7,3002,262144,0,0,1209552,501570,0,0,0,0,126833,10000,11923923
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789785752131,1789785752212,81,False,74,62585411,3,7,3002,262144,0,0,1209552,501570,0,0,0,0,126737,10000,10636806
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789785752204,1789785752269,65,False,57,48422533,2,4,3002,262144,0,0,1209546,501570,0,0,0,0,126530,10000,6750935
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789785752203,1789785752272,69,False,60,51370573,4,4,3002,262144,0,0,1209550,501570,0,0,0,0,126466,10000,7174777
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789785752206,1789785752278,72,False,65,53553832,3,4,3002,262144,0,0,1209546,501570,0,0,0,0,126521,10000,10286488
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789785752211,1789785752292,81,False,75,65666173,2,4,3002,262144,0,0,1209546,501570,0,0,0,0,126845,10000,8510930
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789785752277,1789785752339,62,False,56,49590505,2,3,3002,262144,0,0,1209546,501570,0,0,0,0,126570,10000,6261857
