t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787993.4616253,0.0,4405561,104377,0,172,110,96,112317,1012379,39345242,117252,1272,63642344,64020884,64771552,0,0,0,1,1,0,19514680,404699445,406932134,34240,35869,318,1589417,3182720,0,89138743,96606,650767066,352852625,0
1789787993.7125826,0.251,4405801,104395,0,172,110,96,112319,1012520,39345885,127004,1284,63626792,63999816,64771552,0,0,0,0,17,0,19514916,404727384,406960080,34240,35869,321,1589202,3182290,0,89141417,96679,650779430,352852625,0
1789787993.9631689,0.502,4406173,104412,0,172,110,96,112321,1012529,39346587,135616,1284,63610160,63978304,64771552,0,0,0,1,1,0,19516033,404820761,407053486,34240,35869,321,1588909,3181703,0,89146390,96715,650789742,352852625,0
1789787994.213555,0.752,4406548,104434,0,172,110,96,112323,1012530,39347274,162964,1316,63584480,63938540,64771552,0,0,0,1,1,0,19516782,404984693,407217418,34240,35869,329,1588619,3181123,0,89150549,96922,650817402,352852625,0
1789787994.463911,1.002,4406913,104458,0,172,110,96,112325,1012539,39349462,173608,1308,63568292,63916988,64771552,0,0,0,0,4,0,19517556,405127140,407359925,34240,35869,327,1588349,3180582,0,89153767,97016,650828046,352852625,0
1789787994.7142684,1.253,4407284,104480,0,172,110,96,112326,1012544,39351095,180008,1308,63557700,63903184,64771552,0,0,0,1,1,0,19518529,405312923,407545708,34240,35869,327,1588165,3180213,0,89155784,97022,650834458,352852625,0
1789787994.9645822,1.503,4407651,104501,0,172,110,96,112328,1012555,39352450,188332,1308,63536788,63878096,64771552,0,0,0,1,1,0,19519358,405475372,407708170,34240,35869,327,1587747,3179376,0,89160910,97022,650842850,352852625,0
1789787995.2149272,1.753,4408004,104511,0,172,110,96,112332,1012586,39356125,191392,1308,63488376,63828192,64771552,0,0,0,1,2,0,19520029,405535973,407768773,34240,35869,327,1586576,3177031,0,89177020,97030,650845826,352852657,0
1789787995.4653509,2.004,4408362,104523,0,172,110,96,112334,1012614,39358739,194776,1308,63466028,63804152,64771552,0,0,0,0,2,0,19520778,405611024,407843838,34240,35869,327,1586060,3175998,0,89184143,97031,650849342,352852657,0
1789787995.7156901,2.254,4408726,104536,0,172,110,96,112335,1012636,39361824,197692,1308,63445700,63782364,64771552,0,0,0,0,4,0,19521427,405697382,407930197,34240,35869,327,1585589,3175055,0,89189131,97031,650852186,352852657,0
1789787995.9659996,2.504,4409087,104550,0,172,110,96,112339,1012655,39365591,201128,1308,63422520,63757420,64771552,0,0,0,1,1,0,19522149,405784411,408017233,34240,35869,327,1585054,3173985,0,89196728,97039,650855590,352852657,0
1789787996.216377,2.755,4409436,104561,0,172,110,96,112340,1012693,39369907,203968,1308,63410752,63744228,64771552,0,0,0,0,4,0,19522672,405837291,408070114,34240,35869,327,1584796,3173467,0,89199128,97044,650858410,352852657,0
1789787996.4667177,3.005,4409796,104572,0,172,110,96,112342,1012719,39374213,206396,1308,63404876,63737140,64771552,0,0,0,0,2,0,19524028,405906227,408139049,34240,35869,327,1584680,3173234,0,89201181,97047,650860866,352852657,0
1789787996.7172794,3.256,4410141,104582,0,172,110,96,112345,1012762,39379591,208680,1308,63390952,63722076,64771552,0,0,0,0,2,0,19524401,405934646,408167590,34240,35869,327,1584360,3172595,0,89206010,97050,650863134,352852661,0
1789787997.0031774,3.542,4410573,104607,0,172,110,96,112345,1012764,39380506,236528,1308,63377908,63694856,64771552,0,0,0,1,1,0,19525593,406176264,408409293,34240,35869,327,1584389,3172652,0,89209092,97278,650891658,352852661,0
1789787997.255542,3.794,4410945,104628,0,172,110,96,112347,1012770,39381225,251340,1308,63360680,63669832,64771552,0,0,0,1,1,0,19526527,406349152,408582204,34240,35869,327,1584153,3172180,0,89213662,97400,650907054,352852661,0
1789787997.5059114,4.044,4411306,104654,0,172,110,96,112349,1012780,39382412,265748,2836,63339444,63640892,64771552,0,0,0,2,1,0,19527152,406468231,408701617,34240,35869,709,1583815,3171504,0,89221033,97541,650922598,352852661,0
1789787997.75629,4.295,4411647,104684,0,172,110,96,112354,1012804,39384931,277428,2836,63308648,63600848,64771552,0,0,0,0,7,0,19527748,406576026,408809437,34240,35869,709,1583132,3170135,0,89228721,97591,650935306,352852661,0
1789787998.0067093,4.545,4411979,104710,0,172,110,96,112356,1012843,39387425,283804,2836,63285356,63571012,64771552,0,0,0,1,2,0,19528251,406672832,408906260,34240,35869,709,1582551,3168971,0,89235646,97602,650941746,352852661,0
1789787998.2571077,4.795,4412296,104728,0,172,110,96,112363,1012901,39390159,288840,4168,63221060,63501548,64771552,0,0,0,1,3,0,19528719,406698905,408932405,34240,35869,1042,1580946,3165757,0,89260216,97636,650947298,352852665,0
1789787998.507574,5.046,4412649,104738,0,172,110,96,112365,1012936,39392294,291428,4168,63207552,63485380,64771552,0,0,0,0,2,0,19529296,406752809,408986319,34240,35869,1042,1580608,3165082,0,89267022,97636,650949854,352852665,0
1789787998.7580163,5.296,4413000,104749,0,172,110,96,112369,1012970,39396973,294956,4168,63190564,63464432,64771552,0,0,0,0,5,0,19529858,406809975,409043485,34240,35869,1042,1580184,3164233,0,89273039,97639,650953330,352852665,0
