t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787656.9202187,0.0,3994769,90982,0,172,101,90,96937,915592,34162940,117256,1272,63610212,63989468,64771552,0,0,0,1,1,0,18491604,357036445,359192675,34237,35865,318,1588613,3181111,0,79169862,83679,547297614,320920809,0
1789787657.170595,0.25,3995014,91000,0,172,101,90,96938,915729,34163535,126712,1272,63595088,63968796,64771552,0,0,0,0,18,0,18491944,357065186,359221426,34237,35865,318,1588401,3180686,0,79172524,83752,547309898,320920809,0
1789787657.421108,0.501,3995380,91017,0,172,101,90,96940,915742,34164301,134924,1392,63596332,63965104,64771552,0,0,0,1,1,0,18492637,357148612,359304863,34237,35865,348,1588554,3180993,0,79177480,83788,547319850,320920809,0
1789787657.671482,0.751,3995755,91040,0,172,101,90,96941,915743,34165053,162900,1424,63566904,63921372,64771552,0,0,0,0,2,0,18493328,357310016,359466271,34237,35865,356,1588177,3180237,0,79181647,83994,547347938,320920809,0
1789787657.9218278,1.002,3996121,91063,0,172,101,90,96943,915752,34167214,173544,1424,63550540,63899596,64771552,0,0,0,0,2,0,18494115,357453482,359609750,34237,35865,356,1587903,3179689,0,79184865,84088,547358554,320920809,0
1789787658.1721392,1.252,3996491,91085,0,172,101,90,96944,915758,34168915,179896,1424,63538620,63884532,64771552,0,0,0,1,1,0,18494658,357547471,359703754,34237,35865,356,1587684,3179251,0,79186897,84094,547364938,320920809,0
1789787658.4224317,1.502,3996858,91107,0,172,101,90,96946,915768,34170201,188264,1424,63526280,63867996,64771552,0,0,0,0,1,0,18495746,357712594,359868881,34237,35865,356,1587481,3178844,0,79192008,84094,547373326,320920809,0
1789787658.672773,1.753,3997213,91116,0,172,101,90,96950,915800,34173772,191268,1424,63531744,63871920,64771552,0,0,0,0,4,0,18496421,357735467,359891754,34237,35865,356,1587656,3179194,0,79207836,84102,547376290,320920841,0
1789787658.9231803,2.003,3997570,91129,0,172,101,90,96952,915829,34175805,194584,1424,63505876,63844396,64771552,0,0,0,0,2,0,18496995,357812500,359968803,34237,35865,356,1587051,3177984,0,79215177,84103,547379722,320920841,0
1789787659.1734986,2.253,3997935,91141,0,172,101,90,96953,915850,34178266,197580,1424,63484224,63821272,64771552,0,0,0,0,2,0,18497645,357899422,360055726,34237,35865,356,1586548,3176975,0,79220080,84103,547382590,320920841,0
1789787659.4238195,2.504,3998295,91156,0,172,101,90,96956,915872,34181375,200860,1424,63462532,63797908,64771552,0,0,0,0,4,0,18498778,357984724,360141096,34237,35865,356,1586048,3175974,0,79227947,84110,547386002,320920841,0
1789787659.674207,2.754,3998646,91167,0,172,102,90,96958,915906,34184658,203844,1424,63453288,63787152,64771552,0,0,0,0,2,0,18499276,358042724,360199096,34237,35865,356,1585855,3175587,0,79229912,84115,547388966,320920841,0
1789787659.9245968,3.004,3999004,91177,0,172,102,90,96960,915935,34189266,206120,1424,63445376,63778104,64771552,0,0,0,1,1,0,18499936,358104203,360260575,34237,35865,356,1585686,3175249,0,79231628,84117,547391246,320920841,0
1789787660.1750116,3.255,3999346,91189,0,172,102,90,96964,915975,34194585,208564,1424,63486460,63817936,64771552,0,0,0,0,1,0,18500322,358130731,360287240,34237,35865,356,1586743,3177365,0,79236376,84121,547393694,320920845,0
1789787660.467307,3.547,3999788,91214,0,172,102,90,96965,915977,34195518,236412,1424,63475884,63793192,64771552,0,0,0,1,1,0,18501728,358374012,360530530,34237,35865,356,1586832,3177545,0,79239733,84349,547422218,320920845,0
1789787660.7197049,3.799,4000163,91233,0,172,102,90,96967,915980,34196143,250560,1424,63461100,63771164,64771552,0,0,0,1,1,0,18502531,358564761,360721280,34237,35865,356,1586644,3177168,0,79243627,84454,547436566,320920845,0
1789787660.9700284,4.05,4000539,91250,0,172,102,90,96968,915987,34196691,262320,1424,63456648,63760780,64771552,0,0,0,1,1,0,18503491,358664847,360821372,34237,35865,356,1586681,3177242,0,79247745,84547,547448426,320920845,0
1789787661.2205026,4.3,4000906,91265,0,172,102,90,96970,916003,34198195,268700,1424,63438820,63739676,64771552,0,0,0,0,2,0,18504701,358740529,360897054,34237,35865,356,1586318,3176514,0,79251433,84559,547454982,320920845,0
1789787661.4708629,4.551,4001265,91278,0,172,102,90,96971,916028,34199761,271804,1424,63419496,63718800,64771552,0,0,0,1,1,0,18505314,358825738,360982264,34237,35865,356,1585874,3175626,0,79255351,84563,547457974,320920845,0
1789787661.7212837,4.801,4001592,91291,0,172,102,90,96974,916084,34201562,274584,1424,63355060,63652804,64771552,0,0,0,1,3,0,18505673,358868599,361025165,34237,35865,356,1584294,3172462,0,79273998,84563,547460750,320920845,0
1789787661.9717722,5.052,4001946,91301,0,172,102,90,96976,916118,34203322,277252,1424,63332372,63627360,64771552,0,0,0,0,2,0,18506084,358923499,361080066,34237,35865,356,1583728,3171328,0,79281679,84563,547463422,320920845,0
1789787662.2222266,5.302,4002300,91312,0,172,102,90,96978,916151,34206553,280696,1424,63308544,63600044,64771552,0,0,0,0,5,0,18506638,358982365,361138932,34237,35865,356,1583133,3170137,0,79287845,84566,547466878,320920845,0
1789787662.4726775,5.552,4002654,91322,0,172,102,90,96979,916184,34207861,283540,1424,63304604,63593292,64771552,0,0,0,1,1,0,18507638,359031221,361187790,34237,35865,356,1583034,3169940,0,79290564,84566,547469714,320920845,0
1789787662.7230997,5.803,4003005,91332,0,172,102,90,96982,916221,34209630,286344,1524,63292452,63578352,64771552,0,0,0,1,1,0,18508035,359077753,361234321,34237,35865,381,1582731,3169332,0,79294198,84568,547472478,320920845,0
1789787662.9735065,6.053,4003364,91343,0,172,102,90,96983,916248,34211334,289900,1524,63283956,63566248,64771552,0,0,0,1,2,0,18508958,359132336,361288905,34237,35865,381,1582520,3168910,0,79297647,84568,547476030,320920845,0
1789787663.2238793,6.304,4003715,91349,0,172,102,90,96985,916289,34213280,291904,1524,63273144,63553448,64771552,0,0,0,1,1,0,18509285,359160778,361317347,34237,35865,381,1582249,3168367,0,79300785,84568,547478138,320920845,0
1789787663.4742193,6.554,4004038,91350,0,172,102,90,96988,916363,34219749,292560,1524,63258804,63538464,64771552,0,0,0,0,2,0,18510161,359164998,361321578,34237,35865,381,1581891,3167650,0,79304706,84570,547478634,320920845,0
1789787663.724651,6.804,4004375,91353,0,172,102,90,96991,916421,34223744,293180,1524,63259880,63538904,64771552,0,0,0,0,6,0,18510577,359175096,361331675,34237,35865,381,1581918,3167704,0,79307509,84570,547479254,320920845,0
1789787663.9752676,7.055,4004733,91365,0,172,102,90,96992,916449,34226921,296620,1524,63250696,63526336,64771552,0,0,0,0,2,0,18511138,359248463,361405042,34237,35865,381,1581689,3167245,0,79309173,84573,547482694,320920845,0
1789787664.2257357,7.306,4005106,91375,0,172,102,90,96993,916466,34227965,299616,1524,63243400,63516032,64771552,0,0,0,1,1,0,18511757,359340511,361497091,34237,35865,381,1581507,3166880,0,79310999,84573,547485698,320920845,0
1789787664.4761674,7.556,4005471,91382,0,172,102,90,96995,916492,34230272,301260,1524,63217788,63488748,64771552,0,0,0,0,4,0,18513650,359385611,361542203,34237,35865,381,1580867,3165600,0,79316062,84573,547487334,320920845,0
1789787664.7265968,7.806,4005826,91394,0,172,102,90,96996,916524,34231211,304868,1524,63198620,63466020,64771552,0,0,0,0,2,0,18513938,359432108,361588718,34237,35865,381,1580389,3164642,0,79323211,84573,547490954,320920845,0
1789787664.9769619,8.057,4006198,91403,0,172,102,90,96998,916541,34232113,307236,1524,63177668,63442644,64771552,0,0,0,0,2,0,18516602,359518626,361675245,34237,35865,381,1579866,3163595,0,79328164,84573,547493326,320920845,0
1789787665.2273054,8.307,4006549,91411,0,172,102,90,96999,916581,34233909,308904,1524,63156472,63419808,64771552,0,0,0,0,2,0,18516907,359556657,361713282,34237,35865,381,1579337,3162535,0,79333899,84573,547495002,320920845,0
1789787665.4776845,8.557,4006909,91419,0,172,102,90,97002,916610,34236256,310732,1524,63144088,63405156,64771552,0,0,0,0,8,0,18517349,359610271,361766896,34237,35865,381,1579027,3161916,0,79339698,84573,547497386,320920845,0
1789787665.7281053,8.808,4007252,91424,0,172,102,90,97004,916658,34241355,312308,1524,63107800,63367268,64771552,0,0,0,0,4,0,18517837,359630927,361787555,34237,35865,381,1578122,3160102,0,79347503,84573,547498826,320920845,0
1789787665.9785364,9.058,4007558,91430,0,172,102,90,97007,916742,34244159,314236,1680,63058344,63315848,64771552,0,0,0,0,4,0,18518011,359636016,361792645,34237,35865,420,1576887,3157630,0,79362873,84573,547500602,320920845,0
1789787666.2289977,9.309,4007921,91441,0,172,102,90,97009,916767,34245983,317128,1680,63019492,63274128,64771552,0,0,0,0,2,0,18518790,359709013,361865648,34237,35865,420,1575917,3155688,0,79372172,84573,547503554,320920845,0
1789787666.4794562,9.559,4008263,91445,0,172,102,90,97013,916817,34250177,318432,1688,63109800,63363140,64771552,0,0,0,0,9,0,18519478,359721730,361878366,34237,35865,422,1578171,3160202,0,79380485,84573,547504826,320920845,0
1789787666.7301347,9.81,4008616,91452,0,172,102,90,97015,916854,34254707,320380,1688,63088472,63339816,64771552,0,0,0,0,2,0,18519899,359758333,361914974,34237,35865,422,1577639,3159136,0,79386167,84573,547506738,320920845,0
1789787666.9805896,10.06,4008985,91458,0,172,102,90,97017,916878,34256773,322148,1688,63060612,63310188,64771552,0,0,0,0,3,0,18520766,359796076,361952723,34237,35865,422,1576944,3157743,0,79392883,84573,547508554,320920845,0
1789787667.2310252,10.311,4009327,91464,0,172,102,90,97019,916926,34260794,324248,1696,63047632,63295140,64771552,0,0,0,1,3,0,18521121,359825430,361982077,34237,35865,424,1576620,3157094,0,79396294,84574,547510598,320920845,0
1789787667.4817173,10.561,4009652,91468,0,172,102,90,97021,916993,34267048,325280,1748,63041296,63287736,64771552,0,0,0,0,7,0,18521743,359837615,361994265,34237,35865,437,1576461,3156778,0,79398459,84574,547511734,320920905,0
1789787667.7324102,10.812,4009933,91469,0,172,102,90,97025,917106,34274625,325988,1764,63016268,63261776,64771552,0,0,0,0,4,0,18522160,359839365,361996014,34237,35865,441,1575837,3155527,0,79404752,84574,547512266,320920905,0
1789787667.983077,11.063,4010105,91473,0,172,102,90,97039,917314,34284945,327348,2012,62898000,63142152,64771552,0,0,0,1,5,0,18526821,359841362,361998012,34237,35865,503,1572884,3149615,0,79434841,84574,547513502,320920905,0
1789787668.2335958,11.313,4010336,91487,0,172,102,90,97053,917456,34291829,496244,2012,62728160,62803396,64771552,0,0,0,0,7,0,18527371,359851858,362008534,34237,35865,503,1568644,3141125,0,79483556,84574,547682302,320920905,0
1789787668.4842682,11.564,4010467,91487,0,172,102,90,97076,917700,34296960,598732,104432,62496288,62469020,64771552,0,0,0,0,7,0,18532914,359851891,362008567,34237,35866,26108,1562856,3129534,0,79559180,84574,547682342,320920905,0
1789787668.7350094,11.815,4010709,91499,0,172,102,90,97099,917820,34304098,916896,255204,62185500,61838216,64771552,0,0,0,0,5,0,18533350,359868321,362025005,34237,35866,63801,1555062,3113926,0,79632181,84574,547850138,320920905,0
1789787668.9857397,12.066,4010930,91506,0,172,102,90,97136,917951,34312932,1166540,336652,61870000,61271780,64771552,0,0,0,0,5,0,18534620,359874695,362031416,34237,35866,84163,1547143,3098069,0,79662388,84574,548017930,320920905,0
1789787669.2362359,12.316,4011187,91516,0,172,102,90,97161,918059,34320660,1493856,496176,61779928,60852568,64771552,0,0,0,0,7,0,18535135,359889172,362045893,34237,35866,124147,1544860,3093497,0,79704078,84574,548185722,320920905,0
1789787669.486974,12.567,4011425,91525,0,172,102,90,97192,918181,34324762,1806760,641680,61503408,60260904,64771552,0,0,0,0,8,0,18535530,359900156,362056899,34237,35866,160420,1537891,3079542,0,79713334,84574,548353486,320920905,0
1789787669.7374415,12.817,4011698,91533,0,172,102,90,97212,918276,34332155,2147552,814316,61482660,59897840,64771552,0,0,0,0,5,0,18535995,359912563,362069306,34237,35866,203579,1537335,3078429,0,79737179,84574,548521278,320920905,0
1789787669.9879432,13.068,4011975,91538,0,172,102,90,97247,918356,34336148,2466836,966156,61212152,59305540,64771552,0,0,0,0,2,0,18536440,359920920,362077681,34237,35866,241539,1530519,3064780,0,79749493,84574,548689070,320920905,0
1789787670.238446,13.318,4012268,91543,0,172,102,90,97263,918442,34340813,2827488,1158104,61310736,59041328,64771552,0,0,0,0,5,0,18536798,359930753,362087514,34237,35866,289729,1532927,3069602,0,79762723,84574,548856862,320920905,0
1789787670.489188,13.569,4012534,91548,0,172,102,90,97295,918537,34346410,3134036,1297560,61118712,58540580,64771552,0,0,0,0,7,0,18537272,359935706,362092467,34237,35866,324491,1528089,3059914,0,79779145,84574,549024654,320920905,0
1789787670.7399411,13.82,4012815,91551,0,172,102,91,97320,918625,34352516,3505100,1500748,61410156,58458616,64771552,0,0,0,0,5,0,18537681,359944164,362100925,34237,35866,375187,1535296,3074346,0,79807226,84574,549192446,320920905,0
1789787670.990407,14.07,4013092,91556,0,172,102,91,97355,918707,34359404,3805976,1631520,61225336,57970908,64771552,0,0,0,0,8,0,18538490,359951801,362108564,34237,35866,407880,1530632,3065006,0,79835629,84574,549362754,320920905,0
1789787671.2409143,14.321,4013378,91559,0,172,102,91,97372,918797,34361942,4182320,1842332,61301268,57667856,64771552,0,0,0,0,6,0,18538881,359960513,362117276,34237,35866,460583,1532460,3068668,0,79837923,84574,549528030,320920905,0
1789787671.4916136,14.571,4013666,91564,0,172,102,91,97402,918874,34367348,4533824,1984340,61155836,57169284,64771552,0,0,0,0,5,0,18539541,359971017,362127782,34237,35866,496085,1528800,3061339,0,79855747,84574,549737770,320920905,0
1789787671.7423315,14.822,4013960,91568,0,172,102,91,97423,918955,34369828,4922216,2204588,61198304,56820524,64771552,0,0,0,0,5,0,18539946,359980886,362137651,34237,35866,551147,1529769,3063279,0,79868225,84574,549905562,320920905,0
1789787671.9929805,15.073,4014212,91572,0,172,102,91,97455,919066,34374576,5222892,2337304,61333528,56652916,64771552,0,0,0,0,5,0,18540388,359987426,362144191,34237,35866,584326,1533101,3069951,0,79883012,84574,550073550,320920905,0
1789787672.2434638,15.323,4014491,91577,0,172,102,91,97487,919149,34381787,5585188,2532084,61238376,56192348,64771552,0,0,0,0,5,0,18540896,359996182,362152947,34237,35866,633021,1530648,3065038,0,79915921,84574,550241146,320920905,0
1789787672.4939637,15.574,4014749,91582,0,172,102,91,97517,919253,34388743,5900332,2663032,61163948,55801024,64771552,0,0,0,0,7,0,18541989,360003279,362160044,34237,35866,665758,1528734,3061207,0,79955106,84574,550425626,320920905,0
1789787672.7446983,15.824,4015023,91586,0,172,102,91,97544,919347,34391563,6239740,2851404,61071388,55366116,64771552,0,0,0,0,6,0,18542463,360010001,362166767,34237,35866,712851,1526335,3056402,0,79960152,84574,550576926,320921481,0
1789787672.9954026,16.075,4015308,91593,0,172,102,91,97564,919433,34397641,6663108,3002516,61068380,54937296,64771552,0,0,0,0,5,0,18543114,360025742,362182521,34237,35866,750629,1526226,3056185,0,79981856,84574,550849686,320921481,0
1789787673.2462287,16.326,4015586,91595,0,172,102,91,97597,919517,34401328,6961652,3177852,60890588,54458304,64771552,0,0,0,0,5,0,18543591,360029615,362186397,34237,35866,794463,1521698,3047117,0,80001081,84574,550972970,320921481,0
1789787673.4967458,16.577,4015871,91600,0,172,102,91,97618,919605,34404684,7372816,3355568,61359940,54513884,64771552,0,0,0,0,5,0,18544021,360040240,362197022,34237,35866,838892,1533383,3070516,0,80010493,84575,551206042,320921481,0
1789787673.7474685,16.827,4016159,91603,0,172,102,91,97655,919675,34410492,7675752,3513268,61140052,53988872,64771552,0,0,0,0,5,0,18544591,360046797,362203579,34237,35866,878317,1527830,3059395,0,80038767,84575,551351746,320921481,0
1789787673.9982502,17.078,4016426,91607,0,172,102,91,97678,919780,34416397,8048708,3695612,61136132,53609432,64771552,0,0,0,0,6,0,18544972,360052472,362209254,34237,35866,923903,1527668,3059071,0,80080964,84575,551541626,320921481,0
1789787674.2487457,17.329,4016708,91611,0,172,102,91,97709,919861,34419609,8374292,3847560,60967220,53112396,64771552,0,0,0,0,7,0,18545467,360061317,362218099,34237,35866,961890,1523398,3050521,0,80087029,84575,551715678,320921481,0
1789787674.4992182,17.579,4016973,91614,0,172,102,91,97734,919967,34424606,8735108,4046332,60899180,52680948,64771552,0,0,0,0,5,0,18545877,360066511,362223293,34237,35866,1011583,1521625,3046970,0,80135627,84575,551877210,320921481,0
1789787674.7497156,17.829,4017261,91620,0,172,102,91,97763,920045,34428281,9096352,4197800,60751624,52169888,64771552,0,0,0,0,5,0,18546399,360079607,362236389,34237,35866,1049450,1517883,3039479,0,80140407,84575,552086970,320921481,0
1789787675.0001974,18.08,4017534,91626,0,172,102,91,97787,920141,34432000,9452720,4386876,60762524,51821328,64771552,0,0,0,0,6,0,18546704,360086753,362243542,34237,35866,1096821,1518090,3039892,0,80164802,84575,552254762,320921481,0
1789787675.2507005,18.33,4017825,91632,0,172,102,91,97815,920218,34435451,9785532,4551204,60724780,51448800,64771552,0,0,0,0,5,0,18547054,360098397,362255186,34237,35866,1137801,1517088,3037886,0,80170572,84575,552422554,320921481,0
1789787675.5011597,18.581,4018113,91637,0,172,102,91,97837,920302,34438592,10157040,4755224,60694496,51043856,64771552,0,0,0,0,5,0,18547479,360109342,362266132,34237,35866,1188910,1516251,3036209,0,80176335,84575,552590346,320921481,0
1789787675.7516294,18.831,4018407,91645,0,172,102,91,97861,920378,34442844,10541000,4905276,60697328,50660468,64771552,0,0,0,1,4,0,18548065,360127962,362284752,34237,35866,1226319,1516268,3036243,0,80180988,84575,552824426,320921481,0
1789787676.0021,19.082,4018681,91647,0,172,102,91,97890,920473,34446508,10847724,5085752,60583360,50237136,64771552,0,0,0,2,4,0,18548476,360132606,362289395,34237,35866,1271438,1513369,3030440,0,80186518,84575,552951890,320921481,0
1789787676.2525988,19.332,4018974,91655,0,172,102,91,97906,920555,34449914,11288624,5257588,60724380,49934600,64771552,0,0,0,0,6,0,18549787,360151401,362308198,34237,35866,1314397,1516811,3037331,0,80187817,84575,553219566,320921481,0
1789787676.5030615,19.583,4019269,91660,0,172,102,91,97934,920626,34453047,11629592,5414496,60606152,49472784,64771552,0,0,0,0,5,0,18550401,360164854,362321651,34237,35866,1353624,1513794,3031290,0,80193377,84575,553404398,320921481,0
1789787676.7535443,19.833,4019563,91664,0,172,102,91,97949,920714,34455833,11989088,5617136,60731736,49235924,64771552,0,0,0,0,8,0,18550776,360174011,362330808,34237,35866,1404385,1516852,3037413,0,80194862,84575,553560610,320921481,0
1789787677.0040445,20.084,4019848,91672,0,172,102,91,97976,920793,34459377,12336740,5760504,60636284,48791060,64771552,0,0,0,0,5,0,18551427,360192489,362349289,34237,35866,1440126,1514429,3032561,0,80199261,84575,553764890,320921481,0
1789787677.2545383,20.334,4020145,91677,0,172,102,91,97994,920872,34462124,12709640,5965488,60762656,48541036,64771552,0,0,0,0,6,0,18551888,360205440,362362239,34237,35866,1491372,1517496,3038702,0,80200755,84575,553932682,320921481,0
1789787677.50504,20.585,4020430,91698,0,172,102,91,98022,920937,34470192,13036716,5807852,60695512,48145060,64771552,0,13492,0,1,6,0,18552471,360233820,362390768,34237,35866,1452064,1515786,3035278,3373,80205153,84575,554100474,321238049,0
1789787677.7555203,20.835,4020714,91702,0,172,102,91,98043,921029,34473666,13403200,6006924,60706700,47786700,64771552,0,0,0,0,5,0,18552837,360240473,362397421,34237,35866,1501731,1515979,3035664,0,80208062,84575,554268266,321238633,0
