t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789788045.3272645,0.0,4469194,106207,0,172,112,97,113380,1028555,40104000,117192,1388,63786276,64167400,64771552,0,0,0,1,2,0,19665590,412014116,414249126,34243,35872,347,1593061,3190017,0,90525633,98800,668015342,352870933,0
1789788045.577711,0.25,4469437,106224,0,172,112,97,113382,1028693,40104633,126768,1388,63779924,64155404,64771552,0,0,0,1,16,0,19666133,412042219,414277427,34243,35872,347,1593068,3190031,0,90528295,98873,668027626,352870933,0
1789788045.8282282,0.501,4469806,106241,0,172,112,97,113384,1028706,40105330,134468,1388,63765992,64137088,64771552,0,0,0,1,1,0,19666789,412130734,414366034,34243,35872,347,1592829,3189553,0,90533181,98907,668036990,352870933,0
1789788046.0786116,0.751,4470181,106264,0,172,112,97,113385,1028706,40106054,162812,1420,63742232,64098724,64771552,0,0,0,1,1,0,19667517,412289936,414525236,34243,35872,355,1592601,3189096,0,90537404,99113,668065498,352870933,0
1789788046.3289347,1.002,4470546,106287,0,172,112,97,113387,1028718,40108191,173520,1420,63727604,64078724,64771552,0,0,0,1,1,0,19668249,412432314,414667623,34243,35872,355,1592370,3188633,0,90540634,99210,668076286,352870933,0
1789788046.5792587,1.252,4470916,106309,0,172,112,97,113389,1028725,40109905,179968,1420,63717180,64065080,64771552,0,0,0,1,1,0,19669269,412616257,414851573,34243,35872,355,1592190,3188273,0,90542686,99216,668082690,352870933,0
1789788046.829554,1.502,4471283,106331,0,172,112,97,113390,1028734,40111204,188356,1420,63696216,64039916,64771552,0,0,0,0,1,0,19670142,412779049,415014377,34243,35872,355,1591771,3187435,0,90547775,99216,668091042,352870933,0
1789788047.079898,1.753,4471637,106340,0,172,112,97,113395,1028765,40114823,191348,1420,63694680,64036840,64771552,0,0,0,0,4,0,19671459,412801499,415036830,34243,35872,355,1591771,3187435,0,90563944,99224,668094050,352870965,0
1789788047.3303072,2.003,4471995,106353,0,172,112,97,113398,1028792,40117491,194776,1420,63672800,64013244,64771552,0,0,0,1,4,0,19672636,412876968,415112311,34243,35872,355,1591268,3186427,0,90570964,99225,668097458,352870965,0
1789788047.580728,2.253,4472360,106365,0,172,112,97,113399,1028813,40120655,197692,1420,63655024,63994012,64771552,0,0,0,1,3,0,19673277,412964904,415200249,34243,35872,355,1590861,3185611,0,90575841,99225,668100374,352870965,0
1789788047.8310604,2.504,4472719,106379,0,172,112,97,113402,1028834,40124500,201060,1420,63626340,63963596,64771552,0,0,0,1,1,0,19673703,413007982,415243327,34243,35872,355,1590188,3184264,0,90583791,99232,668103762,352870965,0
1789788048.0814276,2.754,4473072,106390,0,172,112,97,113404,1028870,40128432,203928,1420,63616332,63952152,64771552,0,0,0,1,2,0,19674236,413065843,415301189,34243,35872,355,1589974,3183836,0,90586385,99237,668106678,352870965,0
1789788048.331777,3.005,4473428,106399,0,172,112,97,113405,1028902,40133381,205968,1420,63609344,63944144,64771552,0,0,0,1,1,0,19675171,413119269,415354615,34243,35872,355,1589825,3183537,0,90588287,99239,668108738,352870965,0
