t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789788295.265346,0.0,4774323,116664,0,172,119,102,124023,1100706,43972614,117168,1264,63792392,64173632,64771552,0,0,0,1,2,0,20393365,448401101,450695607,34267,35895,316,1593218,3190331,0,97744902,108570,745622898,375143733,0
1789788295.5162995,0.251,4774567,116682,0,172,119,102,124024,1100844,43973214,126952,1264,63774872,64150452,64771552,0,0,0,1,17,0,20394381,448429629,450724183,34267,35895,316,1592948,3189791,0,97747564,108643,745635182,375143733,0
1789788295.766842,0.501,4774936,116698,0,172,119,102,124026,1100856,43973905,134340,1264,63758472,64129744,64771552,0,0,0,1,1,0,20394975,448518320,450812971,34267,35895,316,1592635,3189165,0,97752452,108677,745644422,375143733,0
1789788296.0172284,0.752,4775311,116721,0,172,119,102,124028,1100857,43974594,162828,1296,63731296,64087948,64771552,0,0,0,1,1,0,20395711,448676530,450971181,34267,35895,324,1592332,3188559,0,97756649,108881,745673026,375143733,0
1789788296.2675729,1.002,4775676,116745,0,172,119,102,124029,1100866,43976765,173448,1296,63715636,64066956,64771552,0,0,0,1,1,0,20396487,448806626,451101304,34267,35895,324,1592075,3188042,0,97759881,108980,745683626,375143733,0
1789788296.5179467,1.253,4776046,116767,0,172,119,102,124030,1100873,43978491,180024,1296,63710828,64058816,64771552,0,0,0,1,1,0,20397576,448985696,451280374,34267,35895,324,1592038,3187968,0,97761909,108986,745690214,375143733,0
1789788296.7683094,1.503,4776413,116788,0,172,119,102,124032,1100883,43979774,188424,1296,63688280,64032068,64771552,0,0,0,0,1,0,20398529,449148046,451442731,34267,35895,324,1591580,3187051,0,97767010,108986,745698602,375143733,0
1789788297.0187178,1.753,4776769,116797,0,172,119,102,124037,1100913,43983452,191388,1296,63683392,64025728,64771552,0,0,0,1,3,0,20399589,449169504,451464190,34267,35895,324,1591494,3186879,0,97782936,108994,745701566,375143765,0
1789788297.2691538,2.004,4777126,116810,0,172,119,102,124040,1100940,43986051,194620,1296,63660396,64001116,64771552,0,0,0,1,1,0,20400138,449243704,451538987,34267,35895,324,1590960,3185811,0,97790034,108995,745704870,375143765,0
1789788297.5195856,2.254,4777491,116822,0,172,119,102,124042,1100962,43989135,197680,1296,63639736,63978952,64771552,0,0,0,0,2,0,20400786,449329712,451624995,34267,35895,324,1590482,3184853,0,97795138,108995,745707866,375143765,0
1789788297.769983,2.505,4777851,116836,0,172,119,102,124045,1100983,43993014,201084,1296,63613140,63950564,64771552,0,0,0,1,2,0,20401466,449414471,451709754,34267,35895,324,1589863,3183613,0,97803171,109003,745711282,375143765,0
1789788298.020385,2.755,4778202,116847,0,172,119,102,124047,1101019,43996675,204004,1296,63603436,63939400,64771552,0,0,0,0,6,0,20401944,449472394,451767687,34267,35895,324,1589657,3183201,0,97805854,109008,745714246,375143765,0
1789788298.270926,3.006,4778560,116858,0,172,119,102,124048,1101048,44001375,206392,1296,63596108,63930908,64771552,0,0,0,0,2,0,20402598,449535103,451830399,34267,35895,324,1589503,3182893,0,97807641,109011,745716590,375143765,0
1789788298.5213325,3.256,4778903,116869,0,172,119,102,124052,1101088,44006896,208776,1296,63582664,63916240,64771552,0,0,0,0,1,0,20403063,449562727,451858023,34267,35895,324,1589198,3182282,0,97812395,109014,745718974,375143769,0
1789788298.8140633,3.549,4779345,116894,0,172,119,102,124054,1101091,44007818,236632,1296,63563776,63883168,64771552,0,0,0,1,1,0,20404201,449803726,452099032,34267,35895,324,1589081,3182047,0,97815734,109242,745747498,375143769,0
