t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787964.5450783,0.0,4370982,102896,0,172,109,96,110731,1003961,38836134,117020,1392,63449816,63830096,64771552,0,0,0,1,1,0,19424756,400385184,402603266,34240,35869,348,1584638,3173150,0,88207373,95534,642146910,347484549,0
1789787964.795685,0.251,4371227,102914,0,172,109,96,110732,1004097,38836728,126864,1392,63435312,63809336,64771552,0,0,0,0,17,0,19425041,400414008,402632104,34240,35869,348,1584432,3172738,0,88210034,95607,642159186,347484549,0
1789787965.046202,0.501,4371594,102931,0,172,109,96,110734,1004112,38837444,134432,1392,63416668,63786516,64771552,0,0,0,1,1,0,19425792,400498652,402716792,34240,35869,348,1584070,3172014,0,88214933,95641,642168566,347484549,0
1789787965.2965825,0.752,4371969,102954,0,172,109,96,110736,1004112,38838165,162776,1424,63390836,63745900,64771552,0,0,0,1,1,0,19426656,400671184,402889415,34240,35869,356,1583795,3171462,0,88219153,95846,642197066,347484549,0
1789787965.5469077,1.002,4372334,102977,0,172,109,96,110738,1004122,38840314,173344,1424,63387252,63737000,64771552,0,0,0,1,1,0,19427426,400814534,403032804,34240,35869,356,1583838,3171549,0,88222395,95943,642207650,347484549,0
1789787965.797224,1.252,4372705,102999,0,172,109,96,110739,1004127,38842020,179916,1424,63384948,63731432,64771552,0,0,0,1,1,0,19428389,400998346,403216621,34240,35869,356,1583862,3171597,0,88224406,95949,642214222,347484549,0
1789787966.047528,1.502,4373067,103023,0,172,109,96,110741,1004138,38843409,189400,1424,63361880,63703384,64771552,0,0,0,0,1,0,19429138,401144674,403362956,34240,35869,356,1583410,3170693,0,88230223,95968,642224098,347484549,0
1789787966.2979102,1.753,4373408,103041,0,172,109,96,110749,1004171,38847896,195256,3332,63366300,63704480,64771552,0,0,0,1,3,0,19430077,401186243,403404538,34240,35869,833,1583604,3171080,0,88251451,96029,642230626,347484581,0
1789787966.548324,2.003,4373762,103055,0,172,109,96,110752,1004199,38850358,199064,4608,63344840,63681036,64771552,0,0,0,1,1,0,19430922,401258477,403476777,34240,35869,1152,1583117,3170106,0,88259617,96039,642234586,347484581,0
1789787966.7987382,2.254,4374128,103067,0,172,109,96,110754,1004220,38852846,201960,4608,63324072,63658820,64771552,0,0,0,0,2,0,19431615,401346429,403564728,34240,35869,1152,1582635,3169141,0,88264396,96039,642237462,347484581,0
