t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787877.9637158,0.0,4265518,98954,0,172,107,94,106154,979951,37488961,116812,1364,63460964,63840440,64771552,0,0,0,1,1,0,19153953,387169021,389352980,34239,35868,341,1584894,3173664,0,85572184,92343,616284570,334902809,0
1789787878.2145832,0.251,4265761,98972,0,172,107,94,106156,980090,37489575,126696,1364,63456772,63830668,64771552,0,0,0,0,17,0,19154178,387197505,389381475,34239,35868,341,1584966,3173807,0,85574847,92416,616296858,334902809,0
1789787878.4651723,0.501,4266130,98989,0,172,107,94,106157,980101,37490317,134800,1388,63470544,63840032,64771552,0,0,0,1,1,0,19154901,387298818,389482838,34239,35868,347,1585419,3174716,0,85579787,92451,616306606,334902809,0
1789787878.7155797,0.752,4266506,99011,0,172,107,94,106158,980101,37491008,162904,1420,63465908,63820788,64771552,0,0,0,1,1,0,19155704,387458406,389642465,34239,35868,355,1585668,3175214,0,85583970,92657,616334858,334902809,0
1789787878.9659238,1.002,4266871,99035,0,172,107,94,106160,980111,37493133,173484,1420,63458336,63807832,64771552,0,0,0,1,1,0,19156501,387600413,389784512,34239,35868,355,1585614,3175105,0,85587189,92752,616345518,334902809,0
1789787879.2162862,1.253,4267241,99057,0,172,107,94,106161,980117,37494836,179932,1420,63448608,63794916,64771552,0,0,0,1,1,0,19157576,387784717,389968847,34239,35868,355,1585451,3174778,0,85589195,92758,616351902,334902809,0
1789787879.4666681,1.503,4267608,99078,0,172,107,94,106162,980127,37496139,188320,1420,63441952,63784004,64771552,0,0,0,0,1,0,19158896,387949405,390133638,34239,35868,355,1585391,3174658,0,85594344,92758,616360274,334902809,0
1789787879.717047,1.753,4267963,99087,0,172,107,94,106168,980157,37499782,191280,1420,63452380,63792952,64771552,0,0,0,1,3,0,19159275,387977176,390161408,34239,35868,355,1585688,3175253,0,85610230,92766,616363238,334902841,0
1789787879.9674737,2.004,4268321,99101,0,172,107,94,106170,980184,37501896,194736,1420,63426736,63765572,64771552,0,0,0,0,2,0,19159858,388054591,390238834,34239,35868,355,1585091,3174058,0,85617452,92767,616366706,334902841,0
1789787880.2179358,2.254,4268686,99112,0,172,107,94,106172,980203,37505023,197620,1420,63407432,63744844,64771552,0,0,0,0,2,0,19160519,388142629,390326872,34239,35868,355,1584645,3173164,0,85622182,92767,616369602,334902841,0
1789787880.468331,2.505,4269045,99127,0,172,107,94,106175,980226,37509047,200976,1420,63386888,63722592,64771552,0,0,0,0,2,0,19161159,388203006,390387269,34239,35868,355,1584175,3172223,0,85630027,92775,616372946,334902841,0
1789787880.71876,2.755,4269396,99138,0,172,107,94,106177,980261,37512866,203900,1420,63374080,63708324,64771552,0,0,0,0,2,0,19161668,388258779,390443042,34239,35868,355,1583891,3171655,0,85633152,92780,616375902,334902841,0
1789787880.9691422,3.005,4269752,99147,0,172,107,94,106180,980295,37517996,205904,1420,63367328,63700576,64771552,0,0,0,1,1,0,19162329,388311600,390495873,34239,35868,355,1583747,3171368,0,85634813,92782,616377874,334902841,0
1789787881.2195044,3.256,4270095,99159,0,172,107,94,106184,980334,37523673,208440,1420,63351528,63683500,64771552,0,0,0,1,2,0,19162952,388369940,390554218,34239,35868,355,1583385,3170642,0,85639546,92786,616380434,334902841,0
1789787881.610577,3.647,4270691,99185,0,172,107,94,106185,980339,37524843,236528,1420,63347376,63665056,64771552,0,0,0,1,1,0,19164220,388590978,390775299,34239,35868,355,1583638,3171149,0,85643054,93014,616409178,334902845,0
1789787881.8630815,3.899,4271067,99204,0,172,107,94,106187,980343,37525453,250672,1420,63334080,63644512,64771552,0,0,0,0,2,0,19165230,388781192,390965512,34239,35868,355,1583487,3170846,0,85646942,93119,616423522,334902845,0
1789787882.113399,4.15,4271442,99221,0,172,107,94,106188,980351,37525975,262436,1420,63318740,63623244,64771552,0,0,0,1,1,0,19166308,388951447,391135768,34239,35868,355,1583252,3170376,0,85651065,93212,616435466,334902845,0
1789787882.3637285,4.4,4271809,99235,0,172,107,94,106190,980366,37528003,268796,1420,63311856,63613092,64771552,0,0,0,0,2,0,19167228,389022920,391207272,34239,35868,355,1583162,3170195,0,85654822,93224,616441942,334902845,0
1789787882.6141212,4.65,4272167,99249,0,172,107,94,106191,980392,37530355,271844,1420,63301668,63601380,64771552,0,0,0,1,1,0,19167872,389106336,391290700,34239,35868,355,1582946,3169762,0,85658561,93228,616444970,334902845,0
1789787882.864534,4.901,4272491,99262,0,172,107,94,106195,980452,37532795,274648,1420,63233008,63530964,64771552,0,0,0,0,4,0,19168245,389147558,391331921,34239,35868,355,1581259,3166384,0,85676340,93228,616447862,334902845,0
1789787883.1150234,5.151,4272845,99272,0,172,107,94,106197,980485,37535299,277296,1420,63208824,63504120,64771552,0,0,0,1,1,0,19168828,389215609,391399972,34239,35868,355,1580655,3165175,0,85683392,93228,616450422,334902845,0
1789787883.3654654,5.402,4273194,99283,0,172,107,94,106199,980523,37541143,280648,1420,63213952,63505880,64771552,0,0,0,0,3,0,19169585,389268348,391452711,34239,35868,355,1580783,3165432,0,85689103,93231,616453778,334902845,0
1789787883.6159337,5.652,4273548,99293,0,172,107,94,106200,980556,37542834,283388,1420,63206264,63495472,64771552,0,0,0,0,5,0,19170086,389318095,391502458,34239,35868,355,1580591,3165047,0,85691042,93231,616456550,334902845,0
1789787883.866434,5.903,4273895,99302,0,172,107,94,106202,980597,37545693,286236,1520,63193736,63480120,64771552,0,0,0,1,1,0,19170498,389360349,391544712,34239,35868,380,1580278,3164421,0,85694571,93233,616459270,334902845,0
1789787884.1168773,6.153,4274255,99314,0,172,107,94,106204,980625,37547749,289864,1520,63183040,63465752,64771552,0,0,0,1,2,0,19171084,389434531,391618895,34239,35868,380,1580011,3163886,0,85697877,93233,616462898,334902845,0
1789787884.3673077,6.404,4274607,99319,0,172,107,94,106206,980666,37550319,292028,1520,63182764,63463292,64771552,0,0,0,0,2,0,19171491,389464083,391648447,34239,35868,380,1580004,3163872,0,85700806,93233,616465058,334902845,0
