t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789788127.148486,0.0,4569177,109656,0,172,114,99,116927,1051986,41376771,117296,1452,63509144,63885308,64771552,0,4,0,1,1,0,19892844,423917569,426171026,34244,35872,363,1586044,3175966,1,93024215,102119,693893110,360488265,0
1789788127.399589,0.251,4569419,109673,0,172,114,99,116928,1052126,41377435,126816,1388,63533812,63907316,64771552,0,0,0,0,17,0,19894720,423936578,426190052,34244,35872,347,1586887,3177655,0,93026879,102192,693905402,360488265,0
1789788127.650217,0.502,4569790,109690,0,172,114,99,116931,1052136,41378145,135024,1388,63517876,63886884,64771552,0,0,0,1,1,0,19895468,424027011,426280506,34244,35872,347,1586602,3177083,0,93031848,102228,693915338,360488265,0
1789788127.900608,0.752,4570165,109713,0,172,114,99,116932,1052136,41378836,162796,1420,63494212,63848760,64771552,0,0,0,1,1,0,19896221,424188767,426442262,34244,35872,355,1586372,3176623,0,93036017,102433,693943398,360488265,0
1789788128.1509519,1.002,4570530,109736,0,172,114,99,116935,1052146,41380981,173624,1420,63476016,63825112,64771552,0,0,0,1,2,0,19896947,424328784,426582281,34244,35872,355,1586054,3175986,0,93039237,102528,693954062,360488265,0
1789788128.401272,1.253,4570900,109759,0,172,114,99,116936,1052153,41382621,180024,1420,63474500,63820448,64771552,0,0,0,1,1,0,19897893,424512734,426766236,34244,35872,355,1586094,3176067,0,93041270,102534,693960462,360488265,0
1789788128.6515837,1.503,4571267,109780,0,172,114,99,116937,1052162,41383869,188380,1420,63452692,63794440,64771552,0,0,0,1,1,0,19898745,424675692,426929202,34244,35872,355,1585655,3175187,0,93046372,102534,693968830,360488265,0
1789788128.9019146,1.753,4571620,109789,0,172,114,99,116942,1052194,41387924,191120,1388,63441380,63781768,64771552,0,32,0,1,2,0,19899770,424696775,426950287,34244,35872,347,1585407,3174690,8,93062769,102542,693971818,360488297,0
1789788129.1523461,2.004,4571977,109803,0,172,114,99,116944,1052222,41390742,194772,1388,63418056,63756616,64771552,0,32,0,0,2,0,19900936,424772991,427026516,34244,35872,347,1584870,3173615,8,93070122,102543,693975266,360488297,0
1789788129.4027817,2.254,4572342,109815,0,172,114,99,116946,1052243,41394147,197732,1420,63404336,63741392,64771552,0,0,0,0,4,0,19901597,424858313,427111853,34244,35872,355,1584565,3173005,0,93075024,102543,693978174,360488297,0
