t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789787769.1944416,0.0,4132002,94541,0,172,104,92,102110,948524,35829139,117228,1152,63688028,64069244,64771552,0,0,0,1,1,0,18850030,371373984,373537598,34238,35867,288,1590611,3185112,0,82719645,87982,581789554,326802001,0
1789787769.4455833,0.251,4132244,94559,0,172,104,92,102111,948665,35829808,126716,1152,63691908,64067192,64771552,0,0,0,0,17,0,18851445,371393395,373557023,34238,35867,288,1590868,3185626,0,82722309,88055,581801994,326802001,0
1789787769.6961458,0.502,4132614,94576,0,172,104,92,102113,948676,35830548,135220,1152,63677332,64047816,64771552,0,0,0,1,1,0,18852288,371485722,373649356,34238,35867,288,1590613,3185115,0,82727298,88091,581812110,326802001,0
1789787769.9465327,0.752,4132989,94598,0,172,104,92,102114,948676,35831237,162864,1184,63649384,64005708,64771552,0,0,0,1,1,0,18853060,371648191,373811830,34238,35867,296,1590277,3184442,0,82731458,88298,581839898,326802001,0
1789787770.196874,1.002,4133354,94622,0,172,104,92,102116,948685,35833484,173540,1184,63633228,63984156,64771552,0,0,0,1,1,0,18853517,371723207,373886897,34238,35867,296,1590011,3183910,0,82734685,88391,581850526,326802001,0
1789787770.4472284,1.253,4133725,94644,0,172,104,92,102117,948691,35835156,179924,1184,63625360,63973120,64771552,0,0,0,1,1,0,18854526,371907302,374071005,34238,35867,296,1589894,3183675,0,82736710,88397,581856914,326802001,0
1789787770.697545,1.503,4134092,94665,0,172,104,92,102119,948701,35836430,188280,1184,63603664,63947236,64771552,0,0,0,1,1,0,18855179,372030797,374194507,34238,35867,296,1589457,3182800,0,82741781,88397,581865270,326802001,0
1789787770.9479275,1.753,4134446,94674,0,172,104,92,102124,948733,35840157,191288,1184,63624516,63966528,64771552,0,0,0,0,4,0,18855858,372057792,374221505,34238,35867,296,1590016,3183921,0,82757797,88405,581868270,326802033,0
1789787771.1983511,2.004,4134803,94687,0,172,104,92,102126,948760,35842769,194724,1184,63597544,63937844,64771552,0,0,0,0,2,0,18857858,372132974,374296703,34238,35867,296,1589386,3182658,0,82764821,88406,581871722,326802033,0
1789787771.4487834,2.254,4135167,94699,0,172,104,92,102128,948782,35845910,197660,1184,63576908,63915740,64771552,0,0,0,1,3,0,18858533,372218549,374382285,34238,35867,296,1588907,3181700,0,82769816,88406,581874642,326802033,0
