stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789787694290,1789787694758,468,False,367,44521265,59,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789787696186,1789787696363,177,False,151,75993278,13,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,27292955
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789787696186,1789787696365,179,False,154,76725922,12,15,2071,0,0,0,0,2500,0,0,0,0,43580,2500,26976498
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789787696184,1789787696368,184,False,147,105056853,13,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,27716852
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789787696186,1789787696368,182,False,152,74377377,12,15,2114,0,0,0,0,2501,0,0,0,0,44083,2501,27637647
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789787696365,1789787697320,955,False,930,604412499,18,29,2346,0,0,0,85887011,41744,0,0,0,0,80892392,41744,101861131
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789787696366,1789787697350,984,False,963,658133346,16,29,2346,0,0,0,85886796,41744,0,0,0,0,80893061,41744,107482097
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789787696363,1789787697351,988,False,965,648999979,16,29,2346,0,0,0,85887551,41744,0,0,0,0,80888586,41744,106419796
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789787696358,1789787697367,1009,False,981,727009741,21,29,2346,0,0,0,85887460,41744,0,0,0,0,80888674,41744,108017714
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789787697319,1789787697842,523,False,516,471208509,3,23,2346,0,0,0,85886546,41744,0,0,0,0,80894295,41744,97930440
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789787697350,1789787697856,506,False,500,447818376,2,23,2346,0,0,0,85887213,41744,0,0,0,0,80891844,41744,92325367
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789787697349,1789787697896,547,False,540,472646422,2,23,2346,0,0,0,85887238,41744,0,0,0,0,80896402,41744,98831442
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789787697366,1789787697947,581,False,573,515117972,2,23,2346,0,0,0,85887183,41744,0,0,0,0,80892876,41744,109082490
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789787697842,1789787698330,488,False,481,435800483,3,21,2346,0,0,0,85887058,41744,0,0,0,0,80897555,41744,89163684
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789787697896,1789787698377,481,False,476,433833683,1,21,2346,0,0,0,85886893,41744,0,0,0,0,80896924,41744,94913898
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789787697855,1789787698381,526,False,521,470623911,1,21,2346,0,0,0,85886953,41744,0,0,0,0,80887848,41744,99226106
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789787697946,1789787698449,503,False,498,457874461,2,21,2346,0,0,0,85886823,41744,0,0,0,0,80897546,41744,96296067
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789787698329,1789787698793,464,False,459,429539847,1,14,2346,0,0,0,85887199,41744,0,0,0,0,80893029,41744,88557770
2,save at NativeMethodAccessorImpl.java:0,18,13,0,1789787698376,1789787698839,463,False,459,419558615,1,14,2346,0,0,0,85887620,41744,0,0,0,0,80890714,41744,89747353
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789787698380,1789787698859,479,False,474,425380528,1,14,2346,0,0,0,85887555,41744,0,0,0,0,80896814,41744,91109056
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789787698448,1789787698906,458,False,453,423552707,1,14,2346,0,0,0,85887500,41744,0,0,0,0,80895439,41744,90738394
2,save at NativeMethodAccessorImpl.java:0,21,16,0,1789787698792,1789787699302,510,False,504,463404437,1,14,2346,0,0,0,85887460,41744,0,0,0,0,80889298,41744,92149706
2,save at NativeMethodAccessorImpl.java:0,22,17,0,1789787698839,1789787699312,473,False,469,419700342,1,14,2346,0,0,0,85887440,41744,0,0,0,0,80896339,41744,92276088
2,save at NativeMethodAccessorImpl.java:0,23,18,0,1789787698858,1789787699363,505,False,500,458427987,1,14,2346,0,0,0,85887425,41744,0,0,0,0,80897751,41744,106503337
