t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789799912.7779317,0.0,404955,10421,0,176,40,42,12237,147180,3160394,117132,1268,63859624,64240348,64771540,0,0,0,1,1,0,7704880,40090398,40929330,5,5,317,1594878,3193657,0,12433003,5964,26235630,72523017,0
1789799913.029131,0.251,405201,10439,0,176,40,42,12239,147317,3161008,126716,1268,63847172,64222272,64771540,0,0,0,0,17,0,7705460,40168202,41007140,5,5,317,1594730,3193359,0,12435662,6037,26247802,72523017,0
1789799913.2796502,0.502,405568,10456,0,176,40,42,12241,147331,3161735,133960,1256,63833232,64204068,64771540,0,0,0,1,1,0,7705946,40229911,41068856,5,5,314,1594488,3192876,0,12440568,6071,26256930,72523017,0
1789799913.5300539,0.752,405943,10478,0,176,40,42,12242,147331,3162452,162604,1288,63805160,64161300,64771540,0,0,0,1,1,0,7706693,40387677,41226622,5,5,322,1594154,3192207,0,12444797,6276,26285682,72523017,0
1789799913.7803922,1.002,406308,10502,0,176,40,42,12244,147340,3164577,173184,1288,63790124,64140960,64771540,0,0,0,1,1,0,7707501,40529722,41368722,5,5,322,1593912,3191721,0,12448010,6373,26296250,72523017,0
1789799914.0307615,1.253,406679,10524,0,176,40,42,12245,147346,3166284,179768,1288,63779596,64127156,64771540,0,0,0,1,2,0,7708494,40713094,41552093,5,5,322,1593731,3191358,0,12450029,6379,26302838,72523017,0
1789799914.2811308,1.503,407046,10545,0,176,40,42,12246,147356,3167626,188188,1288,63759264,64102496,64771540,0,0,0,0,1,0,7709127,40815551,41654565,5,5,322,1593331,3190558,0,12455151,6379,26311242,72523017,0
1789799914.5314562,1.754,407401,10554,0,176,40,42,12251,147386,3171413,190936,1256,63748428,64090284,64771540,0,32,0,1,3,0,7709921,40837394,41676408,5,5,314,1593095,3190085,8,12470897,6387,26314190,72523049,0
1789799914.7818835,2.004,407758,10567,0,176,40,42,12253,147412,3173990,194176,1256,63724744,64064980,64771540,0,32,0,0,2,0,7711131,40912176,41751206,5,5,314,1592544,3188982,8,12478172,6388,26317594,72523049,0
1789799915.0322866,2.254,408124,10579,0,176,40,42,12255,147434,3177064,197420,1256,63704280,64042896,64771540,0,32,0,1,1,0,7711812,40999403,41838446,5,5,314,1592074,3188041,8,12482951,6388,26320506,72523049,0
1789799915.2826858,2.505,408483,10594,0,176,40,42,12258,147456,3180938,200852,1288,63675344,64012240,64771540,0,0,0,0,4,0,7712478,41083308,41922355,5,5,322,1591394,3186680,0,12490825,6395,26323918,72523049,0
1789799915.533093,2.755,408836,10605,0,176,40,42,12259,147490,3184595,203776,1288,63664024,63999464,64771540,0,0,0,0,5,0,7712974,41142629,41981677,5,5,322,1591148,3186187,0,12493073,6400,26326882,72523049,0
1789799915.783486,3.006,409194,10615,0,176,40,42,12261,147520,3189272,206092,1288,63656324,63990600,64771540,0,0,0,1,1,0,7713594,41194624,42033678,5,5,322,1590985,3185860,0,12494942,6402,26329158,72523049,0
1789799916.0339031,3.256,409537,10627,0,176,40,42,12264,147563,3194749,208548,1288,63634784,63967832,64771540,0,0,0,0,1,0,7713978,41221497,42060702,5,5,322,1590478,3184845,0,12499659,6406,26331614,72523053,0
1789799916.3294902,3.552,409983,10652,0,176,40,42,12266,147565,3195697,236404,1288,63616424,63935220,64771540,0,0,0,1,1,0,7714754,41374419,42213630,5,5,322,1590375,3184640,0,12503004,6634,26360394,72523053,0
1789799916.5820026,3.804,410369,10671,0,176,40,42,12268,147569,3196579,251244,1288,63598752,63910008,64771540,0,0,0,0,2,0,7715746,41570369,42409585,5,5,322,1590125,3184139,0,12506933,6745,26375446,72523053,0
1789799916.900782,4.123,410837,10692,0,176,40,42,12269,147578,3197097,265320,1288,63577372,63881564,64771540,0,0,0,1,1,0,7717086,41778457,42617681,5,5,322,1589765,3183418,0,12512066,6840,26389538,72523053,0
1789799917.1511908,4.373,411202,10706,0,176,40,42,12271,147596,3199345,269412,1288,63559788,63861764,64771540,0,0,0,1,1,0,7717875,41830365,42669631,5,5,322,1589381,3182649,0,12515938,6844,26393810,72523053,0
1789799917.401591,4.624,411558,10719,0,176,40,42,12274,147625,3201904,272648,1288,63543672,63844028,64771540,0,0,0,0,3,0,7718496,41904764,42744030,5,5,322,1589019,3181924,0,12520172,6848,26397014,72523053,0
1789799917.652031,4.874,411876,10730,0,176,40,42,12278,147691,3203702,275136,1288,63471968,63770592,64771540,0,0,0,0,4,0,7718793,41940451,42779717,5,5,322,1587248,3178378,0,12540821,6848,26399602,72523053,0
1789799917.9024918,5.125,412237,10741,0,176,40,42,12279,147717,3205934,277848,1288,63449156,63745096,64771540,0,0,0,1,1,0,7719386,42008106,42847372,5,5,322,1586679,3177238,0,12547004,6848,26402630,72523053,0
1789799918.152967,5.375,412577,10752,0,176,40,42,12282,147761,3211998,281496,1288,63436276,63728516,64771540,0,0,0,0,6,0,7720067,42051792,42891058,5,5,322,1586357,3176594,0,12551523,6851,26405838,72523053,0
