t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789799866.7974384,0.0,347911,8811,0,176,39,41,10670,134034,2680759,123776,980,63834152,64211584,64771540,0,392,0,1,1,0,7619585,35197869,36027326,4,4,245,1594329,3192556,98,11582254,4938,17632534,66755341,0
1789799867.0479882,0.251,348149,8828,0,176,39,41,10671,134178,2681365,133268,1376,63818780,64190476,64771540,0,392,0,1,16,0,7620082,35225330,36054844,4,4,344,1594105,3192108,98,11584919,5011,17644858,66755341,0
1789799867.298508,0.501,348523,8845,0,176,39,41,10674,134186,2682116,141764,1440,63813260,64180396,64771540,0,0,0,1,1,0,7621132,35327934,36157578,4,4,360,1594081,3192060,0,11589888,5047,17654890,66755341,0
1789799867.5489185,0.751,348898,8868,0,176,39,41,10675,134186,2682823,168940,1472,63784408,64137504,64771540,0,0,0,1,1,0,7621907,35489775,36319460,4,4,368,1593711,3191319,0,11594104,5256,17682754,66755341,0
1789799867.7992575,1.002,349263,8891,0,176,39,41,10677,134195,2685094,179896,1472,63765692,64113308,64771540,0,0,0,1,1,0,7622666,35632316,36462025,4,4,368,1593381,3190658,0,11597302,5347,17693402,66755341,0
1789799868.0496426,1.252,349634,8913,0,176,39,41,10678,134200,2686744,186320,1472,63755244,64099652,64771540,0,0,0,1,1,0,7623507,35817522,36647267,4,4,368,1593200,3190296,0,11599314,5353,17699818,66755341,0
1789799868.3000166,1.503,350001,8935,0,176,39,41,10679,134209,2688072,194704,1472,63737704,64077736,64771540,0,0,0,0,2,0,7624214,35979908,36809667,4,4,368,1592871,3189638,0,11604426,5353,17708194,66755341,0
1789799868.5503936,1.753,350354,8944,0,176,39,41,10683,134241,2691757,197392,1440,63734616,64073348,64771540,0,32,0,0,3,0,7624511,36001152,36830913,4,4,360,1592827,3189548,8,11620542,5360,17711134,66755373,0
1789799868.8008096,2.003,350712,8957,0,176,39,41,10685,134268,2694412,201044,1440,63709508,64046420,64771540,0,32,0,1,1,0,7625171,36076479,36906239,4,4,360,1592245,3188384,8,11627878,5361,17714654,66755373,0
1789799869.0512242,2.254,351075,8969,0,176,39,41,10687,134290,2697508,203876,1440,63689772,64025264,64771540,0,32,0,0,3,0,7627715,36161855,36991622,4,4,360,1591788,3187469,8,11632720,5361,17717514,66755373,0
1789799869.3016346,2.504,351437,8984,0,176,39,41,10689,134309,2701248,207488,1472,63671184,64004788,64771540,0,0,0,1,1,0,7628508,36251283,37081056,4,4,368,1591371,3186634,0,11640314,5369,17720978,66755373,0
1789799869.5520682,2.755,351786,8994,0,176,39,41,10692,134347,2705497,210304,1472,63660128,63992336,64771540,0,0,0,1,1,0,7629112,36302718,37132491,4,4,368,1591130,3186151,0,11642750,5374,17723726,66755373,0
1789799869.8024879,3.005,352145,9005,0,176,39,41,10693,134375,2709567,212812,1472,63651364,63982308,64771540,0,0,0,0,2,0,7629818,36370403,37200182,4,4,368,1590943,3185776,0,11644540,5377,17726234,66755373,0
1789799870.052934,3.255,352491,9016,0,176,39,41,10696,134416,2714215,215004,1472,63682300,64012148,64771540,0,4,0,0,1,0,7630315,36391030,37220934,4,4,368,1591743,3187377,1,11648985,5380,17728426,66755377,0
1789799870.3448787,3.547,352932,9041,0,176,39,41,10697,134419,2715172,242852,1472,63680032,63995568,64771540,0,0,0,1,1,0,7631544,36635803,37465718,4,4,368,1592043,3187979,0,11652324,5608,17757198,66755377,0
1789799870.5973916,3.8,353307,9060,0,176,39,41,10698,134423,2715797,257000,1472,63663080,63971428,64771540,0,0,0,1,1,0,7632474,36825170,37655097,4,4,368,1591799,3187491,0,11656177,5713,17771406,66755377,0
1789799870.8477561,4.05,353682,9076,0,176,39,41,10699,134429,2716296,268748,1472,63646508,63948932,64771540,0,0,0,0,2,0,7633561,36994623,37824558,4,4,368,1591534,3186959,0,11660299,5806,17783258,66755377,0
1789799871.098095,4.301,354049,9091,0,176,39,41,10701,134446,2717902,274932,1472,63632280,63931216,64771540,0,0,0,0,2,0,7633970,37043388,37873377,4,4,368,1591250,3186390,0,11664106,5818,17789738,66755377,0
1789799871.3484879,4.551,354408,9105,0,176,39,41,10703,134471,2719396,278096,1472,63613536,63909304,64771540,0,0,0,1,1,0,7634589,37130403,37960392,4,4,368,1590782,3185453,0,11668349,5822,17792794,66755377,0
1789799871.598922,4.801,354736,9117,0,176,39,41,10706,134528,2721248,280668,1472,63551432,63844648,64771540,0,0,0,0,4,0,7635121,37174152,38004141,4,4,368,1589231,3182349,0,11688340,5822,17795490,66755377,0
1789799871.849386,5.052,355088,9128,0,176,39,41,10708,134562,2723116,283500,1472,63527752,63818104,64771540,0,0,0,1,1,0,7635563,37229520,38059509,4,4,368,1588640,3181165,0,11695080,5822,17798194,66755377,0
1789799872.0998383,5.302,355440,9139,0,176,39,41,10711,134595,2727253,286944,1472,63504532,63791376,64771540,0,0,0,1,4,0,7636161,37285549,38115541,4,4,368,1588061,3180004,0,11701133,5825,17801642,66755377,0
1789799872.3502655,5.553,355795,9150,0,176,39,41,10712,134629,2728733,289748,1472,63496732,63780828,64771540,0,0,0,0,3,0,7636589,37339030,38169041,4,4,368,1587866,3179614,0,11703666,5825,17804530,66755377,0
1789799872.6007063,5.803,356146,9159,0,176,39,41,10714,134667,2730816,292696,1572,63482632,63763732,64771540,0,0,0,1,1,0,7636983,37386325,38216341,4,4,393,1587514,3178910,0,11707320,5827,17807342,66755377,0
1789799872.851143,6.054,356494,9171,0,176,39,41,10715,134705,2732499,296440,1572,63469004,63746388,64771540,0,0,0,2,1,0,7637436,37453285,38283301,4,4,393,1587174,3178228,0,11711790,5827,17811042,66755377,0
1789799873.1016011,6.304,356856,9176,0,176,39,41,10716,134737,2735397,298352,1572,63458732,63734176,64771540,0,0,0,0,5,0,7639335,37487837,38317861,4,4,393,1586917,3177715,0,11714247,5827,17812950,66755377,0
1789799873.35227,6.555,357174,9177,0,176,39,41,10720,134810,2744582,298868,1572,63451288,63726212,64771540,0,0,0,0,9,0,7640039,37492172,38322196,4,4,393,1586731,3177343,0,11719232,5829,17813466,66755377,0
1789799873.6027405,6.805,357506,9181,0,176,39,41,10723,134872,2750252,299584,1572,63440464,63714668,64771540,0,0,0,0,3,0,7640587,37503581,38333605,4,4,393,1586461,3176802,0,11721510,5831,17814258,66755377,0
1789799873.8531942,7.056,357877,9195,0,176,39,41,10723,134886,2751646,303948,1572,63435008,63704888,64771540,0,0,0,0,2,0,7641442,37627216,38457240,4,4,393,1586325,3176529,0,11722749,5832,17818546,66755377,0
1789799874.1036284,7.306,358247,9203,0,176,39,41,10725,134905,2752815,306048,1572,63423276,63691020,64771540,0,0,0,0,3,0,7642052,37694336,38524360,4,4,393,1586032,3175943,0,11726087,5832,17820650,66755377,0
1789799874.3541088,7.557,358604,9211,0,176,39,41,10728,134937,2755342,308244,1572,63398876,63664424,64771540,0,0,0,1,3,0,7642531,37746045,38576076,4,4,393,1585423,3174723,0,11731010,5832,17822842,66755377,0
1789799874.60453,7.807,358973,9224,0,176,39,41,10728,134955,2755920,311768,1572,63377404,63639440,64771540,0,0,0,0,2,0,7643192,37849762,38679794,4,4,393,1584887,3173649,0,11736457,5832,17826474,66755377,0
1789799874.8549333,8.057,359339,9230,0,176,39,41,10730,134981,2756920,313504,1572,63355728,63616052,64771540,0,0,0,0,5,0,7643526,37894671,38724703,4,4,393,1584346,3172566,0,11741542,5832,17828118,66755377,0
1789799875.1053393,8.308,359695,9239,0,176,39,41,10731,135014,2758740,315492,1572,63332216,63590556,64771540,0,0,0,0,2,0,7644330,37932966,38763237,4,4,393,1583759,3171391,0,11747756,5832,17830110,66755377,0
1789799875.35579,8.558,360042,9247,0,176,39,41,10734,135057,2762233,317524,1572,63309352,63565068,64771540,0,0,0,1,1,0,7644738,37971570,38801840,4,4,393,1583188,3170248,0,11753802,5832,17832726,66755377,0
1789799875.6062276,8.809,360374,9252,0,176,39,41,10736,135117,2767117,319352,1728,63256524,63510396,64771540,0,0,0,0,3,0,7645109,37982946,38813216,4,4,432,1581869,3167607,0,11764198,5832,17834470,66755377,0
1789799875.856677,9.059,360704,9259,0,176,39,41,10739,135178,2769452,320944,1728,63209236,63461484,64771540,0,0,0,1,1,0,7645285,37994435,38824705,4,4,432,1580689,3165243,0,11775161,5832,17836114,66755377,0
1789799876.1071672,9.31,361060,9269,0,176,39,41,10742,135209,2771785,323672,1736,63178596,63428120,64771540,0,0,0,1,2,0,7646372,38029579,38859854,4,4,434,1579924,3163712,0,11784496,5832,17838766,66755377,0
1789799876.3576317,9.56,361426,9273,0,176,40,41,10745,135235,2774028,325264,1736,63279764,63527724,64771540,0,0,0,0,3,0,7646706,38059883,38890158,4,4,434,1582450,3168769,0,11791129,5832,17840302,66755377,0
1789799876.6080687,9.811,361795,9281,0,176,40,41,10747,135256,2775362,327148,1736,63256972,63503028,64771540,0,0,0,1,1,0,7647162,38120479,38950754,4,4,434,1581881,3167629,0,11796869,5832,17842186,66755377,0
1789799876.8584795,10.061,362153,9289,0,176,40,41,10748,135288,2777825,329552,1736,63230724,63474404,64771540,0,0,0,0,3,0,7647576,38170580,39000855,4,4,434,1581225,3166317,0,11803780,5832,17844710,66755377,0
1789799877.1089337,10.311,362471,9295,0,176,40,41,10750,135362,2782291,331460,1740,63205980,63447736,64771540,0,0,0,0,8,0,7647906,38189233,39019508,4,4,435,1580608,3165080,0,11810749,5833,17846538,66755377,0
1789799877.359583,10.562,362751,9296,0,176,40,41,10755,135473,2794208,332164,1804,63197388,63438424,64771540,0,0,0,0,6,0,7648541,38190762,39021037,4,4,451,1580393,3164651,0,11813414,5833,17847190,66755437,0
1789799877.6100588,10.813,363065,9315,0,176,40,41,10765,135528,2803265,489308,1804,63114476,63198356,64771540,0,0,0,1,1,0,7649290,38220266,39050541,4,4,451,1578323,3160506,0,11836685,5833,18004414,66755437,0
1789799877.860525,11.063,363311,9315,0,176,40,41,10774,135669,2811693,521072,33216,62987828,63039664,64771540,0,0,0,0,7,0,7650146,38220949,39051224,4,4,8304,1575162,3154175,0,11869277,5833,18004662,66755437,0
1789799878.111029,11.314,363571,9329,0,176,40,41,10792,135773,2819244,793576,149660,62811024,62589616,64771540,0,0,0,0,5,0,7650634,38242067,39072369,4,4,37415,1570730,3145300,0,11908482,5833,18160598,66755437,0
