t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789801027.9663684,0.0,1799840,49077,0,176,61,60,52859,452596,16145767,117288,1708,63467968,63848112,64771540,0,308,0,1,1,0,10034807,158399730,159503598,15,15,427,1585080,3174036,77,38062244,32823,241049906,206148561,0
1789801028.2169218,0.251,1800077,49095,0,176,61,60,52860,452741,16146425,126740,1500,63482668,63857000,64771540,0,0,0,0,17,0,10036404,158427005,159530929,15,15,375,1585619,3175116,0,38064924,32896,241062418,206148561,0
1789801028.4674382,0.501,1800451,49112,0,176,61,60,52863,452746,16147169,135856,1500,63466964,63836116,64771540,0,0,0,1,1,0,10037078,158530646,159634582,15,15,375,1585357,3174590,0,38069923,32933,241072894,206148561,0
1789801028.7178159,0.751,1800826,49134,0,176,61,60,52865,452747,16147882,163444,1532,63463272,63818444,64771540,0,0,0,1,1,0,10037857,158697591,159801550,15,15,383,1585614,3175104,0,38074133,33144,241100514,206148561,0
1789801028.9681416,1.002,1801191,49157,0,176,61,60,52867,452756,16150200,173696,1532,63450144,63800184,64771540,0,0,0,0,4,0,10038748,158833708,159937703,15,15,383,1585414,3174705,0,38077271,33231,241110766,206148561,0
1789801029.2184615,1.252,1801561,49179,0,176,61,60,52867,452762,16151895,180032,1532,63440032,63786832,64771540,0,0,0,1,1,0,10040103,159014452,160118477,15,15,383,1585242,3174361,0,38079270,33237,241117134,206148561,0
1789801029.4688482,1.502,1801927,49200,0,176,61,60,52869,452773,16153170,188356,1532,63418544,63761192,64771540,0,0,0,1,1,0,10041169,159175861,160280006,15,15,383,1584810,3173495,0,38084353,33237,241125426,206148561,0
1789801029.7191792,1.753,1802283,49209,0,176,61,60,52874,452802,16156935,191336,1532,63425980,63767152,64771540,0,0,0,1,3,0,10041903,159198224,160302374,15,15,383,1585032,3173940,0,38099613,33245,241128402,206148593,0
1789801029.969599,2.003,1802639,49222,0,176,61,60,52876,452830,16159518,194656,1532,63399900,63739412,64771540,0,0,0,1,1,0,10042491,159274237,160378401,15,15,383,1584422,3172719,0,38107448,33246,241131718,206148593,0
1789801030.2202504,2.254,1803005,49234,0,176,61,60,52878,452850,16162673,197660,1532,63382460,63720484,64771540,0,0,0,1,1,0,10043020,159321927,160426103,15,15,383,1584024,3171922,0,38112474,33246,241134730,206148593,0
1789801030.4706712,2.504,1803364,49248,0,176,61,60,52882,452872,16166789,201052,1532,63353548,63689868,64771540,0,0,0,1,1,0,10043643,159403477,160507671,15,15,383,1583345,3170562,0,38120356,33255,241138138,206148593,0
1789801030.7210624,2.755,1803714,49259,0,176,61,60,52884,452909,16170576,203992,1532,63341472,63676308,64771540,0,0,0,0,2,0,10044131,159458489,160562690,15,15,383,1583081,3170032,0,38123453,33260,241141082,206148593,0
1789801030.9713793,3.005,1804069,49268,0,176,61,60,52886,452942,16175589,205940,1532,63334040,63667904,64771540,0,0,0,1,1,0,10045020,159507483,160611733,15,15,383,1582919,3169709,0,38125138,33262,241143014,206148593,0
1789801031.2217,3.255,1804413,49280,0,176,61,60,52890,452981,16181150,208408,1532,63385672,63718308,64771540,0,0,0,1,1,0,10045732,159539426,160643851,15,15,383,1584240,3172353,0,38129950,33266,241145530,206148593,0
1789801031.6115901,3.645,1805006,49307,0,176,61,60,52891,452986,16182310,236636,1532,63364900,63682984,64771540,0,4,0,1,1,0,10046828,159773000,160877438,15,15,383,1584084,3172041,1,38133428,33494,241174630,206148597,0
1789801031.8639996,3.898,1805381,49326,0,176,61,60,52892,452990,16182961,250788,1532,63347948,63658844,64771540,0,4,0,1,1,0,10047632,159963484,161067922,15,15,383,1583840,3171553,1,38137314,33599,241188870,206148597,0
1789801032.1143987,4.148,1805757,49343,0,176,61,60,52894,452996,16183540,262528,1532,63331420,63636388,64771540,0,4,0,1,1,0,10048482,160133649,161238105,15,15,383,1583575,3171023,1,38141429,33692,241200702,206148597,0
1789801032.3649035,4.399,1806124,49357,0,176,61,60,52895,453012,16185305,268904,1532,63327848,63629568,64771540,0,0,0,0,2,0,10049447,160208215,161312679,15,15,383,1583567,3171007,0,38145164,33704,241207266,206148597,0
1789801032.6152923,4.649,1806482,49371,0,176,61,60,52896,453039,16187233,271952,1532,63310708,63610880,64771540,0,0,0,1,1,0,10050021,160291131,161395594,15,15,383,1583178,3170227,0,38149284,33708,241210294,206148597,0
1789801032.8657053,4.899,1806809,49383,0,176,61,60,52899,453094,16189184,274756,1532,63237716,63536240,64771540,0,0,0,0,4,0,10050374,160334570,161439034,15,15,383,1581385,3166638,0,38168162,33708,241213186,206148597,0
1789801033.116175,5.15,1807163,49393,0,176,61,60,52901,453128,16191337,277424,1532,63210844,63506704,64771540,0,0,0,0,2,0,10050923,160389556,161494020,15,15,383,1580715,3165294,0,38175035,33708,241215762,206148597,0
1789801033.3666406,5.4,1807513,49404,0,176,61,60,52904,453165,16196242,280828,1532,63198540,63490980,64771540,0,0,0,0,5,0,10051486,160442868,161547332,15,15,383,1580407,3164679,0,38180915,33711,241219182,206148597,0
1789801033.6171095,5.651,1807870,49415,0,176,61,60,52905,453195,16197638,283680,1532,63192508,63482132,64771540,0,0,0,1,1,0,10051942,160498300,161602765,15,15,383,1580257,3164378,0,38183062,33711,241222058,206148597,0
1789801033.867539,5.901,1808218,49424,0,176,61,60,52908,453236,16199778,286420,1536,63176052,63462960,64771540,0,0,0,0,2,0,10052279,160541504,161645970,15,15,384,1579846,3163555,0,38187515,33713,241224762,206148597,0
1789801034.1179717,6.152,1808579,49435,0,176,61,60,52909,453262,16201556,290032,1632,63173512,63456772,64771540,0,0,0,1,2,0,10053167,160614622,161719092,15,15,408,1579783,3163428,0,38190991,33713,241228282,206148597,0
1789801034.368376,6.402,1808930,49441,0,176,61,60,52911,453304,16203249,292004,1632,63158480,63439752,64771540,0,0,0,0,2,0,10053443,160643366,161747835,15,15,408,1579407,3162677,0,38195772,33713,241230294,206148597,0
1789801034.6187248,6.652,1809255,49442,0,176,61,60,52914,453374,16209898,292680,1632,63155748,63436332,64771540,0,0,0,0,2,0,10054199,160647622,161752091,15,15,408,1579339,3162540,0,38198025,33715,241230926,206148597,0
1789801034.8691459,6.903,1809591,49444,0,176,61,60,52916,453435,16214371,293292,1632,63147248,63427196,64771540,0,0,0,0,3,0,10054559,160657054,161761523,15,15,408,1579127,3162115,0,38200322,33715,241231538,206148597,0
1789801035.1195726,7.153,1809951,49457,0,176,61,60,52918,453461,16217789,296860,1632,63172432,63448896,64771540,0,0,0,1,1,0,10055205,160732672,161837232,15,15,408,1579756,3163374,0,38201898,33718,241235126,206148597,0
1789801035.3700185,7.404,1810323,49466,0,176,61,60,52919,453478,16218879,299736,1632,63165520,63439092,64771540,0,0,0,1,1,0,10055763,160821356,161925917,15,15,408,1579583,3163029,0,38203689,33718,241237998,206148597,0
1789801035.62044,7.654,1810689,49473,0,176,61,60,52920,453503,16221154,301356,1632,63143980,63415932,64771540,0,0,0,0,5,0,10056171,160873745,161978306,15,15,408,1579045,3161952,0,38208782,33718,241239618,206148597,0
1789801035.8708858,7.905,1811044,49486,0,176,61,60,52922,453535,16222068,304908,1632,63119836,63388188,64771540,0,0,0,0,2,0,10056569,160940135,162044696,15,15,408,1578443,3160745,0,38215782,33718,241243226,206148597,0
1789801036.1212587,8.155,1811416,49495,0,176,61,60,52923,453553,16223042,307348,1632,63127540,63393428,64771540,0,0,0,0,2,0,10057298,161022532,162127099,15,15,408,1578635,3161130,0,38220728,33718,241245610,206148597,0
1789801036.3716552,8.405,1811766,49502,0,176,61,60,52924,453596,16224926,309024,1632,63098676,63362892,64771540,0,0,0,0,2,0,10057552,161059425,162164000,15,15,408,1577914,3159687,0,38227433,33718,241247286,206148597,0
1789801036.622081,8.656,1812123,49510,0,176,61,60,52926,453627,16227504,310688,1632,63071744,63333760,64771540,0,0,0,0,5,0,10057976,161108861,162213436,15,15,408,1577242,3158341,0,38233526,33718,241249774,206148597,0
1789801036.8724902,8.906,1812456,49515,0,176,61,60,52930,453685,16233258,312420,1632,63033616,63293892,64771540,0,0,0,0,5,0,10058405,161126838,162231413,15,15,408,1576290,3156435,0,38242019,33718,241251214,206148597,0
1789801037.1229618,9.157,1812769,49521,0,176,61,60,52934,453760,16236103,314236,1788,63006936,63265400,64771540,0,0,0,0,3,0,10058563,161134674,162239251,15,15,447,1575624,3155101,0,38255988,33718,241252990,206148597,0
1789801037.3734198,9.407,1813138,49532,0,176,61,60,52936,453781,16237777,317208,1788,62972016,63227504,64771540,0,0,0,0,2,0,10059199,161219239,162323816,15,15,447,1574753,3153356,0,38265317,33718,241255938,206148597,0
1789801037.6238787,9.658,1813496,49537,0,176,62,60,52940,453813,16240315,318732,1796,63052724,63306692,64771540,0,0,0,0,2,0,10059651,161247128,162351726,15,15,449,1576767,3157390,0,38272051,33718,241257494,206148597,0
1789801037.8742907,9.908,1813861,49546,0,176,62,60,52942,453837,16243317,321480,1796,63036344,63287552,64771540,0,0,0,1,1,0,10060151,161309999,162414597,15,15,449,1576358,3156571,0,38276336,33719,241260154,206148597,0
1789801038.1246414,10.158,1814223,49553,0,176,62,60,52943,453865,16244624,323712,1796,63041520,63290504,64771540,0,0,0,0,3,0,10060706,161360265,162464881,15,15,449,1576488,3156830,0,38282515,33719,241262358,206148597,0
1789801038.3749933,10.409,1814557,49559,0,176,62,60,52945,453922,16247695,325204,1800,63005304,63252792,64771540,0,0,0,0,5,0,10061003,161383901,162488517,15,15,450,1575584,3155020,0,38290196,33719,241263830,206148597,0
1789801038.625434,10.659,1814866,49561,0,176,62,60,52950,454002,16257621,326076,1864,62994000,63240588,64771540,0,0,0,0,13,0,10061546,161386088,162490705,15,15,466,1575301,3154455,0,38293270,33720,241264694,206148657,0
1789801038.8759303,10.91,1815146,49578,0,176,62,60,52960,454094,16267445,477608,1864,62914176,63009288,64771540,0,0,0,0,4,0,10062186,161405966,162510583,15,15,466,1573309,3150465,0,38314369,33720,241416270,206148657,0
1789801039.1265523,11.16,1815413,49579,0,176,62,60,52969,454217,16279028,478120,1864,62826152,62920692,64771540,0,0,0,0,10,0,10063166,161407481,162512098,15,15,466,1571111,3146064,0,38338456,33720,241416754,206148657,0
1789801039.377033,11.411,1815643,49592,0,176,62,60,52988,454349,16287322,614616,1864,62401644,62359684,64771540,0,0,0,3,2,0,10063675,161426234,162530850,15,15,466,1560514,3124844,0,38439630,33720,241554002,206148657,0
1789801039.6275346,11.661,1815915,49609,0,176,62,60,53015,454432,16297097,778840,1864,61966836,61760652,64771540,0,0,0,0,7,0,10064465,161453208,162557829,15,15,466,1549660,3103109,0,38551656,33720,241717458,206148657,0
1789801039.8782809,11.912,1816124,49609,0,176,62,60,53032,454603,16307378,808808,31724,61813020,61576632,64771540,0,0,0,0,11,0,10064918,161453498,162558119,15,15,7931,1545820,3095420,0,38600922,33720,241717542,206148657,0
1789801040.1289964,12.163,1816391,49609,0,176,62,60,53044,454722,16308989,987804,210720,61727588,61311356,64771540,0,0,0,0,5,0,10065384,161453498,162558119,15,15,52680,1543666,3091107,0,38617661,33720,241717542,206148657,0
1789801040.3794494,12.413,1816686,49609,0,176,62,60,53054,454818,16310087,1202192,425092,61713324,61079412,64771540,0,0,0,0,7,0,10065435,161453799,162558420,15,15,106374,1543228,3090230,0,38619329,33720,241717558,206148657,0
1789801040.6299202,12.664,1816919,49625,0,176,62,60,53088,454931,16317688,1353852,426400,61326180,60540276,64771540,0,0,0,0,6,0,10066054,161473041,162577662,15,15,106600,1533555,3070861,0,38652072,33720,241867910,206148657,0
1789801040.8804572,12.914,1817196,49654,0,176,62,60,53098,455013,16325719,1661992,433764,61320384,60226364,64771540,0,0,0,0,5,0,10066842,161530872,162635512,15,15,108441,1533411,3070571,0,38655915,33720,242168614,206148657,0
1789801041.1309526,13.165,1817480,49654,0,176,62,60,53106,455119,16327025,1842960,614804,61362376,60085296,64771540,0,0,0,0,5,0,10066913,161530872,162635512,15,15,153701,1534407,3072565,0,38656249,33720,242168614,206148657,0
