stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789800016234,1789800016697,463,False,367,43968199,59,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789800017806,1789800019136,1330,False,1298,935561289,26,45,2342,0,0,0,115478037,465585,0,0,0,0,109290697,465585,155359517
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789800017803,1789800019137,1334,False,1296,917697834,25,45,2342,0,0,0,115478043,465585,0,0,0,0,109280918,465585,153226862
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789800017806,1789800019138,1332,False,1295,914035726,26,45,2342,0,0,0,115478037,465585,0,0,0,0,109287298,465585,149644020
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789800017806,1789800019138,1332,False,1298,969823923,25,45,2342,0,0,0,115478037,465585,0,0,0,0,109291801,465585,151213833
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789800019137,1789800019968,831,False,819,714299031,4,26,2342,0,0,0,115478028,465585,0,0,0,0,109286712,465585,129406794
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789800019136,1789800020031,895,False,886,732802050,4,28,2299,0,0,0,115478028,465585,0,0,0,0,109286826,465585,142672855
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789800019137,1789800020037,900,False,892,744518144,4,28,2299,0,0,0,115478028,465585,0,0,0,0,109289785,465585,134755062
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789800019135,1789800020044,909,False,902,760656533,4,28,2299,0,0,0,115478028,465585,0,0,0,0,109285628,465585,146741623
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789800019967,1789800020684,717,False,710,660049150,2,18,2299,0,0,0,115478028,465585,0,0,0,0,109286996,465585,119042735
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789800020030,1789800020779,749,False,741,675088110,2,24,2299,0,0,0,115478019,465585,0,0,0,0,109288406,465585,133240879
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789800020044,1789800020807,763,False,758,676185628,2,24,2299,0,0,0,115478019,465585,0,0,0,0,109291838,465585,137393424
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789800020036,1789800020854,818,False,812,719853344,2,24,2299,0,0,0,115478019,465585,0,0,0,0,109285647,465585,141360290
