t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789800107.7622793,0.0,652132,16556,0,176,43,45,18847,198512,5263262,116832,1224,63853416,64235400,64771540,0,0,0,1,1,0,8090844,58996289,59876706,6,6,306,1594741,3193382,0,16309519,10019,60635786,95401045,0
1789800108.0147903,0.253,652377,16574,0,176,43,45,18849,198652,5263880,126540,1520,63835944,64211756,64771540,0,0,0,0,17,0,8091139,59024955,59905377,6,6,380,1594461,3192821,0,16312180,10092,60648090,95401045,0
1789800108.2653117,0.503,652747,16591,0,176,43,45,18850,198662,5264626,135252,1348,63818636,64189600,64771540,0,0,0,1,1,0,8092128,59115165,59995622,6,6,337,1594157,3192213,0,16317186,10128,60658374,95401045,0
1789800108.5156856,0.753,653122,16613,0,176,43,45,18852,198663,5265374,162740,1380,63789120,64145948,64771540,0,0,0,1,1,0,8092846,59279759,60160232,6,6,345,1593773,3191444,0,16321348,10336,60686042,95401045,0
1789800108.766042,1.004,653487,16637,0,176,43,45,18853,198671,5267561,173408,1380,63774420,64125884,64771540,0,0,0,1,1,0,8093667,59422568,60303047,6,6,345,1593540,3190977,0,16324598,10428,60696698,95401045,0
1789800109.0164385,1.254,653858,16659,0,176,43,45,18854,198676,5269234,179836,1380,63763568,64111828,64771540,0,0,0,1,1,0,8094687,59609120,60489611,6,6,345,1593350,3190595,0,16326592,10434,60703118,95401045,0
1789800109.2667944,1.505,654224,16680,0,176,43,45,18855,198687,5270579,188128,1380,63737348,64081448,64771540,0,0,0,1,1,0,8095860,59770152,60650671,6,6,345,1592799,3189492,0,16331716,10434,60711498,95401045,0
1789800109.5171676,1.755,654578,16690,0,176,43,45,18861,198718,5274255,191152,1380,63734736,64077372,64771540,0,0,0,1,2,0,8097400,59791461,60671985,6,6,345,1592770,3189435,0,16347805,10442,60714446,95401077,0
1789800109.767601,2.005,654936,16702,0,176,43,45,18864,198746,5276845,194564,1380,63712484,64053416,64771540,0,0,0,0,2,0,8098061,59866746,60747287,6,6,345,1592257,3188408,0,16355429,10443,60717982,95401077,0
1789800110.018141,2.256,655300,16714,0,176,43,45,18866,198766,5279880,197480,1380,63691636,64031088,64771540,0,0,0,1,3,0,8098745,59952951,60833491,6,6,345,1591774,3187440,0,16360094,10443,60720786,95401077,0
1789800110.2685468,2.506,655659,16729,0,176,43,45,18869,198789,5283546,200900,1380,63667152,64004812,64771540,0,0,0,0,2,0,8099427,60034992,60915532,6,6,345,1591207,3186306,0,16367859,10450,60724190,95401077,0
1789800110.5189643,2.757,656005,16740,0,176,43,45,18871,198828,5287330,203716,1380,63657148,63993396,64771540,0,0,0,0,3,0,8099920,60085370,60965913,6,6,345,1590993,3185876,0,16370056,10455,60727050,95401077,0
1789800110.7693727,3.007,656365,16750,0,176,43,45,18871,198857,5291774,206056,1380,63650064,63985156,64771540,0,0,0,0,2,0,8100570,60150857,61031399,6,6,345,1590845,3185580,0,16371749,10458,60729402,95401077,0
1789800111.0197983,3.258,656708,16761,0,176,43,45,18875,198899,5296227,208488,1380,63674492,64008364,64771540,0,0,0,0,1,0,8101026,60189928,61070626,6,6,345,1591485,3186862,0,16376274,10461,60731778,95401081,0
