t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789800849.647457,0.0,1581367,41109,0,176,57,57,45258,402256,13508637,117132,1896,63861008,64242864,64771540,0,4,0,1,1,0,9620820,134379774,135438941,9,9,474,1594942,3193783,1,33156695,27345,198427498,187287085,0
1789800849.898008,0.251,1581607,41127,0,176,57,57,45260,402396,13509234,126672,1896,63845896,64221628,64771540,0,4,0,0,17,0,9620966,134407858,135467071,9,9,474,1594717,3193334,1,33159356,27418,198439790,187287085,0
1789800850.148528,0.501,1581978,41144,0,176,57,57,45262,402407,13509946,135008,1896,63834592,64205824,64771540,0,0,0,1,1,0,9622521,134502751,135562091,9,9,474,1594548,3192994,0,33164331,27454,198449598,187287085,0
1789800850.3989272,0.751,1582354,41166,0,176,57,57,45263,402408,13510632,163000,1928,63807412,64164068,64771540,0,0,0,0,2,0,9623300,134664296,135723658,9,9,482,1594233,3192364,0,33168526,27662,198477710,187287085,0
1789800850.6492484,1.002,1582718,41190,0,176,57,57,45264,402419,13512837,173644,1928,63789952,64141256,64771540,0,0,0,1,1,0,9624060,134806331,135865704,9,9,482,1593931,3191759,0,33171755,27754,198488366,187287085,0
1789800850.8995805,1.252,1583089,41212,0,176,57,57,45266,402424,13514466,180068,1928,63778596,64126696,64771540,0,0,0,1,1,0,9625012,134991737,136051125,9,9,482,1593727,3191351,0,33173807,27760,198494786,187287085,0
1789800851.1498942,1.502,1583456,41233,0,176,57,57,45267,402435,13515810,188364,1928,63756744,64100684,64771540,0,0,0,0,6,0,9626052,135153817,136213209,9,9,482,1593285,3190467,0,33178880,27760,198503150,187287085,0
1789800851.4002144,1.753,1583809,41243,0,176,57,57,45273,402466,13519457,191408,1928,63760548,64102924,64771540,0,0,0,0,3,0,9626960,135195209,136254603,9,9,482,1593419,3190735,0,33195087,27768,198506130,187287117,0
1789800851.6506348,2.003,1584167,41255,0,176,57,57,45275,402493,13522042,194808,1928,63730828,64071516,64771540,0,0,0,1,1,0,9627602,135268419,136327818,9,9,482,1592720,3189334,0,33202562,27769,198509650,187287117,0
1789800851.9010541,2.254,1584530,41267,0,176,57,57,45277,402516,13525180,197788,1928,63711316,64050500,64771540,0,0,0,1,3,0,9628348,135353839,136413238,9,9,482,1592270,3188434,0,33207748,27769,198512502,187287117,0
1789800852.1514418,2.504,1584892,41282,0,176,57,57,45280,402534,13529007,201192,1928,63683864,64021344,64771540,0,0,0,1,1,0,9629394,135442980,136502387,9,9,482,1591627,3187147,0,33215359,27777,198515930,187287117,0
