t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789800424.4664824,0.0,1048188,27300,0,176,49,50,30313,285658,8774946,117096,1372,63850976,64231448,64771540,0,0,0,1,1,0,8757230,92295560,93243733,7,7,343,1594658,3193215,0,23694538,17452,120890762,135835949,0
1789800424.7170367,0.251,1048430,27317,0,176,49,50,30314,285797,8775541,126912,1372,63835588,64209944,64771540,0,0,0,0,17,0,8757814,92323689,93271912,7,7,343,1594431,3192761,0,23697199,17525,120903046,135835949,0
1789800424.9675643,0.501,1048800,27334,0,176,49,50,30317,285808,8776257,135604,1372,63816412,64185840,64771540,0,0,0,1,1,0,8758415,92413594,93361854,7,7,343,1594076,3192049,0,23702186,17561,120913310,135835949,0
1789800425.2179625,0.751,1049175,27357,0,176,49,50,30318,285808,8776988,162952,1404,63789220,64144560,64771540,0,0,0,1,1,0,8759267,92581947,93530277,7,7,351,1593748,3191394,0,23706363,17769,120940974,135835949,0
1789800425.4682841,1.002,1049540,27380,0,176,49,50,30321,285817,8779237,173656,1404,63773536,64123512,64771540,0,0,0,1,1,0,8760050,92724455,93672789,7,7,351,1593491,3190878,0,23709571,17861,120951678,135835949,0
1789800425.7186184,1.252,1049910,27402,0,176,49,50,30322,285823,8780915,180048,1404,63762172,64108964,64771540,0,0,0,1,1,0,8760999,92909333,93857668,7,7,351,1593287,3190469,0,23711610,17867,120958070,135835949,0
1789800425.968931,1.502,1050277,27424,0,176,49,50,30324,285834,8782311,188448,1404,63740036,64082612,64771540,0,0,0,1,1,0,8761744,93068508,94016869,7,7,351,1592839,3189573,0,23716765,17867,120966466,135835949,0
1789800426.2192607,1.753,1050630,27433,0,176,49,50,30330,285866,8785898,191384,1404,63747824,64088888,64771540,0,0,0,1,3,0,8762970,93088819,94037199,7,7,351,1593071,3190038,0,23732942,17875,120969414,135835981,0
1789800426.4696765,2.003,1050988,27445,0,176,49,50,30332,285893,8787977,194764,1404,63720968,64060356,64771540,0,0,0,1,1,0,8763550,93162487,94110867,7,7,351,1592443,3188780,0,23740096,17876,120972918,135835981,0
1789800426.7200973,2.254,1051353,27458,0,176,49,50,30334,285913,8790521,197756,1404,63701456,64039340,64771540,0,0,0,1,2,0,8764225,93251553,94199934,7,7,351,1591993,3187879,0,23744825,17876,120975774,135835981,0
1789800426.9704819,2.504,1051714,27473,0,176,49,50,30337,285933,8793396,201100,1404,63672768,64008948,64771540,0,0,0,1,1,0,8764946,93339275,94287655,7,7,351,1591320,3186531,0,23752420,17883,120979178,135835981,0
1789800427.2209074,2.754,1052063,27483,0,176,49,50,30339,285974,8798368,203908,1404,63657448,63992216,64771540,0,0,0,1,1,0,8767013,93390839,94339269,7,7,351,1590973,3185836,0,23756008,17888,120981986,135835981,0
1789800427.4713054,3.005,1052422,27494,0,176,49,50,30341,286003,8803403,206336,1404,63649272,63983024,64771540,0,0,0,1,1,0,8767719,93458729,94407160,7,7,351,1590794,3185478,0,23757951,17891,120984466,135835981,0
1789800427.7217035,3.255,1052769,27504,0,176,49,50,30345,286042,8808404,208680,1404,63635964,63968340,64771540,0,0,0,0,1,0,8768179,93500211,94448641,7,7,351,1590496,3184881,0,23762332,17894,120986706,135835985,0
1789800428.0128028,3.546,1053208,27530,0,176,49,50,30347,286044,8809326,236400,1404,63614860,63933016,64771540,0,0,0,1,1,0,8768836,93622328,94570778,7,7,351,1590324,3184537,0,23765671,18122,121015478,135835985,0
1789800428.2709885,3.805,1053592,27549,0,176,49,50,30348,286048,8810184,251512,1404,63597360,63907852,64771540,0,0,0,0,2,0,8769811,93816692,94765142,7,7,351,1590079,3184045,0,23769585,18233,121030538,135835985,0
1789800428.5831869,4.117,1054060,27569,0,176,49,50,30350,286056,8810740,265444,1404,63576520,63880004,64771540,0,0,0,1,1,0,8771154,94024942,94973392,7,7,351,1589733,3183354,0,23774716,18328,121044622,135835985,0
1789800428.8335807,4.367,1054426,27584,0,176,49,50,30352,286076,8812885,269536,1404,63556920,63858256,64771540,0,0,0,0,2,0,8771646,94077144,95025598,7,7,351,1589298,3182481,0,23778704,18332,121048898,135835985,0
1789800429.0840106,4.618,1054783,27597,0,176,49,50,30354,286103,8815025,272804,1404,63540920,63840640,64771540,0,0,0,0,3,0,8772274,94154808,95103319,7,7,351,1588939,3181763,0,23783232,18336,121052106,135835985,0
1789800429.3344407,4.868,1055102,27608,0,176,49,50,30357,286168,8816564,275344,1404,63468236,63766060,64771540,0,0,0,0,4,0,8772792,94190492,95139003,7,7,351,1587141,3178163,0,23804284,18336,121054694,135835985,0
1789800429.5849147,5.118,1055464,27619,0,176,49,50,30360,286193,8818403,278460,1404,63442432,63737132,64771540,0,0,0,0,2,0,8773284,94261057,95209569,7,7,351,1586497,3176873,0,23810192,18336,121057762,135835985,0
1789800429.8353667,5.369,1055805,27631,0,176,49,50,30362,286237,8822375,281696,1404,63424752,63716196,64771540,0,0,0,0,3,0,8773687,94288491,95237008,7,7,351,1586056,3175990,0,23815930,18339,121061026,135835985,0
1789800430.0858135,5.619,1056169,27639,0,176,49,50,30364,286262,8823538,284016,1404,63416844,63705976,64771540,0,0,0,0,7,0,8774774,94343300,95291817,7,7,351,1585858,3175594,0,23818285,18340,121063326,135835985,0
1789800430.3362403,5.87,1056525,27652,0,176,49,50,30365,286293,8825678,287916,1504,63400648,63685904,64771540,0,0,0,0,2,0,8775299,94418768,95367285,7,7,376,1585454,3174785,0,23822942,18341,121067126,135835985,0
1789800430.5866723,6.12,1056876,27662,0,176,49,50,30367,286329,8827249,291208,1504,63387228,63669168,64771540,0,0,0,0,2,0,8775649,94471844,95420362,7,7,376,1585119,3174114,0,23827647,18341,121070422,135835985,0
1789800430.8371356,6.371,1057223,27664,0,176,49,50,30371,286376,8833895,292068,1504,63376520,63657556,64771540,0,0,0,0,7,0,8776181,94479208,95427726,7,7,376,1584852,3173579,0,23830299,18341,121071290,135835985,0
1789800431.0875697,6.621,1057546,27665,0,176,49,50,30374,286445,8840813,292692,1504,63365132,63645532,64771540,0,0,0,0,4,0,8776840,94483165,95431682,7,7,376,1584567,3173009,0,23835918,18343,121071902,135835985,0
1789800431.3380322,6.872,1057882,27668,0,176,49,50,30377,286504,8846523,293308,1504,63363144,63642976,64771540,0,0,0,0,3,0,8777313,94492734,95441254,7,7,376,1584518,3172910,0,23838279,18345,121072518,135835985,0
1789800431.5884523,7.122,1058252,27682,0,176,49,50,30378,286518,8848073,297488,1504,63363704,63639344,64771540,0,0,0,0,2,0,8778055,94612453,95560972,7,7,376,1584532,3172938,0,23839521,18346,121076754,135835985,0
1789800431.838889,7.372,1058623,27690,0,176,49,50,30379,286539,8849256,299720,1504,63356648,63630032,64771540,0,0,0,0,2,0,8778508,94681176,95629696,7,7,376,1584355,3172585,0,23841536,18346,121078930,135835985,0
1789800432.0892665,7.623,1058979,27698,0,176,49,50,30380,286574,8851834,301812,1504,63343296,63614580,64771540,0,0,0,1,3,0,8779562,94727352,95675876,7,7,376,1584022,3171918,0,23844361,18346,121081042,135835985,0
1789800432.3396697,7.873,1059345,27711,0,176,49,50,30381,286593,8852476,305376,1504,63326696,63594452,64771540,0,0,0,0,2,0,8780138,94825905,95774429,7,7,376,1583608,3171088,0,23847409,18346,121084698,135835985,0
1789800432.590112,8.124,1059709,27717,0,176,49,50,30382,286622,8853783,307188,1504,63317988,63583884,64771540,0,0,0,0,3,0,8780465,94867338,95815867,7,7,376,1583390,3170653,0,23849669,18346,121086406,135835985,0
1789800432.8405354,8.374,1060065,27726,0,176,49,50,30383,286656,8855921,309152,1504,63311328,63575264,64771540,0,0,0,0,2,0,8780810,94916654,95865183,7,7,376,1583224,3170320,0,23851792,18346,121088398,135835985,0
1789800433.090984,8.625,1060414,27735,0,176,49,50,30385,286696,8859412,311284,1504,63310820,63572120,64771540,0,0,0,0,2,0,8781279,94959806,95908335,7,7,376,1583211,3170294,0,23853212,18346,121091034,135835985,0
1789800433.341427,8.875,1060737,27739,0,176,49,50,30387,286766,8864589,313012,1660,63302976,63562540,64771540,0,0,0,0,9,0,8781600,94968143,95916672,7,7,415,1583016,3169902,0,23856157,18346,121092694,135835985,0
1789800433.5919113,9.125,1061055,27746,0,176,49,50,30389,286838,8867184,314744,1660,63286120,63544004,64771540,0,0,0,1,1,0,8781808,94979310,95927839,7,7,415,1582595,3169060,0,23861862,18346,121094338,135835985,0
1789800433.8423755,9.376,1061425,27757,0,176,49,50,30390,286856,8868228,317624,1668,63280040,63535040,64771540,0,0,0,0,2,0,8782209,95028539,95977071,7,7,417,1582443,3168756,0,23863703,18346,121097234,135835985,0
1789800434.0928068,9.626,1061791,27761,0,176,49,50,30392,286884,8870839,319180,1668,63278328,63531724,64771540,0,0,0,0,3,0,8782563,95059341,96007873,7,7,417,1582400,3168670,0,23865836,18346,121098786,135835985,0
1789800434.3432088,9.877,1062161,27769,0,176,49,50,30392,286903,8872199,321636,1668,63271736,63522680,64771540,0,0,0,1,1,0,8783131,95129048,96077579,7,7,417,1582226,3168320,0,23867506,18346,121101246,135835985,0
1789800434.593632,10.127,1062510,27777,0,176,49,50,30393,286944,8875371,324212,1672,63261904,63510252,64771540,0,0,0,0,4,0,8783539,95170435,96118966,7,7,418,1581990,3167849,0,23870069,18347,121103826,135835985,0
1789800434.8441098,10.378,1062820,27781,0,176,49,50,30397,287024,8881444,325280,1724,63253520,63500780,64771540,0,0,0,0,8,0,8783979,95181630,96130162,7,7,431,1581781,3167430,0,23872663,18347,121104866,135836045,0
1789800435.0945725,10.628,1063115,27784,0,176,49,50,30400,287121,8889397,326360,1736,63247252,63493448,64771540,0,0,0,1,2,0,8784930,95185260,96133794,7,7,434,1581625,3167117,0,23875807,18347,121105966,135836045,0
1789800435.3450742,10.879,1063409,27797,0,176,49,50,30411,287202,8896598,472092,1736,63105116,63205528,64771540,0,0,0,0,10,0,8785585,95205440,96153977,7,7,434,1578076,3160012,0,23908803,18347,121252062,135836045,0
1789800435.5955677,11.129,1063637,27797,0,176,49,50,30431,287351,8906268,523092,52276,62894384,62943572,64771540,0,0,0,0,6,0,8786093,95205440,96153977,7,7,13069,1572816,3149478,0,23965789,18347,121252102,135836045,0
1789800435.8463016,11.38,1063909,27812,0,176,49,50,30445,287450,8913308,791196,175124,62757644,62537576,64771540,0,0,0,0,5,0,8786781,95221956,96170539,7,7,43884,1569382,3142602,0,23991990,18347,121397254,135836045,0
1789800436.097028,11.631,1064198,27826,0,176,49,50,30459,287530,8917987,1081608,320496,62639044,62126840,64771540,0,0,0,0,5,0,8787292,95253934,96202517,7,7,80124,1566368,3136565,0,24020848,18347,121542406,135836045,0
1789800436.347709,11.881,1064449,27841,0,176,49,50,30496,287628,8924991,1313184,413904,62382188,61636816,64771540,0,0,0,1,7,0,8788578,95270103,96218700,7,7,103476,1559917,3123648,0,24030755,18347,121681014,135836045,0
1789800436.5982015,12.132,1064702,27852,0,176,49,50,30504,287754,8928056,1510060,516652,62376744,61433332,64771540,0,0,0,2,4,0,8788845,95287895,96236491,7,7,129163,1559723,3123261,0,24046806,18347,121775846,135836045,0
1789800436.8486853,12.382,1064976,27870,0,176,49,50,30519,287844,8934907,1826788,655436,62365452,61103420,64771540,0,0,0,1,4,0,8789255,95310946,96259543,7,7,163859,1559436,3122685,0,24072077,18347,121953790,135836045,0
1789800437.0991802,12.633,1065273,27873,0,176,49,50,30551,287911,8937001,2023620,827028,62203416,60742416,64771540,0,0,0,0,5,0,8789682,95318044,96266642,7,7,206757,1555325,3114452,0,24081222,18347,121977878,135836045,0
1789800437.3498614,12.883,1065520,27889,0,176,49,50,30568,288035,8942280,2264196,920820,62189744,60486928,64771540,0,0,0,0,7,0,8790323,95339771,96288404,7,7,230205,1554952,3113706,0,24087258,18347,122125182,135836045,0
